기간	자치구	동	합계	합계	합계	보통세	보통세	보통세	보통세	보통세	보통세	보통세	보통세	보통세	보통세	보통세	보통세	목적세	목적세	목적세	목적세	목적세	과년도수입	과년도수입	비고
기간	자치구	동	합계	시세	구세	시세	시세	시세	시세	시세	시세	시세	시세	시세	구세	구세	구세	시세	시세	시세	시세	구세	시세	구세	비고
기간	자치구	동	합계	시세	구세	취득세	등록세	레저세	주민세	자동차세	주행세	담배소비세	도축세	특별시분 재산세	재산세	종합토지세	면허세	도시계획세	공동시설세	지역개발세	지방교육세	사업소세	시세	구세	비고
2008	합계	합계	13,141,586	11,295,077	1,846,509	1,667,349	1,822,785	117,400	3,155,404	558,336	493,820	557,956	3,923	639,831	1,564,089	-4,099	18,940	831,599	142,479	485	1,149,549	244,802	154,161	22,777	-
2008	본청	본청	1,381,027	1,381,027	-	-636	-557	-	-356	-	493,820	557,956	-	-	-	-	-	-	-	-	278,845	-	51,955	-	-
2008	종로구	소계	628,905	548,547	80,358	68,513	77,416	4,272	286,934	16,114	-	-	-	24,851	61,336	-278	775	28,788	5,324	16	33,549	17,647	2,770	878	동별종합토지세재산세에포함
2008	종로구	사직동	…	…	16,939	…	22,346	-	66,702	2,305	-	-	-	5,079	12,486	…	135	5,385	1,220	1	6,914	4,276	684	42	-
2008	종로구	삼청동	…	…	1,638	…	1,341	-	3,131	238	-	-	-	525	1,417	…	15	711	40	-	580	201	50	5	-
2008	종로구	부암동	…	…	1,715	…	1,673	-	2,124	747	-	-	-	640	1,577	…	17	715	76	-	817	28	129	93	-
2008	종로구	평창동	…	…	4,658	…	4,727	-	16,728	3,386	-	-	-	1,811	4,458	…	29	1,972	205	1	2,666	42	265	129	-
2008	종로구	무악동	…	…	1,418	…	3,758	-	1,129	525	-	-	-	550	1,349	…	7	639	75	1	1,136	54	44	8	-
2008	종로구	교남동	…	…	1,393	…	2,156	-	1,198	349	-	-	-	372	918	…	21	502	100	1	685	443	61	11	-
2008	종로구	가회동	…	…	2,929	…	1,411	-	3,979	447	-	-	-	681	1,764	…	17	867	206	-	723	1,135	75	13	-
2008	종로구	종로1.2.3.4가동	…	…	33,189	…	24,645	-	167,244	1,778	-	-	-	9,351	22,961	…	283	10,138	1,912	10	9,996	9,542	673	403	-
2008	종로구	종로5·6가동	…	…	4,810	…	2,768	-	5,725	1,633	-	-	-	1,550	3,811	…	66	1,941	421	1	1,778	910	99	23	-
2008	종로구	이화동	…	…	2,298	…	1,798	-	4,048	412	-	-	-	665	1,638	…	32	858	230	-	784	598	121	30	-
2008	종로구	혜화동	…	…	2,251	…	2,063	-	2,574	1,465	-	-	-	850	2,085	…	37	1,161	186	-	1,193	104	87	25	-
2008	종로구	명륜3가동	…	…	224	…	490	-	943	172	-	-	-	85	211	…	7	153	25	-	164	1	32	5	-
2008	종로구	창신1동	…	…	1,690	…	1,333	-	691	488	-	-	-	628	1,568	…	32	868	175	-	695	58	68	32	-
