기간	자치구	동	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분
기간	자치구	동	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	비고
기간	자치구	동	계	국공립	법인	민간	민간	민간	부모협동	직장	가정	계	국공립	법인	민간	민간	민간	부모협동	직장	가정	비고
기간	자치구	동	계	국공립	법인	계	개인	단체(법인외)	부모협동	직장	가정	계	국공립	법인	계	개인	단체(법인외)	부모협동	직장	가정	비고
2008	합계	합계	227,882	52,915	2,286	127,327	115,616	11,711	551	5,974	38,829	190,310	48,177	2,001	104,661	95,067	9,594	432	4,511	30,528	-
2008	종로구	소계	4,208	1,799	242	1,521	1,320	201	-	504	142	3,441	1,645	181	1,122	968	154	-	396	97	-
2008	종로구	사직동	…	101	64	…	…	-	-	…	…	155	-	76	50	50	-	-	29	-	-
2008	종로구	삼청동	…	32	-	…	…	-	-	…	…	32	32	-	-	-	-	-	-	-	-
2008	종로구	부암동	…	89	-	…	…	-	-	…	…	118	84	-	34	34	-	-	-	-	-
2008	종로구	평창동	…	-	-	…	…	-	-	…	…	55	-	-	15	15	-	-	-	40	-
2008	종로구	무악동	…	175	-	…	…	-	-	…	…	333	144	-	189	189	-	-	-	-	-
2008	종로구	교남동	…	163	-	…	…	-	-	…	…	254	163	-	79	79	-	-	-	12	-
2008	종로구	가회동	…	50	-	…	…	-	-	…	…	126	50	-	76	76	-	-	-	-	-
2008	종로구	종로1.2.3.4가동	…	44	101	…	…	49	-	…	…	256	39	45	139	48	91	-	33	-	-
2008	종로구	종로5·6가동	…	52	-	…	…	51	-	…	…	178	41	-	137	137	-	-	-	-	-
2008	종로구	이화동	…	96	-	…	…	-	-	…	…	179	88	-	20	20	-	-	63	8	-
2008	종로구	혜화동	…	215	-	…	…	-	-	…	…	289	203	-	86	86	-	-	-	-	-
2008	종로구	명륜3가동	…	-	-	…	…	-	-	…	…	-	-	-	-	-	-	-	-	-	-
2008	종로구	창신1동	…	76	77	…	…	-	-	…	…	135	75	60	-	-	-	-	-	-	-
2008	종로구	창신2동	…	245	-	…	…	49	-	…	…	300	211	-	72	31	41	-	-	17	-
2008	종로구	창신3동	…	96	-	…	…	-	-	…	…	98	89	-	-	-	-	-	-	9	-
