기간,자치구,동,계,소득(구별),인구비,소득(동별),,기간,자치구,지역내총생산(당해년가격)
2012,종로구,소계,"173,148",25061092,1,25061092,,2012,서울시,"313,478,525"
2012,종로구,사직동,"10,477",25061092,0.060508929,1516419.831,,2012,종로구,"25,061,092"
2012,종로구,삼청동,"3,485",25061092,0.02012729,504411.8651,,2012,중구,"46,050,828"
2012,종로구,부암동,"11,478",25061092,0.06629011,1661302.55,,2012,용산구,"8,905,758"
2012,종로구,평창동,"19,816",25061092,0.114445446,2868127.839,,2012,성동구,"8,447,774"
2012,종로구,무악동,"8,598",25061092,0.049656941,1244457.164,,2012,광진구,"5,443,737"
2012,종로구,교남동,"8,342",25061092,0.048178437,1207404.241,,2012,동대문구,"6,301,762"
2012,종로구,가회동,"5,520",25061092,0.031880241,798953.6572,,2012,중랑구,"3,592,733"
2012,종로구,종로1.2.3.4가동,"8,984",25061092,0.051886248,1300326.025,,2012,성북구,"4,630,451"
2012,종로구,종로5·6가동,"6,438",25061092,0.037182064,931823.1241,,2012,강북구,"2,606,319"
2012,종로구,이화동,"9,521",25061092,0.054987641,1378050.321,,2012,도봉구,"2,433,429"
2012,종로구,창신1동,"7,669",25061092,0.044291589,1109995.579,,2012,노원구,"4,492,191"
2012,종로구,창신2동,"11,984",25061092,0.069212466,1734539.969,,2012,은평구,"3,078,103"
2012,종로구,창신3동,"8,502",25061092,0.049102502,1230562.318,,2012,서대문구,"6,832,503"
2012,종로구,숭인1동,"7,692",25061092,0.044424423,1113324.553,,2012,마포구,"13,860,732"
2012,종로구,숭인2동,"9,560",25061092,0.055212881,1383695.102,,2012,양천구,"5,477,524"
2012,종로구,청운효자동,"15,219",25061092,0.087895904,2202767.339,,2012,강서구,"7,883,811"
2012,종로구,혜화동,"19,863",25061092,0.11471689,2874930.524,,2012,구로구,"10,398,295"
2012,중구,소계,"140,807",46050828,1,46050828,,2012,금천구,"12,827,876"
2012,중구,소공동,"1,764",46050828,0.012527786,576914.9303,,2012,영등포구,"25,011,534"
2012,중구,회현동,"6,581",46050828,0.046737733,2152311.313,,2012,동작구,"4,962,630"
2012,중구,명동,"4,113",46050828,0.029210196,1345153.69,,2012,관악구,"4,776,156"
2012,중구,필동,"4,989",46050828,0.035431477,1631648.859,,2012,서초구,"26,148,756"
2012,중구,장충동,"6,189",46050828,0.043953781,2024107.995,,2012,강남구,"49,352,022"
2012,중구,광희동,"6,460",46050828,0.045878401,2112738.35,,2012,송파구,"18,617,139"
2012,중구,을지로동,"2,074",46050828,0.014729381,678300.2072,,2012,강동구,"6,285,371"
2012,중구,신당1동,"9,325",46050828,0.066225401,3049734.538,,,,
2012,중구,신당2동,"16,749",46050828,0.118950052,5477748.394,,,,
2012,중구,신당3동,"19,638",46050828,0.139467498,6422593.765,,,,
2012,중구,신당4동,"16,020",46050828,0.113772753,5239329.469,,,,
2012,중구,신당5동,"10,693",46050828,0.075940827,3497137.953,,,,
2012,중구,신당6동,"12,053",46050828,0.085599438,3941924.974,,,,
2012,중구,황학동,"13,090",46050828,0.092964128,4281075.078,,,,
2012,중구,중림동,"11,069",46050828,0.078611149,3620108.483,,,,
2012,용산구,소계,"255,294",8905758,1,8905758,,,,
2012,용산구,후암동,"20,413",8905758,0.079958793,712093.6569,,,,
2012,용산구,용산2가동,"13,810",8905758,0.054094495,481752.4814,,,,
2012,용산구,남영동,"8,213",8905758,0.032170752,286504.9333,,,,
2012,용산구,원효로2동,"15,928",8905758,0.062390812,555637.4745,,,,
