자치구,행정동,인구,소득(구별),인구비,소득(동별)
종로구,소계,"162,860","28,036,775",1,28036775
종로구,사직동,"9,700","28,036,775",0.059560359,1669880.373
종로구,삼청동,"3,013","28,036,775",0.018500553,518695.8312
종로구,부암동,"10,525","28,036,775",0.064626059,1811906.281
종로구,평창동,"18,830","28,036,775",0.115620779,3241633.754
종로구,무악동,"8,745","28,036,775",0.053696426,1505474.625
종로구,교남동,"10,779","28,036,775",0.066185681,1855633.045
종로구,가회동,"4,487","28,036,775",0.027551271,772448.7868
종로구,종로1.2.3.4가동,"8,630","28,036,775",0.052990298,1485677.074
종로구,종로5·6가동,"5,717","28,036,775",0.03510377,984196.5042
종로구,이화동,"8,566","28,036,775",0.052597323,1474659.306
종로구,창신1동,"6,098","28,036,775",0.037443203,1049786.651
종로구,창신2동,"9,825","28,036,775",0.060327889,1691399.45
종로구,창신3동,"7,322","28,036,775",0.04495886,1260501.452
종로구,숭인1동,"6,613","28,036,775",0.040605428,1138445.248
종로구,숭인2동,"9,972","28,036,775",0.061230505,1716705.884
종로구,청운효자동,"13,090","28,036,775",0.080375783,2253477.74
종로구,혜화동,"20,948","28,036,775",0.128625814,3606252.995
중구,소계,"136,663","48,654,807",1,48654807
중구,소공동,"3,045","48,654,807",0.022281086,1084081.919
중구,회현동,"5,864","48,654,807",0.042908468,2087703.243
중구,명동,"3,497","48,654,807",0.025588491,1245003.11
중구,필동,"5,054","48,654,807",0.03698148,1799326.772
중구,장충동,"5,628","48,654,807",0.041181593,2003682.444
중구,광희동,"6,221","48,654,807",0.045520733,2214802.502
중구,을지로동,"2,002","48,654,807",0.014649174,712752.7101
중구,신당5동,"10,846","48,654,807",0.079363105,3861396.55
중구,황학동,"13,669","48,654,807",0.100019757,4866441.955
중구,중림동,"13,007","48,654,807",0.095175724,4630756.493
중구,신당동,"9,336","48,654,807",0.068314028,3323805.845
중구,다산동,"15,075","48,654,807",0.110307838,5367006.545
중구,약수동,"17,760","48,654,807",0.129954706,6322921.144
중구,청구동,"14,595","48,654,807",0.106795548,5196116.785
중구,동화동,"11,064","48,654,807",0.08095827,3939008.983
용산구,소계,"244,989","10,308,398",1,10308398
용산구,후암동,"18,547","10,308,398",0.07570544,780401.8046
용산구,용산2가동,"11,831","10,308,398",0.048291964,497812.7864
용산구,남영동,"8,521","10,308,398",0.034781153,358537.9726
용산구,원효로2동,"14,779","10,308,398",0.060325157,621855.7325
용산구,효창동,"10,179","10,308,398",0.041548804,428301.6104
용산구,용문동,"12,649","10,308,398",0.05163089,532231.7586
용산구,이촌1동,"29,251","10,308,398",0.119397197,1230793.831
용산구,이촌2동,"9,025","10,308,398",0.036838389,379744.772
용산구,이태원1동,"9,086","10,308,398",0.037087379,382311.468
용산구,이태원2동,"10,812","10,308,398",0.044132594,454936.3407
용산구,서빙고동,"14,122","10,308,398",0.057643404,594211.1546
용산구,보광동,"15,897","10,308,398",0.064888628,668897.7995
용산구,청파동,"20,715","10,308,398",0.084554817,871624.7038
용산구,원효로1동,"16,471","10,308,398",0.06723159,693049.9878
용산구,한강로동,"19,504","10,308,398",0.079611738,820669.4774
용산구,한남동,"23,600","10,308,398",0.096330856,993016.7999
성동구,소계,"311,290","10,503,045",1,10503045
성동구,왕십리2동,"17,953","10,503,045",0.05767291,605741.1638
성동구,마장동,"24,137","10,503,045",0.07753863,814391.7157
성동구,사근동,"13,630","10,503,045",0.043785538,459881.4718
성동구,행당1동,"16,659","10,503,045",0.053516014,562081.1033
성동구,행당2동,"24,748","10,503,045",0.07950143,835007.092
성동구,응봉동,"16,228","10,503,045",0.052131453,547538.9966
성동구,금호1가동,"15,974","10,503,045",0.051315494,538968.9384
성동구,금호4가동,"15,283","10,503,045",0.049095699,515654.3311
성동구,성수1가1동,"17,331","10,503,045",0.055674773,584754.6432
성동구,성수1가2동,"15,084","10,503,045",0.048456423,508939.9942
성동구,성수2가1동,"17,979","10,503,045",0.057756433,606618.4139
성동구,성수2가3동,"11,725","10,503,045",0.037665842,395606.035
성동구,송정동,"11,546","10,503,045",0.037090816,389566.5057
성동구,용답동,"13,572","10,503,045",0.043599216,457924.5293
성동구,왕십리도선동,"27,878","10,503,045",0.089556362,940614.5026
성동구,금호2.3가동,"24,299","10,503,045",0.078059045,819857.6583
성동구,옥수동,"27,264","10,503,045",0.087583925,919897.9051
광진구,소계,"368,337","5,970,256",1.183259983,7064365.011
광진구,화양동,"25,422","5,970,256",0.081666613,487570.587
광진구,군자동,"22,142","5,970,256",0.071129815,424663.2026
광진구,중곡1동,"16,420","5,970,256",0.052748241,314920.5035
광진구,중곡2동,"22,635","5,970,256",0.072713547,434118.4894
광진구,중곡3동,"17,492","5,970,256",0.056191975,335480.4779
광진구,중곡4동,"30,561","5,970,256",0.098175335,586131.8822
광진구,능동,"11,867","5,970,256",0.038122008,227598.1495
광진구,구의1동,"23,126","5,970,256",0.074290854,443535.418
광진구,구의2동,"28,032","5,970,256",0.090051078,537627.9874
광진구,구의3동,"30,179","5,970,256",0.096948183,578805.4734
광진구,광장동,"36,180","5,970,256",0.116226027,693899.1361
광진구,자양1동,"24,229","5,970,256",0.077834174,464689.9439
광진구,자양2동,"27,107","5,970,256",0.087079572,519887.3378
광진구,자양3동,"29,577","5,970,256",0.095014295,567259.6669
광진구,자양4동,"23,368","5,970,256",0.075068264,448176.7555
동대문구,소계,"363,779","7,180,082",1.168617688,8390770.824
동대문구,회기동,"13,337","7,180,082",0.042844293,307625.5377
동대문구,휘경1동,"16,537","7,180,082",0.053124097,381435.3691
동대문구,휘경2동,"25,176","7,180,082",0.080876353,580698.8481
동대문구,청량리동,"22,035","7,180,082",0.070786084,508249.8855
동대문구,용신동,"32,073","7,180,082",0.103032542,739782.1002
동대문구,제기동,"27,630","7,180,082",0.088759677,637301.7625
동대문구,전농1동,"31,096","7,180,082",0.09989399,717247.0361
동대문구,전농2동,"20,341","7,180,082",0.065344213,469176.8061
동대문구,답십리1동,"29,939","7,180,082",0.096177198,690560.169
