기간	자치구	동	합계	합계	합계	시장	시장	시장	시장	시장	시장	시장	시장	시장
기간	자치구	동	합계	합계	합계	등록시장	등록시장	등록시장	인정시장	인정시장	인정시장	상점가	상점가	상점가
기간	자치구	동	개소	점포수	매장면적	개소	점포수	매장면적	개소	점포수	매장면적	개소	점포수	매장면적
2017	합계	합계	309	57,992	2,970,774	145	30,966	1,118,804	111	16,697	1,218,594	53	10,329	633,376
2017	종로구	소계	21	10,738	243,941	8	7,159	119,560	6	713	19,207	7	2,866	105,174
2017	종로구	사직동	1	112	18,187	-	-	-	-	-	-	1	112	18,187
2017	종로구	종로1.2.3.4가동	6	3,865	87,895	3	1,390	24,695	1	109	2,997	2	2,366	60,203
2017	종로구	종로5·6가동	8	6,015	99,224	3	5,468	83,435	4	526	11,789	1	21	4,000
2017	종로구	창신1동	3	397	27,043	1	150	9,739	-	-	-	2	247	17,304
2017	종로구	숭인2동	2	271	7,171	1	151	1,691	-	-	-	1	120	5,480
2017	종로구	청운효자동	1	78	4,421	-	-	-	1	78	4,421	-	-	-
2017	중구	소계	36	21,977	541,159	15	16,248	323,756	16	4,518	112,852	5	1,211	104,551
2017	중구	소공동	1	141	3,517	-	-	-	1	141	3,517	-	-	-
2017	중구	회현동	5	7,215	150,520	3	6,737	139,711	2	478	10,809	-	-	-
2017	중구	명동	5	463	11,863	-	-	-	4	403	10,638	1	60	1,225
2017	중구	광희동	7	4,338	97,583	4	3,767	82,264	2	471	8,617	1	100	6,702
2017	중구	을지로동	6	2,523	132,849	2	1,428	34,292	1	44	1,933	3	1,051	96,624
2017	중구	황학동	3	553	44,058	1	342	24,522	2	211	19,536	-	-	-
2017	중구	신당동	8	6,676	85,634	5	3,974	42,967	3	2,702	42,667	-	-	-
2017	중구	약수동	1	68	15,135	-	-	-	1	68	15,135	-	-	-
2017	용산구	소계	6	435	28,251	3	132	15,518	3	303	12,733	-	-	-
2017	용산구	후암동	1	50	1,141	-	-	-	1	50	1,141	-	-	-
2017	용산구	용문동	1	149	6,470	-	-	-	1	149	6,470	-	-	-
2017	용산구	이촌1동	1	104	5,122	-	-	-	1	104	5,122	-	-	-
2017	용산구	이태원1동	1	84	4,484	1	84	4,484	-	-	-	-	-	-
2017	용산구	보광동	1	17	3,352	1	17	3,352	-	-	-	-	-	-
2017	용산구	청파동	1	31	7,682	1	31	7,682	-	-	-	-	-	-
2017	성동구	소계	9	2,823	80,572	2	232	6,424	2	2,106	55,431	5	485	18,717
2017	성동구	왕십리2동	1	108	4,241	-	-	-	-	-	-	1	108	4,241
2017	성동구	마장동	1	1,920	26,313	-	-	-	1	1,920	26,313	-	-	-
2017	성동구	사근동	1	68	3,939	-	-	-	-	-	-	1	68	3,939
2017	성동구	행당1동	1	76	4,962	-	-	-	-	-	-	1	76	4,962
2017	성동구	성수1가1동	1	30	3,576	-	-	-	-	-	-	1	30	3,576
2017	성동구	성수2가1동	1	130	5,141	1	130	5,141	-	-	-	-	-	-
2017	성동구	용답동	1	186	29,118	-	-	-	1	186	29,118	-	-	-
2017	성동구	왕십리도선동	1	203	1,999	-	-	-	-	-	-	1	203	1,999
2017	성동구	금호2.3가동	1	102	1,283	1	102	1,283	-	-	-	-	-	-
2017	광진구	소계	12	652	83,187	7	140	21,359	5	512	61,828	-	-	-
2017	광진구	화양동	2	91	13,737	1	5	2,456	1	86	11,281	-	-	-
2017	광진구	중곡1동	3	172	19,580	2	29	4,896	1	143	14,684	-	-	-
2017	광진구	중곡4동	1	25	1,138	1	25	1,138	-	-	-	-	-	-
2017	광진구	자양1동	1	135	16,400	-	-	-	1	135	16,400	-	-	-
2017	광진구	자양2동	1	21	4,724	1	21	4,724	-	-	-	-	-	-
2017	광진구	자양4동	4	208	27,608	2	60	8,145	2	148	19,463	-	-	-
2017	동대문구	소계	20	2,536	323,915	9	653	50,259	11	1,883	273,656	-	-	-
2017	동대문구	회기동	1	64	5,921	-	-	-	1	64	5,921	-	-	-
2017	동대문구	휘경1동	1	78	3,033	1	78	3,033	-	-	-	-	-	-
2017	동대문구	청량리동	1	62	1,466	-	-	-	1	62	1,466	-	-	-
2017	동대문구	용신동	3	122	13,582	2	12	10,807	1	110	2,775	-	-	-
2017	동대문구	제기동	8	1,939	280,656	2	414	23,020	6	1,525	257,636	-	-	-
2017	동대문구	전농1동	1	80	4,279	1	80	4,279	-	-	-	-	-	-
2017	동대문구	답십리1동	1	32	4,046	1	32	4,046	-	-	-	-	-	-
2017	동대문구	답십리2동	2	122	5,858	-	-	-	2	122	5,858	-	-	-
2017	동대문구	장안2동	1	14	1,682	1	14	1,682	-	-	-	-	-	-
2017	동대문구	이문2동	1	23	3,392	1	23	3,392	-	-	-	-	-	-
2017	중랑구	소계	12	979	126,216	7	352	73,716	5	627	52,500	-	-	-
2017	중랑구	면목7동	2	119	17,542	1	24	3,978	1	95	13,564	-	-	-
2017	중랑구	상봉2동	1	150	4,500	-	-	-	1	150	4,500	-	-	-
2017	중랑구	중화2동	1	26	4,606	1	26	4,606	-	-	-	-	-	-
2017	중랑구	망우3동	1	8	7,154	1	8	7,154	-	-	-	-	-	-
2017	중랑구	신내1동	1	73	21,610	1	73	21,610	-	-	-	-	-	-
2017	중랑구	신내2동	1	130	31,129	1	130	31,129	-	-	-	-	-	-
2017	중랑구	면목본동	3	213	11,599	2	91	5,239	1	122	6,360	-	-	-
2017	중랑구	면목3.8동	1	138	5,807	-	-	-	1	138	5,807	-	-	-
2017	중랑구	망우본동	1	122	22,269	-	-	-	1	122	22,269	-	-	-
2017	성북구	소계	11	966	97,068	6	460	52,214	5	506	44,854	-	-	-
2017	성북구	돈암2동	1	328	25,215	1	328	25,215	-	-	-	-	-	-
2017	성북구	정릉2동	1	54	4,284	-	-	-	1	54	4,284	-	-	-
2017	성북구	정릉4동	1	116	9,954	-	-	-	1	116	9,954	-	-	-
2017	성북구	길음1동	1	67	11,425	1	67	11,425	-	-	-	-	-	-
2017	성북구	장위2동	2	156	13,277	1	26	3,678	1	130	9,599	-	-	-
2017	성북구	장위3동	1	14	1,914	1	14	1,914	-	-	-	-	-	-
2017	성북구	삼선동	1	118	13,867	-	-	-	1	118	13,867	-	-	-
2017	성북구	석관동	3	113	17,132	2	25	9,982	1	88	7,150	-	-	-
2017	강북구	소계	13	731	84,024	9	384	56,378	4	347	27,646	-	-	-
2017	강북구	번1동	1	41	2,903	1	41	2,903	-	-	-	-	-	-
2017	강북구	수유1동	4	293	38,355	2	128	27,837	2	165	10,518	-	-	-
2017	강북구	수유2동	1	13	2,122	1	13	2,122	-	-	-	-	-	-
2017	강북구	수유3동	3	128	13,253	2	40	7,749	1	88	5,504	-	-	-
2017	강북구	삼양동	1	32	7,097	1	32	7,097	-	-	-	-	-	-
2017	강북구	송천동	1	107	4,675	1	107	4,675	-	-	-	-	-	-
2017	강북구	인수동	2	117	15,619	1	23	3,995	1	94	11,624	-	-	-
