기간	자치구	동	합계	식품접객업	식품접객업	식품접객업	식품접객업	식품접객업	식품접객업	식품접객업	집단급식소	식품제조업 및 가공업	식품제조업 및 가공업	식품제조업 및 가공업	식품제조업 및 가공업	식품 운반·판매·기타업	식품 운반·판매·기타업	식품 운반·판매·기타업	식품 운반·판매·기타업	식품 운반·판매·기타업	건강기능식품 제조·수입·판매업	건강기능식품 제조·수입·판매업	건강기능식품 제조·수입·판매업
기간	자치구	동	합계	소계	휴게음식점	일반음식점	제과점	단란주점	유흥주점	위탁급식영업	집단급식소	소계	식품제조가공업	즉석판매제조가공업	식품첨가물 제조업	소계	식품운반업	식품판매업	식품보존업	용기·포장류제조업	소계	건강기능식품수입업	건강기능식품판매업
2016	합계	합계	212,707	156,447	28,726	117,853	3,752	2,786	2,137	1,193	6,053	14,146	2,244	11,879	23	10,867	288	10,486	5	88	25,194	…	25,194
2016	종로구	계	9,458	7,760	1,196	6,102	104	122	194	42	176	246	44	202	-	619	-	618	-	1	657	…	657
2016	종로구	사직동	1,277	1,086	147	901	10	10	10	8	22	27	4	23	-	66	-	66	-	-	76	…	76
2016	종로구	삼청동	368	318	81	231	5	-	-	1	6	2	-	2	-	30	-	30	-	-	12	…	12
2016	종로구	부암동	213	179	49	125	5	-	-	-	-	8	1	7	-	9	-	9	-	-	17	…	17
2016	종로구	평창동	248	191	44	134	5	5	2	1	7	9	-	9	-	19	-	19	-	-	22	…	22
2016	종로구	무악동	78	53	10	41	2	-	-	-	7	7	1	6	-	4	-	4	-	-	7	…	7
2016	종로구	교남동	185	131	24	97	4	1	4	1	4	6	1	5	-	32	-	32	-	-	12	…	12
2016	종로구	가회동	275	232	48	176	5	1	1	1	9	9	1	8	-	17	-	17	-	-	8	…	8
2016	종로구	종로1.2.3.4가동	3,146	2,639	393	2,054	30	80	72	10	30	43	11	32	-	217	-	217	-	-	217	…	217
2016	종로구	종로5·6가동	773	644	69	480	4	11	78	2	9	19	3	16	-	41	-	41	-	-	60	…	60
2016	종로구	이화동	502	422	75	335	8	-	-	4	14	13	4	9	-	21	-	20	-	1	32	…	32
2016	종로구	창신1동	462	345	37	291	1	4	12	-	7	34	4	30	-	27	-	27	-	-	49	…	49
2016	종로구	창신2동	108	92	10	76	6	-	-	-	1	2	-	2	-	5	-	5	-	-	8	…	8
2016	종로구	창신3동	34	26	5	19	1	-	1	-	2	-	-	-	-	1	-	1	-	-	5	…	5
2016	종로구	숭인1동	361	250	23	205	5	5	11	1	7	16	2	14	-	38	-	38	-	-	50	…	50
2016	종로구	숭인2동	155	114	20	85	-	5	3	1	1	5	1	4	-	14	-	14	-	-	21	…	21
2016	종로구	청운효자동	378	284	61	213	6	-	-	4	24	21	5	16	-	32	-	32	-	-	17	…	17
2016	종로구	혜화동	845	712	90	611	7	-	-	4	18	25	6	19	-	46	-	46	-	-	44	…	44
2016	종로구	기타	50	42	10	28	-	-	-	4	8	-	-	-	-	-	-	-	-	-	-	…	-
2016	중구	계	10,591	8,519	2,084	5,857	149	97	250	82	194	452	78	374	-	396	3	360	-	33	1,030	…	1,030
2016	중구	소공동	1,257	1,033	304	628	32	19	35	15	26	50	2	48	-	55	2	53	-	-	93	…	93
2016	중구	회현동	1,595	1,172	384	720	30	5	19	14	20	94	1	93	-	54	-	54	-	-	255	…	255
2016	중구	명동	2,102	1,785	478	1,208	26	12	36	25	48	24	4	20	-	52	1	51	-	-	193	…	193
2016	중구	필동	810	685	125	502	10	3	39	6	15	9	3	6	-	31	-	26	-	5	70	…	70
2016	중구	장충동	206	167	23	133	5	2	-	4	7	4	1	3	-	10	-	10	-	-	18	…	18
2016	중구	광희동	1,149	944	223	653	7	6	48	7	8	45	9	36	-	51	-	40	-	11	101	…	101
2016	중구	을지로동	815	697	129	507	4	11	46	-	8	14	4	10	-	49	-	36	-	13	47	…	47
2016	중구	신당5동	185	154	19	124	1	8	2	-	3	10	-	10	-	4	-	4	-	-	14	…	14
2016	중구	황학동	591	452	125	297	6	9	14	1	3	106	39	67	-	7	-	7	-	-	23	…	23
2016	중구	중림동	306	240	43	178	6	6	4	3	11	20	2	18	-	7	-	7	-	-	28	…	28
2016	중구	신당동	1,052	816	164	613	16	10	7	6	26	52	7	45	-	42	-	40	-	2	116	…	116
2016	중구	다산동	170	128	20	103	2	2	-	1	4	5	2	3	-	14	-	13	-	1	19	…	19
2016	중구	약수동	147	96	15	78	2	1	-	-	5	10	2	8	-	11	-	11	-	-	25	…	25
2016	중구	청구동	93	65	15	46	2	2	-	-	6	5	2	3	-	6	-	6	-	-	11	…	11
2016	중구	동화동	113	85	17	67	-	1	-	-	4	4	-	4	-	3	-	2	-	1	17	…	17
