기간	자치구별	재정자주도
2008	서울시 평균	93.6
2008	본청	92.0
2008	자치구 평균	77.1
2008	종로구	85.5
2008	중구	89.7
2008	용산구	87.7
2008	성동구	78.8
2008	광진구	75.8
2008	동대문구	74.8
2008	중랑구	67.8
2008	성북구	74.9
2008	강북구	71.0
2008	도봉구	74.9
2008	노원구	61.2
2008	은평구	71.6
2008	서대문구	78.2
2008	마포구	79.6
2008	양천구	74.9
2008	강서구	61.7
2008	구로구	74.5
2008	금천구	77.4
2008	영등포구	78.9
2008	동작구	76.4
2008	관악구	72.0
2008	서초구	88.1
2008	강남구	89.2
2008	송파구	80.1
2008	강동구	79.6
2009	서울시 평균	93.7
2009	본청	92.2
2009	자치구 평균	77.1
2009	종로구	87.3
2009	중구	88.2
2009	용산구	81.2
2009	성동구	79.2
2009	광진구	78.6
2009	동대문구	77.7
2009	중랑구	68.9
2009	성북구	76.1
2009	강북구	70.4
2009	도봉구	76.3
2009	노원구	62.4
2009	은평구	72.3
2009	서대문구	76.9
2009	마포구	79.2
2009	양천구	75.5
2009	강서구	61.3
2009	구로구	73.8
2009	금천구	71.8
2009	영등포구	78.8
2009	동작구	79.3
2009	관악구	69.5
2009	서초구	87.4
2009	강남구	91.4
2009	송파구	82.4
2009	강동구	79.7
2010	서울시 평균	87.2
2010	본청	84.2
2010	자치구 평균	73.8
2010	종로구	84.6
2010	중구	85.0
2010	용산구	80.0
2010	성동구	78.0
2010	광진구	73.2
2010	동대문구	76.7
2010	중랑구	66.1
2010	성북구	68.7
2010	강북구	66.6
2010	도봉구	72.0
2010	노원구	59.5
2010	은평구	68.8
2010	서대문구	71.8
2010	마포구	73.4
2010	양천구	69.9
2010	강서구	59.4
2010	구로구	71.0
2010	금천구	69.0
2010	영등포구	76.5
2010	동작구	74.8
2010	관악구	67.3
2010	서초구	88.0
2010	강남구	89.3
2010	송파구	79.4
2010	강동구	75.9
2011	서울시 평균	91.7
2011	본청	89.7
2011	자치구 평균	70.6
2011	종로구	81.9
2011	중구	81.9
2011	용산구	80.5
2011	성동구	76.4
2011	광진구	72.5
2011	동대문구	69.7
2011	중랑구	62.8
2011	성북구	66.9
2011	강북구	64.7
2011	도봉구	65.9
2011	노원구	58.4
2011	은평구	62.8
2011	서대문구	70.5
2011	마포구	73.1
2011	양천구	67.1
2011	강서구	59.0
2011	구로구	68.0
2011	금천구	68.5
2011	영등포구	72.1
2011	동작구	73.1
2011	관악구	64.5
2011	서초구	83.9
2011	강남구	84.8
2011	송파구	73.9
2011	강동구	71.9
2012	서울시 평균	91.5
2012	본청	89.6
2012	자치구 평균	69.2
2012	종로구	81.6
2012	중구	84.7
2012	용산구	77.8
2012	성동구	75.3
2012	광진구	70.5
2012	동대문구	68.2
2012	중랑구	61.0
2012	성북구	65.5
2012	강북구	62.2
2012	도봉구	64.8
2012	노원구	56.7
2012	은평구	59.3
2012	서대문구	70.7
2012	마포구	70.5
2012	양천구	66.8
2012	강서구	57.8
2012	구로구	66.4
2012	금천구	66.2
2012	영등포구	71.5
2012	동작구	69.9
2012	관악구	64.5
2012	서초구	84.3
2012	강남구	82.2
2012	송파구	74.3
2012	강동구	68.0
2013	서울시 평균	90.1
2013	본청	88.5
2013	자치구 평균	63.5
2013	종로구	76.8
2013	중구	79.3
2013	용산구	70.1
2013	성동구	71.4
2013	광진구	64.6
2013	동대문구	60.7
2013	중랑구	57.2
