기간	자치구	동	총 수급자	총 수급자	총 수급자	일반수급자	일반수급자	조건부 수급자	조건부 수급자	특례수급자	특례수급자	특례수급자	특례수급자	특례수급자	특례수급자	시설수급자	시설수급자	비고
기간	자치구	동	총 수급자	총 수급자	총 수급자	일반수급자	일반수급자	조건부 수급자	조건부 수급자	소계	소계	개인단위보장특례	개인단위보장특례	타법령에 의한 특례	타법령에 의한 특례	시설수급자	시설수급자	비고
기간	자치구	동	가구	시설	인원	가구	인원	가구	인원	가구	인원	가구	인원	가구	인원	가구	인원	비고
2008	서울시	서울시	115,407	157	205,059	112,113	188,311	…	…	3,294	4,940	1,168	1,628	2,126	3,312	157	11,808	-
2008	본청	본청	-	7	1,104	-	-	-	-	-	-	-	-	-	-	7	1,104	-
2008	종로구	소계	2,161	7	3,874	2,139	2,925	…	…	22	27	15	19	7	8	7	922	-
2008	종로구	사직동	69	-	73	69	73	…	…	-	-	-	-	-	-	-	-	-
2008	종로구	삼청동	32	-	39	31	38	…	…	1	1	1	1	-	-	-	-	-
2008	종로구	부암동	82	-	111	82	111	…	…	-	-	-	-	-	-	-	-	-
2008	종로구	평창동	76	-	125	76	125	…	…	-	-	-	-	-	-	-	-	-
2008	종로구	무악동	62	-	81	58	77	…	…	4	4	1	1	3	3	-	-	-
2008	종로구	교남동	93	-	126	93	126	…	…	-	-	-	-	-	-	-	-	-
2008	종로구	가회동	68	-	88	65	85	…	…	3	3	1	1	2	2	-	-	-
2008	종로구	종로1.2.3.4가동	403	-	426	400	423	…	…	3	3	3	3	-	-	-	-	-
2008	종로구	종로5·6가동	123	-	176	122	175	…	…	1	1	1	1	-	-	-	-	-
2008	종로구	이화동	107	-	178	105	176	…	…	2	2	2	2	-	-	-	-	-
2008	종로구	혜화동	61	-	80	61	80	…	…	-	-	-	-	-	-	-	-	-
2008	종로구	명륜3가동	31	-	43	30	42	…	…	1	1	-	-	1	1	-	-	-
2008	종로구	창신1동	220	-	278	219	276	…	…	1	2	-	-	1	2	-	-	-
2008	종로구	창신2동	223	-	353	220	346	…	…	3	7	3	7	-	-	-	-	-
2008	종로구	창신3동	83	-	162	83	162	…	…	-	-	-	-	-	-	-	-	-
2008	종로구	숭인1동	118	-	191	116	189	…	…	2	2	2	2	-	-	-	-	-
2008	종로구	숭인2동	189	-	231	189	231	…	…	-	-	-	-	-	-	-	-	-
2008	종로구	청운효자동	121	-	191	120	190	…	…	1	1	1	1	-	-	-	-	-
2008	종로구	기타	-	7	922	-	-	…	…	-	-	-	-	-	-	7	922	-
2008	중구	소계	2,678	2	3,993	2,524	3,727	…	…	154	203	14	15	140	188	2	63	-
2008	중구	소공동	5	-	5	5	5	…	…	-	-	-	-	-	-	-	-	-
2008	중구	회현동	394	-	430	389	423	…	…	5	7	-	-	5	7	-	-	-
2008	중구	명동	60	-	72	59	71	…	…	1	1	-	-	1	1	-	-	-
2008	중구	필동	59	1	131	56	71	…	…	3	3	-	-	3	3	1	57	-
2008	중구	장충동	41	-	52	40	51	…	…	1	1	-	-	1	1	-	-	-
2008	중구	광희동	104	-	139	96	126	…	…	8	13	1	2	7	11	-	-	-
2008	중구	을지로동	57	-	61	57	61	…	…	-	-	-	-	-	-	-	-	-
2008	중구	신당1동	157	-	225	144	209	…	…	13	16	1	1	12	15	-	-	-
2008	중구	신당2동	209	1	323	188	287	…	…	21	30	2	2	19	28	1	6	-
2008	중구	신당3동	457	-	828	419	785	…	…	38	43	7	7	31	36	-	-	-
2008	중구	신당4동	297	-	532	265	483	…	…	32	49	2	2	30	47	-	-	-
2008	중구	신당5동	188	-	260	184	256	…	…	4	4	1	1	3	3	-	-	-
2008	중구	신당6동	76	-	103	72	99	…	…	4	4	-	-	4	4	-	-	-
2008	중구	황학동	218	-	295	206	280	…	…	12	15	-	-	12	15	-	-	-
2008	중구	중림동	356	-	537	344	520	…	…	12	17	-	-	12	17	-	-	-
2008	중구	기타	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-
2008	용산구	소계	2,937	7	4,169	2,912	3,903	…	…	25	31	10	13	15	18	7	235	-
2008	용산구	후암동	282	-	418	278	412	…	…	4	6	…	…	…	…	-	-	-
2008	용산구	용산2가동	174	-	272	173	271	…	…	1	1	…	…	…	…	-	-	-
2008	용산구	남영동	619	-	705	618	703	…	…	1	2	…	…	…	…	-	-	-
2008	용산구	원효로2동	112	-	159	110	155	…	…	2	4	…	…	…	…	-	-	-
2008	용산구	효창동	76	-	114	76	114	…	…	-	-	…	…	…	…	-	-	-
2008	용산구	용문동	131	-	219	123	210	…	…	8	9	…	…	…	…	-	-	-
2008	용산구	이촌1동	24	-	27	24	27	…	…	-	-	…	…	…	…	-	-	-
2008	용산구	이촌2동	43	-	56	43	56	…	…	-	-	…	…	…	…	-	-	-
2008	용산구	이태원1동	113	-	141	113	141	…	…	-	-	…	…	…	…	-	-	-
2008	용산구	이태원2동	139	-	191	139	191	…	…	-	-	…	…	…	…	-	-	-
2008	용산구	서빙고동	68	-	99	68	99	…	…	-	-	…	…	…	…	-	-	-
2008	용산구	보광동	243	-	356	243	356	…	…	-	-	…	…	…	…	-	-	-
2008	용산구	청파동	326	-	460	319	453	…	…	7	7	…	…	…	…	-	-	-
2008	용산구	원효로1동	97	-	132	97	132	…	…	-	-	…	…	…	…	-	-	-
2008	용산구	한강로동	225	-	268	225	268	…	…	-	-	…	…	…	…	-	-	-
2008	용산구	한남동	240	-	317	238	315	…	…	2	2	…	…	…	…	-	-	-
2008	용산구	기타	25	7	235	25	-	…	…	-	-	…	…	…	…	7	235	-
2008	성동구	소계	3,792	1	6,519	3,716	6,355	…	…	76	114	52	81	24	33	1	50	-
2008	성동구	왕십리2동	232	-	420	226	411	…	…	6	9	4	7	2	2	-	-	-
2008	성동구	마장동	334	-	576	324	557	…	…	10	19	3	3	7	16	-	-	-
2008	성동구	사근동	88	-	143	88	143	…	…	-	-	-	-	-	-	-	-	-
2008	성동구	행당1동	207	-	335	199	327	…	…	8	8	5	5	3	3	-	-	-
2008	성동구	행당2동	217	-	425	215	422	…	…	2	3	1	2	1	1	-	-	-
2008	성동구	응봉동	70	-	129	70	129	…	…	-	-	-	-	-	-	-	-	-
2008	성동구	금호1가동	358	-	660	352	640	…	…	6	20	5	19	1	1	-	-	-
2008	성동구	금호4가동	154	-	259	151	255	…	…	3	4	2	3	1	1	-	-	-
2008	성동구	성수1가1동	196	-	372	193	369	…	…	3	3	2	2	1	1	-	-	-
2008	성동구	성수1가2동	137	-	216	135	214	…	…	2	2	2	2	-	-	-	-	-
2008	성동구	성수2가1동	289	-	452	285	445	…	…	4	7	4	7	-	-	-	-	-
2008	성동구	성수2가3동	74	-	110	74	110	…	…	-	-	-	-	-	-	-	-	-
2008	성동구	송정동	175	-	284	170	278	…	…	5	6	5	6	-	-	-	-	-
2008	성동구	용답동	309	-	501	305	497	…	…	4	4	2	2	2	2	-	-	-
2008	성동구	왕십리도선동	248	-	364	241	357	…	…	7	7	3	3	4	4	-	-	-
2008	성동구	금호2.3가동	360	-	593	348	575	…	…	12	18	11	17	1	1	-	-	-
2008	성동구	옥수동	344	-	630	340	626	…	…	4	4	3	3	1	1	-	-	-
2008	성동구	기타	-	1	50	-	-	…	…	-	-	-	-	-	-	1	50	-
2008	광진구	소계	3,225	-	5,185	3,170	5,120	…	…	55	65	35	45	20	20	-	-	-
2008	광진구	화양동	180	-	264	179	263	…	…	1	1	1	1	-	-	-	-	-
2008	광진구	군자동	245	-	362	243	360	…	…	2	2	2	2	-	-	-	-	-
2008	광진구	중곡1동	147	-	249	146	248	…	…	1	1	1	1	-	-	-	-	-
2008	광진구	중곡2동	213	-	400	212	399	…	…	1	1	1	1	-	-	-	-	-
2008	광진구	중곡3동	247	-	402	241	396	…	…	6	6	6	6	-	-	-	-	-
2008	광진구	중곡4동	435	-	720	433	717	…	…	2	3	2	3	-	-	-	-	-
2008	광진구	능동	103	-	163	103	163	…	…	-	-	-	-	-	-	-	-	-
2008	광진구	구의1동	189	-	317	188	316	…	…	1	1	1	1	-	-	-	-	-
2008	광진구	구의2동	278	-	453	274	448	…	…	4	5	4	5	-	-	-	-	-
2008	광진구	구의3동	96	-	143	94	141	…	…	2	2	2	2	-	-	-	-	-
2008	광진구	광장동	64	-	95	64	95	…	…	-	-	-	-	-	-	-	-	-
2008	광진구	자양1동	299	-	503	292	495	…	…	7	8	7	8	-	-	-	-	-
2008	광진구	자양2동	168	-	277	166	274	…	…	2	3	2	3	-	-	-	-	-
2008	광진구	자양3동	154	-	224	152	221	…	…	2	3	2	3	-	-	-	-	-
2008	광진구	자양4동	387	-	593	383	584	…	…	4	9	4	9	-	-	-	-	-
2008	광진구	기타	20	-	20	-	-	…	…	20	20	-	-	20	20	-	-	-
2008	동대문구	소계	5,361	7	8,487	5,255	8,194	…	…	106	141	50	71	56	70	7	152	-
2008	동대문구	신설동	143	-	189	143	189	…	…	-	-	-	-	-	-	-	-	-
2008	동대문구	제기1동	344	-	471	339	465	…	…	5	6	2	2	3	4	-	-	-
2008	동대문구	제기2동	246	1	363	246	354	…	…	-	-	-	-	-	-	1	9	-
2008	동대문구	전농1동	330	-	478	326	464	…	…	4	14	3	12	1	2	-	-	-
2008	동대문구	전농3동	245	-	444	243	442	…	…	2	2	2	2	-	-	-	-	-
2008	동대문구	답십리1동	202	-	355	199	352	…	…	3	3	2	2	1	1	-	-	-
2008	동대문구	답십리2동	258	-	507	253	500	…	…	5	7	3	5	2	2	-	-	-
2008	동대문구	답십리4동	216	-	350	212	346	…	…	4	4	-	-	4	4	-	-	-
2008	동대문구	장안1동	223	-	375	221	373	…	…	2	2	2	2	-	-	-	-	-
2008	동대문구	장안2동	80	4	260	78	126	…	…	2	5	2	5	-	-	4	129	-
2008	동대문구	장안3동	73	-	104	73	104	…	…	-	-	-	-	-	-	-	-	-
2008	동대문구	장안4동	170	-	281	169	280	…	…	1	1	1	1	-	-	-	-	-
2008	동대문구	회기동	87	-	141	87	141	…	…	-	-	-	-	-	-	-	-	-
2008	동대문구	휘경1동	237	-	366	233	362	…	…	4	4	3	3	1	1	-	-	-
2008	동대문구	휘경2동	127	-	219	126	218	…	…	1	1	1	1	-	-	-	-	-
2008	동대문구	이문1동	163	-	256	159	251	…	…	4	5	2	2	2	3	-	-	-
2008	동대문구	이문2동	217	-	350	213	344	…	…	4	6	4	6	-	-	-	-	-
2008	동대문구	이문3동	294	-	503	269	471	…	…	25	32	7	8	18	24	-	-	-
2008	동대문구	용두동	459	2	623	452	602	…	…	7	7	-	-	7	7	2	14	-
2008	동대문구	전농2동	495	-	739	490	734	…	…	5	5	5	5	-	-	-	-	-
2008	동대문구	답십리3동	229	-	379	227	375	…	…	2	4	1	3	1	1	-	-	-
2008	동대문구	청량리동	523	-	734	497	701	…	…	26	33	10	12	16	21	-	-	-
2008	동대문구	기타	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-
2008	중랑구	소계	5,859	3	10,388	5,686	9,769	…	…	173	210	77	80	96	130	3	409	-
2008	중랑구	면목2동	334	-	519	316	495	…	…	18	24	6	6	12	18	-	-	-
2008	중랑구	면목4동	595	-	1,126	575	1,102	…	…	20	24	13	13	7	11	-	-	-
2008	중랑구	면목5동	214	-	370	209	363	…	…	5	7	4	6	1	1	-	-	-
2008	중랑구	면목7동	237	-	358	235	356	…	…	2	2	2	2	-	-	-	-	-
2008	중랑구	상봉1동	656	-	1,463	648	1,453	…	…	8	10	7	7	1	3	-	-	-
2008	중랑구	상봉2동	248	-	360	247	359	…	…	1	1	1	1	-	-	-	-	-
2008	중랑구	중화1동	177	-	291	174	288	…	…	3	3	2	2	1	1	-	-	-
2008	중랑구	중화2동	555	-	843	549	836	…	…	6	7	1	1	5	6	-	-	-
2008	중랑구	묵1동	222	-	372	217	367	…	…	5	5	3	3	2	2	-	-	-
2008	중랑구	묵2동	243	-	381	238	375	…	…	5	6	2	2	3	4	-	-	-
2008	중랑구	망우3동	285	-	473	278	466	…	…	7	7	7	7	-	-	-	-	-
2008	중랑구	신내1동	124	1	402	120	176	…	…	4	4	4	4	-	-	1	222	-
2008	중랑구	신내2동	589	-	1,072	523	990	…	…	66	82	10	11	56	71	-	-	-
2008	중랑구	면목본동	526	-	849	519	839	…	…	7	10	4	4	3	6	-	-	-
2008	중랑구	면목3.8동	386	-	572	376	561	…	…	10	11	8	8	2	3	-	-	-
2008	중랑구	망우본동	468	1	914	462	743	…	…	6	7	3	3	3	4	1	164	-
2008	중랑구	기타	-	1	23	-	-	…	…	-	-	-	-	-	-	1	23	-
2008	성북구	소계	5,356	7	9,000	5,295	8,651	…	…	61	72	27	27	34	45	7	277	-
2008	성북구	돈암1동	158	-	269	151	259	…	…	7	10	2	2	5	8	-	-	-
2008	성북구	돈암2동	114	-	182	109	176	…	…	5	6	3	3	2	3	-	-	-
2008	성북구	안암동	157	1	346	157	267	…	…	-	-	-	-	-	-	1	79	-
2008	성북구	보문동	229	-	318	226	315	…	…	3	3	1	1	2	2	-	-	-
2008	성북구	정릉1동	126	-	201	125	200	…	…	1	1	1	1	-	-	-	-	-
2008	성북구	정릉2동	154	-	233	154	233	…	…	-	-	-	-	-	-	-	-	-
2008	성북구	정릉3동	298	1	524	294	451	…	…	4	5	1	1	3	4	1	68	-
