기간	자치구	동	시설합계	노인복지관	노인복지관	경로당	노인교실
기간	자치구	동	시설합계	시설수	종사자수	경로당	노인교실
2012	합계	합계	3,611	30	709	3,229	352
2012	종로구	소계	61	2	65	55	4
2012	종로구	사직동	2	-	-	1	1
2012	종로구	삼청동	2	-	-	2	-
2012	종로구	부암동	4	-	-	3	1
2012	종로구	평창동	5	-	-	4	1
2012	종로구	무악동	4	-	-	4	-
2012	종로구	교남동	2	-	-	2	-
2012	종로구	가회동	4	-	-	4	-
2012	종로구	종로1.2.3.4가동	4	1	39	2	1
2012	종로구	종로5·6가동	4	-	-	4	-
2012	종로구	이화동	6	1	26	5	-
2012	종로구	창신1동	3	-	-	3	-
2012	종로구	창신2동	3	-	-	3	-
2012	종로구	창신3동	4	-	-	4	-
2012	종로구	숭인1동	2	-	-	2	-
2012	종로구	숭인2동	5	-	-	5	-
2012	종로구	청운효자동	2	-	-	2	-
2012	종로구	혜화동	5	-	-	5	-
2012	중구	소계	53	1	23	49	3
2012	중구	소공동	1	-	-	1	-
2012	중구	회현동	3	-	-	3	-
2012	중구	명동	1	-	-	1	-
2012	중구	필동	1	-	-	1	-
2012	중구	장충동	2	-	-	2	-
2012	중구	광희동	3	-	-	3	-
2012	중구	을지로동	1	-	-	1	-
2012	중구	신당1동	3	-	-	2	1
2012	중구	신당2동	4	-	-	3	1
2012	중구	신당3동	6	1	23	5	-
2012	중구	신당4동	5	-	-	5	-
2012	중구	신당5동	9	-	-	8	1
2012	중구	신당6동	6	-	-	6	-
2012	중구	황학동	4	-	-	4	-
2012	중구	중림동	4	-	-	4	-
2012	용산구	소계	110	1	23	84	25
2012	용산구	후암동	6	-	-	4	2
2012	용산구	용산2가동	5	-	-	3	2
2012	용산구	남영동	7	-	-	3	4
2012	용산구	원효로2동	8	-	-	6	2
2012	용산구	효창동	5	-	-	4	1
2012	용산구	용문동	6	-	-	5	1
2012	용산구	이촌1동	9	-	-	7	2
2012	용산구	이촌2동	7	-	-	5	2
2012	용산구	이태원1동	6	-	-	4	2
2012	용산구	이태원2동	5	-	-	4	1
2012	용산구	서빙고동	5	-	-	5	-
2012	용산구	보광동	10	-	-	10	-
2012	용산구	청파동	6	-	-	4	2
2012	용산구	원효로1동	6	-	-	5	1
2012	용산구	한강로동	9	-	-	7	2
2012	용산구	한남동	10	1	23	8	1
2012	성동구	소계	155	1	23	142	12
2012	성동구	왕십리2동	15	-	-	13	2
2012	성동구	마장동	15	1	23	14	-
2012	성동구	사근동	6	-	-	6	-
2012	성동구	행당1동	6	-	-	6	-
2012	성동구	행당2동	12	-	-	10	2
2012	성동구	응봉동	9	-	-	9	-
2012	성동구	금호1가동	7	-	-	7	-
2012	성동구	금호4가동	7	-	-	7	-
2012	성동구	성수1가1동	12	-	-	11	1
2012	성동구	성수1가2동	8	-	-	8	-
2012	성동구	성수2가1동	7	-	-	7	-
2012	성동구	성수2가3동	10	-	-	9	1
2012	성동구	송정동	4	-	-	4	-
2012	성동구	용답동	5	-	-	4	1
2012	성동구	왕십리도선동	7	-	-	5	2
2012	성동구	금호2.3가동	10	-	-	8	2
2012	성동구	옥수동	15	-	-	14	1
2012	광진구	소계	103	1	23	92	10
2012	광진구	화양동	3	-	-	3	-
2012	광진구	군자동	5	1	23	4	-
2012	광진구	중곡1동	2	-	-	2	-
2012	광진구	중곡2동	3	-	-	2	1
2012	광진구	중곡3동	3	-	-	2	1
2012	광진구	중곡4동	4	-	-	4	-
2012	광진구	능동	1	-	-	1	-
2012	광진구	구의1동	4	-	-	4	-
2012	광진구	구의2동	5	-	-	4	1
2012	광진구	구의3동	10	-	-	9	1
2012	광진구	광장동	21	-	-	19	2
2012	광진구	자양1동	4	-	-	4	-
2012	광진구	자양2동	11	-	-	10	1
2012	광진구	자양3동	18	-	-	16	2
2012	광진구	자양4동	9	-	-	8	1
2012	동대문구	소계	146	1	23	126	19
2012	동대문구	회기동	4	-	-	3	1
2012	동대문구	휘경1동	6	-	-	6	-
2012	동대문구	휘경2동	11	-	-	10	1
2012	동대문구	청량리동	12	1	23	10	1
2012	동대문구	용신동	10	-	-	10	-
2012	동대문구	제기동	10	-	-	9	1
2012	동대문구	전농1동	7	-	-	7	-
2012	동대문구	전농2동	12	-	-	8	4
2012	동대문구	답십리1동	10	-	-	9	1
2012	동대문구	답십리2동	20	-	-	17	3
2012	동대문구	장안1동	12	-	-	9	3
2012	동대문구	장안2동	12	-	-	10	2
2012	동대문구	이문1동	10	-	-	9	1
2012	동대문구	이문2동	10	-	-	9	1
2012	중랑구	소계	128	2	46	118	8
2012	중랑구	면목2동	6	1	23	5	-
2012	중랑구	면목4동	7	-	-	7	-
2012	중랑구	면목5동	3	-	-	3	-
2012	중랑구	면목7동	11	-	-	11	-
2012	중랑구	상봉1동	11	-	-	10	1
2012	중랑구	상봉2동	4	-	-	2	2
2012	중랑구	중화1동	3	-	-	3	-
2012	중랑구	중화2동	5	-	-	3	2
2012	중랑구	묵1동	13	-	-	13	-
2012	중랑구	묵2동	7	-	-	6	1
2012	중랑구	망우3동	2	-	-	2	-
2012	중랑구	신내1동	19	-	-	19	-
2012	중랑구	신내2동	9	1	23	8	-
2012	중랑구	면목본동	7	-	-	7	-
2012	중랑구	면목3.8동	9	-	-	8	1
2012	중랑구	망우본동	12	-	-	11	1
2012	성북구	소계	158	1	23	150	7
2012	성북구	돈암1동	7	-	-	7	-
2012	성북구	돈암2동	8	-	-	8	-
2012	성북구	안암동	6	-	-	5	1
2012	성북구	보문동	6	-	-	6	-
2012	성북구	정릉1동	10	-	-	10	-
2012	성북구	정릉2동	12	-	-	12	-
2012	성북구	정릉3동	4	-	-	4	-
2012	성북구	정릉4동	14	-	-	12	2
2012	성북구	길음1동	14	-	-	14	-
2012	성북구	길음2동	5	-	-	5	-
2012	성북구	월곡1동	9	-	-	9	-
2012	성북구	월곡2동	9	-	-	9	-
2012	성북구	장위1동	3	-	-	3	-
2012	성북구	장위2동	2	-	-	2	-
2012	성북구	장위3동	5	-	-	5	-
2012	성북구	성북동	7	-	-	5	2
2012	성북구	삼선동	7	-	-	7	-
2012	성북구	동선동	5	-	-	4	1
2012	성북구	종암동	18	1	23	16	1
2012	성북구	석관동	7	-	-	7	-
