기간	자치구	동	사업체수	종사자수	평균종사자	사업체밀도	종사자밀도(A)	인구밀도(B)	종사자밀도비(A/B*100)
2012	합계	합계	780,887	4,541,393	5.8	1,290.3	7,504.2	17,255.2	43.5
2012	종로구	소계	39,486	232,857	5.9	1,651.6	9,740.1	7,242.5	134.5
2012	종로구	사직동	3,437	45,313	13.2	2,794.3	36,839.8	8,517.9	432.5
2012	종로구	삼청동	611	4,646	7.6	410.1	3,118.1	2,338.9	133.3
2012	종로구	부암동	502	3,432	6.8	221.1	1,511.9	5,056.4	29.9
2012	종로구	평창동	636	2,499	3.9	71.7	281.7	2,234.0	12.6
2012	종로구	무악동	610	1,489	2.4	1,694.4	4,136.1	23,883.3	17.3
2012	종로구	교남동	550	4,477	8.1	1,571.4	12,791.4	23,834.3	53.7
2012	종로구	가회동	547	9,661	17.7	1,013.0	17,890.7	10,222.2	175
2012	종로구	종로1.2.3.4가동	15,825	92,396	5.8	6,705.5	39,150.8	3,806.8	1,028.5
2012	종로구	종로5·6가동	7,492	24,594	3.3	12,486.7	40,990.0	10,730.0	382
2012	종로구	이화동	1,077	13,368	12.4	1,380.8	17,138.5	12,206.4	140.4
2012	종로구	창신1동	2,257	5,799	2.6	7,280.6	18,706.5	24,738.7	75.6
2012	종로구	창신2동	860	2,055	2.4	3,307.7	7,903.8	46,092.3	17.1
2012	종로구	창신3동	274	728	2.7	1,191.3	3,165.2	36,965.2	8.6
2012	종로구	숭인1동	530	1,744	3.3	2,304.3	7,582.6	33,443.5	22.7
2012	종로구	숭인2동	1,814	6,278	3.5	5,182.9	17,937.1	27,314.3	65.7
2012	종로구	청운효자동	794	5,234	6.6	308.9	2,036.6	5,921.8	34.4
2012	종로구	혜화동	1,670	9,144	5.5	1,504.5	8,237.8	17,894.6	46
2012	중구	소계	64,307	386,637	6	6,455.8	38,814.9	14,135.8	274.6
2012	중구	소공동	3,688	61,763	16.7	3,882.1	65,013.7	1,856.8	3,501.3
2012	중구	회현동	9,676	50,265	5.2	11,519.0	59,839.3	7,834.5	763.8
2012	중구	명동	7,194	112,011	15.6	7,266.7	113,142.4	4,154.5	2,723.3
2012	중구	필동	3,261	24,463	7.5	2,860.5	21,458.8	4,376.3	490.3
2012	중구	장충동	864	8,835	10.2	635.3	6,496.3	4,550.7	142.8
2012	중구	광희동	10,151	38,188	3.8	13,717.6	51,605.4	8,729.7	591.1
2012	중구	을지로동	9,689	27,060	2.8	16,148.3	45,100.0	3,456.7	1,304.7
2012	중구	신당1동	11,868	26,506	2.2	21,578.2	48,192.7	16,954.5	284.2
2012	중구	신당2동	1,175	9,590	8.2	2,303.9	18,803.9	32,841.2	57.3
2012	중구	신당3동	821	3,008	3.7	1,710.4	6,266.7	40,912.5	15.3
2012	중구	신당4동	703	3,535	5	2,067.6	10,397.1	47,117.6	22.1
2012	중구	신당5동	1,064	3,198	3	2,728.2	8,200.0	27,417.9	29.9
2012	중구	신당6동	882	3,590	4.1	3,392.3	13,807.7	46,357.7	29.8
2012	중구	황학동	1,985	5,951	3	6,015.2	18,033.3	39,666.7	45.5
2012	중구	중림동	1,286	8,674	6.7	2,679.2	18,070.8	23,060.4	78.4
2012	용산구	소계	20,004	120,441	6	914.7	5,507.4	11,673.9	47.2
2012	용산구	후암동	802	5,240	6.5	932.6	6,093.0	23,736.0	25.7
2012	용산구	용산2가동	484	2,783	5.8	246.9	1,419.9	7,045.9	20.2
2012	용산구	남영동	1,466	15,775	10.8	1,231.9	13,256.3	6,901.7	192.1
2012	용산구	원효로2동	1,173	6,786	5.8	1,652.1	9,557.7	22,433.8	42.6
2012	용산구	효창동	499	2,577	5.2	1,134.1	5,856.8	26,020.5	22.5
2012	용산구	용문동	666	1,662	2.5	2,378.6	5,935.7	46,878.6	12.7
2012	용산구	이촌1동	815	3,553	4.4	285	1,242.3	9,931.8	12.5
2012	용산구	이촌2동	345	813	2.4	282.8	666.4	8,497.5	7.8
2012	용산구	이태원1동	1,625	7,153	4.4	2,850.9	12,549.1	17,510.5	71.7
2012	용산구	이태원2동	557	2,046	3.7	647.7	2,379.1	13,811.6	17.2
2012	용산구	서빙고동	383	4,161	10.9	136.8	1,486.1	5,162.9	28.8
2012	용산구	보광동	806	1,774	2.2	1,135.2	2,498.6	25,860.6	9.7
2012	용산구	청파동	1,813	9,725	5.4	1,992.3	10,686.8	26,316.5	40.6
2012	용산구	원효로1동	1,695	7,383	4.4	2,872.9	12,513.6	21,759.3	57.5
2012	용산구	한강로동	5,172	33,316	6.4	1,783.4	11,488.3	5,706.2	201.3
2012	용산구	한남동	1,703	15,694	9.2	565.8	5,214.0	8,496.0	61.4
2012	성동구	소계	24,250	139,994	5.8	1,439.4	8,309.4	18,214.3	45.6
2012	성동구	왕십리2동	750	2,162	2.9	1,829.3	5,273.2	42,495.1	12.4
2012	성동구	마장동	3,140	12,260	3.9	2,962.3	11,566.0	24,323.6	47.6
2012	성동구	사근동	998	10,177	10.2	899.1	9,168.5	10,539.6	87
2012	성동구	행당1동	1,352	8,227	6.1	2,291.5	13,944.1	30,727.1	45.4
2012	성동구	행당2동	533	1,872	3.5	1,269.0	4,457.1	64,359.5	6.9
2012	성동구	응봉동	376	1,018	2.7	659.6	1,786.0	30,840.4	5.8
2012	성동구	금호1가동	596	1,814	3	1,295.7	3,943.5	34,971.7	11.3
2012	성동구	금호4가동	626	1,971	3.1	745.2	2,346.4	17,876.2	13.1
2012	성동구	성수1가1동	1,300	5,617	4.3	656.6	2,836.9	9,387.9	30.2
2012	성동구	성수1가2동	1,749	11,166	6.4	1,965.2	12,546.1	21,242.7	59.1
2012	성동구	성수2가1동	2,207	13,272	6	1,870.3	11,247.5	18,161.0	61.9
2012	성동구	성수2가3동	4,660	42,946	9.2	4,524.3	41,695.1	12,077.7	345.2
2012	성동구	송정동	716	2,581	3.6	1,052.9	3,795.6	18,707.4	20.3
2012	성동구	용답동	2,019	11,464	5.7	870.3	4,941.4	7,565.1	65.3
2012	성동구	왕십리도선동	1,579	8,455	5.4	2,193.1	11,743.1	18,263.9	64.3
2012	성동구	금호2.3가동	939	2,427	2.6	1,467.2	3,792.2	36,325.0	10.4
2012	성동구	옥수동	710	2,565	3.6	364.1	1,315.4	10,297.9	12.8
2012	광진구	소계	24,828	117,652	4.7	1,455.0	6,894.9	22,519.9	30.6
2012	광진구	화양동	2,441	14,551	6	2,104.3	12,544.0	20,681.0	60.7
2012	광진구	군자동	1,627	7,657	4.7	2,198.6	10,347.3	30,036.5	34.4
2012	광진구	중곡1동	1,631	6,112	3.7	2,630.6	9,858.1	27,812.9	35.4
2012	광진구	중곡2동	1,725	6,034	3.5	3,136.4	10,970.9	42,243.6	26
2012	광진구	중곡3동	1,374	4,205	3.1	2,290.0	7,008.3	31,843.3	22
2012	광진구	중곡4동	1,550	4,804	3.1	668.1	2,070.7	13,914.2	14.9
