기간	자치구	동	합계	식품접객업	식품접객업	식품접객업	식품접객업	식품접객업	식품접객업	식품접객업	집단급식소	식품제조업 및 가공업	식품제조업 및 가공업	식품제조업 및 가공업	식품제조업 및 가공업	식품 운반·판매·기타업	식품 운반·판매·기타업	식품 운반·판매·기타업	식품 운반·판매·기타업	식품 운반·판매·기타업	건강기능식품 제조·수입·판매업	건강기능식품 제조·수입·판매업	건강기능식품 제조·수입·판매업	건강기능식품 제조·수입·판매업
기간	자치구	동	합계	소계	휴게음식점	일반음식점	제과점	단란주점	유흥주점	위탁급식영업	집단급식소	소계	식품제조가공업	즉석판매제조가공업	식품첨가물 제조업	소계	식품운반업	식품판매업	식품보존업	용기·포장류제조업	소계	건강기능식품수입업	건강기능식품판매업	건강기능식품제조업
2012	합계	합계	213,228	144,341	20,373	114,004	3,362	3,133	2,369	1,100	5,251	15,102	2,061	13,024	17	24,362	307	23,948	12	95	24,172	1,832	22,340	-
2012	종로구	소계	9,876	7,909	1,007	6,358	117	141	230	56	169	216	30	186	-	1,002	-	1,001	-	1	580	66	514	-
2012	종로구	사직동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	종로구	삼청동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	종로구	부암동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	종로구	평창동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	종로구	무악동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	종로구	교남동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	종로구	가회동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	종로구	종로1.2.3.4가동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	종로구	종로5·6가동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	종로구	이화동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	종로구	창신1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	종로구	창신2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	종로구	창신3동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	종로구	숭인1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	종로구	숭인2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	종로구	청운효자동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	종로구	혜화동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	중구	소계	10,580	7,723	1,660	5,473	136	105	266	83	178	477	70	407	-	1,242	4	1,204	-	34	960	42	918	-
2012	중구	소공동	1,211	923	235	590	31	21	37	9	20	59	4	55	-	125	1	124	-	-	84	3	81	-
2012	중구	회현동	1,741	1,172	403	694	29	7	20	19	21	95	2	93	-	199	1	198	-	-	254	5	249	-
2012	중구	명동	2,036	1,619	382	1,135	21	15	40	26	43	34	7	27	-	173	1	172	-	-	167	6	161	-
2012	중구	필동	795	623	95	474	7	3	37	7	16	6	3	3	-	91	-	86	-	5	59	5	54	-
2012	중구	장충동	223	145	14	122	4	2	-	3	6	5	2	3	-	44	-	43	-	1	23	-	23	-
2012	중구	광희동	1,100	805	154	579	8	7	53	4	7	34	3	31	-	169	1	154	-	14	85	6	79	-
2012	중구	을지로동	854	633	110	459	2	11	50	1	7	9	1	8	-	154	-	144	-	10	51	8	43	-
2012	중구	신당1동	935	709	123	548	16	9	7	6	16	54	3	51	-	79	-	76	-	3	77	4	73	-
2012	중구	신당2동	193	113	14	94	3	1	-	1	5	11	6	5	-	41	-	41	-	-	23	-	23	-
2012	중구	신당3동	182	96	11	82	1	2	-	-	7	15	2	13	-	31	-	31	-	-	33	-	33	-
2012	중구	신당4동	119	67	9	53	3	2	-	-	7	4	1	3	-	21	-	21	-	-	20	-	20	-
2012	중구	신당5동	245	173	22	138	1	8	3	1	5	15	3	12	-	31	-	31	-	-	21	-	21	-
2012	중구	신당6동	129	88	18	68	-	2	-	-	4	4	-	4	-	15	-	14	-	1	18	-	18	-
2012	중구	황학동	513	335	39	266	7	9	13	1	3	116	31	85	-	41	-	41	-	-	18	5	13	-
2012	중구	중림동	304	222	31	171	3	6	6	5	11	16	2	14	-	28	-	28	-	-	27	-	27	-
2012	용산구	소계	5,617	4,006	571	3,167	69	129	37	33	141	295	41	254	-	649	2	643	-	4	526	45	481	-
