기간	자치구	동	전체평균연령	남자	여자
2016.1/4	합계	합계	40.8	39.9	41.7
2016.1/4	종로구	소계	43	42.1	43.9
2016.1/4	종로구	사직동	43.4	42.4	44.2
2016.1/4	종로구	삼청동	46.1	44.8	47.2
2016.1/4	종로구	부암동	42.9	41.3	44.4
2016.1/4	종로구	평창동	42.3	40.7	43.8
2016.1/4	종로구	무악동	41	40.7	41.4
2016.1/4	종로구	교남동	44.4	43.1	45.7
2016.1/4	종로구	가회동	44.2	43	45.2
2016.1/4	종로구	종로1.2.3.4가동	49.1	49.5	48.6
2016.1/4	종로구	종로5·6가동	45.4	44.2	46.9
2016.1/4	종로구	이화동	41.5	41	42
2016.1/4	종로구	창신1동	46.3	45.9	46.8
2016.1/4	종로구	창신2동	44.4	43.3	45.5
2016.1/4	종로구	창신3동	42	40.8	43.1
2016.1/4	종로구	숭인1동	43	42	44
2016.1/4	종로구	숭인2동	44	44	43.9
2016.1/4	종로구	청운효자동	41.1	39.4	42.6
2016.1/4	종로구	혜화동	40	38.7	41.1
2016.1/4	중구	소계	43.5	42.6	44.4
2016.1/4	중구	소공동	42.4	42.7	42
2016.1/4	중구	회현동	49.8	50.3	49
2016.1/4	중구	명동	48.3	46.1	50
2016.1/4	중구	필동	44.6	43.2	46
2016.1/4	중구	장충동	40.6	39.3	42
2016.1/4	중구	광희동	47.8	47.5	48.1
2016.1/4	중구	을지로동	51.7	51.8	51.6
2016.1/4	중구	신당5동	42.7	41.5	43.9
2016.1/4	중구	황학동	42.1	41.6	42.5
2016.1/4	중구	중림동	44.1	43.7	44.5
2016.1/4	중구	신당동	44	43.2	44.8
2016.1/4	중구	다산동	42.5	41.2	43.8
2016.1/4	중구	약수동	43.4	42	44.6
2016.1/4	중구	청구동	42.4	41	43.8
2016.1/4	중구	동화동	41.5	40.5	42.4
2016.1/4	용산구	소계	42.4	41.3	43.4
2016.1/4	용산구	후암동	42.1	40.6	43.6
2016.1/4	용산구	용산2가동	43.5	41.8	45
2016.1/4	용산구	남영동	47.2	47.8	46.4
2016.1/4	용산구	원효로2동	41	40.5	41.4
2016.1/4	용산구	효창동	41.3	39.9	42.7
