기간	자치구	동	총 수급자	총 수급자	총 수급자	일반수급자	일반수급자	조건부 수급자	조건부 수급자	특례수급자	특례수급자	시설수급자	시설수급자
기간	자치구	동	가구	시설	인원	가구	인원	가구	인원	가구	인원	시설	인원
2018	합계	합계	197,278	604	290,222	169,271	227,396	23,360	44,271	4,647	6,324	604	12,231
2018	본청	본청	-	8	880	-	-	-	-	-	-	8	880
2018	종로구	소계	3,109	14	4,450	2,821	3,403	216	318	72	80	14	649
2018	종로구	사직동	99	-	121	96	116	3	5	-	-	-	-
2018	종로구	삼청동	34	-	48	25	31	7	14	2	3	-	-
2018	종로구	부암동	104	-	141	91	119	12	21	1	1	-	-
2018	종로구	평창동	94	-	124	84	106	7	13	3	5	-	-
2018	종로구	무악동	101	-	137	95	129	4	6	2	2	-	-
2018	종로구	교남동	131	-	169	115	146	10	17	6	6	-	-
2018	종로구	가회동	45	-	60	40	51	4	8	1	1	-	-
2018	종로구	종로1.2.3.4가동	627	-	640	558	572	49	48	20	20	-	-
2018	종로구	종로5·6가동	172	-	216	161	199	7	12	4	5	-	-
2018	종로구	이화동	150	-	190	136	168	10	18	4	4	-	-
2018	종로구	창신1동	332	-	364	306	338	19	19	7	7	-	-
2018	종로구	창신2동	280	-	367	259	333	16	29	5	5	-	-
2018	종로구	창신3동	118	-	186	109	171	5	11	4	4	-	-
2018	종로구	숭인1동	173	-	248	160	221	13	27	-	-	-	-
2018	종로구	숭인2동	340	-	368	304	331	29	30	7	7	-	-
2018	종로구	청운효자동	130	-	174	119	155	9	16	2	3	-	-
2018	종로구	혜화동	175	-	244	159	213	12	24	4	7	-	-
2018	종로구	기타	4	14	653	4	4	-	-	-	-	14	649
2018	중구	소계	3,360	4	4,266	3,087	3,744	209	333	64	76	4	113
2018	중구	소공동	24	-	24	21	21	3	3	-	-	-	-
2018	중구	회현동	498	-	522	458	478	33	37	7	7	-	-
2018	중구	명동	52	-	53	49	50	3	3	-	-	-	-
2018	중구	필동	66	-	76	64	72	2	4	-	-	-	-
2018	중구	장충동	67	-	80	61	72	3	5	3	3	-	-
2018	중구	광희동	114	-	144	102	128	10	14	2	2	-	-
2018	중구	을지로동	81	-	85	68	71	10	11	3	3	-	-
2018	중구	신당5동	243	-	302	232	289	6	8	5	5	-	-
2018	중구	황학동	309	-	379	278	333	23	36	8	10	-	-
2018	중구	중림동	409	-	497	377	454	22	31	10	12	-	-
2018	중구	신당동	211	-	252	198	231	9	17	4	4	-	-
2018	중구	다산동	253	-	357	232	317	16	32	5	8	-	-
2018	중구	약수동	510	-	688	463	594	41	86	6	8	-	-
2018	중구	청구동	419	-	543	391	499	18	32	10	12	-	-
2018	중구	동화동	100	-	149	90	134	9	13	1	2	-	-
2018	중구	기타	4	4	115	3	1	1	1	-	-	4	113
2018	용산구	소계	4,910	11	6,515	4,298	5,400	446	663	166	195	11	257
2018	용산구	후암동	509	-	692	465	626	33	50	11	16	-	-
2018	용산구	용산2가동	273	-	406	230	340	23	40	20	26	-	-
2018	용산구	남영동	1,133	-	1,174	980	1,018	136	139	17	17	-	-
2018	용산구	원효로2동	259	-	347	230	300	19	34	10	13	-	-
2018	용산구	효창동	78	-	112	68	92	8	18	2	2	-	-
2018	용산구	용문동	214	-	296	202	277	9	16	3	3	-	-
2018	용산구	이촌1동	35	-	46	32	41	3	5	-	-	-	-
2018	용산구	이촌2동	71	-	94	69	89	1	4	1	1	-	-
2018	용산구	이태원1동	116	-	152	99	129	8	12	9	11	-	-
2018	용산구	이태원2동	128	-	171	113	147	7	16	8	8	-	-
2018	용산구	서빙고동	161	-	238	147	220	9	11	5	7	-	-
2018	용산구	보광동	545	-	737	456	608	65	100	24	29	-	-
2018	용산구	청파동	545	-	737	460	585	56	119	29	33	-	-
2018	용산구	원효로1동	187	-	241	154	199	21	30	12	12	-	-
2018	용산구	한강로동	280	-	345	259	319	18	22	3	4	-	-
2018	용산구	한남동	376	-	470	334	410	30	47	12	13	-	-
2018	용산구	기타	-	11	257	-	-	-	-	-	-	11	257
2018	성동구	소계	5,583	10	7,839	4,565	5,924	885	1,633	133	168	10	114
2018	성동구	왕십리2동	295	-	410	238	320	48	79	9	11	-	-
2018	성동구	마장동	420	-	634	339	489	66	125	15	20	-	-
2018	성동구	사근동	121	-	162	98	125	17	28	6	9	-	-
2018	성동구	행당1동	257	-	352	207	264	47	84	3	4	-	-
2018	성동구	행당2동	415	-	609	350	483	56	113	9	13	-	-
2018	성동구	응봉동	117	-	162	96	125	17	33	4	4	-	-
2018	성동구	금호1가동	407	-	558	336	423	54	108	17	27	-	-
2018	성동구	금호4가동	240	-	332	206	264	31	64	3	4	-	-
2018	성동구	성수1가1동	284	-	411	224	293	54	110	6	8	-	-
2018	성동구	성수1가2동	177	-	254	148	196	26	55	3	3	-	-
2018	성동구	성수2가1동	443	-	585	363	439	73	138	7	8	-	-
2018	성동구	성수2가3동	154	-	179	131	149	22	29	1	1	-	-
2018	성동구	송정동	382	-	531	300	399	77	126	5	6	-	-
2018	성동구	용답동	594	-	760	466	557	111	184	17	19	-	-
2018	성동구	왕십리도선동	557	-	708	479	582	70	117	8	9	-	-
2018	성동구	금호2.3가동	451	-	663	366	508	78	148	7	7	-	-
2018	성동구	옥수동	265	-	412	215	306	38	92	12	14	-	-
2018	성동구	기타	4	10	117	3	2	-	-	1	1	10	114
2018	광진구	소계	6,102	19	8,720	5,321	7,189	674	1,304	107	148	19	79
2018	광진구	화양동	267	-	335	240	295	25	38	2	2	-	-
2018	광진구	군자동	464	-	609	399	495	63	112	2	2	-	-
