기간	자치구	동	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원
기간	자치구	동	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장
2016	합계	합계	270,231	74,851	2,327	7,035	117,842	51,025	903	16,248	236,550	67,240	2,005	5,848	102,575	46,284	798	11,800
2016	종로구	소계	4,939	1,971	119	149	759	130	-	1,811	3,901	1,668	86	126	609	89	-	1,323
2016	종로구	사직동	818	101	42	-	58	-	-	617	600	93	33	-	49	-	-	425
2016	종로구	삼청동	32	32	-	-	-	-	-	-	31	31	-	-	-	-	-	-
2016	종로구	부암동	145	128	-	-	-	-	-	17	130	116	-	-	-	-	-	14
2016	종로구	평창동	195	123	-	-	33	39	-	-	189	118	-	-	32	39	-	-
2016	종로구	무악동	250	175	-	-	55	20	-	-	204	148	-	-	43	13	-	-
2016	종로구	교남동	202	163	-	-	39	-	-	-	165	130	-	-	35	-	-	-
2016	종로구	가회동	227	49	-	-	80	-	-	98	179	48	-	-	69	-	-	62
2016	종로구	종로1.2.3.4가동	453	-	-	100	-	-	-	353	357	-	-	100	-	-	-	257
2016	종로구	종로5·6가동	286	35	-	-	153	-	-	98	173	-	-	-	126	-	-	47
2016	종로구	이화동	274	132	-	-	39	-	-	103	219	106	-	-	37	-	-	76
2016	종로구	창신1동	180	83	77	-	-	20	-	-	146	73	53	-	-	20	-	-
2016	종로구	창신2동	394	281	-	49	44	20	-	-	271	213	-	26	23	9	-	-
2016	종로구	창신3동	116	96	-	-	-	20	-	-	71	71	-	-	-	-	-	-
2016	종로구	숭인1동	218	117	-	-	101	-	-	-	171	110	-	-	61	-	-	-
2016	종로구	숭인2동	102	52	-	-	-	11	-	39	81	48	-	-	-	8	-	25
2016	종로구	청운효자동	695	170	-	-	39	-	-	486	596	142	-	-	37	-	-	417
2016	종로구	혜화동	352	234	-	-	118	-	-	-	318	221	-	-	97	-	-	-
2016	중구	소계	4,136	1,766	-	378	458	283	-	1,251	3,446	1,589	-	323	420	274	-	840
2016	중구	소공동	526	-	-	-	-	-	-	526	371	-	-	-	-	-	-	371
2016	중구	회현동	239	87	-	-	-	-	-	152	141	83	-	-	-	-	-	58
2016	중구	명동	404	-	-	-	-	-	-	404	308	-	-	-	-	-	-	308
2016	중구	필동	128	79	-	-	-	-	-	49	69	60	-	-	-	-	-	9
2016	중구	장충동	116	67	-	49	-	-	-	-	102	57	-	45	-	-	-	-
2016	중구	광희동	219	99	-	-	-	-	-	120	179	85	-	-	-	-	-	94
2016	중구	을지로동	131	52	-	79	-	-	-	-	77	25	-	52	-	-	-	-
