기간	자치구	동	사업체수	종사자수	평균종사자	사업체밀도	종사자밀도(A)	인구밀도(B)	종사자밀도비(A/B*100)
2016	합계	합계	820,156	5,079,451	6.19	1,355	8,393	16,861	49.78
2016	종로구	소계	40,664	268,309	6.6	1,701	11,220	6,771	165.7
2016	종로구	사직동	3,489	53,850	15.43	2,837	43,780	8,141	537.8
2016	종로구	삼청동	751	4,823	6.42	504	3,237	2,093	154.68
2016	종로구	부암동	575	3,690	6.42	253	1,626	4,865	33.41
2016	종로구	평창동	708	2,990	4.22	80	337	2,194	15.37
2016	종로구	무악동	573	1,472	2.57	1,592	4,089	23,656	17.29
2016	종로구	교남동	302	3,612	11.96	863	10,320	13,566	76.07
2016	종로구	가회동	770	14,215	18.46	1,426	26,324	8,852	297.38
2016	종로구	종로1.2.3.4가동	15,970	110,743	6.93	6,796	47,125	3,714	###.##
2016	종로구	종로5·6가동	7,691	23,392	3.04	12,818	38,987	9,625	405.06
2016	종로구	이화동	1,248	16,032	12.85	1,600	20,554	11,445	179.59
2016	종로구	창신1동	2,273	6,340	2.79	7,332	20,452	21,258	96.21
2016	종로구	창신2동	872	2,429	2.79	3,354	9,342	41,158	22.7
2016	종로구	창신3동	283	874	3.09	1,230	3,800	33,709	11.27
2016	종로구	숭인1동	533	1,587	2.98	2,317	6,900	30,909	22.32
2016	종로구	숭인2동	1,881	6,819	3.63	5,374	19,483	28,994	67.2
2016	종로구	청운효자동	1,009	6,415	6.36	393	2,496	5,491	45.46
2016	종로구	혜화동	1,736	9,026	5.2	1,550	8,059	18,219	44.23
2016	중구	소계	63,640	402,892	6.33	6,389	40,447	13,494	299.75
2016	중구	소공동	3,929	65,041	16.55	4,136	68,464	2,733	###.##
2016	중구	회현동	9,697	52,540	5.42	11,544	62,548	7,295	857.38
2016	중구	명동	6,778	115,866	17.09	6,846	117,036	3,560	###.##
2016	중구	필동	3,159	24,075	7.62	2,771	21,118	4,491	470.21
2016	중구	장충동	911	9,874	10.84	670	7,260	4,298	168.93
2016	중구	광희동	9,380	38,813	4.14	12,676	52,450	8,150	643.56
2016	중구	을지로동	9,442	29,762	3.15	15,737	49,603	3,043	###.##
2016	중구	신당5동	1,283	3,942	3.07	3,290	10,108	26,062	38.78
2016	중구	황학동	1,963	6,435	3.28	5,948	19,500	40,052	48.69
2016	중구	중림동	1,005	7,677	7.64	2,094	15,994	18,546	86.24
2016	중구	신당동	12,117	27,836	2.3	22,031	50,611	17,144	295.22
2016	중구	다산동	1,387	9,577	6.9	2,720	18,778	31,286	60.02
2016	중구	약수동	854	3,563	4.17	1,779	7,423	39,158	18.96
2016	중구	청구동	765	3,856	5.04	2,250	11,341	44,803	25.31
2016	중구	동화동	970	4,035	4.16	3,731	15,519	44,777	34.66
2016	용산구	소계	20,994	129,033	6.15	960	5,901	11,209	52.64
2016	용산구	후암동	840	5,493	6.54	977	6,387	22,451	28.45
2016	용산구	용산2가동	574	2,075	3.61	293	1,059	6,503	16.28
2016	용산구	남영동	1,673	18,172	10.86	1,406	15,271	7,363	207.4
2016	용산구	원효로2동	1,190	7,045	5.92	1,676	9,923	21,848	45.42
2016	용산구	효창동	469	2,300	4.9	1,066	5,227	21,741	24.04
2016	용산구	용문동	682	1,568	2.3	2,436	5,600	45,936	12.19
2016	용산구	이촌1동	823	3,825	4.65	288	1,337	10,187	13.13
2016	용산구	이촌2동	340	821	2.41	279	673	7,689	8.75
2016	용산구	이태원1동	1,714	8,286	4.83	3,007	14,537	15,449	94.09
2016	용산구	이태원2동	733	3,216	4.39	852	3,740	12,795	29.23
2016	용산구	서빙고동	415	5,077	12.23	148	1,813	5,181	35
2016	용산구	보광동	836	2,786	3.33	1,177	3,924	23,927	16.4
2016	용산구	청파동	1,915	9,433	4.93	2,104	10,366	24,080	43.05
2016	용산구	원효로1동	1,843	10,407	5.65	3,124	17,639	24,944	70.71
2016	용산구	한강로동	4,892	31,880	6.52	1,687	10,993	5,677	193.65
2016	용산구	한남동	2,055	16,649	8.1	683	5,531	7,785	71.05
2016	성동구	소계	26,581	165,047	6.21	1,577	9,789	18,218	53.73
2016	성동구	왕십리2동	780	2,440	3.13	1,902	5,951	41,261	14.42
2016	성동구	마장동	3,238	11,683	3.61	3,055	11,022	23,178	47.55
2016	성동구	사근동	1,088	11,474	10.55	980	10,337	11,461	90.19
2016	성동구	행당1동	1,451	8,783	6.05	2,459	14,886	24,929	59.72
2016	성동구	행당2동	582	1,927	3.31	1,386	4,588	61,305	7.48
2016	성동구	응봉동	375	1,037	2.77	658	1,819	29,686	6.13
2016	성동구	금호1가동	535	1,685	3.15	1,163	3,663	29,172	12.56
2016	성동구	금호4가동	617	1,786	2.89	735	2,126	17,330	12.27
2016	성동구	성수1가1동	1,546	7,815	5.05	781	3,947	8,703	45.35
2016	성동구	성수1가2동	2,198	17,103	7.78	2,470	19,217	19,128	100.46
2016	성동구	성수2가1동	2,626	18,337	6.98	2,225	15,540	16,422	94.63
2016	성동구	성수2가3동	5,056	45,871	9.07	4,909	44,535	11,788	377.79
2016	성동구	송정동	695	2,453	3.53	1,022	3,607	17,654	20.43
2016	성동구	용답동	2,055	15,156	7.38	886	6,533	7,353	88.84
2016	성동구	왕십리도선동	1,906	11,693	6.13	2,647	16,240	31,775	51.11
2016	성동구	금호2.3가동	1,008	2,758	2.74	1,575	4,309	39,122	11.02
2016	성동구	옥수동	825	3,046	3.69	423	1,562	12,741	12.26
2016	광진구	소계	24,895	126,937	5.1	1,459	7,439	21,807	34.11
2016	광진구	화양동	2,474	15,035	6.08	2,133	12,961	21,116	61.38
2016	광진구	군자동	1,609	10,040	6.24	2,174	13,568	29,795	45.54
2016	광진구	중곡1동	1,639	6,476	3.95	2,644	10,445	26,358	39.63
2016	광진구	중곡2동	1,660	6,711	4.04	3,018	12,202	41,595	29.34
2016	광진구	중곡3동	1,347	5,601	4.16	2,245	9,335	29,933	31.19
2016	광진구	중곡4동	1,545	4,810	3.11	666	2,073	13,701	15.13
2016	광진구	능동	758	5,945	7.84	689	5,405	10,589	51.04
2016	광진구	구의1동	1,900	6,556	3.45	3,393	11,707	41,763	28.03
2016	광진구	구의2동	1,251	5,199	4.16	900	3,740	18,625	20.08
2016	광진구	구의3동	2,636	19,517	7.4	2,584	19,134	29,205	65.52
2016	광진구	광장동	1,402	12,078	8.61	587	5,054	15,319	32.99
