기간	컬럼1	컬럼2	출생	출생	출생	사망	사망	사망
기간	컬럼1	컬럼2	계	남자	여자	계	남자	여자
2008	합계	합계	94,736	48,826	45,910	38,298	21,455	16,843
2008	종로구	소계	1,176	628	548	824	472	352
2008	종로구	사직동	79	43	36	38	21	17
2008	종로구	삼청동	26	15	11	28	12	16
2008	종로구	부암동	50	25	25	58	32	26
2008	종로구	평창동	120	64	56	95	49	46
2008	종로구	무악동	51	29	22	31	19	12
2008	종로구	교남동	81	40	41	50	25	25
2008	종로구	가회동	34	19	15	31	16	15
2008	종로구	종로1.2.3.4가동	57	29	28	60	40	20
2008	종로구	종로5·6가동	31	22	9	35	25	10
2008	종로구	이화동	64	39	25	57	33	24
2008	종로구	혜화동	81	45	36	44	24	20
2008	종로구	명륜3가동	28	20	8	20	10	10
2008	종로구	창신1동	51	25	26	43	32	11
2008	종로구	창신2동	82	39	43	59	32	27
2008	종로구	창신3동	87	51	36	29	16	13
2008	종로구	숭인1동	68	27	41	35	19	16
2008	종로구	숭인2동	64	33	31	36	27	9
2008	종로구	청운효자동	117	63	54	75	40	35
2008	종로구	미상	5	-	5	-	-	-
2008	중구	소계	1,141	575	566	633	388	245
2008	중구	소공동	10	6	4	8	5	3
2008	중구	회현동	25	16	9	40	28	12
2008	중구	명동	14	8	6	22	14	8
2008	중구	필동	31	21	10	29	20	9
2008	중구	장충동	40	20	20	20	10	10
2008	중구	광희동	31	17	14	26	16	10
2008	중구	을지로동	8	3	5	17	12	5
2008	중구	신당1동	49	26	23	49	35	14
2008	중구	신당2동	158	78	80	52	34	18
2008	중구	신당3동	227	106	121	92	58	34
2008	중구	신당4동	165	91	74	66	35	31
2008	중구	신당5동	65	30	35	46	25	21
2008	중구	신당6동	93	45	48	48	27	21
2008	중구	황학동	102	47	55	48	31	17
2008	중구	중림동	118	60	58	70	38	32
2008	중구	미상	5	1	4	-	-	-
2008	용산구	소계	2,332	1,178	1,154	1,066	603	463
2008	용산구	후암동	154	75	79	102	60	42
2008	용산구	용산2가동	97	50	47	62	37	25
2008	용산구	남영동	62	26	36	64	47	17
2008	용산구	원효로2동	207	112	95	64	36	28
2008	용산구	효창동	108	49	59	52	28	24
2008	용산구	용문동	141	74	67	47	25	22
2008	용산구	이촌1동	289	149	140	89	44	45
2008	용산구	이촌2동	159	83	76	37	20	17
2008	용산구	이태원1동	56	26	30	53	30	23
2008	용산구	이태원2동	110	48	62	53	31	22
2008	용산구	서빙고동	107	56	51	57	41	16
2008	용산구	보광동	133	71	62	95	48	47
2008	용산구	청파동	201	107	94	90	51	39
2008	용산구	원효로1동	159	76	83	44	28	16
2008	용산구	한강로동	136	64	72	50	25	25
2008	용산구	한남동	203	106	97	107	52	55
2008	용산구	미상	10	6	4	-	-	-
2008	성동구	소계	3,372	1,758	1,614	1,296	741	555
2008	성동구	왕십리2동	185	97	88	67	32	35
2008	성동구	마장동	262	138	124	109	57	52
2008	성동구	사근동	62	32	30	45	32	13
2008	성동구	행당1동	203	106	97	77	40	37
2008	성동구	행당2동	296	154	142	82	51	31
2008	성동구	응봉동	212	116	96	64	32	32
2008	성동구	금호1가동	211	118	93	100	56	44
2008	성동구	금호4가동	213	104	109	61	41	20
2008	성동구	성수1가1동	207	105	102	70	30	40
2008	성동구	성수1가2동	228	104	124	51	26	25
2008	성동구	성수2가1동	185	94	91	66	37	29
2008	성동구	성수2가3동	120	68	52	46	24	22
2008	성동구	송정동	91	44	47	48	34	14
2008	성동구	용답동	126	75	51	72	43	29
2008	성동구	왕십리도선동	171	80	91	91	61	30
2008	성동구	금호2.3가동	279	151	128	126	69	57
2008	성동구	옥수동	308	169	139	121	76	45
2008	성동구	미상	13	3	10	-	-	-
