기간	자치구	동	합계	합계	합계	개인사업체	개인사업체	회사법인	회사법인	회사이외의 법인	회사이외의 법인	비법인단체	비법인단체
기간	자치구	동	사업체수	총종사자수	여성종사자수	소계	여성종사자수	소계	여성종사자수	소계	여성종사자수	소계	여성종사자수
2012	합계	합계	780,887	4,541,393	1,930,559	1,506,099	769,429	2,328,409	824,659	605,658	292,402	101,227	44,069
2012	종로구	소계	39,486	232,857	100,080	76,034	35,464	105,096	42,304	47,563	20,400	4,164	1,912
2012	종로구	사직동	3,437	45,313	20,278	8,412	4,911	25,809	11,560	10,423	3,538	669	269
2012	종로구	삼청동	611	4,646	2,392	1,437	882	1,326	792	1,782	643	101	75
2012	종로구	부암동	502	3,432	1,740	924	418	550	292	1,866	990	92	40
2012	종로구	평창동	636	2,499	1,294	1,092	611	628	283	527	276	252	124
2012	종로구	무악동	610	1,489	661	1,108	501	145	37	105	70	131	53
2012	종로구	교남동	550	4,477	2,564	948	447	1,267	692	2,192	1,380	70	45
2012	종로구	가회동	547	9,661	3,010	976	591	6,777	1,544	1,822	823	86	52
2012	종로구	종로1.2.3.4가동	15,825	92,396	36,444	28,738	12,918	50,158	19,044	12,479	4,073	1,021	409
2012	종로구	종로5·6가동	7,492	24,594	9,124	14,452	5,703	8,743	2,835	1,043	450	356	136
2012	종로구	이화동	1,077	13,368	7,919	2,511	1,252	2,666	1,227	7,658	5,158	533	282
2012	종로구	창신1동	2,257	5,799	2,792	3,967	1,636	1,465	976	247	155	120	25
2012	종로구	창신2동	860	2,055	1,122	1,828	996	108	56	56	30	63	40
2012	종로구	창신3동	274	728	339	415	189	60	20	167	106	86	24
2012	종로구	숭인1동	530	1,744	906	1,198	609	383	210	97	60	66	27
2012	종로구	숭인2동	1,814	6,278	3,146	3,434	1,383	2,172	1,413	550	296	122	54
2012	종로구	청운효자동	794	5,234	2,073	1,067	568	780	279	3,162	1,067	225	159
2012	종로구	혜화동	1,670	9,144	4,276	3,527	1,849	2,059	1,044	3,387	1,285	171	98
2012	중구	소계	64,307	386,637	171,106	120,829	60,336	220,577	88,110	41,747	21,034	3,484	1,626
2012	중구	소공동	3,688	61,763	24,861	5,651	3,165	50,244	19,457	5,530	2,104	338	135
2012	중구	회현동	9,676	50,265	22,337	15,439	9,377	32,284	11,992	2,033	792	509	176
2012	중구	명동	7,194	112,011	49,927	13,695	7,673	78,080	30,581	19,206	11,030	1,030	643
2012	중구	필동	3,261	24,463	10,218	8,772	3,625	10,839	4,108	4,640	2,398	212	87
2012	중구	장충동	864	8,835	3,749	1,560	746	6,078	2,503	1,079	446	118	54
2012	중구	광희동	10,151	38,188	17,449	20,298	9,174	14,037	6,486	3,653	1,721	200	68
2012	중구	을지로동	9,689	27,060	9,274	16,581	4,886	8,728	3,687	1,582	655	169	46
2012	중구	신당1동	11,868	26,506	15,429	23,262	14,288	1,750	653	1,247	379	247	109
2012	중구	신당2동	1,175	9,590	5,368	2,442	1,244	6,526	3,736	516	335	106	53
2012	중구	신당3동	821	3,008	1,647	1,816	1,108	785	341	304	142	103	56
2012	중구	신당4동	703	3,535	1,317	1,504	737	1,585	313	376	237	70	30
2012	중구	신당5동	1,064	3,198	1,461	2,003	1,006	474	174	604	213	117	68
2012	중구	신당6동	882	3,590	1,789	2,408	1,184	839	405	285	180	58	20
2012	중구	황학동	1,985	5,951	2,525	3,331	1,308	2,508	1,174	56	26	56	17
2012	중구	중림동	1,286	8,674	3,755	2,067	815	5,820	2,500	636	376	151	64
2012	용산구	소계	20,004	120,441	52,148	35,177	16,961	61,117	24,206	20,931	9,657	3,216	1,324
2012	용산구	후암동	802	5,240	3,108	2,066	1,146	2,464	1,596	619	329	91	37
2012	용산구	용산2가동	484	2,783	1,181	738	344	510	243	1,483	572	52	22
2012	용산구	남영동	1,466	15,775	8,439	2,773	1,460	11,053	6,482	1,607	371	342	126
2012	용산구	원효로2동	1,173	6,786	2,225	1,666	649	4,488	1,277	532	274	100	25
2012	용산구	효창동	499	2,577	1,013	832	422	1,256	309	292	161	197	121
2012	용산구	용문동	666	1,662	751	1,194	601	368	100	54	35	46	15
2012	용산구	이촌1동	815	3,553	1,907	1,805	1,103	605	318	695	346	448	140
2012	용산구	이촌2동	345	813	300	550	206	127	35	68	26	68	33
2012	용산구	이태원1동	1,625	7,153	3,310	3,298	1,583	1,789	843	1,966	863	100	21
2012	용산구	이태원2동	557	2,046	870	1,000	477	801	281	152	69	93	43
2012	용산구	서빙고동	383	4,161	1,652	565	244	1,941	580	1,505	821	150	7
2012	용산구	보광동	806	1,774	797	1,312	658	147	30	270	90	45	19
2012	용산구	청파동	1,813	9,725	5,119	4,229	2,202	1,891	486	3,300	2,311	305	120
2012	용산구	원효로1동	1,695	7,383	2,387	2,873	1,191	3,667	905	657	199	186	92
2012	용산구	한강로동	5,172	33,316	11,793	7,112	2,994	20,099	6,701	5,553	1,872	552	226
