기간	자치구	동	계	계	계	보통세	보통세	보통세	보통세	보통세	보통세	보통세	보통세	보통세	보통세	보통세	보통세	보통세	목적세	목적세	목적세	목적세	목적세	과년도수입	과년도수입
기간	자치구	동	계	시세	구세	시세	시세	시세	시세	시세	시세	시세	시세	구세	구세	구세	구세	구세	시세	시세	시세	시세	구세	시세	구세
기간	자치구	동	계	시세	구세	취득세	레저세	주민세	자동차세	담배소비세	재산세	지방소비세	지방소득세	등록면허세	주민세	재산세	종합토지세	지방소득세	지역자원시설세	지방교육세	도시계획세	공동시설세	사업소세	시세	구세
2012	합계	합계	14,276,324	12,244,119	2,032,205	2,842,823	158,804	62,241	1,056,847	543,096	1,829,862	469,755	3,819,078	315,551	305	1,700,343	-21	742	180,050	1,115,751	-	-	-214	165,811	15,500
2012	본청	본청	1,807,592	1,807,592	-	-6,653	-	0	490,123	543,096	-	469,755	-784	-	-	-	-	-	-	270,710	-	-	-	41,346	-
2012	종로구	소계	596,525	514,466	82,058	99,116	4,909	2,677	10,297	-	66,323	-	291,348	14,030	18	67,309	-4	-12	6,529	29,612	-	-	-22	3,656	740
2012	종로구	사직동	84,998	70,579	14,419	13,129	-	270	1,387	-	11,872	-	36,875	2,259	2	12,048	-	-2	1,169	5,301	-	-	-4	576	116
2012	종로구	삼청동	13,835	11,108	2,727	1,508	-	53	186	-	2,255	-	5,826	428	1	2,289	-	-	222	1,007	-	-	-1	51	10
2012	종로구	부암동	13,909	11,784	2,125	2,647	-	51	651	-	1,592	-	5,817	478	-	1,615	-	-	157	711	-	-	-	158	32
2012	종로구	평창동	32,937	27,353	5,584	8,935	-	91	1,604	-	4,576	-	9,312	872	1	4,644	-2	-	451	2,043	-	-	-	341	69
2012	종로구	무악동	9,127	7,536	1,591	1,305	-	30	493	-	1,194	-	3,762	360	-	1,212	-	-	118	533	-	-	-1	101	20
2012	종로구	교남동	13,268	10,784	2,484	1,747	-	52	325	-	1,791	-	5,801	649	-	1,817	-	-	176	800	-	-	-1	92	19
2012	종로구	가회동	18,751	16,544	2,207	3,864	-	90	309	-	1,791	-	9,415	370	-	1,817	-	-	176	800	-	-	-	99	20
2012	종로구	종로1.2.3.4가동	193,980	164,524	29,456	36,483	-	869	1,420	-	24,936	-	85,898	3,880	5	25,309	-	-3	2,454	11,131	-	-	-6	1,333	271
2012	종로구	종로5·6가동	78,292	72,977	5,315	10,949	-	427	583	-	4,311	-	54,265	925	2	4,375	-1	-2	424	1,925	-	-	-3	93	19
2012	종로구	이화동	20,860	18,667	2,193	3,662	-	113	357	-	1,791	-	11,664	355	1	1,817	-	-1	176	800	-	-	-	104	21
2012	종로구	창신1동	20,469	17,231	3,238	1,292	-	145	219	-	1,857	-	12,622	1,338	1	1,885	-	-1	183	829	-	-	-2	84	17
2012	종로구	창신2동	10,068	9,199	869	809	-	55	276	-	597	-	7,065	250	-	606	-1	-	59	267	-	-	-	71	14
2012	종로구	창신3동	7,243	6,510	733	799	-	34	356	-	464	-	4,552	251	-	471	-	-	46	207	-	-	-	52	11
2012	종로구	숭인1동	8,532	7,353	1,179	750	-	48	279	-	730	-	5,092	428	1	740	-	-	72	326	-	-	-1	56	11
2012	종로구	숭인2동	26,603	24,144	2,459	3,815	4,909	118	389	-	2,056	-	11,661	357	1	2,087	-	-1	202	918	-	-	-	76	15
2012	종로구	청운효자동	19,314	16,833	2,481	3,598	-	86	732	-	2,056	-	9,032	351	1	2,087	-	-	202	918	-	-	-	209	42
2012	종로구	혜화동	24,340	21,341	2,999	3,824	-	145	731	-	2,454	-	12,689	479	2	2,490	-	-2	242	1,096	-	-	-3	160	33
2012	중구	소계	1,288,216	1,184,688	103,528	173,665	2,865	4,449	15,849	-	90,857	-	837,885	22,916	9	79,855	0	-3	11,769	44,208	-	-	-2	3,141	753
2012	중구	소공동	357,167	327,602	29,565	13,502	-	422	1,807	-	21,770	-	278,836	9,186	2	20,320	-	-	2,598	8,171	-	-	-2	496	59
2012	중구	회현동	261,845	250,643	11,203	19,495	-	520	2,427	-	10,452	-	209,012	2,038	2	9,066	-	-	1,648	6,856	-	-	-	233	98
2012	중구	명동	390,815	362,587	28,228	87,202	312	606	1,655	-	23,508	-	232,072	6,153	3	21,994	-	-3	2,916	14,047	-	-	-	268	82
2012	중구	필동	40,138	34,876	5,262	2,943	-	269	737	-	3,562	-	25,080	2,052	-	3,153	-	-	445	1,678	-	-	-	161	57
2012	중구	장충동	34,599	32,370	2,229	2,968	-	129	613	-	2,305	-	25,160	258	-	1,955	-	-	245	852	-	-	-	98	16
2012	중구	광희동	59,406	52,646	6,759	8,151	2,553	515	724	-	7,108	-	29,502	616	1	6,047	-	-	1,193	2,594	-	-	-	306	95
2012	중구	을지로동	40,362	34,374	5,988	4,741	-	568	628	-	6,196	-	19,575	543	-	5,391	-	-	453	2,052	-	-	-	161	54
2012	중구	신당1동	26,962	23,464	3,498	9,768	-	493	606	-	2,977	-	6,874	1,011	-	2,398	-	-	596	1,886	-	-	-	263	89
2012	중구	신당2동	9,017	7,786	1,231	2,323	-	152	804	-	1,534	-	1,860	101	-	1,108	-	-	206	700	-	-	-	207	23
2012	중구	신당3동	12,361	10,343	2,018	2,985	-	132	967	-	2,604	-	2,135	110	-	1,877	-	-	198	1,108	-	-	-	214	31
2012	중구	신당4동	8,097	6,753	1,343	2,122	-	120	823	-	1,747	-	874	92	-	1,226	-	-	148	767	-	-	-	151	25
2012	중구	신당5동	5,094	4,246	847	1,206	-	116	597	-	998	-	905	85	-	741	-	-	90	238	-	-	-	97	21
2012	중구	신당6동	10,103	8,995	1,108	3,801	-	115	1,717	-	1,421	-	956	126	-	967	-	-	161	702	-	-	-	123	14
2012	중구	황학동	19,523	16,953	2,569	9,690	-	147	843	-	2,804	-	1,056	339	-	2,169	-	-	455	1,733	-	-	-	225	61
2012	중구	중림동	12,728	11,051	1,678	2,767	-	145	901	-	1,871	-	3,988	206	1	1,443	-	-	415	824	-	-	-	139	28
2012	용산구	소계	459,154	377,256	81,898	98,110	7,469	1,670	14,818	-	78,147	-	136,625	8,893	11	72,426	0	20	4,741	32,092	-	-	0	3,584	548
2012	용산구	후암동	10,490	8,603	1,887	2,919	-	57	716	-	1,862	-	1,921	408	1	1,459	-	-	107	819	-	-	-	202	19
2012	용산구	용산2가동	4,080	3,423	657	1,037	-	76	421	-	643	-	736	233	-	414	-	4	38	316	-	-	-	156	6
2012	용산구	남영동	22,426	17,100	5,326	2,306	-	85	342	-	4,896	-	7,536	365	-	4,908	-	15	366	1,399	-	-	-	170	38
2012	용산구	원효로2동	14,166	11,184	2,982	2,273	-	159	1,039	-	2,907	-	3,343	416	3	2,542	-	-	217	1,065	-	-	-	181	21
2012	용산구	효창동	6,007	4,893	1,114	1,335	-	75	585	-	1,027	-	1,210	349	-	758	-	-	83	476	-	-	-	102	7
2012	용산구	용문동	6,810	5,479	1,331	1,724	-	72	676	-	1,433	-	769	226	3	1,094	-	1	95	598	-	-	-	112	7
2012	용산구	이촌1동	52,464	41,224	11,240	9,567	-	-50	2,544	-	11,217	-	13,325	1,012	-	10,134	-	-	300	3,921	-	-	-	400	94
2012	용산구	이촌2동	7,971	5,867	2,104	1,164	-	62	658	-	2,245	-	851	197	-	1,890	-	-	52	705	-	-	-	130	17
2012	용산구	이태원1동	29,752	25,428	4,324	5,900	-	-114	590	-	3,847	-	13,332	671	-	3,626	-	-	205	1,492	-	-	-	176	27
2012	용산구	이태원2동	14,892	13,334	1,558	2,705	-	80	488	-	1,724	-	7,420	186	-	1,361	-	-	91	698	-	-	-	128	11
2012	용산구	서빙고동	21,413	17,535	3,878	4,421	-	105	1,061	-	3,772	-	6,526	358	-	3,498	-	-	130	1,364	-	-	-	156	22
2012	용산구	보광동	7,586	5,828	1,758	1,709	-	104	549	-	1,942	-	606	289	1	1,446	-	-	57	642	-	-	-	219	22
2012	용산구	청파동	12,701	10,349	2,352	3,046	-	161	802	-	2,370	-	2,622	364	1	1,968	-	-	184	941	-	-	-	223	19
2012	용산구	원효로1동	22,731	16,843	5,888	3,352	-	208	947	-	5,768	-	4,231	438	1	5,417	-	-	349	1,770	-	-	-	218	32
2012	용산구	한강로동	130,240	107,141	23,099	27,133	7,469	485	1,655	-	21,426	-	35,941	1,713	1	21,306	-	-	1,764	10,843	-	-	-	425	79
2012	용산구	한남동	95,424	83,024	12,400	27,519	-	105	1,745	-	11,068	-	36,256	1,668	-	10,605	-	-	703	5,043	-	-	-	585	127
2012	성동구	소계	285,666	220,240	65,426	70,116	-	1,861	16,153	-	49,950	-	53,244	9,199	2	55,824	0	2	4,703	20,804	-	-	0	3,409	400
2012	성동구	왕십리2동	8,048	6,211	1,837	1,830	-	49	746	-	1,751	-	892	62	-	1,760	-	-	134	654	-	-	0	155	15
2012	성동구	마장동	18,921	14,353	4,568	4,264	-	174	1,297	-	3,420	-	3,291	708	-	3,834	0	-	292	1,372	-	-	-	243	26
2012	성동구	사근동	7,103	5,635	1,468	2,075	-	76	354	-	1,251	-	1,036	110	-	1,347	-	-	117	625	-	-	-	101	11
2012	성동구	행당1동	14,553	11,351	3,202	2,365	-	111	822	-	2,286	-	4,327	698	-	2,493	-	-	326	958	-	-	-	156	11
2012	성동구	행당2동	12,903	9,873	3,030	2,742	-	50	1,615	-	2,938	-	942	99	-	2,907	-	-	213	1,163	-	-	-	210	24
2012	성동구	응봉동	8,556	6,511	2,045	1,856	-	36	1,023	-	1,803	-	777	274	-	1,755	-	-	88	747	-	-	-	181	16
2012	성동구	금호1가동	7,339	5,600	1,739	1,786	-	30	800	-	1,525	-	564	243	-	1,481	-	-	130	621	-	-	-	144	15
2012	성동구	금호4가동	13,453	10,584	2,869	4,868	-	35	919	-	2,216	-	1,132	502	-	2,350	-	-	132	1,115	-	-	-	167	17
2012	성동구	성수1가1동	28,722	21,217	7,505	7,975	-	97	963	-	4,967	-	4,488	1,206	-	6,277	-	-	312	2,223	-	-	-	192	22
2012	성동구	성수1가2동	19,222	12,900	6,322	2,981	-	130	1,026	-	4,363	-	2,339	808	-	5,487	-	-	297	1,561	-	-	-	203	27
2012	성동구	성수2가1동	22,535	16,696	5,839	4,074	-	168	1,133	-	3,768	-	5,239	1,517	1	4,302	-	-	472	1,616	-	-	-	226	19
2012	성동구	성수2가3동	49,447	40,983	8,464	10,549	-	466	1,422	-	6,587	-	17,880	608	-	7,786	-	-	1,052	2,684	-	-	-	343	70
2012	성동구	송정동	5,003	3,943	1,060	1,500	-	47	454	-	870	-	492	137	-	917	-	-	63	408	-	-	-	109	6
2012	성동구	용답동	13,990	10,881	3,109	1,884	-	170	634	-	2,192	-	4,600	489	1	2,593	-	-	443	770	-	-	-	188	26
2012	성동구	왕십리도선동	15,226	10,978	4,248	3,319	-	101	605	-	3,506	-	1,797	328	-	3,895	-	-	291	1,148	-	-	-	211	25
2012	성동구	금호2.3가동	17,159	13,997	3,162	8,000	-	57	906	-	2,558	-	765	630	-	2,508	-	2	150	1,329	-	-	-	232	22
2012	성동구	옥수동	23,487	18,527	4,960	8,048	-	64	1,434	-	3,949	-	2,683	780	-	4,132	-	-	191	1,810	-	-	-	348	48
2012	광진구	소계	278,001	215,751	62,250	75,575	-	1,693	17,826	-	47,132	-	43,793	7,395	-1	54,312	0	1	4,555	21,445	-	-	-4	3,732	547
2012	광진구	화양동	24,166	16,707	7,459	4,987	-	151	652	-	5,973	-	2,594	553	-1	6,888	-	-	402	1,752	-	-	-	194	19
2012	광진구	군자동	14,266	10,951	3,315	3,810	-	100	829	-	2,547	-	2,224	369	-	2,934	0	-	243	1,013	-	-	-	185	12
2012	광진구	중곡1동	10,864	7,679	3,185	2,288	-	84	643	-	2,198	-	1,309	645	-	2,534	-	-	153	858	-	-	-	145	6
2012	광진구	중곡2동	9,916	7,713	2,203	2,866	-	79	854	-	1,784	-	963	143	-	2,054	0	-	202	790	-	-	-	174	6
2012	광진구	중곡3동	6,391	4,918	1,472	1,683	-	63	629	-	1,175	-	560	116	-	1,353	-	-	130	525	-	-	-	154	4
2012	광진구	중곡4동	11,387	9,326	2,061	3,937	-	101	1,249	-	1,640	-	1,018	158	-	1,888	-	-	177	962	-	-	-	241	15
2012	광진구	능동	8,036	6,294	1,742	2,315	-	75	535	-	1,332	-	1,219	202	-	1,535	-	-	126	589	-	-	-	102	5
