기간	자치구	동	출생	출생	출생	사망	사망	사망
기간	자치구	동	계	남자	여자	계	남자	여자
2012	합계	합계	93,914	48,353	45,561	41,514	23,254	18,260
2012	종로구	소계	1,100	590	510	811	485	326
2012	종로구	사직동	74	37	37	34	19	15
2012	종로구	삼청동	23	14	9	17	8	9
2012	종로구	부암동	67	35	32	58	34	24
2012	종로구	평창동	131	80	51	83	36	47
2012	종로구	무악동	68	35	33	24	16	8
2012	종로구	교남동	55	31	24	42	27	15
2012	종로구	가회동	34	13	21	43	25	18
2012	종로구	종로1.2.3.4가동	31	17	14	62	47	15
2012	종로구	종로5·6가동	28	12	16	39	24	15
2012	종로구	이화동	64	29	35	39	22	17
2012	종로구	창신1동	45	23	22	33	21	12
2012	종로구	창신2동	50	24	26	66	37	29
2012	종로구	창신3동	79	44	35	22	16	6
2012	종로구	숭인1동	81	44	37	31	22	9
2012	종로구	숭인2동	64	34	30	52	28	24
2012	종로구	청운효자동	103	57	46	73	42	31
2012	종로구	혜화동	103	61	42	93	61	32
2012	중구	소계	1,215	609	606	667	415	252
2012	중구	소공동	20	11	9	2	-	2
2012	중구	회현동	31	20	11	54	36	18
2012	중구	명동	26	8	18	12	9	3
2012	중구	필동	43	23	20	37	22	15
2012	중구	장충동	34	15	19	11	9	2
2012	중구	광희동	31	14	17	31	22	9
2012	중구	을지로동	15	9	6	12	10	2
2012	중구	신당1동	106	53	53	74	43	31
2012	중구	신당2동	117	58	59	66	43	23
2012	중구	신당3동	215	90	125	90	52	38
2012	중구	신당4동	129	68	61	71	41	30
2012	중구	신당5동	94	54	40	41	21	20
2012	중구	신당6동	91	45	46	43	27	16
2012	중구	황학동	165	90	75	55	32	23
2012	중구	중림동	95	49	46	68	48	20
2012	중구	미상	3	2	1	-	-	-
2012	용산구	소계	2,411	1,240	1,171	1,110	640	470
2012	용산구	후암동	183	95	88	106	60	46
2012	용산구	용산2가동	120	62	58	72	33	39
2012	용산구	남영동	39	22	17	75	60	15
2012	용산구	원효로2동	171	86	85	61	36	25
2012	용산구	효창동	109	54	55	50	29	21
2012	용산구	용문동	183	91	92	63	34	29
2012	용산구	이촌1동	309	166	143	85	42	43
2012	용산구	이촌2동	121	57	64	47	30	17
2012	용산구	이태원1동	58	36	22	47	27	20
2012	용산구	이태원2동	94	44	50	47	32	15
2012	용산구	서빙고동	125	67	58	55	35	20
2012	용산구	보광동	115	67	48	97	51	46
2012	용산구	청파동	217	115	102	84	51	33
2012	용산구	원효로1동	185	98	87	31	15	16
2012	용산구	한강로동	151	71	80	67	35	32
2012	용산구	한남동	230	109	121	122	69	53
2012	용산구	미상	1	-	1	1	1	-
2012	성동구	소계	2,835	1,463	1,372	1,257	719	538
2012	성동구	왕십리2동	153	83	70	69	43	26
2012	성동구	마장동	214	96	118	114	61	53
2012	성동구	사근동	61	30	31	48	30	18
2012	성동구	행당1동	165	87	78	79	44	35
2012	성동구	행당2동	301	170	131	93	45	48
2012	성동구	응봉동	168	82	86	66	31	35
2012	성동구	금호1가동	160	84	76	101	53	48
2012	성동구	금호4가동	198	88	110	62	33	29
2012	성동구	성수1가1동	192	97	95	65	39	26
2012	성동구	성수1가2동	173	90	83	56	29	27
2012	성동구	성수2가1동	174	91	83	88	56	32
2012	성동구	성수2가3동	118	59	59	38	19	19
2012	성동구	송정동	94	47	47	59	41	18
2012	성동구	용답동	116	59	57	77	54	23
2012	성동구	왕십리도선동	98	51	47	61	33	28
2012	성동구	금호2.3가동	227	134	93	90	56	34
2012	성동구	옥수동	223	115	108	91	52	39
2012	광진구	소계	3,319	1,752	1,567	1,307	739	568
2012	광진구	화양동	121	64	57	84	44	40
2012	광진구	군자동	192	110	82	89	52	37
2012	광진구	중곡1동	181	82	99	60	42	18
2012	광진구	중곡2동	191	97	94	84	47	37
2012	광진구	중곡3동	167	97	70	63	37	26
2012	광진구	중곡4동	269	148	121	111	53	58
2012	광진구	능동	117	78	39	39	22	17
2012	광진구	구의1동	230	124	106	90	59	31
2012	광진구	구의2동	248	131	117	110	57	53
2012	광진구	구의3동	311	149	162	90	45	45
2012	광진구	광장동	247	128	119	83	45	38
2012	광진구	자양1동	244	129	115	127	72	55
2012	광진구	자양2동	293	154	139	108	56	52
2012	광진구	자양3동	315	158	157	74	45	29
2012	광진구	자양4동	192	103	89	95	63	32
2012	광진구	미상	1	-	1	-	-	-
2012	동대문구	소계	2,963	1,528	1,435	1,805	1,029	776
2012	동대문구	회기동	84	38	46	57	33	24
2012	동대문구	휘경1동	127	69	58	80	48	32
2012	동대문구	휘경2동	238	140	98	89	47	42
2012	동대문구	청량리동	175	82	93	168	95	73
2012	동대문구	용신동	287	160	127	183	117	66
2012	동대문구	제기동	219	106	113	149	81	68
2012	동대문구	전농1동	147	79	68	183	115	68
2012	동대문구	전농2동	163	79	84	95	51	44
2012	동대문구	답십리1동	209	101	108	99	51	48
2012	동대문구	답십리2동	286	146	140	141	76	65
2012	동대문구	장안1동	343	179	164	176	101	75
2012	동대문구	장안2동	283	157	126	137	68	69
2012	동대문구	이문1동	209	100	109	152	86	66
2012	동대문구	이문2동	191	91	100	95	59	36
2012	동대문구	미상	2	1	1	1	1	-
2012	중랑구	소계	3,659	1,873	1,786	2,007	1,134	873
2012	중랑구	면목2동	299	157	142	153	91	62
2012	중랑구	면목4동	195	100	95	100	51	49
2012	중랑구	면목5동	135	65	70	58	39	19
2012	중랑구	면목7동	245	129	116	129	70	59
2012	중랑구	상봉1동	195	100	95	139	83	56
2012	중랑구	상봉2동	148	77	71	77	44	33
2012	중랑구	중화1동	251	127	124	92	61	31
2012	중랑구	중화2동	174	99	75	163	98	65
2012	중랑구	묵1동	364	182	182	138	74	64
2012	중랑구	묵2동	178	79	99	89	47	42
2012	중랑구	망우3동	180	90	90	91	45	46
2012	중랑구	신내1동	305	159	146	183	93	90
2012	중랑구	신내2동	229	126	103	114	64	50
2012	중랑구	면목본동	304	161	143	165	98	67
2012	중랑구	면목3.8동	203	94	109	130	76	54
2012	중랑구	망우본동	253	127	126	186	100	86
2012	중랑구	미상	1	1	-	-	-	-
2012	성북구	소계	4,217	2,176	2,041	1,995	1,118	877
2012	성북구	돈암1동	170	89	81	99	50	49
2012	성북구	돈암2동	175	102	73	71	36	35
2012	성북구	안암동	96	41	55	72	42	30
2012	성북구	보문동	88	39	49	46	26	20
2012	성북구	정릉1동	269	129	140	116	65	51
2012	성북구	정릉2동	221	119	102	97	49	48
2012	성북구	정릉3동	111	61	50	75	41	34
2012	성북구	정릉4동	291	142	149	117	64	53
2012	성북구	길음1동	551	280	271	109	55	54
2012	성북구	길음2동	156	88	68	104	67	37
2012	성북구	월곡1동	282	157	125	118	68	50
2012	성북구	월곡2동	197	117	80	92	56	36
2012	성북구	장위1동	219	117	102	156	85	71
2012	성북구	장위2동	131	60	71	88	57	31
2012	성북구	장위3동	112	52	60	77	43	34
2012	성북구	성북동	140	73	67	89	52	37
2012	성북구	삼선동	207	106	101	119	67	52
2012	성북구	동선동	96	41	55	55	34	21
2012	성북구	종암동	386	195	191	154	86	68
2012	성북구	석관동	319	168	151	141	75	66
2012	강북구	소계	2,818	1,490	1,328	1,741	1,062	679
2012	강북구	번1동	147	81	66	112	66	46
2012	강북구	번2동	158	100	58	99	51	48
2012	강북구	번3동	158	82	76	128	77	51
2012	강북구	수유1동	198	116	82	166	112	54
2012	강북구	수유2동	186	86	100	120	69	51
2012	강북구	수유3동	181	95	86	121	69	52
2012	강북구	삼양동	309	166	143	168	105	63
2012	강북구	미아동	224	110	114	164	99	65
2012	강북구	송중동	224	126	98	135	81	54
2012	강북구	송천동	205	102	103	132	95	37
2012	강북구	삼각산동	435	228	207	100	67	33
2012	강북구	우이동	146	76	70	135	77	58
2012	강북구	인수동	247	122	125	161	94	67
2012	도봉구	소계	3,083	1,626	1,457	1,606	919	687
2012	도봉구	쌍문1동	156	65	91	116	65	51
2012	도봉구	쌍문2동	169	103	66	105	58	47
2012	도봉구	쌍문3동	180	104	76	75	47	28
2012	도봉구	쌍문4동	150	88	62	73	37	36
2012	도봉구	방학1동	247	114	133	175	95	80
2012	도봉구	방학2동	164	82	82	100	54	46
2012	도봉구	방학3동	230	119	111	130	76	54
2012	도봉구	창1동	334	182	152	107	59	48
2012	도봉구	창2동	332	186	146	134	72	62
2012	도봉구	창3동	126	63	63	71	50	21
2012	도봉구	창4동	289	151	138	98	52	46
2012	도봉구	창5동	259	140	119	108	67	41
2012	도봉구	도봉1동	177	99	78	161	95	66
2012	도봉구	도봉2동	270	130	140	153	92	61
2012	노원구	소계	5,296	2,659	2,637	2,622	1,380	1,242
2012	노원구	월계1동	247	129	118	112	76	36
2012	노원구	월계2동	255	119	136	185	92	93
2012	노원구	월계3동	456	247	209	159	88	71
2012	노원구	공릉2동	471	245	226	162	75	87
2012	노원구	하계1동	147	66	81	174	96	78
2012	노원구	하계2동	161	82	79	98	48	50
2012	노원구	중계본동	95	49	46	138	74	64
2012	노원구	중계1동	68	35	33	96	53	43
2012	노원구	중계4동	171	90	81	112	66	46
2012	노원구	상계1동	403	201	202	224	97	127
2012	노원구	상계2동	141	68	73	115	64	51
2012	노원구	상계5동	208	99	109	116	62	54
2012	노원구	상계8동	547	257	290	88	42	46
2012	노원구	상계9동	260	124	136	81	41	40
2012	노원구	상계10동	238	116	122	66	30	36
2012	노원구	상계3.4동	262	133	129	195	108	87
2012	노원구	상계6.7동	426	205	221	125	64	61
2012	노원구	중계2.3동	358	193	165	220	111	109
2012	노원구	공릉1동	382	201	181	156	93	63
2012	은평구	소계	4,654	2,360	2,294	2,230	1,300	930
2012	은평구	녹번동	329	167	162	158	96	62
2012	은평구	불광1동	500	231	269	163	91	72
2012	은평구	갈현1동	235	132	103	135	80	55
2012	은평구	갈현2동	213	109	104	99	53	46
2012	은평구	구산동	241	112	129	224	147	77
2012	은평구	대조동	285	137	148	162	92	70
2012	은평구	응암1동	308	174	134	153	91	62
2012	은평구	응암2동	236	117	119	115	70	45
2012	은평구	신사1동	311	161	150	105	66	39
2012	은평구	신사2동	175	95	80	85	47	38
2012	은평구	증산동	224	113	111	92	46	46
2012	은평구	수색동	161	83	78	105	60	45
2012	은평구	진관동	515	255	260	187	95	92
2012	은평구	불광2동	220	127	93	154	91	63
2012	은평구	응암3동	222	109	113	105	63	42
2012	은평구	역촌동	478	237	241	188	112	76
2012	은평구	미상	1	1	-	-	-	-
2012	서대문구	소계	2,470	1,299	1,171	1,453	848	605
2012	서대문구	천연동	213	116	97	83	50	33
2012	서대문구	홍제1동	255	133	122	142	88	54
2012	서대문구	홍제3동	144	64	80	103	52	51
2012	서대문구	홍제2동	153	86	67	64	30	34
2012	서대문구	홍은1동	219	120	99	145	90	55
2012	서대문구	홍은2동	191	96	95	111	63	48
2012	서대문구	남가좌1동	60	33	27	35	18	17
2012	서대문구	남가좌2동	224	135	89	138	77	61
2012	서대문구	북가좌1동	135	69	66	56	34	22
2012	서대문구	북가좌2동	257	137	120	165	105	60
2012	서대문구	충현동	141	62	79	47	27	20
2012	서대문구	북아현동	92	50	42	107	58	49
2012	서대문구	신촌동	119	62	57	79	48	31
2012	서대문구	연희동	264	134	130	178	108	70
2012	서대문구	미상	3	2	1	-	-	-
2012	마포구	소계	3,797	1,987	1,810	1,586	849	737
2012	마포구	용강동	216	111	105	52	26	26
2012	마포구	대흥동	75	48	27	85	57	28
2012	마포구	염리동	134	68	66	81	46	35
2012	마포구	신수동	226	108	118	99	57	42
2012	마포구	서교동	214	112	102	104	47	57
2012	마포구	합정동	207	112	95	72	43	29
2012	마포구	망원1동	265	128	137	115	56	59
2012	마포구	망원2동	207	107	100	84	39	45
2012	마포구	연남동	158	86	72	71	43	28
2012	마포구	성산1동	172	93	79	101	49	52
2012	마포구	성산2동	454	237	217	155	82	73
2012	마포구	상암동	391	201	190	121	57	64
2012	마포구	도화동	261	144	117	101	56	45
2012	마포구	서강동	244	127	117	94	48	46
2012	마포구	공덕동	327	170	157	169	101	68
2012	마포구	아현동	238	130	108	82	42	40
2012	마포구	미상	8	5	3	-	-	-
2012	양천구	소계	3,869	1,976	1,893	1,780	971	809
2012	양천구	목1동	248	137	111	96	57	39
2012	양천구	목2동	321	161	160	105	57	48
2012	양천구	목3동	205	112	93	74	44	30
2012	양천구	목4동	162	82	80	91	51	40
