기간	자치구	지역내총부가가치(당해년가격)	구성비	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	경제활동별	순생산물세	구성비
기간	자치구	지역내총부가가치(당해년가격)	구성비	농림어업	구성비	광업	구성비	제조업	구성비	전기 가스 증기 및 수도사업	구성비	건설업	구성비	도소매업	구성비	운수업	구성비	숙박 및 음식점업	구성비	정보 및 통신업	구성비	금융보험업	구성비	부동산 및 임대업	구성비	사업서비스업	구성비	공공행정 국방 및 사회보장행정	구성비	교육서비스업	구성비	보건 및 사회복지사업	구성비	문화 및 기타서비스업	구성비	순생산물세	구성비
2012	서울시	286,431,524	100	574,039	100	128,783	100	18,514,227	100	1,792,171	100	7,530,853	100	51,102,241	100	8,521,081	100	9,070,809	100	30,026,153	100	35,708,635	100	32,847,472	100	37,791,639	100	16,927,390	100	14,429,725	100	12,171,548	100	9,294,758	100	27,047,001	100
2012	종로구	22,865,878	8	9,866	1.7	3,420	2.7	441,758	2.4	53,450	3	287,820	3.8	2,668,084	5.2	475,206	5.6	486,958	5.4	2,067,071	6.9	5,560,412	15.6	1,729,311	5.3	2,797,737	7.4	4,379,045	25.9	665,276	4.6	767,250	6.3	473,215	5.1	2,195,214	8.1
2012	중구	41,045,380	14.3	23	0	506	0.4	1,089,036	5.9	66,413	3.7	512,526	6.8	6,460,066	12.6	1,494,419	17.5	985,555	10.9	5,241,369	17.5	15,988,980	44.8	1,743,607	5.3	3,839,466	10.2	2,187,193	12.9	519,449	3.6	408,008	3.4	508,763	5.5	5,005,448	18.5
2012	용산구	8,253,752	2.9	23,481	4.1	759	0.6	122,570	0.7	51,256	2.9	355,157	4.7	1,661,624	3.3	289,430	3.4	355,872	3.9	462,452	1.5	257,842	0.7	1,236,780	3.8	950,166	2.5	1,695,205	10	282,175	2	193,884	1.6	315,099	3.4	652,006	2.4
2012	성동구	7,672,628	2.7	329	0.1	380	0.3	1,872,646	10.1	56,453	3.1	406,293	5.4	1,414,883	2.8	186,134	2.2	161,235	1.8	345,668	1.2	119,893	0.3	811,735	2.5	957,801	2.5	237,519	1.4	568,193	3.9	225,343	1.9	308,123	3.3	775,146	2.9
2012	광진구	5,013,500	1.8	106	0	-	-	690,611	3.7	62,404	3.5	146,588	1.9	698,293	1.4	173,112	2	409,144	4.5	141,365	0.5	141,403	0.4	691,958	2.1	517,903	1.4	216,755	1.3	518,372	3.6	341,898	2.8	263,589	2.8	430,236	1.6
2012	동대문구	5,765,948	2	130	0	127	0.1	764,389	4.1	58,662	3.3	235,277	3.1	1,056,051	2.1	154,271	1.8	228,585	2.5	65,940	0.2	250,879	0.7	709,508	2.2	478,689	1.3	288,666	1.7	732,773	5.1	474,741	3.9	267,262	2.9	535,814	2
2012	중랑구	3,297,596	1.2	1,609	0.3	633	0.5	370,300	2	64,086	3.6	172,593	2.3	581,759	1.1	226,054	2.7	154,562	1.7	69,008	0.2	95,775	0.3	448,020	1.4	134,792	0.4	206,445	1.2	323,425	2.2	221,570	1.8	226,966	2.4	295,138	1.1
2012	성북구	4,333,415	1.5	335	0.1	-	-	230,151	1.2	72,021	4	155,960	2.1	504,407	1	119,894	1.4	209,041	2.3	86,283	0.3	110,609	0.3	657,487	2	360,076	1	252,486	1.5	1,010,181	7	367,474	3	197,012	2.1	297,035	1.1
2012	강북구	2,388,395	0.8	384	0.1	-	-	151,577	0.8	48,922	2.7	100,362	1.3	306,083	0.6	124,697	1.5	155,080	1.7	50,608	0.2	201,343	0.6	348,953	1.1	107,479	0.3	190,620	1.1	225,541	1.6	214,577	1.8	162,171	1.7	217,923	0.8
2012	도봉구	2,266,746	0.8	910	0.2	127	0.1	151,465	0.8	52,507	2.9	76,503	1	317,181	0.6	152,173	1.8	103,550	1.1	14,901	0	56,190	0.2	388,235	1.2	116,492	0.3	241,867	1.4	270,115	1.9	173,939	1.4	150,591	1.6	166,683	0.6
2012	노원구	4,203,338	1.5	918	0.2	-	-	174,372	0.9	85,336	4.8	138,566	1.8	429,375	0.8	216,475	2.5	203,584	2.2	43,746	0.1	215,918	0.6	642,037	2	208,238	0.6	250,363	1.5	890,760	6.2	526,804	4.3	176,846	1.9	288,853	1.1
2012	은평구	2,854,701	1	2,307	0.4	-	-	100,397	0.5	67,482	3.8	150,405	2	362,584	0.7	144,495	1.7	166,077	1.8	41,618	0.1	131,412	0.4	553,474	1.7	147,145	0.4	227,883	1.3	346,296	2.4	263,361	2.2	149,764	1.6	223,402	0.8
