기간	자치구	동	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	자치구	동	전체인구	전체인구	전체인구	합계	합계	합계	내국인	내국인	내국인	외국인	외국인	외국인
기간	자치구	동	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2016	합계	합계	10,204,057	5,007,379	5,196,678	1,300,877	573,091	727,786	1,295,899	570,490	725,409	4,978	2,601	2,377
2016	종로구	소계	161,922	79,322	82,600	25,091	10,979	14,112	24,950	10,895	14,055	141	84	57
2016	종로구	사직동	10,013	4,605	5,408	1,707	736	971	1,699	732	967	8	4	4
2016	종로구	삼청동	3,118	1,491	1,627	624	279	345	616	272	344	8	7	1
2016	종로구	부암동	11,044	5,349	5,695	1,723	768	955	1,721	767	954	2	1	1
2016	종로구	평창동	19,457	9,220	10,237	2,952	1,240	1,712	2,941	1,232	1,709	11	8	3
2016	종로구	무악동	8,516	3,998	4,518	1,206	505	701	1,202	503	699	4	2	2
2016	종로구	교남동	4,748	2,257	2,491	888	355	533	887	354	533	1	1	-
2016	종로구	가회동	4,780	2,225	2,555	878	357	521	869	351	518	9	6	3
2016	종로구	종로1.2.3.4가동	8,727	5,077	3,650	1,814	966	848	1,786	950	836	28	16	12
2016	종로구	종로5·6가동	5,775	3,158	2,617	1,089	511	578	1,086	511	575	3	-	3
2016	종로구	이화동	8,927	4,198	4,729	1,259	513	746	1,257	512	745	2	1	1
2016	종로구	창신1동	6,590	3,543	3,047	1,101	530	571	1,092	526	566	9	4	5
2016	종로구	창신2동	10,701	5,413	5,288	1,566	672	894	1,545	660	885	21	12	9
2016	종로구	창신3동	7,753	3,879	3,874	1,068	470	598	1,065	467	598	3	3	-
2016	종로구	숭인1동	7,109	3,531	3,578	1,036	443	593	1,033	440	593	3	3	-
2016	종로구	숭인2동	10,148	5,119	5,029	1,567	757	810	1,559	752	807	8	5	3
2016	종로구	청운효자동	14,111	6,714	7,397	2,093	851	1,242	2,077	842	1,235	16	9	7
2016	종로구	혜화동	20,405	9,545	10,860	2,520	1,026	1,494	2,515	1,024	1,491	5	2	3
2016	중구	소계	134,409	66,452	67,957	20,606	8,965	11,641	20,388	8,852	11,536	218	113	105
2016	중구	소공동	2,596	1,376	1,220	229	113	116	210	101	109	19	12	7
2016	중구	회현동	6,128	3,390	2,738	1,316	681	635	1,266	655	611	50	26	24
2016	중구	명동	3,524	1,577	1,947	651	243	408	633	232	401	18	11	7
2016	중구	필동	5,120	2,530	2,590	780	336	444	775	335	440	5	1	4
2016	중구	장충동	5,845	2,843	3,002	756	326	430	749	325	424	7	1	6
2016	중구	광희동	6,031	3,089	2,942	1,067	513	554	1,049	502	547	18	11	7
2016	중구	을지로동	1,826	1,131	695	423	241	182	414	237	177	9	4	5
2016	중구	신당5동	10,164	5,069	5,095	1,478	594	884	1,467	587	880	11	7	4
2016	중구	황학동	13,217	6,554	6,663	1,720	776	944	1,709	771	938	11	5	6
2016	중구	중림동	8,902	4,501	4,401	1,543	699	844	1,531	693	838	12	6	6
2016	중구	신당동	9,429	4,706	4,723	1,205	539	666	1,180	525	655	25	14	11
2016	중구	다산동	15,956	7,747	8,209	2,326	1,012	1,314	2,315	1,007	1,308	11	5	6
2016	중구	약수동	18,796	8,985	9,811	3,194	1,306	1,888	3,185	1,302	1,883	9	4	5
2016	중구	청구동	15,233	7,293	7,940	2,346	914	1,432	2,340	911	1,429	6	3	3
2016	중구	동화동	11,642	5,661	5,981	1,572	672	900	1,565	669	896	7	3	4
2016	용산구	소계	245,102	119,636	125,466	35,915	15,100	20,815	35,547	14,866	20,681	368	234	134
2016	용산구	후암동	19,308	9,534	9,774	2,871	1,178	1,693	2,853	1,167	1,686	18	11	7
2016	용산구	용산2가동	12,746	6,210	6,536	1,952	795	1,157	1,930	780	1,150	22	15	7
2016	용산구	남영동	8,762	5,269	3,493	1,434	816	618	1,420	806	614	14	10	4
2016	용산구	원효로2동	15,512	7,283	8,229	2,163	892	1,271	2,158	891	1,267	5	1	4
2016	용산구	효창동	9,566	4,643	4,923	1,369	572	797	1,364	570	794	5	2	3
2016	용산구	용문동	12,862	6,199	6,663	1,819	753	1,066	1,815	750	1,065	4	3	1
2016	용산구	이촌1동	29,134	13,623	15,511	4,017	1,644	2,373	3,982	1,620	2,362	35	24	11
2016	용산구	이촌2동	9,380	4,442	4,938	1,612	634	978	1,607	632	975	5	2	3
2016	용산구	이태원1동	8,806	4,379	4,427	1,442	548	894	1,408	526	882	34	22	12
2016	용산구	이태원2동	11,004	5,237	5,767	1,825	751	1,074	1,797	731	1,066	28	20	8
2016	용산구	서빙고동	14,507	7,041	7,466	2,017	804	1,213	1,992	784	1,208	25	20	5
2016	용산구	보광동	16,988	8,477	8,511	2,600	1,057	1,543	2,581	1,046	1,535	19	11	8
2016	용산구	청파동	21,913	10,414	11,499	3,057	1,261	1,796	3,039	1,255	1,784	18	6	12
2016	용산구	원효로1동	14,717	7,212	7,505	1,703	780	923	1,679	765	914	24	15	9
2016	용산구	한강로동	16,463	8,193	8,270	2,745	1,236	1,509	2,680	1,194	1,486	65	42	23
2016	용산구	한남동	23,434	11,480	11,954	3,289	1,379	1,910	3,242	1,349	1,893	47	30	17
2016	성동구	소계	307,161	152,006	155,155	39,262	17,074	22,188	39,140	17,005	22,135	122	69	53
2016	성동구	왕십리2동	16,917	8,335	8,582	2,184	951	1,233	2,179	947	1,232	5	4	1
2016	성동구	마장동	24,569	12,121	12,448	3,279	1,465	1,814	3,269	1,460	1,809	10	5	5
2016	성동구	사근동	12,722	6,478	6,244	1,410	611	799	1,402	607	795	8	4	4
2016	성동구	행당1동	14,708	7,214	7,494	2,025	877	1,148	2,023	876	1,147	2	1	1
2016	성동구	행당2동	25,748	12,191	13,557	3,154	1,320	1,834	3,148	1,318	1,830	6	2	4
2016	성동구	응봉동	16,921	8,095	8,826	2,260	974	1,286	2,259	974	1,285	1	-	1
2016	성동구	금호1가동	13,419	6,498	6,921	1,975	813	1,162	1,970	809	1,161	5	4	1
2016	성동구	금호4가동	14,557	7,033	7,524	1,945	792	1,153	1,942	791	1,151	3	1	2
2016	성동구	성수1가1동	17,231	8,715	8,516	1,865	827	1,038	1,855	821	1,034	10	6	4
2016	성동구	성수1가2동	17,024	8,600	8,424	1,943	875	1,068	1,938	875	1,063	5	-	5
2016	성동구	성수2가1동	19,378	10,085	9,293	2,490	1,148	1,342	2,478	1,139	1,339	12	9	3
2016	성동구	성수2가3동	12,142	6,310	5,832	1,566	732	834	1,561	730	831	5	2	3
2016	성동구	송정동	12,005	6,362	5,643	1,497	690	807	1,481	679	802	16	11	5
2016	성동구	용답동	17,059	9,009	8,050	2,326	1,045	1,281	2,315	1,039	1,276	11	6	5
2016	성동구	왕십리도선동	22,878	11,072	11,806	2,749	1,159	1,590	2,741	1,156	1,585	8	3	5
2016	성동구	금호2.3가동	25,038	12,086	12,952	3,458	1,440	2,018	3,456	1,439	2,017	2	1	1
2016	성동구	옥수동	24,845	11,802	13,043	3,136	1,355	1,781	3,123	1,345	1,778	13	10	3
2016	광진구	소계	372,104	181,251	190,853	41,441	18,421	23,020	41,292	18,345	22,947	149	76	73
2016	광진구	화양동	24,495	11,456	13,039	2,114	938	1,176	2,103	933	1,170	11	5	6
2016	광진구	군자동	22,048	10,868	11,180	2,455	1,086	1,369	2,447	1,082	1,365	8	4	4
