기간	자치구	행정동	출생	출생	출생	사망	사망	사망
기간	자치구	행정동	계	남자	여자	계	남자	여자
2016	합계	합계	75,536	38,744	36,792	43,540	24,210	19,330
2016	종로구	소계	846	444	402	823	445	378
2016	종로구	사직동	77	40	37	58	30	28
2016	종로구	삼청동	7	4	3	19	6	13
2016	종로구	부암동	53	28	25	36	20	16
2016	종로구	평창동	110	58	52	112	50	62
2016	종로구	무악동	40	26	14	31	16	15
2016	종로구	교남동	34	19	15	18	12	6
2016	종로구	가회동	23	10	13	29	8	21
2016	종로구	종로1.2.3.4가동	25	15	10	55	42	13
2016	종로구	종로5·6가동	24	13	11	41	25	16
2016	종로구	이화동	49	26	23	44	22	22
2016	종로구	창신1동	31	12	19	41	27	14
2016	종로구	창신2동	40	19	21	57	36	21
2016	종로구	창신3동	56	27	29	35	18	17
2016	종로구	숭인1동	47	22	25	46	25	21
2016	종로구	숭인2동	54	34	20	42	28	14
2016	종로구	청운효자동	91	50	41	72	30	42
2016	종로구	혜화동	85	41	44	87	50	37
2016	중구	소계	959	497	462	669	390	279
2016	중구	소공동	14	8	6	7	3	4
2016	중구	회현동	29	17	12	45	35	10
2016	중구	명동	17	10	7	12	5	7
2016	중구	필동	29	13	16	19	12	7
2016	중구	장충동	26	15	11	23	14	9
2016	중구	광희동	28	17	11	23	11	12
2016	중구	을지로동	2	1	1	17	7	10
2016	중구	신당5동	96	44	52	68	46	22
2016	중구	황학동	143	75	68	68	38	30
2016	중구	중림동	71	32	39	64	49	15
2016	중구	신당동	53	27	26	42	28	14
2016	중구	다산동	115	52	63	71	35	36
2016	중구	약수동	143	81	62	85	41	44
2016	중구	청구동	110	62	48	73	39	34
2016	중구	동화동	83	43	40	52	27	25
2016	용산구	소계	1,708	878	830	1,137	650	487
2016	용산구	후암동	131	72	59	95	57	38
2016	용산구	용산2가동	91	41	50	68	39	29
2016	용산구	남영동	39	23	16	73	54	19
2016	용산구	원효로2동	108	56	52	71	40	31
2016	용산구	효창동	76	43	33	42	21	21
2016	용산구	용문동	122	67	55	72	42	30
2016	용산구	이촌1동	238	118	120	96	44	52
2016	용산구	이촌2동	84	47	37	47	28	19
2016	용산구	이태원1동	47	22	25	52	29	23
2016	용산구	이태원2동	59	31	28	41	22	19
2016	용산구	서빙고동	63	32	31	48	29	19
2016	용산구	보광동	72	38	34	77	43	34
2016	용산구	청파동	121	57	64	110	65	45
2016	용산구	원효로1동	158	79	79	50	31	19
2016	용산구	한강로동	133	67	66	84	48	36
2016	용산구	한남동	166	85	81	111	58	53
2016	성동구	소계	2,531	1,287	1,244	1,304	747	557
2016	성동구	왕십리2동	108	53	55	59	32	27
2016	성동구	마장동	179	100	79	108	65	43
2016	성동구	사근동	69	38	31	47	27	20
2016	성동구	행당1동	101	51	50	62	35	27
2016	성동구	행당2동	262	113	149	122	65	57
2016	성동구	응봉동	144	70	74	66	35	31
2016	성동구	금호1가동	91	39	52	89	39	50
2016	성동구	금호4가동	153	81	72	57	27	30
2016	성동구	성수1가1동	161	93	68	68	48	20
2016	성동구	성수1가2동	144	75	69	67	46	21
2016	성동구	성수2가1동	125	60	65	90	54	36
2016	성동구	성수2가3동	74	36	38	45	27	18
2016	성동구	송정동	88	53	35	56	37	19
2016	성동구	용답동	97	55	42	85	59	26
2016	성동구	왕십리도선동	182	85	97	99	49	50
2016	성동구	금호2.3가동	280	157	123	91	57	34
2016	성동구	옥수동	273	128	145	93	45	48
2016	광진구	소계	2,767	1,411	1,356	1,344	785	559
2016	광진구	화양동	95	52	43	70	41	29
2016	광진구	군자동	152	72	80	76	40	36
2016	광진구	중곡1동	172	87	85	99	65	34
2016	광진구	중곡2동	211	104	107	85	39	46
2016	광진구	중곡3동	149	76	73	75	54	21
2016	광진구	중곡4동	255	140	115	146	82	64
2016	광진구	능동	127	69	58	28	14	14
2016	광진구	구의1동	214	103	111	82	54	28
2016	광진구	구의2동	186	103	83	82	43	39
2016	광진구	구의3동	265	127	138	89	55	34
2016	광진구	광장동	174	90	84	99	56	43
2016	광진구	자양1동	177	85	92	135	78	57
2016	광진구	자양2동	217	101	116	90	53	37
2016	광진구	자양3동	265	142	123	92	52	40
2016	광진구	자양4동	108	60	48	96	59	37
2016	동대문구	소계	2,383	1,185	1,198	1,921	1,088	833
2016	동대문구	회기동	67	38	29	46	27	19
2016	동대문구	휘경1동	76	42	34	73	39	34
2016	동대문구	휘경2동	156	79	77	106	57	49
2016	동대문구	청량리동	89	39	50	182	99	83
2016	동대문구	용신동	216	101	115	199	112	87
2016	동대문구	제기동	149	68	81	182	107	75
2016	동대문구	전농1동	205	100	105	185	111	74
2016	동대문구	전농2동	141	73	68	103	54	49
2016	동대문구	답십리1동	256	124	132	136	80	56
2016	동대문구	답십리2동	197	81	116	154	85	69
2016	동대문구	장안1동	307	177	130	166	97	69
2016	동대문구	장안2동	246	125	121	139	72	67
2016	동대문구	이문1동	115	63	52	137	75	62
2016	동대문구	이문2동	163	75	88	113	73	40
2016	중랑구	소계	3,085	1,551	1,534	2,013	1,144	869
2016	중랑구	면목2동	208	109	99	168	94	74
2016	중랑구	면목4동	174	88	86	109	63	46
2016	중랑구	면목5동	96	47	49	57	35	22
2016	중랑구	면목7동	144	68	76	96	53	43
2016	중랑구	상봉1동	195	104	91	103	59	44
2016	중랑구	상봉2동	148	73	75	84	48	36
2016	중랑구	중화1동	209	111	98	117	68	49
2016	중랑구	중화2동	172	95	77	144	83	61
2016	중랑구	묵1동	296	137	159	151	82	69
2016	중랑구	묵2동	172	82	90	80	50	30
2016	중랑구	망우3동	136	77	59	108	68	40
2016	중랑구	신내1동	313	153	160	218	112	106
2016	중랑구	신내2동	204	96	108	135	69	66
2016	중랑구	면목본동	231	121	110	152	91	61
2016	중랑구	면목3.8동	180	91	89	120	70	50
2016	중랑구	망우본동	207	99	108	171	99	72
2016	성북구	소계	3,060	1,552	1,508	2,139	1,224	915
2016	성북구	돈암1동	166	84	82	92	59	33
2016	성북구	돈암2동	162	82	80	76	44	32
2016	성북구	안암동	75	39	36	73	31	42
2016	성북구	보문동	94	50	44	68	40	28
2016	성북구	정릉1동	175	90	85	108	65	43
2016	성북구	정릉2동	164	83	81	108	64	44
2016	성북구	정릉3동	111	56	55	76	44	32
2016	성북구	정릉4동	176	92	84	117	78	39
2016	성북구	길음1동	373	205	168	129	65	64
2016	성북구	길음2동	95	52	43	87	56	31
2016	성북구	월곡1동	194	98	96	100	58	42
2016	성북구	월곡2동	143	74	69	114	63	51
2016	성북구	장위1동	127	67	60	164	99	65
2016	성북구	장위2동	91	49	42	119	67	52
2016	성북구	장위3동	52	24	28	55	27	28
2016	성북구	성북동	89	45	44	95	57	38
2016	성북구	삼선동	157	86	71	133	63	70
2016	성북구	동선동	108	50	58	73	37	36
2016	성북구	종암동	300	137	163	177	95	82
2016	성북구	석관동	208	89	119	175	112	63
2016	강북구	소계	1,965	990	975	1,845	1,099	746
2016	강북구	번1동	109	51	58	131	88	43
2016	강북구	번2동	93	51	42	100	66	34
2016	강북구	번3동	106	44	62	134	76	58
2016	강북구	수유1동	131	65	66	155	93	62
2016	강북구	수유2동	138	67	71	138	89	49
2016	강북구	수유3동	152	79	73	136	79	57
2016	강북구	삼양동	203	108	95	187	108	79
2016	강북구	미아동	133	69	64	140	90	50
2016	강북구	송중동	137	65	72	137	75	62
2016	강북구	송천동	167	85	82	178	100	78
2016	강북구	삼각산동	270	138	132	118	66	52
2016	강북구	우이동	143	77	66	122	75	47
2016	강북구	인수동	183	91	92	169	94	75
2016	도봉구	소계	2,249	1,148	1,101	1,819	971	848
2016	도봉구	쌍문1동	119	53	66	148	78	70
2016	도봉구	쌍문2동	148	76	72	122	53	69
2016	도봉구	쌍문3동	130	67	63	92	51	41
2016	도봉구	쌍문4동	87	42	45	79	43	36
2016	도봉구	방학1동	163	101	62	151	74	77
2016	도봉구	방학2동	120	54	66	129	66	63
2016	도봉구	방학3동	168	76	92	136	64	72
2016	도봉구	창1동	222	109	113	142	86	56
2016	도봉구	창2동	245	122	123	160	86	74
2016	도봉구	창3동	120	60	60	87	50	37
2016	도봉구	창4동	173	100	73	119	63	56
2016	도봉구	창5동	221	121	100	100	59	41
2016	도봉구	도봉1동	135	68	67	196	123	73
2016	도봉구	도봉2동	198	99	99	158	75	83
2016	노원구	소계	4,176	2,192	1,984	2,803	1,519	1,284
2016	노원구	월계1동	173	99	74	130	80	50
2016	노원구	월계2동	169	79	90	189	100	89
2016	노원구	월계3동	377	196	181	163	86	77
2016	노원구	공릉2동	370	183	187	148	78	70
2016	노원구	하계1동	118	60	58	174	88	86
2016	노원구	하계2동	142	77	65	93	55	38
2016	노원구	중계본동	75	46	29	109	75	34
2016	노원구	중계1동	53	31	22	101	47	54
2016	노원구	중계4동	129	78	51	146	73	73
2016	노원구	상계1동	295	161	134	222	101	121
2016	노원구	상계2동	109	61	48	102	60	42
2016	노원구	상계5동	144	74	70	153	79	74
2016	노원구	상계8동	503	257	246	94	48	46
2016	노원구	상계9동	202	104	98	93	53	40
2016	노원구	상계10동	227	117	110	95	48	47
2016	노원구	상계3.4동	145	75	70	217	132	85
2016	노원구	상계6.7동	331	174	157	139	77	62
2016	노원구	중계2.3동	294	160	134	256	139	117
2016	노원구	공릉1동	320	160	160	179	100	79
2016	은평구	소계	3,522	1,825	1,697	2,474	1,394	1,080
2016	은평구	녹번동	275	152	123	177	97	80
2016	은평구	불광1동	404	202	202	230	115	115
2016	은평구	갈현1동	198	115	83	149	85	64
2016	은평구	갈현2동	204	116	88	105	60	45
2016	은평구	구산동	227	120	107	222	154	68
2016	은평구	대조동	253	139	114	178	102	76
2016	은평구	응암1동	219	106	113	163	98	65
2016	은평구	응암2동	162	77	85	94	52	42
2016	은평구	신사1동	199	90	109	141	81	60
2016	은평구	신사2동	161	84	77	88	50	38
2016	은평구	증산동	128	69	59	104	62	42
2016	은평구	수색동	100	55	45	102	50	52
2016	은평구	진관동	289	147	142	202	100	102
2016	은평구	불광2동	179	88	91	145	83	62
2016	은평구	응암3동	96	54	42	139	76	63
2016	은평구	역촌동	428	211	217	235	129	106
2016	서대문구	소계	2,201	1,124	1,077	1,514	857	657
2016	서대문구	천연동	157	82	75	92	50	42
2016	서대문구	홍제1동	194	103	91	117	56	61
