기간	자치구	동	합계	합계	합계	합계	합계	합계	합계	합계	합계	합계	광업	광업	광업	광업	광업	광업	광업	광업	광업	광업	제조업	제조업	제조업	제조업	제조업	제조업	제조업	제조업	제조업	제조업
기간	자치구	동	사업체수	월평균종사자수	연간급여액(퇴직금제외)	생산액	출하액	완제품반제품재공품재고액	완제품반제품재공품재고액	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)	사업체수	월평균종사자수	연간급여액(퇴직금제외)	생산액	출하액	완제품반제품재공품재고액	완제품반제품재공품재고액	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)	사업체수	월평균종사자수	연간급여액(퇴직금제외)	생산액	출하액	완제품반제품재공품재고액	완제품반제품재공품재고액	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)
기간	자치구	동	사업체수	월평균종사자수	연간급여액(퇴직금제외)	생산액	출하액	연초	연말	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)	사업체수	월평균종사자수	연간급여액(퇴직금제외)	생산액	출하액	연초	연말	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)	사업체수	월평균종사자수	연간급여액(퇴직금제외)	생산액	출하액	연초	연말	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)
2008	합계	합계	5,186	130,107	3,230,204	29,735,916	29,494,625	2,466,844	2,708,135	17,267,253	12,468,663	6,973,120	3	148	4,553	30,834	30,846	187	175	5,803	25,031	10,154	5,183	129,959	3,225,651	29,705,082	29,463,779	2,466,657	2,707,960	17,261,450	12,443,632	6,962,966
2008	종로구	계	128	3,140	99,729	1,671,220	1,646,387	211,692	236,525	591,087	1,080,133	184,752	-	-	-	-	-	-	-	-	-	-	128	3,140	99,729	1,671,220	1,646,387	211,692	236,525	591,087	1,080,133	184,752
2008	종로구	사직동	8	136	2,767	12,176	12,215	…	…	5,857	6,319	611	-	-	-	-	-	-	-	-	-	-	8	136	2,767	12,176	12,215	…	…	5,857	6,319	611
2008	종로구	삼청동	2	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	…	…	X	X	X
2008	종로구	부암동	1	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	…	…	X	X	X
2008	종로구	평창동	3	106	2,462	7,004	7,207	…	…	3,270	3,734	3,735	-	-	-	-	-	-	-	-	-	-	3	106	2,462	7,004	7,207	…	…	3,270	3,734	3,735
2008	종로구	무악동	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	종로구	교남동	1	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	…	…	X	X	X
2008	종로구	가회동	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	종로구	종로1.2.3.4가동	47	1,908	77,340	1,533,304	1,501,038	…	…	514,429	1,018,875	166,196	-	-	-	-	-	-	-	-	-	-	47	1,908	77,340	1,533,304	1,501,038	…	…	514,429	1,018,875	166,196
2008	종로구	종로5·6가동	43	602	9,699	54,673	55,093	…	…	33,017	21,656	3,744	-	-	-	-	-	-	-	-	-	-	43	602	9,699	54,673	55,093	…	…	33,017	21,656	3,744
2008	종로구	이화동	5	75	1,904	18,823	18,897	…	…	9,758	9,065	3,942	-	-	-	-	-	-	-	-	-	-	5	75	1,904	18,823	18,897	…	…	9,758	9,065	3,942
2008	종로구	혜화동	2	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	…	…	X	X	X
2008	종로구	명륜3가동	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	종로구	창신1동	2	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	…	…	X	X	X
2008	종로구	창신2동	6	60	737	2,043	2,043	…	…	239	1,804	151	-	-	-	-	-	-	-	-	-	-	6	60	737	2,043	2,043	…	…	239	1,804	151
2008	종로구	창신3동	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	종로구	숭인1동	1	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	…	…	X	X	X
2008	종로구	숭인2동	6	80	1,207	7,478	7,739	…	…	4,835	2,643	229	-	-	-	-	-	-	-	-	-	-	6	80	1,207	7,478	7,739	…	…	4,835	2,643	229
2008	종로구	청운효자동	1	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	…	…	X	X	X
2008	중구	계	423	6,499	144,525	934,146	933,345	22,069	22,870	526,282	407,864	290,969	-	-	-	-	-	-	-	-	-	-	423	6,499	144,525	934,146	933,345	22,069	22,870	526,282	407,864	290,969
2008	중구	소공동	12	195	6,024	50,930	53,048	…	…	37,223	13,707	9,956	-	-	-	-	-	-	-	-	-	-	12	195	6,024	50,930	53,048	…	…	37,223	13,707	9,956
2008	중구	회현동	12	236	5,213	53,688	53,941	…	…	31,255	22,433	1,520	-	-	-	-	-	-	-	-	-	-	12	236	5,213	53,688	53,941	…	…	31,255	22,433	1,520
2008	중구	명동	30	474	12,213	59,107	57,416	…	…	29,041	30,066	24,773	-	-	-	-	-	-	-	-	-	-	30	474	12,213	59,107	57,416	…	…	29,041	30,066	24,773
2008	중구	필동	113	2,033	49,373	293,386	293,336	…	…	156,328	137,058	124,666	-	-	-	-	-	-	-	-	-	-	113	2,033	49,373	293,386	293,336	…	…	156,328	137,058	124,666
2008	중구	장충동	15	301	6,474	53,399	53,246	…	…	36,062	17,337	8,915	-	-	-	-	-	-	-	-	-	-	15	301	6,474	53,399	53,246	…	…	36,062	17,337	8,915
2008	중구	광희동	83	1,135	26,625	188,563	188,792	…	…	115,685	72,878	71,176	-	-	-	-	-	-	-	-	-	-	83	1,135	26,625	188,563	188,792	…	…	115,685	72,878	71,176
2008	중구	을지로동	74	994	22,970	127,357	127,398	…	…	66,050	61,307	36,903	-	-	-	-	-	-	-	-	-	-	74	994	22,970	127,357	127,398	…	…	66,050	61,307	36,903
2008	중구	신당1동	19	227	2,015	21,650	20,906	…	…	11,565	10,085	3,374	-	-	-	-	-	-	-	-	-	-	19	227	2,015	21,650	20,906	…	…	11,565	10,085	3,374
2008	중구	신당2동	7	143	2,989	28,220	28,423	…	…	15,391	12,829	1,940	-	-	-	-	-	-	-	-	-	-	7	143	2,989	28,220	28,423	…	…	15,391	12,829	1,940
2008	중구	신당3동	1	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	…	…	X	X	X
2008	중구	신당4동	8	113	1,971	9,359	9,315	…	…	5,048	4,311	949	-	-	-	-	-	-	-	-	-	-	8	113	1,971	9,359	9,315	…	…	5,048	4,311	949
2008	중구	신당5동	6	67	524	2,243	2,262	…	…	832	1,411	193	-	-	-	-	-	-	-	-	-	-	6	67	524	2,243	2,262	…	…	832	1,411	193
2008	중구	신당6동	39	468	5,632	35,377	34,494	…	…	17,299	18,078	4,274	-	-	-	-	-	-	-	-	-	-	39	468	5,632	35,377	34,494	…	…	17,299	18,078	4,274
2008	중구	황학동	1	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	…	…	X	X	X
2008	중구	중림동	3	85	1,919	7,632	7,538	…	…	2,831	4,801	696	-	-	-	-	-	-	-	-	-	-	3	85	1,919	7,632	7,538	…	…	2,831	4,801	696
2008	용산구	계	54	1,062	26,041	141,671	140,969	4,427	5,129	71,908	69,763	43,543	-	-	-	-	-	-	-	-	-	-	54	1,062	26,041	141,671	140,969	4,427	5,129	71,908	69,763	43,543
2008	용산구	후암동	3	79	1,832	15,663	15,177	…	…	11,066	4,597	1,979	-	-	-	-	-	-	-	-	-	-	3	79	1,832	15,663	15,177	…	…	11,066	4,597	1,979
2008	용산구	용산2가동	1	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	…	…	X	X	X
2008	용산구	남영동	2	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	…	…	X	X	X
2008	용산구	원효로2동	4	110	2,909	15,294	15,253	…	…	8,648	6,646	5,395	-	-	-	-	-	-	-	-	-	-	4	110	2,909	15,294	15,253	…	…	8,648	6,646	5,395
2008	용산구	효창동	3	36	805	3,874	3,924	…	…	1,674	2,200	913	-	-	-	-	-	-	-	-	-	-	3	36	805	3,874	3,924	…	…	1,674	2,200	913
2008	용산구	용문동	2	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	…	…	X	X	X
2008	용산구	이촌1동	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	용산구	이촌2동	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	용산구	이태원1동	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	용산구	이태원2동	1	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	…	…	X	X	X
2008	용산구	서빙고동	1	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	…	…	X	X	X
2008	용산구	보광동	1	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	…	…	X	X	X
2008	용산구	청파동	10	184	4,025	20,054	20,054	…	…	8,242	11,812	8,909	-	-	-	-	-	-	-	-	-	-	10	184	4,025	20,054	20,054	…	…	8,242	11,812	8,909
2008	용산구	원효로1동	8	120	2,454	14,077	14,037	…	…	7,802	6,275	3,778	-	-	-	-	-	-	-	-	-	-	8	120	2,454	14,077	14,037	…	…	7,802	6,275	3,778
2008	용산구	한강로동	15	343	9,795	49,727	49,707	…	…	20,312	29,415	15,774	-	-	-	-	-	-	-	-	-	-	15	343	9,795	49,727	49,707	…	…	20,312	29,415	15,774
2008	용산구	한남동	3	48	929	8,705	8,592	…	…	6,261	2,444	541	-	-	-	-	-	-	-	-	-	-	3	48	929	8,705	8,592	…	…	6,261	2,444	541
2008	성동구	계	542	13,886	335,119	2,805,038	2,777,470	153,052	180,620	1,569,408	1,235,630	876,489	-	-	-	-	-	-	-	-	-	-	542	13,886	335,119	2,805,038	2,777,470	153,052	180,620	1,569,408	1,235,630	876,489
2008	성동구	왕십리2동	4	94	2,475	47,388	47,377	…	…	32,260	15,128	4,671	-	-	-	-	-	-	-	-	-	-	4	94	2,475	47,388	47,377	…	…	32,260	15,128	4,671
2008	성동구	마장동	18	275	5,993	89,028	88,406	…	…	69,409	19,619	14,868	-	-	-	-	-	-	-	-	-	-	18	275	5,993	89,028	88,406	…	…	69,409	19,619	14,868
2008	성동구	사근동	1	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	…	…	X	X	X
2008	성동구	행당1동	1	X	X	X	X	…	…	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	…	…	X	X	X
2008	성동구	행당2동	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	성동구	응봉동	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	성동구	금호1가동	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	성동구	금호4가동	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	…	-	-	-
2008	성동구	성수1가1동	33	568	12,765	149,252	149,327	…	…	91,496	57,756	207,499	-	-	-	-	-	-	-	-	-	-	33	568	12,765	149,252	149,327	…	…	91,496	57,756	207,499
2008	성동구	성수1가2동	53	1,037	25,692	189,453	190,357	…	…	105,439	84,014	60,343	-	-	-	-	-	-	-	-	-	-	53	1,037	25,692	189,453	190,357	…	…	105,439	84,014	60,343
2008	성동구	성수2가1동	91	1,792	34,431	316,511	315,367	…	…	192,901	123,610	54,916	-	-	-	-	-	-	-	-	-	-	91	1,792	34,431	316,511	315,367	…	…	192,901	123,610	54,916
2008	성동구	성수2가3동	300	9,213	233,662	1,814,956	1,788,719	…	…	951,258	863,698	514,810	-	-	-	-	-	-	-	-	-	-	300	9,213	233,662	1,814,956	1,788,719	…	…	951,258	863,698	514,810
2008	성동구	송정동	8	179	3,875	58,753	59,304	…	…	45,716	13,037	2,796	-	-	-	-	-	-	-	-	-	-	8	179	3,875	58,753	59,304	…	…	45,716	13,037	2,796
2008	성동구	용답동	21	440	10,127	87,924	86,910	…	…	47,317	40,607	8,447	-	-	-	-	-	-	-	-	-	-	21	440	10,127	87,924	86,910	…	…	47,317	40,607	8,447
2008	성동구	왕십리도선동	9	201	4,204	37,575	37,338	…	…	22,519	15,056	7,891	-	-	-	-	-	-	-	-	-	-	9	201	4,204	37,575	37,338	…	…	22,519	15,056	7,891
