기간	자치구	행정동	합계	합계	합계	합계	합계	합계	합계	합계	합계	합계	제조업	제조업	제조업	제조업	제조업	제조업	제조업	제조업	제조업	제조업
기간	자치구	행정동	사업체수	월평균종사자수	연간급여액(퇴직금제외)	생산액	출하액	완제품반제품재공품재고액	완제품반제품재공품재고액	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)	사업체수	월평균종사자수	연간급여액(퇴직금제외)	생산액	출하액	완제품반제품재공품재고액	완제품반제품재공품재고액	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)
기간	자치구	행정동	사업체수	월평균종사자수	연간급여액(퇴직금제외)	생산액	출하액	연초	연말	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)	사업체수	월평균종사자수	연간급여액(퇴직금제외)	생산액	출하액	연초	연말	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)
2016	합계	합계	4,292	112,136	3,540,204	32,652,066	32,598,800	4,109,234	4,162,500	18,004,401	14,647,665	8,186,354	4,292	112,136	3,540,204	32,652,066	32,598,800	4,109,234	4,162,500	18,004,401	14,647,665	8,186,354
2016	종로구	소계	108	2,251	51,042	490,064	482,924	25,415	32,555	319,199	170,865	67,546	108	2,251	51,042	490,064	482,924	25,415	32,555	319,199	170,865	67,546
2016	종로구	사직동	4	53	1,755	7,141	6,965	…	…	3,953	3,188	396	4	53	1,755	7,141	6,965	…	…	3,953	3,188	396
2016	종로구	삼청동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	종로구	부암동	3	44	1,839	13,147	10,949	…	…	7,880	5,267	1,248	3	44	1,839	13,147	10,949	…	…	7,880	5,267	1,248
2016	종로구	평창동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	종로구	가회동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	종로구	종로1.2.3.4가동	54	1,093	22,182	132,943	131,390	…	…	83,521	49,422	21,996	54	1,093	22,182	132,943	131,390	…	…	83,521	49,422	21,996
2016	종로구	종로5·6가동	29	525	8,217	55,131	53,361	…	…	32,229	22,902	4,942	29	525	8,217	55,131	53,361	…	…	32,229	22,902	4,942
2016	종로구	이화동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	종로구	창신2동	5	76	1,327	2,463	2,456	…	…	371	2,092	127	5	76	1,327	2,463	2,456	…	…	371	2,092	127
2016	종로구	숭인1동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	종로구	숭인2동	4	58	1,332	4,000	3,907	…	…	767	3,233	134	4	58	1,332	4,000	3,907	…	…	767	3,233	134
2016	종로구	혜화동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	중구	소계	257	5,683	185,210	1,094,561	1,095,751	16,473	15,283	572,591	521,970	462,408	257	5,683	185,210	1,094,561	1,095,751	16,473	15,283	572,591	521,970	462,408
2016	중구	소공동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	중구	회현동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	중구	명동	10	567	18,567	30,298	30,301	…	…	11,111	19,187	9,398	10	567	18,567	30,298	30,301	…	…	11,111	19,187	9,398
2016	중구	필동	86	2,084	76,801	464,187	464,174	…	…	221,060	243,127	297,918	86	2,084	76,801	464,187	464,174	…	…	221,060	243,127	297,918
2016	중구	장충동	6	105	3,189	25,938	25,770	…	…	16,272	9,666	6,308	6	105	3,189	25,938	25,770	…	…	16,272	9,666	6,308
2016	중구	광희동	58	1,204	40,789	322,873	322,813	…	…	191,108	131,765	71,965	58	1,204	40,789	322,873	322,813	…	…	191,108	131,765	71,965
2016	중구	을지로동	50	966	29,534	163,440	164,131	…	…	85,703	77,737	69,201	50	966	29,534	163,440	164,131	…	…	85,703	77,737	69,201
2016	중구	신당5동	6	63	651	3,064	3,069	…	…	1,771	1,293	155	6	63	651	3,064	3,069	…	…	1,771	1,293	155
2016	중구	중림동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	중구	신당동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	중구	다산동	9	147	5,233	29,352	29,936	…	…	16,300	13,052	1,933	9	147	5,233	29,352	29,936	…	…	16,300	13,052	1,933
2016	중구	약수동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	중구	청구동	5	63	2,041	11,263	11,263	…	…	7,243	4,020	341	5	63	2,041	11,263	11,263	…	…	7,243	4,020	341
2016	중구	동화동	17	219	2,337	9,464	9,503	…	…	4,525	4,939	1,366	17	219	2,337	9,464	9,503	…	…	4,525	4,939	1,366
2016	용산구	소계	29	1,026	33,207	275,427	278,396	22,069	19,100	122,059	153,368	64,066	29	1,026	33,207	275,427	278,396	22,069	19,100	122,059	153,368	64,066
2016	용산구	후암동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	용산구	용산2가동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
