기간	자치구	동	총 수급자	총 수급자	총 수급자	일반수급자	일반수급자	조건부 수급자	조건부 수급자	특례수급자	특례수급자	특례수급자	특례수급자	특례수급자	특례수급자	시설수급자	시설수급자
기간	자치구	동	총 수급자	총 수급자	총 수급자	일반수급자	일반수급자	조건부 수급자	조건부 수급자	소계	소계	개인단위보장특례	개인단위보장특례	타법령에 의한 특례	타법령에 의한 특례	시설수급자	시설수급자
기간	자치구	동	가구	시설	인원	가구	인원	가구	인원	가구	인원	가구	인원	가구	인원	시설수	인원
2012	서울시	서울시	120,704	557	200,371	105,556	153,776	12,740	30,324	2,408	3,917	1,118	1,959	1,290	1,958	557	12,354
2012	본청	본청	-	12	1,061	-	-	-	-	-	-	-	-	-	-	12	1,061
2012	종로구	소계	2,323	16	3,934	2,142	2,702	152	314	29	41	21	33	8	8	16	877
2012	종로구	사직동	66	-	87	58	65	7	21	1	1	1	1	-	-	-	-
2012	종로구	삼청동	34	-	42	30	34	4	8	-	-	-	-	-	-	-	-
2012	종로구	부암동	77	1	106	75	101	2	4	-	-	-	-	-	-	1	1
2012	종로구	평창동	68	10	237	64	93	4	13	-	-	-	-	-	-	10	131
2012	종로구	무악동	85	-	122	77	110	3	7	5	5	-	-	5	5	-	-
2012	종로구	교남동	160	-	219	144	185	14	28	2	6	1	5	1	1	-	-
2012	종로구	가회동	34	-	45	32	39	2	6	-	-	-	-	-	-	-	-
2012	종로구	종로1.2.3.4가동	463	1	483	425	436	28	36	10	10	10	10	-	-	1	1
2012	종로구	종로5·6가동	124	-	175	114	148	10	27	-	-	-	-	-	-	-	-
2012	종로구	이화동	111	-	169	105	150	4	14	2	5	2	5	-	-	-	-
2012	종로구	창신1동	230	-	267	218	248	8	13	4	6	2	4	2	2	-	-
2012	종로구	창신2동	205	-	313	189	276	15	36	1	1	1	1	-	-	-	-
2012	종로구	창신3동	86	-	149	73	115	13	34	-	-	-	-	-	-	-	-
2012	종로구	숭인1동	114	-	171	107	156	6	14	1	1	1	1	-	-	-	-
2012	종로구	숭인2동	223	-	259	203	231	18	24	2	4	2	4	-	-	-	-
2012	종로구	청운효자동	124	1	188	117	170	7	17	-	-	-	-	-	-	1	1
2012	종로구	혜화동	119	-	159	111	145	7	12	1	2	1	2	-	-	-	-
2012	종로구	기타	-	3	743	-	-	-	-	-	-	-	-	-	-	3	743
2012	중구	소계	2,647	2	3,574	2,417	3,057	210	411	20	30	15	24	5	6	2	76
2012	중구	소공동	11	-	16	11	15	-	1	-	-	-	-	-	-	-	-
2012	중구	회현동	434	-	463	384	408	45	48	5	5	5	5	-	-	-	2
2012	중구	명동	68	-	78	63	72	5	6	-	-	-	-	-	-	-	-
2012	중구	필동	62	2	82	57	72	4	4	1	1	1	1	-	-	2	5
2012	중구	장충동	46	-	54	45	51	1	3	-	-	-	-	-	-	-	-
2012	중구	광희동	91	-	124	81	100	10	24	-	-	-	-	-	-	-	-
2012	중구	을지로동	85	-	89	75	77	9	11	1	1	1	1	-	-	-	-
2012	중구	신당1동	150	-	185	144	177	5	6	1	2	1	2	-	-	-	-
2012	중구	신당2동	186	-	264	171	231	12	29	3	3	3	3	-	-	-	1
2012	중구	신당3동	378	-	601	340	504	35	90	3	6	2	5	1	1	-	1
2012	중구	신당4동	284	-	425	252	340	32	84	-	-	-	-	-	-	-	1
2012	중구	신당5동	211	-	284	193	244	16	33	2	6	1	5	1	1	-	1
2012	중구	신당6동	80	-	120	74	105	5	14	1	1	-	-	1	1	-	-
2012	중구	황학동	245	-	325	230	301	13	21	2	3	1	2	1	1	-	-
2012	중구	중림동	316	-	401	297	360	18	37	1	2	-	-	1	2	-	2
2012	중구	기타	-	-	63	-	-	-	-	-	-	-	-	-	-	-	63
2012	용산구	소계	3,319	14	4,534	3,039	3,748	248	495	32	41	7	10	25	31	14	250
2012	용산구	후암동	371	3	522	345	446	25	63	1	1	-	-	1	1	3	12
2012	용산구	용산2가동	181	1	297	165	247	16	35	-	-	-	-	-	-	1	15
2012	용산구	남영동	754	-	825	687	737	64	85	3	3	-	-	3	3	-	-
2012	용산구	원효로2동	121	1	166	111	140	9	22	1	1	1	1	-	-	1	3
2012	용산구	효창동	80	-	120	73	101	7	17	-	-	-	-	-	-	-	2
2012	용산구	용문동	137	-	213	126	173	11	27	-	-	-	-	-	-	-	13
2012	용산구	이촌1동	17	-	17	17	17	-	-	-	-	-	-	-	-	-	-
2012	용산구	이촌2동	43	-	53	41	46	2	6	-	-	-	-	-	-	-	1
2012	용산구	이태원1동	117	-	149	101	118	7	20	9	11	-	-	9	11	-	-
2012	용산구	이태원2동	137	1	182	122	152	7	17	8	13	3	5	5	8	1	-
2012	용산구	서빙고동	83	-	115	77	102	5	12	1	1	1	1	-	-	-	-
2012	용산구	보광동	267	-	365	246	318	19	44	2	2	-	-	2	2	-	1
2012	용산구	청파동	389	2	535	341	439	42	82	6	8	2	3	4	5	2	6
2012	용산구	원효로1동	108	3	144	101	125	7	14	-	-	-	-	-	-	3	5
2012	용산구	한강로동	208	-	247	196	230	11	16	1	1	-	-	1	1	-	-
