기간	자치구	동	총 수급자	총 수급자	총 수급자	일반수급자	일반수급자	조건부 수급자	조건부 수급자	특례수급자	특례수급자	시설수급자	시설수급자
기간	자치구	동	가구	시설	인원	가구	인원	가구	인원	가구	인원	시설	인원
2016	합계	합계	173,675	642	267,978	148,927	207,232	19,705	40,378	5,043	7,616	642	12,752
2016	본청	본청	-	8	955	-	-	-	-	-	-	8	955
2016	종로구	소계	2,792	14	4,249	2,446	2,977	257	436	89	104	14	732
2016	종로구	사직동	82	-	102	75	87	5	12	2	3	-	-
2016	종로구	삼청동	40	-	50	31	35	6	11	3	4	-	-
2016	종로구	부암동	98	-	140	84	112	12	26	2	2	-	-
2016	종로구	평창동	87	-	124	78	102	7	20	2	2	-	-
2016	종로구	무악동	92	-	129	81	109	8	17	3	3	-	-
2016	종로구	교남동	106	-	136	95	116	8	13	3	7	-	-
2016	종로구	가회동	38	-	47	35	42	3	5	-	-	-	-
2016	종로구	종로1.2.3.4가동	549	-	563	469	483	65	65	15	15	-	-
2016	종로구	종로5·6가동	177	-	228	158	202	14	20	5	6	-	-
2016	종로구	이화동	134	-	184	121	159	11	22	2	3	-	-
2016	종로구	창신1동	297	-	332	264	295	24	28	9	9	-	-
2016	종로구	창신2동	270	-	380	237	325	21	42	12	13	-	-
2016	종로구	창신3동	113	-	183	97	146	12	32	4	5	-	-
2016	종로구	숭인1동	153	-	210	143	191	9	18	1	1	-	-
2016	종로구	숭인2동	268	-	303	235	265	19	23	14	15	-	-
2016	종로구	청운효자동	127	-	188	110	148	14	37	3	3	-	-
2016	종로구	혜화동	161	-	218	133	160	19	45	9	13	-	-
2016	종로구	기타	-	14	732	-	-	-	-	-	-	14	732
2016	중구	소계	3,081	5	3,972	2,830	3,488	193	303	58	75	5	106
2016	중구	소공동	16	-	16	14	14	2	2	-	-	-	-
2016	중구	회현동	460	-	486	411	430	42	49	7	7	-	-
2016	중구	명동	53	-	57	46	51	6	5	1	1	-	-
2016	중구	필동	74	-	94	68	85	4	7	2	2	-	-
2016	중구	장충동	74	-	94	68	83	5	10	1	1	-	-
2016	중구	광희동	94	-	122	82	102	10	18	2	2	-	-
2016	중구	을지로동	81	-	84	74	77	6	6	1	1	-	-
2016	중구	신당5동	222	-	266	217	260	2	3	3	3	-	-
2016	중구	황학동	293	-	381	277	357	12	19	4	5	-	-
2016	중구	중림동	351	-	431	316	383	30	42	5	6	-	-
2016	중구	신당동	200	-	248	189	225	7	15	4	8	-	-
2016	중구	다산동	256	-	360	233	320	16	28	7	12	-	-
2016	중구	약수동	419	-	585	381	513	31	63	7	9	-	-
2016	중구	청구동	380	-	489	354	449	15	27	11	13	-	-
2016	중구	동화동	108	-	153	100	139	5	9	3	5	-	-
2016	중구	기타	-	5	106	-	-	-	-	-	-	5	106
2016	용산구	소계	4,421	13	5,978	3,853	4,845	397	648	171	219	13	266
2016	용산구	후암동	499	-	678	448	584	40	77	11	17	-	-
2016	용산구	용산2가동	281	-	413	243	349	23	46	15	18	-	-
2016	용산구	남영동	1,040	-	1,104	889	937	121	134	30	33	-	-
2016	용산구	원효로2동	235	-	322	201	260	21	40	13	22	-	-
2016	용산구	효창동	92	-	138	82	121	6	12	4	5	-	-
