기간	자치구	동	시설합계	노인복지관	노인복지관	경로당	노인교실
기간	자치구	동	시설합계	시설수	종사자수	경로당	노인교실
2016	합계	합계	3,808	76	1,404	3,369	363
2016	종로구	소계	69	2	98	56	11
2016	종로구	사직동	2	-	-	1	1
2016	종로구	삼청동	2	-	-	2	-
2016	종로구	부암동	2	-	-	1	1
2016	종로구	평창동	7	-	-	6	1
2016	종로구	무악동	4	-	-	4	-
2016	종로구	교남동	3	-	-	2	1
2016	종로구	가회동	4	-	-	4	-
2016	종로구	종로1.2.3.4가동	7	1	62	3	3
2016	종로구	종로5·6가동	4	-	-	2	2
2016	종로구	이화동	7	1	36	6	-
2016	종로구	창신1동	4	-	-	3	1
2016	종로구	창신2동	3	-	-	3	-
2016	종로구	창신3동	4	-	-	4	-
2016	종로구	숭인1동	3	-	-	3	-
2016	종로구	숭인2동	5	-	-	5	-
2016	종로구	청운효자동	2	-	-	2	-
2016	종로구	혜화동	6	-	-	5	1
2016	중구	소계	50	1	26	46	3
2016	중구	소공동	1	-	-	1	-
2016	중구	회현동	4	-	-	4	-
2016	중구	명동	1	-	-	1	-
2016	중구	필동	1	-	-	1	-
2016	중구	장충동	2	-	-	2	-
2016	중구	광희동	2	-	-	2	-
2016	중구	을지로동	1	-	-	1	-
2016	중구	신당5동	9	-	-	7	2
2016	중구	황학동	3	-	-	3	-
2016	중구	중림동	3	-	-	3	-
2016	중구	신당동	2	-	-	2	-
2016	중구	다산동	4	-	-	3	1
2016	중구	약수동	6	1	26	5	-
2016	중구	청구동	5	-	-	5	-
2016	중구	동화동	6	-	-	6	-
2016	용산구	소계	111	2	64	85	24
2016	용산구	후암동	6	-	-	4	2
2016	용산구	용산2가동	5	-	-	3	2
2016	용산구	남영동	5	-	-	3	2
2016	용산구	원효로2동	8	-	-	6	2
2016	용산구	효창동	5	-	-	4	1
2016	용산구	용문동	6	-	-	5	1
2016	용산구	이촌1동	10	-	-	7	3
2016	용산구	이촌2동	7	-	-	5	2
2016	용산구	이태원1동	5	-	-	4	1
2016	용산구	이태원2동	5	-	-	4	1
2016	용산구	서빙고동	5	-	-	5	-
2016	용산구	보광동	10	-	-	10	-
2016	용산구	청파동	7	1	8	4	2
2016	용산구	원효로1동	6	-	-	5	1
2016	용산구	한강로동	11	-	-	8	3
2016	용산구	한남동	10	1	56	8	1
2016	성동구	소계	172	3	62	154	15
2016	성동구	왕십리2동	…	-	-	…	…
2016	성동구	마장동	…	1	51	…	…
2016	성동구	사근동	…	1	5	…	…
2016	성동구	행당1동	…	-	-	…	…
2016	성동구	행당2동	…	-	-	…	…
2016	성동구	응봉동	…	-	-	…	…
2016	성동구	금호1가동	…	-	-	…	…
2016	성동구	금호4가동	…	-	-	…	…
2016	성동구	성수1가1동	…	-	-	…	…
2016	성동구	성수1가2동	…	-	-	…	…
2016	성동구	성수2가1동	…	-	-	…	…
2016	성동구	성수2가3동	…	-	-	…	…
2016	성동구	송정동	…	-	-	…	…
2016	성동구	용답동	…	-	-	…	…
2016	성동구	왕십리도선동	…	1	6	…	…
2016	성동구	금호2.3가동	…	-	-	…	…
2016	성동구	옥수동	…	-	-	…	…
2016	광진구	소계	107	1	30	96	10
2016	광진구	화양동	3	-	-	3	-
2016	광진구	군자동	5	1	30	4	-
2016	광진구	중곡1동	3	-	-	2	1
2016	광진구	중곡2동	2	-	-	2	-
2016	광진구	중곡3동	3	-	-	2	1
2016	광진구	중곡4동	4	-	-	4	-
2016	광진구	능동	1	-	-	1	-
2016	광진구	구의1동	4	-	-	4	-
2016	광진구	구의2동	5	-	-	4	1
2016	광진구	구의3동	10	-	-	9	1
2016	광진구	광장동	23	-	-	21	2
2016	광진구	자양1동	4	-	-	4	-
2016	광진구	자양2동	12	-	-	11	1
2016	광진구	자양3동	18	-	-	16	2
2016	광진구	자양4동	10	-	-	9	1
2016	동대문구	소계	149	1	32	133	15
2016	동대문구	회기동	3	-	-	3	-
2016	동대문구	휘경1동	7	-	-	6	1
2016	동대문구	휘경2동	11	-	-	11	-
2016	동대문구	청량리동	11	1	32	9	1
2016	동대문구	용신동	12	-	-	11	1
2016	동대문구	제기동	11	-	-	10	1
2016	동대문구	전농1동	13	-	-	10	3
2016	동대문구	전농2동	9	-	-	9	-
2016	동대문구	답십리1동	9	-	-	9	-
2016	동대문구	답십리2동	19	-	-	17	2
2016	동대문구	장안1동	11	-	-	9	2
2016	동대문구	장안2동	14	-	-	11	3
2016	동대문구	이문1동	9	-	-	8	1
2016	동대문구	이문2동	10	-	-	10	-
2016	중랑구	소계	132	4	70	120	8
2016	중랑구	면목2동	7	1	31	5	1
2016	중랑구	면목4동	9	-	-	8	1
2016	중랑구	면목5동	3	-	-	3	-
2016	중랑구	면목7동	10	-	-	10	-
2016	중랑구	상봉1동	11	-	-	10	1
2016	중랑구	상봉2동	4	-	-	3	1
2016	중랑구	중화1동	4	1	7	3	-
2016	중랑구	중화2동	5	-	-	4	1
2016	중랑구	묵1동	13	-	-	13	-
2016	중랑구	묵2동	6	-	-	5	1
2016	중랑구	망우3동	2	-	-	2	-
2016	중랑구	신내1동	21	-	-	21	-
2016	중랑구	신내2동	9	1	26	8	-
2016	중랑구	면목본동	7	-	-	7	-
2016	중랑구	면목3.8동	9	1	6	7	1
2016	중랑구	망우본동	12	-	-	11	1
2016	성북구	소계	172	5	43	159	8
2016	성북구	돈암1동	8	-	-	8	-
2016	성북구	돈암2동	9	-	-	9	-
2016	성북구	안암동	5	-	-	5	-
2016	성북구	보문동	7	-	-	7	-
2016	성북구	정릉1동	10	-	-	10	-
2016	성북구	정릉2동	13	1	3	12	-
2016	성북구	정릉3동	5	-	-	5	-
2016	성북구	정릉4동	13	-	-	11	2
2016	성북구	길음1동	16	-	-	16	-
2016	성북구	길음2동	6	-	-	6	-
2016	성북구	월곡1동	9	-	-	9	-
2016	성북구	월곡2동	10	1	3	9	-
2016	성북구	장위1동	6	-	-	4	2
2016	성북구	장위2동	3	1	3	2	-
2016	성북구	장위3동	5	-	-	5	-
2016	성북구	성북동	6	-	-	5	1
2016	성북구	삼선동	9	-	-	9	-
2016	성북구	동선동	6	-	-	4	2
2016	성북구	종암동	18	1	31	16	1
2016	성북구	석관동	8	1	3	7	-
2016	강북구	소계	113	2	38	96	15
2016	강북구	번1동	7	-	-	6	1
2016	강북구	번2동	9	-	-	8	1
2016	강북구	번3동	12	-	-	12	-
2016	강북구	수유1동	6	-	-	5	1
2016	강북구	수유2동	9	-	-	7	2
2016	강북구	수유3동	4	-	-	3	1
2016	강북구	삼양동	16	1	5	12	3
2016	강북구	미아동	10	-	-	7	3
2016	강북구	송중동	7	-	-	7	-
2016	강북구	송천동	10	-	-	9	1
2016	강북구	삼각산동	8	-	-	7	1
2016	강북구	우이동	6	-	-	6	-
2016	강북구	인수동	9	1	33	7	1
2016	도봉구	소계	146	5	91	136	5
2016	도봉구	쌍문1동	15	1	7	13	1
2016	도봉구	쌍문2동	8	1	62	7	-
2016	도봉구	쌍문3동	5	-	-	5	-
2016	도봉구	쌍문4동	11	-	-	11	-
2016	도봉구	방학1동	12	-	-	12	-
2016	도봉구	방학2동	6	1	7	5	-
2016	도봉구	방학3동	18	-	-	17	1
2016	도봉구	창1동	7	-	-	7	-
2016	도봉구	창2동	8	-	-	8	-
2016	도봉구	창3동	7	1	7	6	-
2016	도봉구	창4동	9	-	-	9	-
2016	도봉구	창5동	15	-	-	14	1
2016	도봉구	도봉1동	12	1	8	9	2
2016	도봉구	도봉2동	13	-	-	13	-
2016	노원구	소계	260	2	42	244	14
2016	노원구	월계1동	17	-	-	16	1
2016	노원구	월계2동	15	-	-	15	-
2016	노원구	월계3동	12	-	-	12	-
2016	노원구	공릉2동	27	1	7	25	1
