기간	자치구	동	합계	합계	합계	국민기초생활보장수급권자	국민기초생활보장수급권자	국민기초생활보장수급권자	저소득노인	저소득노인	저소득노인	일반	일반	일반
기간	자치구	동	계	남	여	계	남	여	계	남	여	계	남	여
2016	합계	합계	288,599	…	…	51,528	…	…	16,104	…	…	220,967	…	…
2016	종로구	소계	7,074	2,811	4,263	1,189	584	605	277	97	180	5,608	2,130	3,478
2016	종로구	사직동	383	132	251	38	12	26	12	7	5	333	113	220
2016	종로구	삼청동	156	49	107	17	5	12	4	-	4	135	44	91
2016	종로구	부암동	319	114	205	46	18	28	15	5	10	258	91	167
2016	종로구	평창동	615	164	451	45	6	39	15	1	14	555	157	398
2016	종로구	무악동	205	60	145	42	10	32	21	4	17	142	46	96
2016	종로구	교남동	253	73	180	45	19	26	13	2	11	195	52	143
2016	종로구	가회동	196	49	147	18	7	11	6	1	5	172	41	131
2016	종로구	종로1.2.3.4가동	1,089	712	377	235	164	71	31	17	14	823	531	292
2016	종로구	종로5·6가동	415	187	228	83	51	32	24	11	13	308	125	183
2016	종로구	이화동	305	76	229	52	14	38	26	9	17	227	53	174
2016	종로구	창신1동	414	205	209	146	101	45	9	7	2	259	97	162
2016	종로구	창신2동	428	167	261	103	39	64	15	5	10	310	123	187
2016	종로구	창신3동	215	62	153	34	14	20	10	1	9	171	47	124
2016	종로구	숭인1동	373	121	252	58	22	36	11	3	8	304	96	208
2016	종로구	숭인2동	667	363	304	120	77	43	21	9	12	526	277	249
2016	종로구	청운효자동	429	109	320	54	13	41	24	7	17	351	89	262
2016	종로구	혜화동	612	168	444	53	12	41	20	8	12	539	148	391
2016	중구	소계	5,528	1,981	3,547	1,452	633	819	213	75	138	3,863	1,273	2,590
2016	중구	소공동	54	24	30	7	4	3	1	-	1	46	20	26
2016	중구	회현동	461	245	216	156	110	46	13	7	6	292	128	164
2016	중구	명동	157	82	75	27	20	7	3	1	2	127	61	66
2016	중구	필동	228	86	142	39	19	20	3	1	2	186	66	120
2016	중구	장충동	187	59	128	36	15	21	4	1	3	147	43	104
2016	중구	광희동	352	159	193	51	25	26	6	2	4	295	132	163
2016	중구	을지로동	224	140	84	51	33	18	7	2	5	166	105	61
2016	중구	신당5동	411	116	295	112	37	75	9	2	7	290	77	213
2016	중구	황학동	514	204	310	160	78	82	17	6	11	337	120	217
2016	중구	중림동	440	164	276	134	67	67	30	11	19	276	86	190
2016	중구	신당동	385	151	234	92	43	49	14	6	8	279	102	177
2016	중구	다산동	503	159	344	103	39	64	27	10	17	373	110	263
2016	중구	약수동	755	190	565	248	75	173	44	17	27	463	98	365
2016	중구	청구동	601	139	462	196	59	137	26	8	18	379	72	307
2016	중구	동화동	256	63	193	40	9	31	9	1	8	207	53	154
2016	용산구	소계	8,520	2,632	5,888	1,598	620	978	420	97	323	6,502	1,915	4,587
2016	용산구	후암동	785	241	544	194	73	121	44	12	32	547	156	391
2016	용산구	용산2가동	493	130	363	87	21	66	36	5	31	370	104	266
2016	용산구	남영동	701	444	257	313	242	71	28	16	12	360	186	174
2016	용산구	원효로2동	442	98	344	84	20	64	27	8	19	331	70	261
2016	용산구	효창동	247	66	181	32	13	19	9	2	7	206	51	155
2016	용산구	용문동	345	76	269	65	14	51	17	2	15	263	60	203
2016	용산구	이촌1동	645	139	506	16	4	12	9	2	7	620	133	487
2016	용산구	이촌2동	353	82	271	33	8	25	14	1	13	306	73	233
2016	용산구	이태원1동	327	80	247	49	7	42	14	7	7	264	66	198
2016	용산구	이태원2동	409	94	315	61	14	47	29	1	28	319	79	240
2016	용산구	서빙고동	428	103	325	41	10	31	21	2	19	366	91	275
2016	용산구	보광동	662	180	482	154	39	115	59	12	47	449	129	320
2016	용산구	청파동	786	269	517	171	71	100	32	7	25	583	191	392
2016	용산구	원효로1동	389	134	255	59	20	39	16	2	14	314	112	202
2016	용산구	한강로동	715	254	461	95	37	58	40	14	26	580	203	377
2016	용산구	한남동	793	242	551	144	27	117	25	4	21	624	211	413
2016	성동구	소계	9,025	…	…	1,542	…	…	666	…	…	6,817	…	…
2016	성동구	왕십리2동	546	…	…	93	…	…	43	…	…	410	…	…
2016	성동구	마장동	734	…	…	158	…	…	126	…	…	450	…	…
2016	성동구	사근동	338	…	…	33	…	…	16	…	…	289	…	…
2016	성동구	행당1동	511	…	…	74	…	…	24	…	…	413	…	…
2016	성동구	행당2동	616	…	…	99	…	…	52	…	…	465	…	…
2016	성동구	응봉동	423	…	…	5	…	…	77	…	…	341	…	…
2016	성동구	금호1가동	512	…	…	130	…	…	34	…	…	348	…	…
2016	성동구	금호4가동	478	…	…	95	…	…	16	…	…	367	…	…
2016	성동구	성수1가1동	452	…	…	85	…	…	35	…	…	332	…	…
2016	성동구	성수1가2동	442	…	…	58	…	…	22	…	…	362	…	…
2016	성동구	성수2가1동	677	…	…	117	…	…	54	…	…	506	…	…
2016	성동구	성수2가3동	335	…	…	35	…	…	15	…	…	285	…	…
2016	성동구	송정동	361	…	…	71	…	…	39	…	…	251	…	…
2016	성동구	용답동	665	…	…	154	…	…	14	…	…	497	…	…
2016	성동구	왕십리도선동	685	…	…	172	…	…	39	…	…	474	…	…
2016	성동구	금호2.3가동	654	…	…	111	…	…	19	…	…	524	…	…
2016	성동구	옥수동	596	…	…	52	…	…	41	…	…	503	…	…
2016	광진구	소계	8,860	2,722	6,138	1,421	416	1,005	621	155	466	6,818	2,151	4,667
2016	광진구	화양동	622	178	444	89	29	60	26	7	19	507	142	365
2016	광진구	군자동	574	185	389	119	34	85	23	-	23	432	151	281
2016	광진구	중곡1동	485	168	317	72	17	55	94	26	68	319	125	194
2016	광진구	중곡2동	480	144	336	90	31	59	53	14	39	337	99	238
2016	광진구	중곡3동	534	168	366	104	28	76	32	5	27	398	135	263
2016	광진구	중곡4동	842	252	590	180	42	138	56	7	49	606	203	403
2016	광진구	능동	260	90	170	45	13	32	36	12	24	179	65	114
