기간	자치구	동	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원
기간	자치구	동	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장
2012	합계	합계	261,870	57,007	2,717	8,899	126,618	55,247	769	10,613	239,335	53,601	2,553	7,673	115,188	51,370	655	8,295
2012	종로구	소계	4,371	1,794	141	149	1,076	147	-	1,064	3,934	1,697	126	149	990	135	-	837
2012	종로구	사직동	530	101	64	-	64	-	-	301	416	95	59	-	51	-	-	211
2012	종로구	삼청동	32	32	-	-	-	-	-	-	29	29	-	-	-	-	-	-
2012	종로구	부암동	121	89	-	-	32	-	-	-	118	86	-	-	32	-	-	-
2012	종로구	평창동	58	-	-	-	-	58	-	-	57	-	-	-	-	57	-	-
2012	종로구	무악동	454	175	-	-	279	-	-	-	411	165	-	-	246	-	-	-
2012	종로구	교남동	222	163	-	-	39	20	-	-	202	154	-	-	38	10	-	-
2012	종로구	가회동	178	49	-	-	80	-	-	49	173	48	-	-	77	-	-	48
2012	종로구	종로1.2.3.4가동	267	44	-	100	-	-	-	123	219	41	-	100	-	-	-	78
2012	종로구	종로5·6가동	231	35	-	-	147	-	-	49	179	23	-	-	138	-	-	18
2012	종로구	이화동	260	132	-	-	39	-	-	89	250	130	-	-	38	-	-	82
2012	종로구	창신1동	150	73	77	-	-	-	-	-	135	68	67	-	-	-	-	-
2012	종로구	창신2동	449	242	-	49	138	20	-	-	423	231	-	49	124	19	-	-
2012	종로구	창신3동	116	96	-	-	-	20	-	-	108	88	-	-	-	20	-	-
2012	종로구	숭인1동	218	117	-	-	101	-	-	-	208	117	-	-	91	-	-	-
2012	종로구	숭인2동	120	52	-	-	-	29	-	39	103	50	-	-	-	29	-	24
