기간	자치구	동	유년부양비	노년부양비	노령화지수
2012	합계	합계	16.9	13.9	82.5
2012	종로구	소계	14.1	18.2	129.7
2012	종로구	사직동	15.4	21	136.3
2012	종로구	삼청동	14.3	24.8	173
2012	종로구	부암동	15.8	19.5	123.2
2012	종로구	평창동	15.9	18.4	115.5
2012	종로구	무악동	21.3	18.8	88.2
2012	종로구	교남동	13.9	21.1	152.4
2012	종로구	가회동	15.2	21.6	141.9
2012	종로구	종로1.2.3.4가동	7.6	24.3	318.5
2012	종로구	종로5·6가동	10.1	19.6	193.4
2012	종로구	이화동	11.7	14.8	126.2
2012	종로구	창신1동	10	16.4	164.1
2012	종로구	창신2동	11.5	15.6	135.2
2012	종로구	창신3동	17.4	15.4	88.5
2012	종로구	숭인1동	14.5	15.6	107.5
2012	종로구	숭인2동	10.3	19.1	184.6
2012	종로구	청운효자동	20	19	94.9
2012	종로구	혜화동	11.9	14.9	125.3
2012	중구	소계	13.7	17.6	128.5
2012	중구	소공동	13.5	12	88.9
2012	중구	회현동	8.8	24.6	278.9
2012	중구	명동	8	19.5	244.2
2012	중구	필동	10.6	18.8	177.1
2012	중구	장충동	10.6	14.9	140.3
2012	중구	광희동	8.5	18.7	220.2
2012	중구	을지로동	7.8	27	345.8
2012	중구	신당1동	9.6	14.7	153.3
2012	중구	신당2동	13.7	16.6	121.2
2012	중구	신당3동	17	19.2	113.1
2012	중구	신당4동	17.5	17.9	102.5
2012	중구	신당5동	15.4	16.6	107.8
2012	중구	신당6동	17.6	15.3	86.6
2012	중구	황학동	12.8	15.1	118.2
2012	중구	중림동	14.1	19.7	139.6
2012	용산구	소계	16.2	17.3	106.6
2012	용산구	후암동	15.9	16.9	106.4
2012	용산구	용산2가동	13.9	17.2	123.9
2012	용산구	남영동	7.7	19.3	250.7
2012	용산구	원효로2동	19.6	16.8	85.6
2012	용산구	효창동	18.2	17	93.5
2012	용산구	용문동	19.1	16.7	87.5
2012	용산구	이촌1동	27.9	17.4	62.6
2012	용산구	이촌2동	16.7	20.3	121.9
2012	용산구	이태원1동	11.7	18.9	161.8
2012	용산구	이태원2동	13.7	20.9	152.6
2012	용산구	서빙고동	20.7	18.4	88.9
2012	용산구	보광동	12.5	16.7	134.3
2012	용산구	청파동	12.5	14.9	118.8
2012	용산구	원효로1동	16.4	14.7	89.3
2012	용산구	한강로동	13.2	19.6	148.8
2012	용산구	한남동	12.8	15.8	123.3
2012	성동구	소계	16.3	14.6	89.4
2012	성동구	왕십리2동	17.1	14.6	85.5
2012	성동구	마장동	16.7	14.8	88.7
2012	성동구	사근동	8.9	13.4	151.1
2012	성동구	행당1동	15.2	15.4	101.3
2012	성동구	행당2동	23.4	14.2	60.8
2012	성동구	응봉동	22.3	15.9	71.4
2012	성동구	금호1가동	17.2	16.5	95.6
2012	성동구	금호4가동	17.5	14.5	83.1
2012	성동구	성수1가1동	17.2	11.8	68.7
2012	성동구	성수1가2동	14.7	12	81.6
2012	성동구	성수2가1동	13.8	12.7	91.8
2012	성동구	성수2가3동	13.7	14.1	103
2012	성동구	송정동	13.7	12.7	92.8
2012	성동구	용답동	12.6	14.6	116.5
2012	성동구	왕십리도선동	12.7	18.1	142.6
2012	성동구	금호2.3가동	16.4	16.4	99.8
2012	성동구	옥수동	17.7	16.5	93.4
2012	광진구	소계	15.4	11.8	77
2012	광진구	화양동	7.1	9.4	132.3
2012	광진구	군자동	11.9	12.5	105.7
2012	광진구	중곡1동	12.4	13.1	105.1
2012	광진구	중곡2동	15	11.8	78.5
2012	광진구	중곡3동	14.5	12.8	88.6
2012	광진구	중곡4동	15.5	13	84.3
2012	광진구	능동	12.2	13.1	107.8
2012	광진구	구의1동	12.2	11.9	97.1
2012	광진구	구의2동	17.7	13.8	77.6
2012	광진구	구의3동	16.9	11.2	66
2012	광진구	광장동	27.6	10.2	36.9
2012	광진구	자양1동	12.8	12	93.6
2012	광진구	자양2동	16.8	11.7	69.3
2012	광진구	자양3동	19.9	10.6	53.3
2012	광진구	자양4동	10	12.5	125
2012	동대문구	소계	15.3	16.4	106.9
2012	동대문구	회기동	11.5	12.9	111.9
2012	동대문구	휘경1동	11.2	15.3	136.1
2012	동대문구	휘경2동	17.8	13.7	76.9
2012	동대문구	청량리동	12.8	23	180.2
2012	동대문구	용신동	12.7	18.6	146.8
2012	동대문구	제기동	12.8	19.2	150.5
2012	동대문구	전농1동	13.5	20.2	149.3
2012	동대문구	전농2동	19.3	16.8	86.8
2012	동대문구	답십리1동	16.1	17.2	107
2012	동대문구	답십리2동	18.5	16.5	89
2012	동대문구	장안1동	15.9	13.4	84.4
2012	동대문구	장안2동	19.3	13.6	70.7
2012	동대문구	이문1동	12.4	14.5	117.5
2012	동대문구	이문2동	19.5	15	76.6
2012	중랑구	소계	15.5	14.2	91.9
2012	중랑구	면목2동	16	13.8	86.4
2012	중랑구	면목4동	15.3	14.5	94.9
2012	중랑구	면목5동	15.4	14.4	93.6
2012	중랑구	면목7동	14.6	14.4	99.1
2012	중랑구	상봉1동	18.8	12.8	68.5
2012	중랑구	상봉2동	11.1	14.7	132.6
2012	중랑구	중화1동	16.3	12.9	79.5
2012	중랑구	중화2동	11.3	15.4	136.1
2012	중랑구	묵1동	17.3	13.9	80.3
2012	중랑구	묵2동	15.4	15	97.4
2012	중랑구	망우3동	15.3	14.6	95.5
2012	중랑구	신내1동	19.3	14.1	72.9
2012	중랑구	신내2동	20.4	13.8	67.3
2012	중랑구	면목본동	13.8	13.7	99.2
2012	중랑구	면목3.8동	13.5	15.1	111.6
2012	중랑구	망우본동	14.2	14.7	103.6
2012	성북구	소계	17.9	15.8	88.6
2012	성북구	돈암1동	17.6	16.2	92
2012	성북구	돈암2동	24.9	13.9	55.9
2012	성북구	안암동	10.2	12.7	124.3
2012	성북구	보문동	12.4	16.2	130.4
2012	성북구	정릉1동	20.6	16.1	78.2
2012	성북구	정릉2동	19.4	17.3	89
2012	성북구	정릉3동	13.6	18.8	138.4
2012	성북구	정릉4동	20.7	16.5	79.6
2012	성북구	길음1동	27.7	12.4	44.7
2012	성북구	길음2동	15.8	16.7	105.6
2012	성북구	월곡1동	21.7	15.4	71.1
2012	성북구	월곡2동	17.3	16.3	94.5
2012	성북구	장위1동	15.8	15.8	100
2012	성북구	장위2동	15.2	17.4	114.2
2012	성북구	장위3동	16.5	17.7	106.7
2012	성북구	성북동	15	19.2	128
2012	성북구	삼선동	15.7	15.8	100.6
2012	성북구	동선동	13	15.1	116.8
2012	성북구	종암동	19.1	14.9	77.7
2012	성북구	석관동	15.1	16.2	107.1
2012	강북구	소계	16.1	17.9	111
2012	강북구	번1동	13.6	16	117.8
2012	강북구	번2동	16.1	19.4	120.3
2012	강북구	번3동	17.8	22.5	126
2012	강북구	수유1동	14.4	17.7	123.1
2012	강북구	수유2동	15.1	20.1	132.9
2012	강북구	수유3동	12.2	17.6	144.6
2012	강북구	삼양동	18.2	16.8	92.7
2012	강북구	미아동	12.4	16.3	131.5
2012	강북구	송중동	14	17.3	123.8
2012	강북구	송천동	13.2	18.4	138.8
2012	강북구	삼각산동	28.7	11.9	41.3
2012	강북구	우이동	15.7	21.7	138.1
2012	강북구	인수동	15.2	19.8	130.5
2012	도봉구	소계	17.2	15.4	89.3
2012	도봉구	쌍문1동	16.4	18.1	110.5
2012	도봉구	쌍문2동	15.7	15.9	101.2
2012	도봉구	쌍문3동	15.5	17	109.7
2012	도봉구	쌍문4동	18.4	12	64.9
2012	도봉구	방학1동	15.4	14.4	93.2
2012	도봉구	방학2동	15.8	16.1	102.1
2012	도봉구	방학3동	20.2	13.1	64.9
2012	도봉구	창1동	19.1	14.8	77.4
2012	도봉구	창2동	18	13.7	76.2
2012	도봉구	창3동	16.5	15.8	95.6
