기간	자치구	동	유년부양비	노년부양비	노령화지수
2016	합계	합계	15.2	16.8	110.8
2016	종로구	소계	12.2	20.6	168.2
2016	종로구	사직동	16.5	24	144.8
2016	종로구	삼청동	12.7	28.2	221.3
2016	종로구	부암동	13.4	21	156.6
2016	종로구	평창동	14.8	20.5	138.7
2016	종로구	무악동	20.3	19.8	97.9
2016	종로구	교남동	12.6	25.9	206
2016	종로구	가회동	12.8	25.4	198.6
2016	종로구	종로1.2.3.4가동	7.7	28.3	368
2016	종로구	종로5·6가동	6.7	24.8	369.2
2016	종로구	이화동	9.6	18	187.4
2016	종로구	창신1동	7.9	21.6	273.9
2016	종로구	창신2동	8.8	18.6	212.8
2016	종로구	창신3동	14.4	18.3	127.3
2016	종로구	숭인1동	12.6	19.2	152.4
2016	종로구	숭인2동	7.4	19.6	263.8
2016	종로구	청운효자동	17.3	20.4	118
2016	종로구	혜화동	10.1	15.5	154.2
2016	중구	소계	12	20.3	169.5
2016	중구	소공동	15.6	11.2	71.6
2016	중구	회현동	8.5	29.7	350
2016	중구	명동	8.5	24.6	288.1
2016	중구	필동	9.1	19.6	215.5
2016	중구	장충동	9.1	16.2	178.7
2016	중구	광희동	8.1	23.2	285.3
2016	중구	을지로동	5.8	31.9	549.4
2016	중구	신당5동	13.1	19.2	146.8
2016	중구	황학동	11.6	16.7	143.6
2016	중구	중림동	13.2	23.7	179.6
2016	중구	신당동	7.9	15.8	199.8
2016	중구	다산동	10.9	18.9	173.2
2016	중구	약수동	15.1	23.6	155.7
2016	중구	청구동	13.7	20.7	150.9
2016	중구	동화동	15.9	18.1	113.5
2016	용산구	소계	14.5	19.7	136
2016	용산구	후암동	14.2	19.9	140.9
2016	용산구	용산2가동	11.1	20.1	180.7
2016	용산구	남영동	6.4	20.8	323.7
2016	용산구	원효로2동	18	19.1	106.3
2016	용산구	효창동	15	19.2	128.2
2016	용산구	용문동	16.3	19.2	117.7
2016	용산구	이촌1동	25.1	20	79.7
2016	용산구	이촌2동	14.6	23.8	163.2
2016	용산구	이태원1동	10.1	21.6	213
2016	용산구	이태원2동	12.3	22.3	181.4
2016	용산구	서빙고동	17.8	19	107.1
2016	용산구	보광동	9.8	19.8	201.9
2016	용산구	청파동	10	17.8	178.7
2016	용산구	원효로1동	15.9	15.2	95.5
2016	용산구	한강로동	13.2	22.7	171.1
2016	용산구	한남동	12.4	18.4	147.6
2016	성동구	소계	14.7	16.8	114.6
2016	성동구	왕십리2동	14.5	17	117.1
2016	성동구	마장동	13.1	17.4	133
2016	성동구	사근동	8	13.5	168.3
2016	성동구	행당1동	12.6	18	142.4
2016	성동구	행당2동	20.1	16.8	83.5
2016	성동구	응봉동	21.2	18.7	88.2
2016	성동구	금호1가동	15.4	19.9	129.4
2016	성동구	금호4가동	17.8	18.2	102.2
2016	성동구	성수1가1동	14	13.8	99
2016	성동구	성수1가2동	13.4	14.6	108.7
2016	성동구	성수2가1동	11.3	16.4	144.8
2016	성동구	성수2가3동	11.2	16.5	146.5
2016	성동구	송정동	11.3	15.9	140.6
2016	성동구	용답동	9.8	17.3	177.3
2016	성동구	왕십리도선동	15.7	15.8	100.7
2016	성동구	금호2.3가동	15.5	18.5	119.5
2016	성동구	옥수동	18.9	17.2	91.1
2016	광진구	소계	13.5	14.2	105.6
2016	광진구	화양동	5	9.9	196.8
2016	광진구	군자동	10.3	13.8	134.4
2016	광진구	중곡1동	10.6	16.1	151.5
2016	광진구	중곡2동	13	14.3	110.2
2016	광진구	중곡3동	11.6	16.1	138.9
2016	광진구	중곡4동	12.8	16.4	128.2
2016	광진구	능동	11.1	14.4	130.4
2016	광진구	구의1동	9.9	14.1	142.6
