기간	자치구	동	사업체수	종사자수	평균종사자	사업체 창업률
2012	합계	합계	780,887	4,541,393	5.82	12.9
2012	종로구	소계	39,486	232,857	5.9	10.5
2012	종로구	사직동	3,437	45,313	13.18	11.7
2012	종로구	삼청동	611	4,646	7.6	17.3
2012	종로구	부암동	502	3,432	6.84	11.4
2012	종로구	평창동	636	2,499	3.93	15.3
2012	종로구	무악동	610	1,489	2.44	5.1
2012	종로구	교남동	550	4,477	8.14	7.6
2012	종로구	가회동	547	9,661	17.66	11.3
2012	종로구	종로1.2.3.4가동	15,825	92,396	5.84	9.1
2012	종로구	종로5·6가동	7,492	24,594	3.28	10.2
2012	종로구	이화동	1,077	13,368	12.41	13.3
2012	종로구	창신1동	2,257	5,799	2.57	11
2012	종로구	창신2동	860	2,055	2.39	10.6
2012	종로구	창신3동	274	728	2.66	9.1
2012	종로구	숭인1동	530	1,744	3.29	13.8
2012	종로구	숭인2동	1,814	6,278	3.46	10.8
2012	종로구	청운효자동	794	5,234	6.59	8.8
2012	종로구	혜화동	1,670	9,144	5.48	17.2
2012	중구	소계	64,307	386,637	6.01	9.1
2012	중구	소공동	3,688	61,763	16.75	8.9
2012	중구	회현동	9,676	50,265	5.19	6.5
2012	중구	명동	7,194	112,011	15.57	10.8
2012	중구	필동	3,261	24,463	7.5	5.7
2012	중구	장충동	864	8,835	10.23	8
2012	중구	광희동	10,151	38,188	3.76	9.2
2012	중구	을지로동	9,689	27,060	2.79	6.5
2012	중구	신당1동	11,868	26,506	2.23	12.1
2012	중구	신당2동	1,175	9,590	8.16	11.9
2012	중구	신당3동	821	3,008	3.66	9.6
2012	중구	신당4동	703	3,535	5.03	8.5
2012	중구	신당5동	1,064	3,198	3.01	12.9
2012	중구	신당6동	882	3,590	4.07	17.7
2012	중구	황학동	1,985	5,951	3	7.4
2012	중구	중림동	1,286	8,674	6.74	10
2012	용산구	소계	20,004	120,441	6.02	12.6
2012	용산구	후암동	802	5,240	6.53	11.6
2012	용산구	용산2가동	484	2,783	5.75	10.1
2012	용산구	남영동	1,466	15,775	10.76	13.4
2012	용산구	원효로2동	1,173	6,786	5.79	11.1
2012	용산구	효창동	499	2,577	5.16	10.8
2012	용산구	용문동	666	1,662	2.5	11.6
2012	용산구	이촌1동	815	3,553	4.36	12.6
2012	용산구	이촌2동	345	813	2.36	3.2
2012	용산구	이태원1동	1,625	7,153	4.4	14.6
2012	용산구	이태원2동	557	2,046	3.67	15.1
2012	용산구	서빙고동	383	4,161	10.86	8.1
2012	용산구	보광동	806	1,774	2.2	11.2
2012	용산구	청파동	1,813	9,725	5.36	12.9
2012	용산구	원효로1동	1,695	7,383	4.36	11.9
2012	용산구	한강로동	5,172	33,316	6.44	12.6
2012	용산구	한남동	1,703	15,694	9.22	15.9
2012	성동구	소계	24,250	139,994	5.77	11.9
2012	성동구	왕십리2동	750	2,162	2.88	11.2
2012	성동구	마장동	3,140	12,260	3.9	11
2012	성동구	사근동	998	10,177	10.2	12.7
2012	성동구	행당1동	1,352	8,227	6.09	16.2
2012	성동구	행당2동	533	1,872	3.51	14.6
2012	성동구	응봉동	376	1,018	2.71	10.1
2012	성동구	금호1가동	596	1,814	3.04	15.8
2012	성동구	금호4가동	626	1,971	3.15	14.2
2012	성동구	성수1가1동	1,300	5,617	4.32	10.9
2012	성동구	성수1가2동	1,749	11,166	6.38	10.2
2012	성동구	성수2가1동	2,207	13,272	6.01	11.3
2012	성동구	성수2가3동	4,660	42,946	9.22	10.4
2012	성동구	송정동	716	2,581	3.6	8.5
2012	성동구	용답동	2,019	11,464	5.68	11.9
2012	성동구	왕십리도선동	1,579	8,455	5.35	12.1
2012	성동구	금호2.3가동	939	2,427	2.58	13.7
2012	성동구	옥수동	710	2,565	3.61	17.9
2012	광진구	소계	24,828	117,652	4.74	14.5
2012	광진구	화양동	2,441	14,551	5.96	17.7
2012	광진구	군자동	1,627	7,657	4.71	14.2
2012	광진구	중곡1동	1,631	6,112	3.75	11
2012	광진구	중곡2동	1,725	6,034	3.5	16.1
2012	광진구	중곡3동	1,374	4,205	3.06	15.4
2012	광진구	중곡4동	1,550	4,804	3.1	15.1
2012	광진구	능동	715	4,237	5.93	9.1
2012	광진구	구의1동	1,835	6,353	3.46	14.1
2012	광진구	구의2동	1,330	4,934	3.71	11.6
2012	광진구	구의3동	2,630	19,257	7.32	17.4
2012	광진구	광장동	1,332	10,149	7.62	14.9
2012	광진구	자양1동	1,705	8,742	5.13	13.5
2012	광진구	자양2동	1,561	7,671	4.91	11.5
2012	광진구	자양3동	1,316	6,130	4.66	12.6
2012	광진구	자양4동	2,056	6,816	3.32	15.7
2012	동대문구	소계	31,881	132,397	4.15	10
2012	동대문구	회기동	989	9,677	9.78	18.6
2012	동대문구	휘경1동	1,045	4,039	3.87	13.5
2012	동대문구	휘경2동	1,099	4,409	4.01	7.9
2012	동대문구	청량리동	1,731	8,070	4.66	9.1
2012	동대문구	용신동	5,468	27,469	5.02	8.9
2012	동대문구	제기동	4,722	11,201	2.37	7.3
2012	동대문구	전농1동	2,206	7,911	3.59	10.4
2012	동대문구	전농2동	782	4,213	5.39	11.9
2012	동대문구	답십리1동	2,098	9,558	4.56	8.7
2012	동대문구	답십리2동	1,854	5,342	2.88	9.9
2012	동대문구	장안1동	4,543	21,258	4.68	9.1
2012	동대문구	장안2동	3,109	11,085	3.57	14
2012	동대문구	이문1동	1,501	6,039	4.02	12.5
2012	동대문구	이문2동	734	2,126	2.9	9.7
2012	중랑구	소계	27,289	96,613	3.54	13.5
2012	중랑구	면목2동	2,027	6,030	2.97	13.6
2012	중랑구	면목4동	1,065	3,433	3.22	11.6
2012	중랑구	면목5동	1,040	3,596	3.46	12.9
2012	중랑구	면목7동	1,469	3,786	2.58	11.7
2012	중랑구	상봉1동	962	5,306	5.52	12.2
2012	중랑구	상봉2동	2,188	9,848	4.5	14.1
2012	중랑구	중화1동	1,088	4,125	3.79	12.8
2012	중랑구	중화2동	2,295	7,560	3.29	14.3
2012	중랑구	묵1동	1,478	5,736	3.88	16.6
2012	중랑구	묵2동	1,774	5,399	3.04	12.3
2012	중랑구	망우3동	1,091	3,655	3.35	15.2
2012	중랑구	신내1동	1,528	6,806	4.45	13.8
2012	중랑구	신내2동	1,090	5,557	5.1	13.7
2012	중랑구	면목본동	2,421	6,636	2.74	13.9
2012	중랑구	면목3.8동	2,986	8,174	2.74	11.6
2012	중랑구	망우본동	2,787	10,966	3.93	15
2012	성북구	소계	25,061	103,054	4.11	13.6
2012	성북구	돈암1동	365	1,395	3.82	12.1
2012	성북구	돈암2동	367	1,797	4.9	13.9
2012	성북구	안암동	1,310	13,520	10.32	14.1
2012	성북구	보문동	1,244	4,287	3.45	12.6
2012	성북구	정릉1동	808	1,938	2.4	13.9
2012	성북구	정릉2동	901	2,535	2.81	11
2012	성북구	정릉3동	694	4,427	6.38	8.8
2012	성북구	정릉4동	837	3,856	4.61	13.5
2012	성북구	길음1동	1,116	3,328	2.98	14.2
2012	성북구	길음2동	1,100	4,255	3.87	19.8
2012	성북구	월곡1동	1,440	5,165	3.59	8.8
2012	성북구	월곡2동	1,517	7,627	5.03	16.7
2012	성북구	장위1동	1,164	2,660	2.29	12.2
2012	성북구	장위2동	1,657	5,127	3.09	13.2
2012	성북구	장위3동	1,233	4,548	3.69	12.4
2012	성북구	성북동	1,040	5,608	5.39	11.1
2012	성북구	삼선동	1,893	8,666	4.58	14.8
2012	성북구	동선동	1,940	7,957	4.1	18
2012	성북구	종암동	2,104	7,316	3.48	13.8
2012	성북구	석관동	2,331	7,042	3.02	11.5
2012	강북구	소계	19,485	69,508	3.57	14.2
2012	강북구	번1동	1,797	8,763	4.88	16.4
2012	강북구	번2동	669	3,665	5.48	10.8
2012	강북구	번3동	815	2,637	3.24	9.9
2012	강북구	수유1동	1,601	5,376	3.36	11.9
2012	강북구	수유2동	1,340	3,853	2.88	14.9
2012	강북구	수유3동	2,484	8,736	3.52	18.7
2012	강북구	삼양동	1,255	3,305	2.63	15.5
2012	강북구	미아동	1,952	6,044	3.1	14.7
2012	강북구	송중동	1,994	7,986	4.01	13
2012	강북구	송천동	2,246	7,511	3.34	12.1
2012	강북구	삼각산동	730	2,165	2.97	18.2
2012	강북구	우이동	979	3,511	3.59	13.5
2012	강북구	인수동	1,623	5,956	3.67	11.8
2012	도봉구	소계	17,893	62,820	3.51	13.8
2012	도봉구	쌍문1동	921	3,734	4.05	11.3
2012	도봉구	쌍문2동	1,210	3,838	3.17	12
2012	도봉구	쌍문3동	910	3,293	3.62	12.6
2012	도봉구	쌍문4동	584	1,880	3.22	14.9
2012	도봉구	방학1동	2,358	10,834	4.59	18.2
2012	도봉구	방학2동	1,327	3,121	2.35	15.4
2012	도봉구	방학3동	918	2,874	3.13	11.2
2012	도봉구	창1동	1,062	3,207	3.02	10.6
2012	도봉구	창2동	1,328	4,135	3.11	12.7
2012	도봉구	창3동	945	1,886	2	14.4
2012	도봉구	창4동	1,138	6,659	5.85	13
2012	도봉구	창5동	2,115	6,557	3.1	11.3
2012	도봉구	도봉1동	1,675	5,316	3.17	13.9
2012	도봉구	도봉2동	1,402	5,486	3.91	17.3
2012	노원구	소계	24,864	102,327	4.12	13.7
2012	노원구	월계1동	1,387	5,054	3.64	11.5
2012	노원구	월계2동	1,055	3,651	3.46	12.4
2012	노원구	월계3동	939	3,549	3.78	11.7
2012	노원구	공릉2동	1,780	9,436	5.3	13.9
2012	노원구	하계1동	891	6,891	7.73	12
2012	노원구	하계2동	370	1,169	3.16	11.4
2012	노원구	중계본동	1,167	4,561	3.91	17
2012	노원구	중계1동	895	3,728	4.17	13.2
2012	노원구	중계4동	994	3,618	3.64	16.6
2012	노원구	상계1동	2,795	8,031	2.87	13.1
2012	노원구	상계2동	2,195	8,249	3.76	17.1
2012	노원구	상계5동	1,306	2,729	2.09	13.1
2012	노원구	상계8동	590	1,965	3.33	12.2
2012	노원구	상계9동	730	2,314	3.17	12.2
2012	노원구	상계10동	460	1,757	3.82	9.6
2012	노원구	상계3.4동	1,721	4,957	2.88	12.3
2012	노원구	상계6.7동	1,892	14,903	7.88	15.2
2012	노원구	중계2.3동	1,161	5,049	4.35	14.4
2012	노원구	공릉1동	2,536	10,716	4.23	14
2012	은평구	소계	23,325	80,672	3.46	14.4
2012	은평구	녹번동	1,500	7,024	4.68	14.7
2012	은평구	불광1동	1,611	6,304	3.91	17.6
2012	은평구	갈현1동	1,513	5,562	3.68	17.5
2012	은평구	갈현2동	1,535	5,927	3.86	17.9
2012	은평구	구산동	1,153	5,491	4.76	11.3
2012	은평구	대조동	2,559	7,450	2.91	14.9
2012	은평구	응암1동	2,115	7,517	3.55	11.1
2012	은평구	응암2동	804	2,180	2.71	13.1
2012	은평구	신사1동	1,208	3,569	2.95	11.9
2012	은평구	신사2동	858	2,707	3.16	12.5
2012	은평구	증산동	1,127	3,917	3.48	14.3
2012	은평구	수색동	859	2,550	2.97	8.6
2012	은평구	진관동	885	4,228	4.78	21.6
2012	은평구	불광2동	1,330	3,919	2.95	14.5
2012	은평구	응암3동	1,892	4,906	2.59	12.7
2012	은평구	역촌동	2,376	7,421	3.12	14.6
2012	서대문구	소계	18,653	97,686	5.24	12.8
2012	서대문구	천연동	793	2,488	3.14	14.2
2012	서대문구	홍제1동	1,112	4,145	3.73	10.4
2012	서대문구	홍제3동	1,207	3,835	3.18	12.2
2012	서대문구	홍제2동	571	1,623	2.84	14.7
2012	서대문구	홍은1동	980	2,315	2.36	10.2
2012	서대문구	홍은2동	1,130	5,853	5.18	13
