기간	자치구	동	사업체수	종사자수	평균종사자	사업체 평균연령
2012	합계	합계	780,887	4,541,393	5.82	8년10개월
2012	종로구	소계	39,486	232,857	5.9	10년1개월
2012	종로구	사직동	3,437	45,313	13.18	9년10개월
2012	종로구	삼청동	611	4,646	7.6	9년10개월
2012	종로구	부암동	502	3,432	6.84	11년3개월
2012	종로구	평창동	636	2,499	3.93	9년11개월
2012	종로구	무악동	610	1,489	2.44	10년10개월
2012	종로구	교남동	550	4,477	8.14	12년7개월
2012	종로구	가회동	547	9,661	17.66	10년8개월
2012	종로구	종로1.2.3.4가동	15,825	92,396	5.84	10년10개월
2012	종로구	종로5·6가동	7,492	24,594	3.28	9년2개월
2012	종로구	이화동	1,077	13,368	12.41	9년4개월
2012	종로구	창신1동	2,257	5,799	2.57	9년7개월
2012	종로구	창신2동	860	2,055	2.39	9년3개월
2012	종로구	창신3동	274	728	2.66	8년11개월
2012	종로구	숭인1동	530	1,744	3.29	8년2개월
2012	종로구	숭인2동	1,814	6,278	3.46	8년11개월
2012	종로구	청운효자동	794	5,234	6.59	11년8개월
2012	종로구	혜화동	1,670	9,144	5.48	8년4개월
2012	중구	소계	64,307	386,637	6.01	9년4개월
2012	중구	소공동	3,688	61,763	16.75	11년4개월
2012	중구	회현동	9,676	50,265	5.19	10년1개월
2012	중구	명동	7,194	112,011	15.57	10년1개월
2012	중구	필동	3,261	24,463	7.5	9년4개월
2012	중구	장충동	864	8,835	10.23	11년0개월
2012	중구	광희동	10,151	38,188	3.76	8년11개월
2012	중구	을지로동	9,689	27,060	2.79	11년9개월
2012	중구	신당1동	11,868	26,506	2.23	5년11개월
2012	중구	신당2동	1,175	9,590	8.16	9년8개월
2012	중구	신당3동	821	3,008	3.66	9년7개월
2012	중구	신당4동	703	3,535	5.03	10년1개월
2012	중구	신당5동	1,064	3,198	3.01	8년7개월
2012	중구	신당6동	882	3,590	4.07	8년0개월
2012	중구	황학동	1,985	5,951	3	10년2개월
2012	중구	중림동	1,286	8,674	6.74	10년6개월
2012	용산구	소계	20,004	120,441	6.02	9년0개월
2012	용산구	후암동	802	5,240	6.53	10년9개월
2012	용산구	용산2가동	484	2,783	5.75	11년11개월
2012	용산구	남영동	1,466	15,775	10.76	9년4개월
2012	용산구	원효로2동	1,173	6,786	5.79	8년12개월
2012	용산구	효창동	499	2,577	5.16	10년1개월
2012	용산구	용문동	666	1,662	2.5	8년5개월
2012	용산구	이촌1동	815	3,553	4.36	10년7개월
2012	용산구	이촌2동	345	813	2.36	12년11개월
2012	용산구	이태원1동	1,625	7,153	4.4	8년2개월
2012	용산구	이태원2동	557	2,046	3.67	10년0개월
2012	용산구	서빙고동	383	4,161	10.86	11년8개월
2012	용산구	보광동	806	1,774	2.2	10년0개월
2012	용산구	청파동	1,813	9,725	5.36	10년2개월
2012	용산구	원효로1동	1,695	7,383	4.36	8년4개월
2012	용산구	한강로동	5,172	33,316	6.44	7년10개월
2012	용산구	한남동	1,703	15,694	9.22	8년3개월
2012	성동구	소계	24,250	139,994	5.77	9년3개월
2012	성동구	왕십리2동	750	2,162	2.88	9년4개월
2012	성동구	마장동	3,140	12,260	3.9	9년9개월
2012	성동구	사근동	998	10,177	10.2	8년6개월
2012	성동구	행당1동	1,352	8,227	6.09	7년7개월
2012	성동구	행당2동	533	1,872	3.51	7년5개월
2012	성동구	응봉동	376	1,018	2.71	9년5개월
2012	성동구	금호1가동	596	1,814	3.04	9년3개월
2012	성동구	금호4가동	626	1,971	3.15	9년11개월
