기간	자치구	동	한식음식점업	의류점	기타주점업	부동산자문 및 중개업	용달 및 개별화물 자동차운송업	슈퍼마켓	비알콜 음료점	두발미용업	분식 및 김밥전문점	체인화 편의점	중국 음식점업	제과점업	가정용 세탁업	노래연습장 운영업	치킨 전문점	자동차 전문 수리업	컴퓨터게임방 운영업	과실 및 채소소매업	육류 소매업	당구장 운영업
2012	합계	합계	159,242	49,810	43,088	37,464	37,635	35,454	36,632	30,867	23,026	23,242	16,884	16,117	11,887	10,962	11,240	10,263	9,688	7,459	7,639	5,052
2012	종로구	소계	9,571	1,207	2,088	961	762	1,153	3,075	431	1,050	807	833	596	237	300	388	127	211	155	147	185
2012	종로구	사직동	1,603	73	256	118	14	101	438	41	132	94	145	89	26	19	52	21	17	9	8	19
2012	종로구	삼청동	301	94	4	21	10	41	362	-	60	13	70	79	1	-	-	-	-	-	-	-
2012	종로구	부암동	108	15	25	22	22	31	51	9	27	21	12	9	13	2	8	25	4	-	-	3
2012	종로구	평창동	254	24	31	36	31	63	40	23	14	22	25	26	19	6	11	7	5	4	6	4
2012	종로구	무악동	47	3	10	20	343	29	6	11	15	13	11	9	15	3	9	3	9	3	2	1
2012	종로구	교남동	160	20	20	23	31	26	34	9	14	37	11	5	9	6	26	13	9	1	2	1
2012	종로구	가회동	261	21	20	15	9	28	99	11	20	22	26	9	6	2	12	10	-	6	3	1
2012	종로구	종로1.2.3.4가동	3,832	472	1,017	344	20	283	1,087	76	297	265	213	150	31	125	102	21	41	38	19	75
2012	종로구	종로5·6가동	889	141	106	107	46	112	132	25	113	75	45	15	11	31	27	7	7	14	17	21
2012	종로구	이화동	525	35	171	16	25	52	322	17	74	54	65	64	13	16	11	8	7	-	6	7
2012	종로구	창신1동	281	95	47	49	13	56	18	27	65	24	34	12	10	15	7	-	26	14	15	11
2012	종로구	창신2동	159	21	37	24	30	42	12	26	18	15	14	7	12	10	9	-	16	16	12	2
2012	종로구	창신3동	29	2	4	18	35	11	7	11	9	3	6	3	7	1	10	2	2	5	7	-
2012	종로구	숭인1동	72	8	10	17	34	43	5	19	10	18	4	9	7	-	12	2	8	2	8	3
2012	종로구	숭인2동	316	64	75	41	39	61	59	22	35	39	29	11	16	34	16	1	21	9	12	13
2012	종로구	청운효자동	125	32	14	28	30	56	56	25	21	7	14	8	21	-	13	2	1	23	21	4
2012	종로구	혜화동	609	87	241	62	30	118	347	79	126	85	109	91	20	30	63	5	38	11	9	20
2012	중구	소계	10,209	8,110	1,370	1,166	794	1,465	2,622	796	1,201	816	984	757	188	295	272	96	165	205	152	243
2012	중구	소공동	1,391	536	125	138	2	113	441	59	153	92	101	126	4	19	15	-	2	3	11	18
2012	중구	회현동	1,023	1,420	99	50	55	162	320	50	175	71	133	123	14	19	12	5	6	15	7	18
2012	중구	명동	2,809	1,872	250	298	7	149	985	344	244	188	399	219	10	30	62	9	15	8	3	43
2012	중구	필동	828	18	172	67	28	71	222	36	89	96	50	18	9	46	32	4	27	3	2	36
2012	중구	장충동	271	46	44	27	12	27	54	12	22	41	28	31	9	7	5	-	6	-	3	3
2012	중구	광희동	1,169	3,449	157	97	107	225	213	59	108	51	64	63	15	32	14	9	18	33	13	25
2012	중구	을지로동	781	128	128	60	15	119	141	14	107	78	74	17	6	26	14	3	5	5	1	36
2012	중구	신당1동	434	368	79	123	15	191	51	22	110	49	26	29	18	28	29	19	10	4	6	23
2012	중구	신당2동	230	29	68	54	42	58	38	37	32	26	24	17	21	21	10	15	8	5	10	6
2012	중구	신당3동	220	34	54	46	36	103	14	38	19	21	3	41	21	12	21	2	14	14	16	4
2012	중구	신당4동	132	27	24	33	61	35	9	23	9	22	13	6	14	4	7	-	4	21	3	7
2012	중구	신당5동	223	69	77	31	31	33	23	17	33	10	16	8	9	23	11	8	19	8	10	3
2012	중구	신당6동	105	34	18	40	39	61	31	28	20	18	21	19	13	3	10	3	16	4	9	9
2012	중구	황학동	336	79	19	54	46	71	29	26	53	18	12	28	13	13	14	8	3	66	50	6
2012	중구	중림동	257	1	56	48	298	47	51	31	27	35	20	12	12	12	16	11	12	16	8	6
2012	용산구	소계	4,148	1,253	1,058	1,103	702	952	1,247	668	631	747	565	658	296	175	299	285	183	172	182	105
2012	용산구	후암동	186	23	21	60	40	87	23	29	41	46	23	9	20	6	22	16	12	13	25	2
2012	용산구	용산2가동	76	5	19	37	37	49	31	23	15	22	3	16	21	5	5	3	6	10	10	4
2012	용산구	남영동	607	68	137	29	22	45	155	19	90	137	60	112	6	31	31	10	50	9	8	23
2012	용산구	원효로2동	103	20	24	40	77	50	22	21	17	40	40	4	16	9	6	31	10	3	5	7
2012	용산구	효창동	62	6	11	39	37	38	13	8	17	35	4	10	11	-	2	6	-	3	1	1
2012	용산구	용문동	108	31	36	37	42	40	19	30	17	10	-	7	18	11	27	5	20	27	34	4
2012	용산구	이촌1동	183	100	44	79	9	73	80	115	40	25	75	63	16	4	20	9	8	27	16	-
2012	용산구	이촌2동	20	2	4	30	81	18	5	12	12	-	5	3	13	2	11	16	-	11	4	-
2012	용산구	이태원1동	262	512	219	45	11	62	202	32	20	50	68	30	12	5	36	15	2	7	-	4
2012	용산구	이태원2동	102	14	76	69	29	40	27	36	11	34	18	38	20	4	9	-	6	4	4	2
2012	용산구	서빙고동	99	15	1	23	26	32	16	15	13	27	14	3	7	-	5	26	1	4	2	-
2012	용산구	보광동	148	27	80	53	55	58	6	58	36	22	9	11	20	10	40	16	9	16	16	5
2012	용산구	청파동	403	55	97	82	68	90	168	115	92	85	31	51	32	14	16	47	19	20	20	15
2012	용산구	원효로1동	375	6	50	76	39	55	28	20	51	50	51	22	28	21	23	26	7	4	11	11
2012	용산구	한강로동	873	250	86	228	66	98	273	77	117	119	79	126	28	29	20	34	5	3	12	14
2012	용산구	한남동	541	119	153	176	63	117	179	58	42	45	85	153	28	24	26	25	28	11	14	13
2012	성동구	소계	4,152	930	838	861	1,529	1,132	749	681	633	611	343	389	341	245	266	709	245	137	229	161
2012	성동구	왕십리2동	77	27	29	52	64	39	7	42	15	12	6	10	14	7	11	-	13	8	7	4
2012	성동구	마장동	445	10	47	51	130	101	25	33	30	30	24	19	23	14	11	25	20	14	64	15
2012	성동구	사근동	376	17	195	39	52	58	184	67	110	103	43	40	12	40	17	-	74	5	10	43
2012	성동구	행당1동	383	292	50	44	67	97	148	67	85	66	25	95	22	12	36	8	16	12	15	7
2012	성동구	행당2동	63	27	2	44	47	42	29	38	27	22	12	16	20	4	17	3	-	5	8	-
2012	성동구	응봉동	25	12	8	22	61	25	7	16	6	-	8	15	15	1	11	4	3	3	5	-
2012	성동구	금호1가동	99	10	26	29	46	50	6	39	9	15	14	6	24	6	10	6	14	2	4	3
2012	성동구	금호4가동	113	31	43	44	34	60	5	24	11	11	6	11	19	10	8	4	4	6	9	5
2012	성동구	성수1가1동	106	10	19	56	87	53	24	26	39	33	17	12	15	10	10	46	2	-	4	6
2012	성동구	성수1가2동	289	19	40	59	127	75	22	30	37	51	11	18	17	22	13	85	22	8	15	11
2012	성동구	성수2가1동	349	78	59	69	127	102	64	54	64	52	24	34	41	29	22	51	24	14	8	12
2012	성동구	성수2가3동	651	143	64	71	388	112	75	20	59	74	58	32	18	32	20	229	15	5	9	29
2012	성동구	송정동	66	13	16	21	62	39	4	19	10	10	10	6	15	4	8	33	1	11	9	2
2012	성동구	용답동	336	93	83	46	67	72	30	51	48	36	27	36	20	13	9	182	16	20	26	9
2012	성동구	왕십리도선동	499	82	91	58	46	56	50	66	18	59	14	7	13	28	14	18	12	11	3	8
2012	성동구	금호2.3가동	179	51	51	66	75	65	18	53	40	20	25	11	27	11	25	1	9	12	26	5
2012	성동구	옥수동	96	15	15	90	49	86	51	36	25	17	19	21	26	2	24	14	-	1	7	2
2012	광진구	소계	5,317	1,290	2,213	1,315	1,391	1,323	1,220	1,246	831	1,021	635	651	513	575	388	210	483	247	322	204
2012	광진구	화양동	1,054	156	926	135	42	99	383	282	154	196	126	103	41	158	75	6	91	29	19	39
2012	광진구	군자동	314	53	140	85	57	85	104	61	60	61	62	35	38	31	27	20	41	8	30	15
2012	광진구	중곡1동	260	41	131	68	71	123	27	33	26	44	11	19	20	28	14	26	15	42	28	12
2012	광진구	중곡2동	299	51	87	93	103	74	32	62	32	48	20	13	30	33	19	16	28	8	15	11
2012	광진구	중곡3동	175	39	69	66	83	50	24	65	27	35	10	24	29	22	16	18	34	5	11	6
2012	광진구	중곡4동	194	107	56	54	147	112	35	65	52	67	13	14	31	27	15	2	28	14	29	12
2012	광진구	능동	349	22	81	37	37	44	26	22	19	66	2	15	14	43	9	5	3	2	18	6
2012	광진구	구의1동	468	45	187	105	207	113	56	65	51	71	34	41	36	76	36	8	37	13	13	24
2012	광진구	구의2동	238	64	59	55	122	90	47	49	48	37	18	37	41	13	21	16	26	12	26	12
2012	광진구	구의3동	533	216	117	172	63	146	101	113	99	84	73	72	40	25	33	24	30	4	13	13
2012	광진구	광장동	250	61	65	84	26	85	101	82	56	62	42	80	28	6	31	9	11	9	10	5
2012	광진구	자양1동	290	87	46	88	71	84	39	74	42	60	21	18	25	21	17	23	41	51	41	13
2012	광진구	자양2동	197	33	76	82	138	70	37	61	55	55	19	25	42	26	17	13	37	5	9	12
2012	광진구	자양3동	301	139	50	99	107	68	139	83	42	51	41	141	54	4	24	8	11	-	12	6
2012	광진구	자양4동	395	176	123	92	117	80	69	129	68	84	143	14	44	62	34	16	50	45	48	18
2012	동대문구	소계	5,512	1,700	1,465	960	1,697	1,623	1,039	920	926	868	501	528	482	352	377	525	388	976	393	203
2012	동대문구	회기동	401	76	230	45	23	112	195	75	82	116	51	76	17	48	35	2	26	3	7	20
2012	동대문구	휘경1동	275	47	86	32	50	77	64	36	50	56	18	22	21	23	17	3	14	12	20	10
2012	동대문구	휘경2동	82	7	12	47	389	60	26	36	34	59	15	19	28	5	15	10	32	6	7	6
2012	동대문구	청량리동	375	97	90	51	83	72	46	55	37	51	30	20	24	22	32	6	35	37	17	12
2012	동대문구	용신동	902	145	146	159	103	196	100	84	138	91	71	58	65	31	28	67	20	38	29	27
2012	동대문구	제기동	569	57	154	75	88	153	52	51	78	47	54	21	27	10	10	59	9	767	150	4
2012	동대문구	전농1동	477	514	103	80	158	146	154	109	94	66	30	74	36	41	48	53	37	21	25	15
2012	동대문구	전농2동	77	22	30	27	32	96	51	47	42	33	30	8	21	9	10	5	20	1	4	8
2012	동대문구	답십리1동	303	42	64	77	102	56	36	30	33	57	7	20	17	20	12	26	16	5	14	12
2012	동대문구	답십리2동	194	43	39	48	122	92	15	48	40	28	26	24	32	23	16	41	34	26	25	7
2012	동대문구	장안1동	808	239	140	113	205	232	88	99	88	89	76	45	73	41	43	198	34	16	37	22
2012	동대문구	장안2동	663	366	142	89	179	159	73	137	96	73	38	77	60	48	40	37	39	22	36	34
2012	동대문구	이문1동	307	36	183	72	83	132	125	89	98	77	46	49	43	21	62	13	63	17	10	23
2012	동대문구	이문2동	79	9	46	45	80	40	14	24	16	25	9	15	18	10	9	5	9	5	12	3
2012	중랑구	소계	4,570	1,140	1,561	1,011	2,610	1,384	544	987	640	573	333	416	484	560	366	389	444	438	392	206
2012	중랑구	면목2동	232	56	61	60	189	117	12	51	28	35	17	15	57	38	18	30	16	20	36	16
2012	중랑구	면목4동	114	15	34	49	122	55	11	42	20	43	14	9	27	11	14	9	10	5	6	7
2012	중랑구	면목5동	106	33	28	41	124	52	12	25	18	5	16	9	17	12	24	31	8	8	13	4
2012	중랑구	면목7동	240	73	79	72	119	73	16	54	38	23	15	26	24	28	16	22	22	42	32	8
2012	중랑구	상봉1동	78	16	35	49	103	62	42	37	20	9	8	15	31	14	9	24	21	9	7	5
2012	중랑구	상봉2동	670	143	227	94	65	90	66	55	52	51	49	21	25	103	30	39	76	122	13	24
2012	중랑구	중화1동	102	38	20	64	106	82	13	66	21	22	10	15	22	7	11	16	-	7	6	-
2012	중랑구	중화2동	478	91	203	74	198	136	59	83	68	43	50	29	35	66	28	42	42	59	54	26
2012	중랑구	묵1동	283	48	85	67	163	97	72	65	35	48	17	38	37	27	20	18	29	20	17	10
2012	중랑구	묵2동	226	47	81	54	433	71	11	51	36	22	20	4	21	30	19	26	23	18	6	20
2012	중랑구	망우3동	158	20	45	32	138	65	3	49	21	12	22	9	17	9	9	26	7	8	15	5
2012	중랑구	신내1동	396	41	83	49	192	97	27	59	24	29	20	23	25	28	30	38	14	4	17	13
2012	중랑구	신내2동	127	103	28	40	102	31	30	57	35	21	16	61	24	4	30	5	3	4	17	7
