기간	자치구	동	일반가구	여성가구주 가구	여성가구주가구비율
2010	합계	합계	3,504,297	984,950	28.1
2010	종로구	소계	57,807	18,111	31.3
2010	종로구	사직동	3,442	1,175	34.1
2010	종로구	삼청동	1,048	354	33.8
2010	종로구	부암동	3,424	966	28.2
2010	종로구	평창동	5,758	1,465	25.4
2010	종로구	무악동	2,715	630	23.2
2010	종로구	교남동	3,156	1,177	37.3
2010	종로구	가회동	1,855	611	32.9
2010	종로구	종로1.2.3.4가동	3,086	997	32.3
2010	종로구	종로5·6가동	1,928	570	29.6
2010	종로구	이화동	3,518	1,321	37.5
2010	종로구	혜화동	4,882	1,835	37.6
2010	종로구	명륜3가동	3,045	954	31.3
2010	종로구	창신1동	2,449	792	32.3
2010	종로구	창신2동	3,818	1,126	29.5
2010	종로구	창신3동	2,674	630	23.6
2010	종로구	숭인1동	2,734	848	31
2010	종로구	숭인2동	3,610	1,276	35.3
2010	종로구	청운효자동	4,665	1,384	29.7
2010	중구	소계	45,656	14,141	31
2010	중구	소공동	274	94	34.3
2010	중구	회현동	2,096	553	26.4
2010	중구	명동	969	462	47.7
2010	중구	필동	1,356	412	30.4
2010	중구	장충동	2,426	879	36.2
2010	중구	광희동	1,854	562	30.3
2010	중구	을지로동	767	254	33.1
2010	중구	신당1동	2,872	946	32.9
2010	중구	신당2동	5,725	1,806	31.5
2010	중구	신당3동	7,014	2,134	30.4
2010	중구	신당4동	5,559	1,729	31.1
2010	중구	신당5동	2,750	899	32.7
2010	중구	신당6동	2,891	623	21.5
2010	중구	황학동	4,661	1,465	31.4
2010	중구	중림동	4,442	1,323	29.8
2010	용산구	소계	86,470	27,976	32.4
2010	용산구	후암동	6,606	2,117	32
2010	용산구	용산2가동	4,722	1,521	32.2
2010	용산구	남영동	3,738	1,137	30.4
2010	용산구	원효로2동	5,271	1,361	25.8
2010	용산구	효창동	3,788	1,136	30
2010	용산구	용문동	4,379	1,138	26
2010	용산구	이촌1동	8,475	1,862	22
2010	용산구	이촌2동	3,360	960	28.6
2010	용산구	이태원1동	3,174	1,171	36.9
2010	용산구	이태원2동	3,998	1,393	34.8
2010	용산구	서빙고동	3,778	1,057	28
2010	용산구	보광동	6,939	2,663	38.4
2010	용산구	청파동	8,813	3,416	38.8
2010	용산구	원효로1동	4,045	1,251	30.9
2010	용산구	한강로동	6,681	2,417	36.2
2010	용산구	한남동	8,703	3,376	38.8
2010	성동구	소계	107,114	29,414	27.5
2010	성동구	왕십리2동	6,346	1,802	28.4
2010	성동구	마장동	8,403	2,017	24
2010	성동구	사근동	5,493	1,812	33
2010	성동구	행당1동	6,434	2,000	31.1
2010	성동구	행당2동	8,178	1,877	23
2010	성동구	응봉동	5,552	1,334	24
2010	성동구	금호1가동	5,328	1,507	28.3
2010	성동구	금호4가동	5,172	1,493	28.9
2010	성동구	성수1가1동	6,322	1,492	23.6
2010	성동구	성수1가2동	6,921	1,841	26.6
2010	성동구	성수2가1동	7,314	1,918	26.2
2010	성동구	성수2가3동	4,096	1,001	24.4
2010	성동구	송정동	4,941	1,356	27.4
2010	성동구	용답동	6,228	1,926	30.9
2010	성동구	왕십리도선동	4,578	1,424	31.1
2010	성동구	금호2.3가동	7,469	2,213	29.6
2010	성동구	옥수동	8,339	2,401	28.8
2010	광진구	소계	133,468	40,458	30.3
2010	광진구	화양동	11,981	5,317	44.4
2010	광진구	군자동	8,932	3,037	34
2010	광진구	중곡1동	6,236	2,000	32.1
2010	광진구	중곡2동	7,716	2,376	30.8
2010	광진구	중곡3동	6,857	2,117	30.9
2010	광진구	중곡4동	10,333	2,907	28.1
2010	광진구	능동	4,686	1,784	38.1
2010	광진구	구의1동	9,227	3,484	37.8
2010	광진구	구의2동	8,708	2,457	28.2
2010	광진구	구의3동	9,926	2,469	24.9
2010	광진구	광장동	10,033	1,646	16.4
2010	광진구	자양1동	9,103	3,051	33.5
2010	광진구	자양2동	9,533	2,414	25.3
2010	광진구	자양3동	9,879	1,997	20.2
2010	광진구	자양4동	10,318	3,402	33
2010	동대문구	소계	128,042	37,052	28.9
2010	동대문구	회기동	5,040	1,916	38
2010	동대문구	휘경1동	7,088	2,408	34
2010	동대문구	휘경2동	8,905	2,321	26.1
2010	동대문구	청량리동	8,439	2,614	31
2010	동대문구	용신동	11,494	3,687	32.1
2010	동대문구	제기동	10,546	3,120	29.6
2010	동대문구	전농1동	9,377	2,891	30.8
2010	동대문구	전농2동	5,925	1,400	23.6
2010	동대문구	답십리1동	7,026	2,099	29.9
2010	동대문구	답십리2동	10,299	2,487	24.1
2010	동대문구	장안1동	11,874	2,917	24.6
2010	동대문구	장안2동	10,124	2,397	23.7
2010	동대문구	이문1동	14,094	4,913	34.9
2010	동대문구	이문2동	7,811	1,882	24.1
2010	중랑구	소계	144,951	39,924	27.5
2010	중랑구	면목2동	10,089	2,907	28.8
2010	중랑구	면목4동	8,169	2,606	31.9
2010	중랑구	면목5동	5,033	1,322	26.3
2010	중랑구	면목7동	8,921	2,398	26.9
