기간	자치구	동	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황
기간	자치구	동	합계	개	개	개	개	개	고양이	고양이	고양이	고양이	고양이	기타	기타	기타	기타	기타
기간	자치구	동	합계	계	인도(주인)	입양분양	폐사안락사	계류기증	계	인도(주인)	입양분양	폐사안락사	계류기증	계	인도(주인)	입양분양	폐사안락사	계류기증
2012	합계	합계	13,556	7,860	1,762	2,327	3,310	461	5,350	85	1,369	3,319	577	346	11	148	166	21
2012	종로구	소계	371	129	17	31	77	4	238	2	72	163	1	4	1	-	3	-
2012	종로구	사직동	17	10	2	3	5	-	7	-	3	4	-	-	-	-	-	-
2012	종로구	삼청동	16	3	1	1	-	1	13	-	3	10	-	-	-	-	-	-
2012	종로구	부암동	5	5	-	1	4	-	-	-	-	-	-	-	-	-	-	-
2012	종로구	평창동	81	32	4	7	20	1	48	-	22	26	-	1	1	-	-	-
2012	종로구	무악동	1	-	-	-	-	-	1	-	-	1	-	-	-	-	-	-
2012	종로구	교남동	4	-	-	-	-	-	4	-	4	-	-	-	-	-	-	-
2012	종로구	가회동	5	-	-	-	-	-	5	-	-	5	-	-	-	-	-	-
2012	종로구	종로1.2.3.4가동	112	22	2	5	15	-	87	2	18	66	1	3	-	-	3	-
2012	종로구	종로5·6가동	18	8	1	3	4	-	10	-	1	9	-	-	-	-	-	-
2012	종로구	이화동	21	9	3	-	6	-	12	-	7	5	-	-	-	-	-	-
2012	종로구	창신1동	19	4	1	1	1	1	15	-	2	13	-	-	-	-	-	-
2012	종로구	창신2동	4	2	-	1	1	-	2	-	-	2	-	-	-	-	-	-
2012	종로구	창신3동	20	7	-	1	6	-	13	-	7	6	-	-	-	-	-	-
2012	종로구	숭인1동	11	8	1	2	4	1	3	-	2	1	-	-	-	-	-	-
2012	종로구	숭인2동	8	6	-	3	3	-	2	-	1	1	-	-	-	-	-	-
2012	종로구	청운효자동	19	9	2	2	5	-	10	-	1	9	-	-	-	-	-	-
2012	종로구	혜화동	10	4	-	1	3	-	6	-	1	5	-	-	-	-	-	-
2012	중구	소계	203	97	17	9	71	-	102	-	44	58	-	4	-	-	4	-
2012	중구	소공동	3	1	-	-	1	-	2	-	-	2	-	-	-	-	-	-
2012	중구	회현동	21	7	-	2	5	-	14	-	9	5	-	-	-	-	-	-
2012	중구	명동	8	2	1	-	1	-	6	-	3	3	-	-	-	-	-	-
2012	중구	필동	12	5	1	-	4	-	5	-	-	5	-	2	-	-	2	-
2012	중구	장충동	15	7	-	-	7	-	8	-	2	6	-	-	-	-	-	-
2012	중구	광희동	4	3	-	-	3	-	1	-	-	1	-	-	-	-	-	-
2012	중구	을지로동	11	7	-	-	7	-	4	-	-	4	-	-	-	-	-	-
2012	중구	신당1동	53	27	9	4	14	-	26	-	11	15	-	-	-	-	-	-
2012	중구	신당2동	19	8	-	1	7	-	11	-	6	5	-	-	-	-	-	-
2012	중구	신당3동	30	13	4	1	8	-	16	-	8	8	-	1	-	-	1	-
2012	중구	신당4동	6	3	-	-	3	-	3	-	2	1	-	-	-	-	-	-
2012	중구	신당5동	3	3	-	-	3	-	-	-	-	-	-	-	-	-	-	-
2012	중구	신당6동	3	3	-	-	3	-	-	-	-	-	-	-	-	-	-	-
2012	중구	황학동	8	3	-	1	2	-	5	-	3	2	-	-	-	-	-	-
2012	중구	중림동	7	5	2	-	3	-	1	-	-	1	-	1	-	-	1	-
2012	용산구	소계	1,064	461	115	323	12	11	552	9	416	108	19	51	4	34	10	3
2012	용산구	후암동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	용산구	용산2가동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	용산구	남영동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	용산구	원효로2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	용산구	효창동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	용산구	용문동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	용산구	이촌1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	용산구	이촌2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	용산구	이태원1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	용산구	이태원2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	용산구	서빙고동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	용산구	보광동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	용산구	청파동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	용산구	원효로1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	용산구	한강로동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
