기간	자치구	동	인구	면적	인구밀도
2012	합계	합계	10,442,426	605.18	17,255
2012	종로구	소계	173,148	23.91	7,243
2012	종로구	사직동	10,477	1.23	8,518
2012	종로구	삼청동	3,485	1.49	2,339
2012	종로구	부암동	11,478	2.27	5,056
2012	종로구	평창동	19,816	8.87	2,234
2012	종로구	무악동	8,598	0.36	23,883
2012	종로구	교남동	8,342	0.35	23,834
2012	종로구	가회동	5,520	0.54	10,222
2012	종로구	종로1.2.3.4가동	8,984	2.36	3,807
2012	종로구	종로5·6가동	6,438	0.6	10,730
2012	종로구	이화동	9,521	0.78	12,206
2012	종로구	창신1동	7,669	0.31	24,739
2012	종로구	창신2동	11,984	0.26	46,092
2012	종로구	창신3동	8,502	0.23	36,965
2012	종로구	숭인1동	7,692	0.23	33,443
2012	종로구	숭인2동	9,560	0.35	27,314
2012	종로구	청운효자동	15,219	2.57	5,922
2012	종로구	혜화동	19,863	1.11	17,895
2012	중구	소계	140,807	9.96	14,136
2012	중구	소공동	1,764	0.95	1,857
2012	중구	회현동	6,581	0.84	7,835
2012	중구	명동	4,113	0.99	4,155
2012	중구	필동	4,989	1.14	4,376
2012	중구	장충동	6,189	1.36	4,551
2012	중구	광희동	6,460	0.74	8,730
2012	중구	을지로동	2,074	0.6	3,457
2012	중구	신당1동	9,325	0.55	16,955
2012	중구	신당2동	16,749	0.51	32,841
2012	중구	신당3동	19,638	0.48	40,913
2012	중구	신당4동	16,020	0.34	47,118
2012	중구	신당5동	10,693	0.39	27,418
2012	중구	신당6동	12,053	0.26	46,358
2012	중구	황학동	13,090	0.33	39,667
2012	중구	중림동	11,069	0.48	23,060
2012	용산구	소계	255,294	21.87	11,674
2012	용산구	후암동	20,413	0.86	23,736
2012	용산구	용산2가동	13,810	1.96	7,046
2012	용산구	남영동	8,213	1.19	6,902
2012	용산구	원효로2동	15,928	0.71	22,434
2012	용산구	효창동	11,449	0.44	26,020
2012	용산구	용문동	13,126	0.28	46,879
2012	용산구	이촌1동	28,405	2.86	9,932
2012	용산구	이촌2동	10,367	1.22	8,498
2012	용산구	이태원1동	9,981	0.57	17,511
2012	용산구	이태원2동	11,878	0.86	13,812
2012	용산구	서빙고동	14,456	2.8	5,163
2012	용산구	보광동	18,361	0.71	25,861
2012	용산구	청파동	23,948	0.91	26,316
2012	용산구	원효로1동	12,838	0.59	21,759
2012	용산구	한강로동	16,548	2.9	5,706
2012	용산구	한남동	25,573	3.01	8,496
2012	성동구	소계	306,868	16.85	18,214
2012	성동구	왕십리2동	17,423	0.41	42,495
2012	성동구	마장동	25,783	1.06	24,324
2012	성동구	사근동	11,699	1.11	10,540
2012	성동구	행당1동	18,129	0.59	30,727
2012	성동구	행당2동	27,031	0.42	64,360
2012	성동구	응봉동	17,579	0.57	30,840
2012	성동구	금호1가동	16,087	0.46	34,972
2012	성동구	금호4가동	15,016	0.84	17,876
2012	성동구	성수1가1동	18,588	1.98	9,388
2012	성동구	성수1가2동	18,906	0.89	21,243
2012	성동구	성수2가1동	21,430	1.18	18,161
2012	성동구	성수2가3동	12,440	1.03	12,078
2012	성동구	송정동	12,721	0.68	18,707
2012	성동구	용답동	17,551	2.32	7,565
2012	성동구	왕십리도선동	13,150	0.72	18,264
2012	성동구	금호2.3가동	23,248	0.64	36,325
2012	성동구	옥수동	20,081	1.95	10,298
2012	성동구	기타	6	-	-
2012	광진구	소계	384,269	17.06	22,520
2012	광진구	화양동	23,990	1.16	20,681
2012	광진구	군자동	22,227	0.74	30,036
2012	광진구	중곡1동	17,244	0.62	27,813
2012	광진구	중곡2동	23,234	0.55	42,244
2012	광진구	중곡3동	19,106	0.6	31,843
2012	광진구	중곡4동	32,281	2.32	13,914
2012	광진구	능동	11,328	1.1	10,298
2012	광진구	구의1동	23,547	0.56	42,048
2012	광진구	구의2동	27,744	1.39	19,960
2012	광진구	구의3동	30,036	1.02	29,447
2012	광진구	광장동	37,100	2.39	15,523
2012	광진구	자양1동	26,164	0.57	45,902
2012	광진구	자양2동	29,114	1.68	17,330
2012	광진구	자양3동	32,296	1.2	26,913
2012	광진구	자양4동	28,858	1.16	24,878
2012	동대문구	소계	375,683	14.2	26,453
2012	동대문구	회기동	12,664	0.76	16,663
2012	동대문구	휘경1동	17,724	0.63	28,133
2012	동대문구	휘경2동	26,392	1.05	25,135
2012	동대문구	청량리동	25,438	1.2	21,198
2012	동대문구	용신동	33,602	1.61	20,871
2012	동대문구	제기동	29,474	1.18	24,978
2012	동대문구	전농1동	27,251	1.19	22,900
2012	동대문구	전농2동	21,753	0.86	25,294
2012	동대문구	답십리1동	20,582	0.86	23,933
2012	동대문구	답십리2동	32,184	0.8	40,230
2012	동대문구	장안1동	38,129	1.25	30,503
2012	동대문구	장안2동	33,047	1.08	30,599
2012	동대문구	이문1동	33,770	1.04	32,471
2012	동대문구	이문2동	23,673	0.69	34,309
2012	중랑구	소계	423,655	18.5	22,904
2012	중랑구	면목2동	28,404	0.73	38,910
2012	중랑구	면목4동	22,634	1.11	20,391
2012	중랑구	면목5동	14,407	0.64	22,511
2012	중랑구	면목7동	25,877	0.87	29,744
2012	중랑구	상봉1동	25,826	0.85	30,384
2012	중랑구	상봉2동	18,758	0.68	27,585
2012	중랑구	중화1동	21,787	0.68	32,040
2012	중랑구	중화2동	31,005	0.98	31,638
2012	중랑구	묵1동	36,259	1.2	30,216
2012	중랑구	묵2동	20,267	0.7	28,953
2012	중랑구	망우3동	19,400	0.99	19,596
2012	중랑구	신내1동	32,199	2.53	12,727
2012	중랑구	신내2동	25,181	0.99	25,435
2012	중랑구	면목본동	37,090	1.01	36,723
2012	중랑구	면목3.8동	29,569	1.67	17,706
2012	중랑구	망우본동	34,992	2.88	12,150
2012	성북구	소계	490,639	24.57	19,968
2012	성북구	돈암1동	16,706	2.86	5,841
2012	성북구	돈암2동	23,373	0.92	25,405
2012	성북구	안암동	18,392	0.73	25,195
2012	성북구	보문동	14,422	0.49	29,433
2012	성북구	정릉1동	20,659	0.48	43,040
2012	성북구	정릉2동	24,616	1.33	18,508
2012	성북구	정릉3동	18,502	0.56	33,039
2012	성북구	정릉4동	28,171	0.44	64,025
2012	성북구	길음1동	37,394	1.17	31,961
2012	성북구	길음2동	21,138	3.71	5,698
2012	성북구	월곡1동	29,335	3.13	9,372
2012	성북구	월곡2동	21,867	0.79	27,680
2012	성북구	장위1동	26,259	0.58	45,274
2012	성북구	장위2동	22,898	1.46	15,684
2012	성북구	장위3동	19,300	0.81	23,827
2012	성북구	성북동	19,636	1.36	14,438
2012	성북구	삼선동	28,877	0.7	41,253
2012	성북구	동선동	16,982	0.67	25,346
2012	성북구	종암동	43,886	0.65	67,517
2012	성북구	석관동	38,226	1.73	22,096
2012	강북구	소계	346,493	23.6	14,684
2012	강북구	번1동	21,222	0.55	38,585
2012	강북구	번2동	19,877	1.25	15,902
2012	강북구	번3동	21,309	0.86	24,778
2012	강북구	수유1동	23,557	1.07	22,016
2012	강북구	수유2동	23,347	0.73	31,982
2012	강북구	수유3동	24,201	0.86	28,141
2012	강북구	삼양동	31,872	0.95	33,549
2012	강북구	미아동	24,615	0.73	33,719
2012	강북구	송중동	33,998	1.22	27,867
2012	강북구	송천동	32,293	0.88	36,697
2012	강북구	삼각산동	34,542	0.62	55,713
2012	강북구	우이동	21,734	10.95	1,985
2012	강북구	인수동	33,926	2.93	11,579
2012	도봉구	소계	364,454	20.7	17,605
2012	도봉구	쌍문1동	22,320	1.24	18,000
2012	도봉구	쌍문2동	21,727	0.54	40,235
2012	도봉구	쌍문3동	18,767	0.5	37,534
2012	도봉구	쌍문4동	21,798	0.52	41,919
2012	도봉구	방학1동	32,448	0.69	47,026
2012	도봉구	방학2동	23,957	0.74	32,374
2012	도봉구	방학3동	32,106	2.64	12,161
2012	도봉구	창1동	28,661	0.88	32,569
2012	도봉구	창2동	31,719	1.07	29,644
2012	도봉구	창3동	16,089	0.67	24,013
2012	도봉구	창4동	30,897	0.96	32,184
2012	도봉구	창5동	27,914	0.7	39,877
2012	도봉구	도봉1동	24,638	8.72	2,825
2012	도봉구	도봉2동	31,413	0.83	37,847
2012	노원구	소계	600,829	35.44	16,955
2012	노원구	월계1동	23,366	1.16	20,143
