기간	자치구	동	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황
기간	자치구	동	합계	합계	합계	1급	1급	1급	2급	2급	2급	3급	3급	3급	4급	4급	4급	5급	5급	5급	6급	6급	6급
기간	자치구	동	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2012	합계	합계	407,528	237,538	169,990	34,851	20,767	14,084	55,775	32,735	23,040	67,501	41,789	25,712	62,213	31,162	31,051	85,870	45,337	40,533	101,318	65,748	35,570
2012	종로구	소계	6,905	4,020	2,885	619	354	265	925	558	367	1,113	698	415	1,186	567	619	1,486	773	713	1,576	1,070	506
2012	종로구	사직동	358	207	151	50	30	20	39	20	19	59	37	22	63	32	31	71	43	28	76	45	31
2012	종로구	삼청동	134	72	62	11	4	7	26	15	11	26	16	10	25	11	14	20	10	10	26	16	10
2012	종로구	부암동	367	201	166	40	20	20	57	33	24	64	37	27	59	22	37	63	28	35	84	61	23
2012	종로구	평창동	611	315	296	54	26	28	93	57	36	100	52	48	93	37	56	141	69	72	130	74	56
2012	종로구	무악동	326	202	124	33	22	11	48	29	19	48	34	14	58	35	23	66	37	29	73	45	28
2012	종로구	교남동	426	246	180	25	17	8	48	27	21	66	42	24	70	34	36	105	51	54	112	75	37
2012	종로구	가회동	204	113	91	19	14	5	44	21	23	31	21	10	36	15	21	38	19	19	36	23	13
2012	종로구	종로1.2.3.4가동	436	296	140	29	17	12	60	40	20	85	58	27	81	53	28	96	58	38	85	70	15
2012	종로구	종로5·6가동	310	200	110	25	15	10	38	28	10	47	32	15	62	34	28	68	42	26	70	49	21
2012	종로구	이화동	346	182	164	33	22	11	34	20	14	48	22	26	54	23	31	84	40	44	93	55	38
2012	종로구	창신1동	350	218	132	18	12	6	42	22	20	60	46	14	65	34	31	81	39	42	84	65	19
2012	종로구	창신2동	588	336	252	23	12	11	67	42	25	90	56	34	115	53	62	129	64	65	164	109	55
2012	종로구	창신3동	366	208	158	22	13	9	37	19	18	44	29	15	71	31	40	106	53	53	86	63	23
2012	종로구	숭인1동	314	185	129	11	7	4	42	23	19	58	42	16	55	24	31	77	44	33	71	45	26
2012	종로구	숭인2동	508	315	193	28	18	10	62	39	23	95	55	40	88	46	42	112	63	49	123	94	29
2012	종로구	청운효자동	630	349	281	146	77	69	83	47	36	94	59	35	91	37	54	97	47	50	119	82	37
2012	종로구	혜화동	631	375	256	52	28	24	105	76	29	98	60	38	100	46	54	132	66	66	144	99	45
2012	중구	소계	6,296	3,650	2,646	557	316	241	794	485	309	973	642	331	1,084	510	574	1,356	725	631	1,532	972	560
2012	중구	소공동	47	26	21	3	3	-	7	4	3	7	4	3	10	4	6	9	3	6	11	8	3
2012	중구	회현동	391	256	135	55	30	25	46	34	12	64	45	19	57	37	20	79	42	37	90	68	22
2012	중구	명동	142	83	59	19	8	11	22	15	7	17	11	6	18	8	10	30	13	17	36	28	8
2012	중구	필동	196	117	79	26	15	11	20	12	8	23	15	8	40	20	20	28	19	9	59	36	23
2012	중구	장충동	228	125	103	17	9	8	28	17	11	35	20	15	45	20	25	54	30	24	49	29	20
2012	중구	광희동	272	163	109	21	11	10	32	19	13	35	25	10	59	27	32	53	36	17	72	45	27
2012	중구	을지로동	118	84	34	7	2	5	10	6	4	28	24	4	22	14	8	22	16	6	29	22	7
2012	중구	신당1동	427	256	171	39	26	13	61	40	21	57	35	22	68	41	27	96	48	48	106	66	40
2012	중구	신당2동	733	415	318	56	37	19	79	43	36	120	77	43	126	59	67	178	94	84	174	105	69
2012	중구	신당3동	955	523	432	104	53	51	128	73	55	146	94	52	155	66	89	193	97	96	229	140	89
2012	중구	신당4동	684	377	307	58	33	25	97	60	37	100	66	34	118	45	73	155	75	80	156	98	58
2012	중구	신당5동	511	317	194	29	19	10	56	38	18	87	57	30	98	50	48	115	65	50	126	88	38
2012	중구	신당6동	448	243	205	39	21	18	67	42	25	71	45	26	82	31	51	92	45	47	97	59	38
2012	중구	황학동	587	344	243	42	24	18	69	41	28	93	66	27	99	44	55	124	70	54	160	99	61
2012	중구	중림동	557	321	236	42	25	17	72	41	31	90	58	32	87	44	43	128	72	56	138	81	57
2012	용산구	소계	9,225	5,301	3,924	753	418	335	1,195	704	491	1,522	955	567	1,557	730	827	1,928	1,039	889	2,270	1,455	815
2012	용산구	후암동	934	553	381	113	70	43	130	77	53	158	91	67	151	77	74	162	93	69	220	145	75
2012	용산구	용산2가동	581	319	262	36	16	20	77	43	34	85	46	39	109	47	62	124	74	50	150	93	57
2012	용산구	남영동	571	416	155	23	16	7	71	49	22	115	86	29	103	73	30	108	77	31	151	115	36
2012	용산구	원효로2동	548	304	244	34	17	17	79	40	39	93	54	39	100	40	60	102	68	34	140	85	55
2012	용산구	효창동	409	226	183	32	22	10	54	31	23	74	40	34	65	23	42	83	43	40	101	67	34
2012	용산구	용문동	482	251	231	45	21	24	60	31	29	74	39	35	89	42	47	93	48	45	121	70	51
2012	용산구	이촌1동	552	309	243	62	33	29	80	49	31	94	58	36	93	37	56	113	60	53	110	72	38
2012	용산구	이촌2동	410	228	182	37	20	17	54	35	19	67	41	26	74	35	39	97	49	48	81	48	33
2012	용산구	이태원1동	306	167	139	23	12	11	54	30	24	43	26	17	52	23	29	66	36	30	68	40	28
2012	용산구	이태원2동	451	245	206	35	18	17	54	28	26	73	47	26	73	32	41	109	50	59	107	70	37
2012	용산구	서빙고동	422	226	196	50	27	23	46	29	17	67	40	27	63	26	37	91	41	50	105	63	42
2012	용산구	보광동	730	408	322	52	26	26	84	52	32	120	75	45	130	57	73	139	65	74	205	133	72
2012	용산구	청파동	926	549	377	65	39	26	141	90	51	148	100	48	136	67	69	206	102	104	230	151	79
2012	용산구	원효로1동	463	247	216	41	17	24	41	23	18	72	43	29	85	43	42	106	51	55	118	70	48
2012	용산구	한강로동	642	404	238	45	33	12	86	56	30	112	80	32	111	57	54	140	80	60	148	98	50
2012	용산구	한남동	798	449	349	60	31	29	84	41	43	127	89	38	123	51	72	189	102	87	215	135	80
2012	성동구	소계	12,256	7,164	5,092	792	463	329	1,533	914	619	1,994	1,241	753	2,134	1,030	1,104	2,795	1,499	1,296	3,008	2,017	991
2012	성동구	왕십리2동	728	402	326	29	19	10	84	52	32	130	72	58	148	67	81	157	78	79	180	114	66
2012	성동구	마장동	1,196	718	478	99	61	38	164	100	64	205	133	72	200	104	96	269	137	132	259	183	76
2012	성동구	사근동	471	267	204	28	17	11	46	29	17	81	47	34	84	29	55	114	65	49	118	80	38
2012	성동구	행당1동	723	434	289	42	23	19	96	59	37	116	67	49	136	68	68	157	98	59	176	119	57
2012	성동구	행당2동	937	529	408	61	32	29	124	65	59	161	91	70	147	66	81	214	117	97	230	158	72
2012	성동구	응봉동	573	322	251	36	26	10	69	41	28	89	49	40	117	62	55	136	69	67	126	75	51
2012	성동구	금호1가동	746	406	340	49	24	25	115	59	56	122	83	39	129	60	69	183	96	87	148	84	64
2012	성동구	금호4가동	554	309	245	31	18	13	77	48	29	77	45	32	96	43	53	124	64	60	149	91	58
2012	성동구	성수1가1동	695	446	249	52	34	18	85	50	35	127	95	32	97	55	42	138	74	64	196	138	58
2012	성동구	성수1가2동	682	383	299	38	24	14	74	39	35	103	58	45	125	62	63	166	78	88	176	122	54
2012	성동구	성수2가1동	894	570	324	59	37	22	106	72	34	137	91	46	151	87	64	201	117	84	240	166	74
2012	성동구	성수2가3동	467	290	177	27	17	10	53	31	22	70	50	20	80	42	38	115	69	46	122	81	41
2012	성동구	송정동	559	328	231	27	13	14	77	44	33	80	46	34	104	61	43	125	61	64	146	103	43
2012	성동구	용답동	837	517	320	48	27	21	104	71	33	162	120	42	140	62	78	187	108	79	196	129	67
2012	성동구	왕십리도선동	638	360	278	58	31	27	79	46	33	110	60	50	109	49	60	143	73	70	139	101	38
2012	성동구	금호2.3가동	919	528	391	53	28	25	101	59	42	128	76	52	162	69	93	219	117	102	256	179	77
2012	성동구	옥수동	637	355	282	55	32	23	79	49	30	96	58	38	109	44	65	147	78	69	151	94	57
2012	광진구	소계	13,187	7,768	5,419	988	589	399	1,712	1,020	692	2,166	1,353	813	2,054	1,059	995	2,880	1,537	1,343	3,387	2,210	1,177
2012	광진구	화양동	687	409	278	51	31	20	76	43	33	95	58	37	126	64	62	157	89	68	182	124	58
2012	광진구	군자동	828	471	357	47	26	21	115	57	58	137	89	48	125	63	62	203	101	102	201	135	66
2012	광진구	중곡1동	695	404	291	46	25	21	97	63	34	113	75	38	87	42	45	171	89	82	181	110	71
2012	광진구	중곡2동	895	529	366	72	49	23	136	73	63	153	95	58	127	66	61	180	95	85	227	151	76
2012	광진구	중곡3동	807	527	280	52	33	19	114	81	33	154	96	58	101	68	33	172	104	68	214	145	69
2012	광진구	중곡4동	1,319	771	548	99	59	40	162	91	71	230	146	84	218	119	99	278	146	132	332	210	122
2012	광진구	능동	405	235	170	35	15	20	57	34	23	68	45	23	53	22	31	87	50	37	105	69	36
2012	광진구	구의1동	827	491	336	55	33	22	110	69	41	153	90	63	126	62	64	166	94	72	217	143	74
2012	광진구	구의2동	1,181	701	480	93	61	32	155	86	69	172	113	59	192	105	87	245	123	122	324	213	111
2012	광진구	구의3동	824	467	357	76	40	36	92	54	38	132	90	42	126	54	72	194	109	85	204	120	84
2012	광진구	광장동	771	472	299	72	50	22	98	58	40	132	80	52	118	58	60	169	99	70	182	127	55
2012	광진구	자양1동	941	528	413	61	39	22	106	62	44	146	78	68	175	83	92	210	110	100	243	156	87
2012	광진구	자양2동	1,037	617	420	98	54	44	142	89	53	174	109	65	151	76	75	202	109	93	270	180	90
2012	광진구	자양3동	859	476	383	78	42	36	115	68	47	123	76	47	123	63	60	200	86	114	220	141	79
2012	광진구	자양4동	1,111	670	441	53	32	21	137	92	45	184	113	71	206	114	92	246	133	113	285	186	99
2012	동대문구	소계	16,584	9,740	6,844	1,118	675	443	2,044	1,228	816	2,762	1,762	1,000	2,763	1,405	1,358	3,634	1,957	1,677	4,263	2,713	1,550
2012	동대문구	회기동	381	221	160	26	16	10	53	35	18	64	37	27	63	28	35	85	51	34	90	54	36
2012	동대문구	휘경1동	746	427	319	45	24	21	91	55	36	122	78	44	110	58	52	188	98	90	190	114	76
2012	동대문구	휘경2동	852	486	366	44	24	20	99	54	45	118	69	49	143	70	73	206	105	101	242	164	78
2012	동대문구	청량리동	1,423	830	593	92	48	44	165	110	55	268	160	108	260	134	126	312	181	131	326	197	129
2012	동대문구	용신동	1,617	966	651	93	58	35	205	128	77	259	164	95	291	148	143	364	196	168	405	272	133
2012	동대문구	제기동	1,401	812	589	106	70	36	155	99	56	235	152	83	271	118	153	285	150	135	349	223	126
2012	동대문구	전농1동	1,579	947	632	96	57	39	190	115	75	267	175	92	278	159	119	366	207	159	382	234	148
2012	동대문구	전농2동	946	558	388	65	48	17	121	75	46	149	94	55	152	75	77	216	112	104	243	154	89
2012	동대문구	답십리1동	958	559	399	67	37	30	129	79	50	165	97	68	157	81	76	223	113	110	217	152	65
2012	동대문구	답십리2동	1,564	905	659	120	65	55	202	116	86	273	168	105	253	137	116	312	169	143	404	250	154
2012	동대문구	장안1동	1,516	911	605	111	73	38	185	104	81	247	158	89	227	112	115	332	194	138	414	270	144
2012	동대문구	장안2동	1,297	790	507	96	58	38	167	106	61	217	157	60	200	108	92	246	127	119	371	234	137
2012	동대문구	이문1동	1,321	778	543	82	51	31	150	83	67	218	142	76	204	101	103	291	160	131	376	241	135
2012	동대문구	이문2동	983	550	433	75	46	29	132	69	63	160	111	49	154	76	78	208	94	114	254	154	100
2012	중랑구	소계	20,563	12,070	8,493	1,483	910	573	2,645	1,594	1,051	3,472	2,180	1,292	3,225	1,643	1,582	4,349	2,272	2,077	5,389	3,471	1,918
2012	중랑구	면목2동	1,326	785	541	74	52	22	168	104	64	238	161	77	208	82	126	274	146	128	364	240	124
2012	중랑구	면목4동	1,388	863	525	111	72	39	241	159	82	296	202	94	180	83	97	230	135	95	330	212	118
2012	중랑구	면목5동	715	442	273	31	16	15	89	61	28	123	77	46	114	68	46	176	93	83	182	127	55
2012	중랑구	면목7동	1,102	656	446	76	43	33	113	71	42	200	136	64	187	97	90	242	124	118	284	185	99
2012	중랑구	상봉1동	1,430	837	593	126	83	43	253	161	92	267	158	109	227	105	122	249	130	119	308	200	108
2012	중랑구	상봉2동	913	534	379	63	43	20	82	58	24	132	86	46	141	71	70	220	107	113	275	169	106
2012	중랑구	중화1동	913	551	362	62	41	21	111	74	37	157	87	70	153	77	76	192	106	86	238	166	72
2012	중랑구	중화2동	1,651	949	702	97	58	39	181	104	77	253	149	104	278	136	142	356	193	163	486	309	177
2012	중랑구	묵1동	1,419	827	592	98	51	47	168	99	69	245	166	79	207	107	100	317	160	157	384	244	140
2012	중랑구	묵2동	955	550	405	70	36	34	97	58	39	155	97	58	157	73	84	195	103	92	281	183	98
2012	중랑구	망우3동	925	563	362	56	33	23	95	48	47	153	98	55	148	89	59	210	111	99	263	184	79
2012	중랑구	신내1동	1,384	756	628	131	79	52	165	91	74	209	115	94	192	86	106	327	161	166	360	224	136
