기간	자치구	동	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급
기간	자치구	동	합계	합계	합계	1급	1급	1급	2급	2급	2급	3급	3급	3급	4급	4급	4급	5급	5급	5급	6급	6급	6급
기간	자치구	동	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2016	합계	합계	391,027	227,271	163,756	33,086	19,767	13,319	52,680	31,213	21,467	65,384	39,872	25,512	57,762	29,267	28,495	82,013	43,425	38,588	100,102	63,727	36,375
2016	종로구	소계	6,072	3,492	2,580	507	293	214	785	481	304	1,005	629	376	983	446	537	1,319	680	639	1,473	963	510
2016	종로구	사직동	315	176	139	39	22	17	40	27	13	59	32	27	55	25	30	58	33	25	64	37	27
2016	종로구	삼청동	126	68	58	13	3	10	21	12	9	16	10	6	24	13	11	24	14	10	28	16	12
2016	종로구	부암동	334	197	137	31	18	13	49	29	20	53	29	24	44	22	22	70	34	36	87	65	22
2016	종로구	평창동	573	293	280	47	25	22	84	49	35	80	41	39	99	37	62	130	58	72	133	83	50
2016	종로구	무악동	300	174	126	28	17	11	38	23	15	49	37	12	48	25	23	66	36	30	71	36	35
2016	종로구	교남동	247	137	110	11	7	4	27	19	8	40	20	20	41	22	19	55	21	34	73	48	25
2016	종로구	가회동	182	93	89	17	10	7	31	15	16	30	18	12	34	13	21	37	19	18	33	18	15
2016	종로구	종로1.2.3.4가동	392	268	124	21	15	6	45	32	13	85	61	24	64	36	28	87	56	31	90	68	22
2016	종로구	종로5·6가동	291	190	101	20	13	7	37	26	11	44	31	13	51	27	24	65	37	28	74	56	18
2016	종로구	이화동	318	170	148	25	15	10	35	20	15	56	31	25	47	18	29	75	39	36	80	47	33
2016	종로구	창신1동	300	185	115	13	9	4	40	24	16	48	36	12	57	31	26	65	31	34	77	54	23
2016	종로구	창신2동	517	294	223	22	13	9	55	34	21	87	56	31	99	44	55	111	55	56	143	92	51
2016	종로구	창신3동	325	181	144	15	8	7	39	22	17	49	33	16	51	15	36	95	51	44	76	52	24
2016	종로구	숭인1동	282	150	132	8	5	3	39	22	17	45	25	20	46	19	27	73	35	38	71	44	27
2016	종로구	숭인2동	472	303	169	26	17	9	56	35	21	85	60	25	75	42	33	99	50	49	131	99	32
2016	종로구	청운효자동	526	273	253	126	69	57	63	34	29	81	47	34	68	21	47	86	42	44	102	60	42
2016	종로구	혜화동	572	340	232	45	27	18	86	58	28	98	62	36	80	36	44	123	69	54	140	88	52
2016	중구	소계	5,719	3,294	2,425	475	271	204	722	423	299	924	592	332	930	433	497	1,200	650	550	1,468	925	543
2016	중구	소공동	38	23	15	2	2	-	8	5	3	3	2	1	7	3	4	9	5	4	9	6	3
2016	중구	회현동	336	218	118	41	25	16	33	22	11	72	50	22	52	30	22	61	35	26	77	56	21
2016	중구	명동	117	70	47	19	11	8	14	9	5	15	9	6	15	6	9	26	12	14	28	23	5
2016	중구	필동	190	117	73	25	16	9	23	13	10	27	15	12	26	14	12	35	24	11	54	35	19
2016	중구	장충동	213	116	97	13	7	6	19	11	8	44	23	21	34	14	20	53	30	23	50	31	19
2016	중구	광희동	251	154	97	14	9	5	33	20	13	34	24	10	49	21	28	48	32	16	73	48	25
2016	중구	을지로동	99	74	25	2	1	1	10	4	6	16	15	1	23	16	7	20	15	5	28	23	5
2016	중구	신당5동	459	274	185	33	22	11	49	31	18	87	57	30	80	34	46	93	53	40	117	77	40
2016	중구	황학동	542	321	221	37	24	13	67	35	32	86	66	20	83	36	47	105	56	49	164	104	60
2016	중구	중림동	438	248	190	29	15	14	65	41	24	77	51	26	66	34	32	93	51	42	108	56	52
2016	중구	신당동	377	235	142	23	17	6	49	37	12	59	41	18	53	30	23	82	38	44	111	72	39
2016	중구	다산동	670	370	300	46	30	16	76	40	36	99	58	41	108	46	62	160	86	74	181	110	71
2016	중구	약수동	888	465	423	95	42	53	120	59	61	132	75	57	131	58	73	185	103	82	225	128	97
2016	중구	청구동	658	373	285	56	31	25	95	59	36	102	65	37	124	55	69	142	72	70	139	91	48
2016	중구	동화동	443	236	207	40	19	21	61	37	24	71	41	30	79	36	43	88	38	50	104	65	39
2016	용산구	소계	8,189	4,757	3,432	654	377	277	994	586	408	1,358	861	497	1,324	655	669	1,751	932	819	2,108	1,346	762
2016	용산구	후암동	840	487	353	97	60	37	121	69	52	134	76	58	127	61	66	165	98	67	196	123	73
2016	용산구	용산2가동	491	264	227	30	19	11	52	33	19	77	42	35	83	39	44	114	56	58	135	75	60
2016	용산구	남영동	577	442	135	25	21	4	75	55	20	125	99	26	105	76	29	97	74	23	150	117	33
2016	용산구	원효로2동	522	287	235	28	10	18	70	35	35	106	59	47	79	34	45	108	65	43	131	84	47
2016	용산구	효창동	325	173	152	29	19	10	39	26	13	47	25	22	54	17	37	75	37	38	81	49	32
2016	용산구	용문동	451	236	215	41	20	21	56	22	34	66	39	27	96	48	48	76	41	35	116	66	50
2016	용산구	이촌1동	543	314	229	65	37	28	70	43	27	88	56	32	82	42	40	120	64	56	118	72	46
2016	용산구	이촌2동	357	210	147	30	16	14	41	24	17	58	41	17	65	37	28	85	47	38	78	45	33
2016	용산구	이태원1동	246	142	104	18	11	7	35	20	15	39	28	11	39	15	24	55	27	28	60	41	19
2016	용산구	이태원2동	344	194	150	24	13	11	37	22	15	56	34	22	55	25	30	85	44	41	87	56	31
2016	용산구	서빙고동	393	208	185	40	23	17	47	23	24	65	41	24	53	23	30	89	42	47	99	56	43
2016	용산구	보광동	651	366	285	37	22	15	66	38	28	106	61	45	108	51	57	138	70	68	196	124	72
2016	용산구	청파동	830	504	326	51	29	22	116	76	40	132	88	44	116	61	55	179	92	87	236	158	78
2016	용산구	원효로1동	454	264	190	44	25	19	47	27	20	77	47	30	77	41	36	101	50	51	108	74	34
2016	용산구	한강로동	499	307	192	46	30	16	55	37	18	79	55	24	81	41	40	110	52	58	128	92	36
2016	용산구	한남동	666	359	307	49	22	27	67	36	31	103	70	33	104	44	60	154	73	81	189	114	75
2016	성동구	소계	11,664	6,812	4,852	759	442	317	1,424	839	585	1,918	1,191	727	1,913	932	981	2,656	1,440	1,216	2,994	1,968	1,026
2016	성동구	왕십리2동	653	361	292	35	27	8	77	45	32	111	66	45	114	45	69	149	76	73	167	102	65
2016	성동구	마장동	1,133	691	442	102	62	40	153	95	58	186	119	67	195	112	83	245	135	110	252	168	84
2016	성동구	사근동	403	224	179	19	12	7	42	23	19	70	41	29	63	19	44	98	56	42	111	73	38
2016	성동구	행당1동	557	345	212	34	19	15	68	47	21	94	61	33	116	58	58	116	69	47	129	91	38
2016	성동구	행당2동	879	481	398	60	30	30	121	59	62	154	88	66	122	61	61	203	103	100	219	140	79
2016	성동구	응봉동	536	295	241	43	29	14	69	43	26	76	39	37	101	46	55	120	62	58	127	76	51
2016	성동구	금호1가동	620	322	298	41	14	27	85	45	40	104	58	46	98	46	52	146	73	73	146	86	60
2016	성동구	금호4가동	499	278	221	25	15	10	71	42	29	65	34	31	81	36	45	117	62	55	140	89	51
2016	성동구	성수1가1동	612	372	240	46	22	24	78	48	30	108	77	31	91	49	42	137	72	65	152	104	48
2016	성동구	성수1가2동	577	332	245	24	12	12	72	44	28	85	52	33	98	45	53	131	66	65	167	113	54
2016	성동구	성수2가1동	862	557	305	58	38	20	96	55	41	141	88	53	142	89	53	183	118	65	242	169	73
2016	성동구	성수2가3동	455	278	177	29	20	9	58	33	25	60	35	25	75	40	35	108	62	46	125	88	37
2016	성동구	송정동	536	325	211	24	11	13	67	48	19	88	54	34	84	45	39	143	77	66	130	90	40
2016	성동구	용답동	806	511	295	46	28	18	82	53	29	173	137	36	123	57	66	176	103	73	206	133	73
2016	성동구	왕십리도선동	888	507	381	66	41	25	106	51	55	152	96	56	141	65	76	195	98	97	228	156	72
2016	성동구	금호2.3가동	968	550	418	60	36	24	103	60	43	133	77	56	159	75	84	230	118	112	283	184	99
2016	성동구	옥수동	680	383	297	47	26	21	76	48	28	118	69	49	110	44	66	159	90	69	170	106	64
2016	광진구	소계	12,356	7,211	5,145	910	525	385	1,546	932	614	2,052	1,224	828	1,882	981	901	2,718	1,453	1,265	3,248	2,096	1,152
2016	광진구	화양동	581	351	230	46	28	18	62	40	22	85	55	30	97	49	48	131	72	59	160	107	53
2016	광진구	군자동	774	445	329	53	25	28	102	55	47	122	76	46	119	65	54	193	99	94	185	125	60
2016	광진구	중곡1동	683	396	287	41	21	20	91	56	35	116	72	44	102	53	49	145	78	67	188	116	72
2016	광진구	중곡2동	871	505	366	67	43	24	108	63	45	136	80	56	116	63	53	219	119	100	225	137	88
2016	광진구	중곡3동	748	468	280	39	31	8	95	59	36	153	99	54	100	62	38	156	81	75	205	136	69
2016	광진구	중곡4동	1,348	772	576	92	56	36	156	90	66	243	148	95	187	103	84	295	154	141	375	221	154
2016	광진구	능동	364	224	140	34	16	18	46	28	18	62	44	18	45	22	23	80	48	32	97	66	31
2016	광진구	구의1동	792	465	327	60	34	26	104	68	36	143	76	67	108	51	57	156	85	71	221	151	70
2016	광진구	구의2동	1,044	627	417	70	43	27	138	80	58	160	101	59	169	97	72	213	117	96	294	189	105
2016	광진구	구의3동	775	419	356	74	39	35	78	39	39	120	75	45	126	57	69	180	94	86	197	115	82
2016	광진구	광장동	708	413	295	78	47	31	89	54	35	122	67	55	106	45	61	152	83	69	161	117	44
2016	광진구	자양1동	880	502	378	59	35	24	103	61	42	149	79	70	157	78	79	188	105	83	224	144	80
2016	광진구	자양2동	973	567	406	88	47	41	144	90	54	163	95	68	139	71	68	195	107	88	244	157	87
2016	광진구	자양3동	777	455	322	59	28	31	106	68	38	106	61	45	128	71	57	181	92	89	197	135	62
2016	광진구	자양4동	1,038	602	436	50	32	18	124	81	43	172	96	76	183	94	89	234	119	115	275	180	95
2016	동대문구	소계	15,909	9,303	6,606	1,038	633	405	1,904	1,162	742	2,681	1,700	981	2,575	1,314	1,261	3,461	1,830	1,631	4,250	2,664	1,586
2016	동대문구	회기동	315	173	142	24	16	8	42	23	19	43	21	22	56	26	30	77	44	33	73	43	30
2016	동대문구	휘경1동	616	350	266	35	16	19	76	49	27	106	74	32	87	44	43	141	68	73	171	99	72
2016	동대문구	휘경2동	860	483	377	52	30	22	102	60	42	117	74	43	125	55	70	207	100	107	257	164	93
2016	동대문구	청량리동	1,384	828	556	85	45	40	145	99	46	248	155	93	251	126	125	302	175	127	353	228	125
2016	동대문구	용신동	1,479	874	605	86	62	24	174	102	72	226	147	79	261	126	135	339	169	170	393	268	125
2016	동대문구	제기동	1,314	745	569	87	59	28	147	94	53	217	130	87	240	105	135	287	150	137	336	207	129
2016	동대문구	전농1동	1,576	936	640	80	49	31	199	120	79	264	166	98	253	154	99	359	205	154	421	242	179
2016	동대문구	전농2동	875	501	374	61	46	15	101	57	44	158	99	59	126	52	74	193	99	94	236	148	88
2016	동대문구	답십리1동	958	535	423	63	35	28	116	64	52	178	113	65	153	73	80	218	104	114	230	146	84
2016	동대문구	답십리2동	1,439	849	590	99	53	46	199	113	86	231	149	82	230	133	97	292	156	136	388	245	143
2016	동대문구	장안1동	1,552	945	607	115	71	44	181	119	62	262	163	99	235	129	106	333	181	152	426	282	144
2016	동대문구	장안2동	1,223	725	498	89	51	38	164	103	61	220	147	73	193	95	98	233	129	104	324	200	124
2016	동대문구	이문1동	1,287	772	515	85	50	35	138	88	50	232	153	79	204	111	93	259	144	115	369	226	143
2016	동대문구	이문2동	1,031	587	444	77	50	27	120	71	49	179	109	70	161	85	76	221	106	115	273	166	107
2016	중랑구	소계	19,882	11,541	8,341	1,464	903	561	2,541	1,513	1,028	3,403	2,075	1,328	3,063	1,555	1,508	4,090	2,129	1,961	5,321	3,366	1,955
2016	중랑구	면목2동	1,279	742	537	77	49	28	149	99	50	226	146	80	202	85	117	279	131	148	346	232	114
2016	중랑구	면목4동	1,271	757	514	93	58	35	195	124	71	287	178	109	184	80	104	208	122	86	304	195	109
2016	중랑구	면목5동	529	337	192	27	15	12	69	48	21	77	44	33	76	51	25	134	74	60	146	105	41
2016	중랑구	면목7동	1,035	595	440	67	40	27	106	61	45	176	111	65	181	87	94	207	112	95	298	184	114
2016	중랑구	상봉1동	1,420	826	594	139	85	54	236	152	84	285	158	127	210	100	110	243	134	109	307	197	110
2016	중랑구	상봉2동	861	494	367	54	38	16	79	49	30	132	86	46	131	59	72	210	101	109	255	161	94
2016	중랑구	중화1동	861	512	349	51	35	16	106	69	37	155	99	56	149	76	73	162	87	75	238	146	92
2016	중랑구	중화2동	1,510	865	645	86	50	36	168	96	72	248	145	103	233	120	113	324	179	145	451	275	176
2016	중랑구	묵1동	1,337	776	561	92	59	33	158	86	72	210	135	75	198	105	93	298	151	147	381	240	141
2016	중랑구	묵2동	869	518	351	49	29	20	98	63	35	139	92	47	144	65	79	183	104	79	256	165	91
2016	중랑구	망우3동	957	566	391	75	38	37	108	63	45	169	97	72	146	81	65	202	101	101	257	186	71
2016	중랑구	신내1동	1,892	1,037	855	195	117	78	242	129	113	298	168	130	256	117	139	410	208	202	491	298	193
2016	중랑구	신내2동	1,421	799	622	163	99	64	281	161	120	277	162	115	184	100	84	234	128	106	282	149	133
2016	중랑구	면목본동	1,646	966	680	112	74	38	174	103	71	246	153	93	285	161	124	360	176	184	469	299	170
2016	중랑구	면목3.8동	1,272	757	515	68	41	27	167	98	69	226	143	83	201	113	88	260	134	126	350	228	122
