기간	대분류	분류	사회경제적 지위가 높아질 가능성	사회경제적 지위가 높아질 가능성	사회경제적 지위가 높아질 가능성	사회경제적 지위가 높아질 가능성	사회경제적 지위가 높아질 가능성	10점 평균
기간	대분류	분류	매우 낮다	다소 낮은 편이다	보통이다	다소 높은 편이다	매우 높다	10점 평균
2012	서울시	서울시	5.7	21.1	39.7	31.1	2.4	5.08
2012	성별	남자	5.3	21.1	40.4	30.8	2.4	5.1
2012	성별	여자	6.1	21.2	39	31.3	2.4	5.07
2012	연령별	10대	5.1	20.3	39.1	32	3.4	5.2
2012	연령별	20대	6.1	21.7	36.1	33.3	2.8	5.13
2012	연령별	30대	6	21.4	39.4	31.1	2.2	5.05
2012	연령별	40대	5.3	21.2	39.6	31.6	2.3	5.11
2012	연령별	50대	4.9	19.8	42	31.3	1.8	5.13
2012	연령별	60대 이상	6.4	21.7	41.3	28	2.6	4.97
2012	학력별	중졸 이하	7.4	22.6	39.1	28.3	2.5	4.9
2012	학력별	고졸 이하	6	22.5	39.6	29.7	2.1	4.98
2012	학력별	대졸 이하	4.9	19.7	40	32.9	2.5	5.21
2012	학력별	대학원 이상	4.3	18	38.8	34.6	4.4	5.42
2012	소득별	100만원 미만	13	24.9	39.5	21.2	1.4	4.33
2012	소득별	100-200만원 미만	8.8	29.2	38.1	22.4	1.5	4.47
2012	소득별	200-300만원 미만	6.4	24.5	40.5	26.5	2	4.83
2012	소득별	300-400만원 미만	5.3	21.5	41.6	29.3	2.4	5.05
2012	소득별	400-500만원 미만	4.9	19.6	41.5	32.1	1.9	5.16
2012	소득별	500만원 이상	4.9	17.6	36.7	37.3	3.5	5.42
2012	혼인상태별	기혼	5.2	20.6	40.2	31.7	2.3	5.14
2012	혼인상태별	미혼	5.9	21.6	37.2	32.6	2.8	5.12
2012	혼인상태별	이혼/별거	6.6	23.8	48.2	20	1.3	4.64
2012	혼인상태별	사별	9.6	21.8	42.4	24.3	1.9	4.68
2012	지역대분류	도심권	7	18.4	41	30.9	2.7	5.1
2012	지역대분류	동북권	8.9	23.9	37.4	27.2	2.6	4.77
2012	지역대분류	서북권	4	24.2	35.8	33.9	2.1	5.15
2012	지역대분류	서남권	3.7	21	43.9	30	1.4	5.11
2012	지역대분류	동남권	4.2	15.7	39.2	37.3	3.7	5.52
2012	종로구	종로구	12.2	20.2	40.7	26.3	0.5	4.57
2012	중구	중구	3.1	14.2	42.3	36.7	3.6	5.59
2012	용산구	용산구	5.5	19.4	40.5	30.9	3.7	5.2
2012	성동구	성동구	28.5	31.3	23.3	14.8	2.1	3.27
2012	광진구	광진구	7.3	22	34	32.7	3.9	5.1
2012	동대문구	동대문구	8.4	17.4	36.8	33.3	4.1	5.18
2012	중랑구	중랑구	6	16.5	38.2	35.7	3.6	5.36
2012	성북구	성북구	5.7	20	36.6	35.6	2.2	5.22
2012	강북구	강북구	5.3	22	52.2	20.1	0.4	4.71
2012	도봉구	도봉구	4.8	22.9	36.3	31.6	4.5	5.2
2012	노원구	노원구	9.7	35.6	39.2	14.8	0.7	4.03
2012	은평구	은평구	5.8	27.7	37.2	28.6	0.6	4.76
2012	서대문구	서대문구	3.5	26.5	41.4	26.9	1.7	4.92
2012	마포구	마포구	2	17.7	29.2	46.6	4.5	5.84
2012	양천구	양천구	2.3	31.7	46.8	19	0.3	4.58
2012	강서구	강서구	0.6	15.7	48.4	34.8	0.6	5.48
2012	구로구	구로구	5.4	24.1	40.6	27.2	2.7	4.95
2012	금천구	금천구	4.2	15.7	36.5	40.2	3.5	5.58
2012	영등포구	영등포구	3.3	20	45.9	30	0.9	5.13
2012	동작구	동작구	2.8	15.3	44.9	35.4	1.6	5.44
2012	관악구	관악구	8.1	22.4	39.9	27.9	1.8	4.82
2012	서초구	서초구	6.3	10.9	40.2	36.5	6.2	5.63
2012	강남구	강남구	0.8	7	48.8	39.3	4.1	5.97
2012	송파구	송파구	2.8	15.3	32.7	46.4	2.7	5.77
2012	강동구	강동구	8	30.9	36.2	22.5	2.4	4.5
