기간	대분류	분류	나의 계층이동 가능성	나의 계층이동 가능성	나의 계층이동 가능성	나의 계층이동 가능성	자녀의 계층이동 가능성	자녀의 계층이동 가능성	자녀의 계층이동 가능성	자녀의 계층이동 가능성
기간	대분류	분류	낮다	보통	높다	평균(10점)	낮다	보통	높다	평균(10점)
2016	서울시	서울시	25.7	42.3	32	5.12	17.5	35.9	46.6	5.92
2016	성별	남자	25.1	42.6	32.3	5.14	16.9	35.4	47.7	5.96
2016	성별	여자	26.2	42	31.8	5.1	18	36.3	45.7	5.89
2016	연령별	10대	25.4	41	33.6	5.17	19.6	32.9	47.4	5.89
2016	연령별	20대	24.2	41.6	34.2	5.22	18.8	35.4	45.8	5.87
2016	연령별	30대	23	44.4	32.6	5.21	16.6	36	47.5	5.93
2016	연령별	40대	24.7	42.8	32.5	5.17	15.7	36.1	48.2	6.02
2016	연령별	50대	25.8	41.6	32.6	5.14	16.8	35.7	47.5	6
2016	연령별	60대 이상	29.9	41.5	28.5	4.92	18.7	37	44.3	5.82
2016	학력별	중졸 이하	30.1	42	27.9	4.91	17.4	37.5	45.1	5.91
2016	학력별	고졸 이하	26.8	41.6	31.6	5.08	17.8	35.9	46.3	5.91
2016	학력별	대졸 이하	24.5	42.7	32.8	5.18	17.3	35.7	47	5.92
2016	학력별	대학원 이상	20.4	41.3	38.3	5.45	15.3	32.2	52.4	6.3
2016	소득별	100만원 미만	29	42.9	28.2	4.88	18.1	36	45.9	5.91
2016	소득별	100-200만원 미만	26.3	42.6	31.1	5.1	16.4	37.6	46	5.94
2016	소득별	200-300만원 미만	25	43.2	31.8	5.15	16.7	35	48.4	6.02
2016	소득별	300-400만원 미만	25.2	42.6	32.3	5.15	17.9	35.4	46.8	5.92
2016	소득별	400-500만원 미만	26.2	41.4	32.5	5.12	17.9	36.1	45.9	5.88
2016	소득별	500만원 이상	25.6	42.3	32.1	5.12	17.4	36	46.6	5.92
2016	혼인상태별	기혼	26.1	42.5	31.4	5.1	17.3	36.4	46.4	5.92
2016	혼인상태별	미혼	24.1	42.3	33.6	5.21	17.7	35	47.3	5.93
2016	혼인상태별	이혼/별거	27.6	37.8	34.6	5.13	16.9	33.8	49.4	6.02
2016	혼인상태별	사별	27.9	42.7	29.4	4.97	18.1	36.8	45.1	5.86
2016	지역대분류	도심권	27.1	42.2	30.7	5.06	14.2	31.3	54.5	6.37
2016	지역대분류	동북권	28.3	43.2	28.5	4.94	18.1	34.8	47.1	5.94
2016	지역대분류	서북권	26.8	42.7	30.5	5.07	18.7	38.3	43	5.72
2016	지역대분류	서남권	24.6	42.4	32.9	5.18	19.2	37.3	43.5	5.71
2016	지역대분류	동남권	22.2	40.5	37.3	5.39	14	35.4	50.5	6.2
2016	종로구	종로구	25.2	42	32.8	5.14	11.9	29.1	58.9	6.58
2016	중구	중구	30.8	44.7	24.5	4.79	15.5	30.3	54.2	6.3
2016	용산구	용산구	25.9	40.7	33.4	5.17	14.8	33.4	51.7	6.27
2016	성동구	성동구	31.2	42.6	26.2	4.83	22.1	33	44.9	5.8
2016	광진구	광진구	25.9	44.9	29.2	5.02	20.8	33.1	46.1	5.92
2016	동대문구	동대문구	31	39.5	29.5	4.95	18.8	32.2	48.9	6.08
2016	중랑구	중랑구	26.8	41.7	31.5	5.03	15.4	36	48.6	6.1
2016	성북구	성북구	24.2	45.4	30.4	5.1	14.7	36.9	48.5	6.07
2016	강북구	강북구	28.4	43.8	27.7	4.93	16	33.1	50.9	6.02
2016	도봉구	도봉구	33	41.7	25.3	4.7	20.8	34.2	45.1	5.74
2016	노원구	노원구	28.2	44.6	27.2	4.88	18.3	37.1	44.5	5.81
2016	은평구	은평구	28.2	41.5	30.3	5.01	18.1	39.3	42.6	5.72
2016	서대문구	서대문구	27.8	44.3	27.8	4.98	23.6	35.9	40.4	5.51
2016	마포구	마포구	24.3	42.7	33	5.22	15.6	38.9	45.5	5.87
2016	양천구	양천구	24.5	47.2	28.3	5.08	27.4	36.9	35.7	5.16
2016	강서구	강서구	26.8	41.4	31.9	5.09	20.1	35	44.9	5.7
2016	구로구	구로구	23.8	44.2	32	5.21	14.4	39.4	46.2	5.95
2016	금천구	금천구	21.9	42.3	35.8	5.33	18.6	41.3	40.1	5.58
2016	영등포구	영등포구	26.3	40.2	33.5	5.11	20.2	39	40.7	5.59
2016	동작구	동작구	23.8	39	37.2	5.29	12.9	40.4	46.7	6
2016	관악구	관악구	23.8	42	34.1	5.23	18.7	33.2	48	5.94
2016	서초구	서초구	23.2	40.6	36.2	5.34	15.7	36.1	48.2	6.04
2016	강남구	강남구	21	42.7	36.3	5.41	16.2	32.4	51.4	6.2
2016	송파구	송파구	23.3	37.5	39.1	5.4	11.8	38.5	49.7	6.23
2016	강동구	강동구	21	42	37	5.38	12.8	34.2	53.1	6.31
