기간	대분류	분류	부채 없음	부채 있음
2012	서울시	서울시	49.1	50.9
2012	성별	남자	46.6	53.4
2012	성별	여자	58.4	41.6
2012	연령별	20대 이하	58.9	41.1
2012	연령별	30대	51.5	48.5
2012	연령별	40대	36.5	63.5
2012	연령별	50대	45.5	54.5
2012	연령별	60대 이상	62.4	37.6
2012	학력별	중졸 이하	62.3	37.7
2012	학력별	고졸 이하	49.6	50.4
2012	학력별	대졸 이하	46.4	53.6
2012	학력별	대학원 이상	43.5	56.5
2012	주택형태	단독주택	49	51
2012	주택형태	아파트	47.3	52.7
2012	주택형태	다세대주택	53	47
2012	주택형태	연립/기타	53.5	46.5
2012	입주형태	자가	48.3	51.7
2012	입주형태	전세	44.2	55.8
2012	입주형태	월세/기타	56.7	43.3
2012	가구원수	1인	63.2	36.8
2012	가구원수	2인	56.9	43.1
2012	가구원수	3인	42.6	57.4
2012	가구원수	4인	37.4	62.6
2012	가구원수	5인 이상	36.2	63.8
2012	소득	100 만원 미만	73	27
2012	소득	100-200만 미만	58.8	41.2
2012	소득	200-300만 미만	55.3	44.7
2012	소득	300-400만 미만	46.2	53.8
2012	소득	400-500만 미만	41.7	58.3
2012	소득	500만원 이상	44.2	55.8
2012	지역대분류	도심권	49.1	50.9
2012	지역대분류	동북권	43.4	56.6
2012	지역대분류	서북권	49.7	50.3
2012	지역대분류	서남권	55.9	44.1
2012	지역대분류	동남권	47.8	52.2
2012	종로구	종로구	65.9	34.1
2012	중구	중구	73.7	26.3
2012	용산구	용산구	24.4	75.6
2012	성동구	성동구	37.8	62.2
2012	광진구	광진구	29.4	70.6
2012	동대문구	동대문구	30.8	69.2
2012	중랑구	중랑구	36.2	63.8
2012	성북구	성북구	50.2	49.8
2012	강북구	강북구	60.5	39.5
2012	도봉구	도봉구	46.9	53.1
2012	노원구	노원구	51.3	48.7
2012	은평구	은평구	56	44
2012	서대문구	서대문구	47.8	52.2
2012	마포구	마포구	43.4	56.6
2012	양천구	양천구	54.2	45.8
2012	강서구	강서구	65	35
2012	구로구	구로구	56	44
2012	금천구	금천구	44.8	55.2
2012	영등포구	영등포구	52.5	47.5
2012	동작구	동작구	50.4	49.6
2012	관악구	관악구	59.1	40.9
2012	서초구	서초구	38.5	61.5
2012	강남구	강남구	68.8	31.2
2012	송파구	송파구	42.9	57.1
2012	강동구	강동구	37.6	62.4
