기간	대분류	분류	종합	가족	이웃	처음 만난 사람	다른 나라 사람	공공 기관
2012	서울시	서울시	5.18	8.74	5.55	3.29	3.1	5.22
2012	성별	남자	5.19	8.74	5.56	3.32	3.13	5.21
2012	성별	여자	5.17	8.73	5.55	3.26	3.08	5.23
2012	연령별	10대	5.2	8.86	5.48	3.29	3.12	5.24
2012	연령별	20대	5.08	8.81	5.31	3.12	3	5.16
2012	연령별	30대	5.09	8.7	5.4	3.17	3.03	5.13
2012	연령별	40대	5.21	8.77	5.64	3.33	3.13	5.17
2012	연령별	50대	5.27	8.69	5.7	3.44	3.23	5.27
2012	연령별	60대 이상	5.25	8.67	5.73	3.38	3.12	5.37
2012	학력별	중졸 이하	5.18	8.7	5.55	3.29	3.06	5.31
2012	학력별	고졸 이하	5.2	8.7	5.6	3.31	3.12	5.26
2012	학력별	대졸 이하	5.16	8.76	5.52	3.28	3.1	5.16
2012	학력별	대학원 이상	5.28	8.98	5.58	3.2	3.26	5.4
2012	소득별	100 만원 미만	5.27	8.24	5.7	3.62	3.25	5.53
2012	소득별	100-200만 미만	5.06	8.53	5.39	3.25	2.99	5.15
2012	소득별	200-300만 미만	5.1	8.71	5.49	3.09	2.99	5.2
2012	소득별	300-400만 미만	5.19	8.68	5.52	3.38	3.19	5.18
2012	소득별	400-500만 미만	5.23	8.76	5.6	3.4	3.2	5.2
2012	소득별	500만 이상	5.2	8.87	5.61	3.2	3.02	5.29
2012	혼인상태별	기혼	5.24	8.78	5.67	3.36	3.14	5.23
2012	혼인상태별	미혼	5.08	8.74	5.34	3.15	3.02	5.17
2012	혼인상태별	이혼/별거	4.91	8.3	5.17	3.01	2.88	5.19
2012	혼인상태별	사별	5.28	8.57	5.72	3.47	3.24	5.42
2012	지역대분류	도심권	5.21	8.74	5.3	3.34	3.29	5.39
2012	지역대분류	동북권	5.15	8.85	5.49	3.21	3.13	5.06
2012	지역대분류	서북권	4.94	8.71	5.35	2.88	2.54	5.22
2012	지역대분류	서남권	5.31	8.62	5.78	3.56	3.25	5.35
2012	지역대분류	동남권	5.17	8.73	5.51	3.23	3.12	5.25
2012	종로구	종로구	5.2	8.91	5.27	3.05	2.93	5.82
2012	중구	중구	6.25	8.74	6.06	5.06	5.02	6.35
2012	용산구	용산구	4.65	8.63	4.89	2.59	2.57	4.56
2012	성동구	성동구	4.37	9	4.38	2.04	2.71	3.7
2012	광진구	광진구	4.93	9.03	5.03	2.6	2.51	5.46
2012	동대문구	동대문구	5.12	8.36	5.56	3.49	3.24	4.95
2012	중랑구	중랑구	5.23	8.73	5.65	3.46	3.34	4.97
2012	성북구	성북구	4.96	8.74	5.32	2.8	2.74	5.21
2012	강북구	강북구	5.28	8.78	5.61	3.56	3.3	5.15
2012	도봉구	도봉구	5.29	9.1	5.6	3.38	3.07	5.3
2012	노원구	노원구	5.63	9.03	6.16	3.85	3.76	5.32
2012	은평구	은평구	5.1	8.45	5.59	3.35	2.77	5.35
2012	서대문구	서대문구	4.73	8.85	5.12	2.52	2.55	4.58
2012	마포구	마포구	4.91	8.95	5.23	2.56	2.24	5.57
2012	양천구	양천구	6.05	9.13	6.78	4.55	3.8	6
2012	강서구	강서구	5.45	7.96	6.14	4.09	3.66	5.42
2012	구로구	구로구	5.1	9	5.55	3.1	2.67	5.2
2012	금천구	금천구	4.71	8.88	5.36	2.41	2.07	4.85
2012	영등포구	영등포구	5.31	8.68	5.7	3.16	3.27	5.75
2012	동작구	동작구	5.08	8.24	5.03	3.5	3.44	5.17
2012	관악구	관악구	5.11	8.69	5.49	3.33	3.15	4.9
2012	서초구	서초구	5.06	8.59	5.36	3.06	2.99	5.28
2012	강남구	강남구	5.38	8.31	5.86	3.84	3.51	5.38
2012	송파구	송파구	5.11	9.02	5.38	2.92	2.85	5.42
2012	강동구	강동구	5.09	8.97	5.43	3.09	3.15	4.81
