기간	대분류	분류	종합	가족	이웃	공공 기관
2016	서울시	서울시	6.49	8.84	5.54	5.07
2016	성별	남자	6.46	8.83	5.54	5.03
2016	성별	여자	6.51	8.86	5.54	5.12
2016	연령별	10대	6.47	8.95	5.41	5.06
2016	연령별	20대	6.44	8.89	5.35	5.07
2016	연령별	30대	6.41	8.91	5.48	4.83
2016	연령별	40대	6.47	8.87	5.51	5.01
2016	연령별	50대	6.52	8.77	5.65	5.14
2016	연령별	60대 이상	6.58	8.75	5.7	5.28
2016	학력별	중졸 이하	6.59	8.8	5.69	5.28
2016	학력별	고졸 이하	6.51	8.82	5.58	5.13
2016	학력별	대졸 이하	6.46	8.86	5.49	5.01
2016	학력별	대학원 이상	6.45	8.84	5.59	4.92
2016	소득별	100 만원 미만	6.6	8.98	5.76	5.07
2016	소득별	100-200만 미만	6.58	8.78	5.69	5.26
2016	소득별	200-300만 미만	6.49	8.89	5.52	5.08
2016	소득별	300-400만 미만	6.47	8.84	5.52	5.04
2016	소득별	400-500만 미만	6.47	8.83	5.53	5.06
2016	소득별	500만 이상	6.47	8.84	5.52	5.06
2016	혼인상태별	기혼	6.48	8.82	5.55	5.07
2016	혼인상태별	미혼	6.46	8.92	5.44	5.01
2016	혼인상태별	이혼/별거	6.59	8.83	5.69	5.26
2016	혼인상태별	사별	6.59	8.76	5.74	5.26
2016	지역대분류	도심권	6.42	8.73	5.63	4.91
2016	지역대분류	동북권	6.52	8.89	5.6	5.08
2016	지역대분류	서북권	6.62	8.92	5.54	5.4
2016	지역대분류	서남권	6.48	8.79	5.55	5.11
2016	지역대분류	동남권	6.37	8.83	5.41	4.87
2016	종로구	종로구	6.45	8.81	5.65	4.9
2016	중구	중구	6.45	8.75	5.71	4.89
2016	용산구	용산구	6.38	8.65	5.58	4.92
2016	성동구	성동구	6.26	8.75	5.3	4.73
2016	광진구	광진구	6.55	8.89	5.62	5.12
2016	동대문구	동대문구	6.47	8.93	5.69	4.79
2016	중랑구	중랑구	6.43	8.75	5.5	5.05
2016	성북구	성북구	6.55	8.85	5.74	5.06
2016	강북구	강북구	6.57	9	5.67	5.04
2016	도봉구	도봉구	6.55	8.77	5.63	5.24
2016	노원구	노원구	6.68	9.09	5.56	5.38
2016	은평구	은평구	6.76	8.97	5.64	5.67
2016	서대문구	서대문구	6.53	8.95	5.47	5.17
2016	마포구	마포구	6.52	8.84	5.46	5.26
2016	양천구	양천구	6.42	8.78	5.36	5.13
2016	강서구	강서구	6.56	8.87	5.63	5.18
2016	구로구	구로구	6.55	8.92	5.58	5.13
2016	금천구	금천구	6.72	9	5.77	5.4
2016	영등포구	영등포구	6.46	8.53	5.66	5.17
2016	동작구	동작구	6.39	8.62	5.62	4.95
2016	관악구	관악구	6.38	8.79	5.4	4.95
2016	서초구	서초구	6.35	8.87	5.48	4.69
2016	강남구	강남구	6.36	8.7	5.41	4.97
2016	송파구	송파구	6.43	8.96	5.41	4.92
2016	강동구	강동구	6.31	8.78	5.35	4.82
