기간	구분	구분	전체	남자	여자
2012	서울시	서울시	30.6	30.1	31
2012	생애주기별	19~29세	33.9	28.7	39.2
2012	생애주기별	30~44세	34.8	36.3	33.2
2012	생애주기별	45~64세	27.9	29.1	26.8
2012	생애주기별	65세 이상	22.3	17.6	26.1
2012	교육수준별Ⅰ(30~64세)	중졸이하	29.1	29.7	28.8
2012	교육수준별Ⅰ(30~64세)	고졸	30.1	31.5	29
2012	교육수준별Ⅰ(30~64세)	대졸이상	32.3	33.8	30.6
2012	교육수준별Ⅱ(65세 이상)	초졸이하	27.5	19.4	30.3
2012	교육수준별Ⅱ(65세 이상)	중졸	18.1	17.9	18.4
2012	교육수준별Ⅱ(65세 이상)	고졸이상	17.4	16.4	19.2
2012	직업별(30~64세)	육체직	29.7	29.7	29.5
2012	직업별(30~64세)	서비스ㆍ판매직	33.4	30.8	36
2012	직업별(30~64세)	사무직	35	35.1	34.9
2012	종로구	종로구	33.5	32.4	34.5
2012	중구	중구	26	24.5	27.4
2012	용산구	용산구	31.3	30.7	31.9
2012	성동구	성동구	29.4	28.4	30.4
2012	광진구	광진구	31.1	31	31.2
2012	동대문구	동대문구	29.4	29.3	29.5
2012	중랑구	중랑구	31.4	32.3	30.6
2012	성북구	성북구	30	26	33.9
2012	강북구	강북구	28.4	27.8	28.9
2012	도봉구	도봉구	29.7	29	30.3
2012	노원구	노원구	30.3	28.2	32.3
2012	은평구	은평구	29.5	30.1	29
2012	서대문구	서대문구	34.5	32.2	36.6
2012	마포구	마포구	31	30.2	31.8
2012	양천구	양천구	30.8	30.6	31
2012	강서구	강서구	27.3	27.6	27
2012	구로구	구로구	27.2	27.2	27.1
2012	금천구	금천구	31	32.1	29.9
2012	영등포구	영등포구	28	28	28
2012	동작구	동작구	31.4	29	33.8
2012	관악구	관악구	29.8	26.4	33.3
2012	서초구	서초구	32.3	34.9	29.9
2012	강남구	강남구	30.4	32.4	28.7
2012	송파구	송파구	35.4	35.8	35
2012	강동구	강동구	32.8	33	32.5
