기간	대분류	분류	계	매우 불만족	약간 불만족	보통	약간 만족	매우 만족
2008	서울시	서울시	100	3.5	12	50.2	30.5	3.8
2008	성별	남자	100	3.6	11.9	50	30.7	3.8
2008	성별	여자	100	3.5	12.1	50.4	30.2	3.8
2008	연령별	10대	100	3.9	10.5	52.3	30.5	2.8
2008	연령별	20대	100	3.9	12.6	50.8	29.7	3
2008	연령별	30대	100	3.9	12.6	49.3	30.8	3.3
2008	연령별	40대	100	3.4	12	48.4	32.4	3.8
2008	연령별	50대	100	3.1	11.7	50.6	30	4.6
2008	연령별	60대 이상	100	3	11.4	51.4	28.9	5.3
2008	학력별	중졸 이하	100	3.5	11.5	52.1	28.8	4
2008	학력별	고졸 이하	100	3.1	12.7	52.4	28.3	3.5
2008	학력별	전문대 이하	100	3.8	12.3	49.4	31.4	3.1
2008	학력별	4년제 이하	100	3.5	11.4	46.8	33.5	4.8
2008	학력별	대학원 이상	100	7.7	9.3	38.1	39.9	4.9
2008	소득별	100만원 미만	100	4.2	11.2	50.4	27.5	6.7
2008	소득별	100-200만원 미만	100	4.3	14.1	55.2	22.7	3.7
2008	소득별	200-300만원 미만	100	4.4	13.6	52.6	26.8	2.7
2008	소득별	300-400만원 미만	100	3.2	11.9	49.7	32	3.1
2008	소득별	400-500만원 미만	100	2.8	11.2	48.9	32.8	4.2
2008	소득별	500만원 이상	100	2.7	9.6	45.8	37.1	4.8
2008	혼인상태별	기혼	100	3.3	11.8	48.7	32	4.2
2008	혼인상태별	미혼	100	3.9	12.2	52.5	28.6	2.8
2008	혼인상태별	이혼/별거	100	4.5	15	51.6	24.2	4.8
2008	혼인상태별	사별	100	3.1	11.6	52.3	28.6	4.4
2008	지역대분류	도심권	100	2.6	12.1	57.3	26.4	1.6
2008	지역대분류	동북권	100	3.9	11.3	51.2	29.4	4.2
2008	지역대분류	서북권	100	2.8	11.2	55.5	27.8	2.7
2008	지역대분류	서남권	100	3.9	15	49.4	26.7	5
2008	지역대분류	동남권	100	3.1	9	44.9	40.3	2.8
2008	종로구	종로구	100	5.4	9.9	53.1	30.1	1.5
2008	중구	중구	100	3.6	18.8	51.3	21.7	4.5
2008	용산구	용산구	100	0.1	9.9	63.6	26.3	-
2008	성동구	성동구	100	1.8	17.3	52.5	25.7	2.7
2008	광진구	광진구	100	4	12.1	42.9	33.4	7.6
2008	동대문구	동대문구	100	2.9	14.3	66.3	16.2	0.4
2008	중랑구	중랑구	100	6.3	9.7	45.4	31	7.6
2008	성북구	성북구	100	5.7	10.2	57.6	25.8	0.7
2008	강북구	강북구	100	2.4	14.6	34	44.8	4.1
2008	도봉구	도봉구	100	3.2	8.8	55.4	27.8	4.8
2008	노원구	노원구	100	3.7	7.6	52.4	31.2	5.1
2008	은평구	은평구	100	3.7	10.4	53.5	29.5	2.9
2008	서대문구	서대문구	100	2.6	9.7	51.6	33.8	2.3
2008	마포구	마포구	100	1.9	13.5	61.4	20.6	2.6
2008	양천구	양천구	100	2.3	14.3	45.3	26.3	11.9
2008	강서구	강서구	100	3.5	13.8	50.7	29.8	2.1
2008	구로구	구로구	100	4.8	15.3	57.8	21	1.1
2008	금천구	금천구	100	5.3	13.4	50.1	28.2	3
2008	영등포구	영등포구	100	4.3	17.7	46.9	27.2	3.9
2008	동작구	동작구	100	1.7	16	50.1	27.3	4.9
2008	관악구	관악구	100	5.8	14.7	46.2	26.7	6.5
2008	서초구	서초구	100	0.5	7.5	47.2	41.4	3.4
2008	강남구	강남구	100	3	7.8	47	38.8	3.4
2008	송파구	송파구	100	0.5	5.8	42	48.5	3.3
2008	강동구	강동구	100	8.9	16.1	44.1	30	0.8
