기간	대분류	분류	20점 이하	21점 ~ 40점	41점 ~ 60점	61점 ~ 80점	81점~ 100점	평균(100점)
2008	서울시	서울시	1.7	3.7	26	54.9	13.7	69.23
2008	성별	남자	1.9	3.7	25.6	55	13.8	69.16
2008	성별	여자	1.6	3.7	26.3	54.8	13.6	69.29
2008	연령별	10대	1.8	2.8	17.5	57.8	20.1	72.52
2008	연령별	20대	1.8	2.9	21.5	55.8	18	71.14
2008	연령별	30대	2.2	3.4	24.5	56.3	13.6	69.29
2008	연령별	40대	1.4	3.5	26.7	55.2	13.2	69.26
2008	연령별	50대	1.3	3.9	29.1	54.6	11.1	68.27
2008	연령별	60대 이상	1.8	5.4	33.6	50.6	8.6	66.06
2008	학력별	중졸 이하	2.3	5.4	32.4	49.1	10.9	66.3
2008	학력별	고졸 이하	1.4	3.7	26.5	56.6	11.8	69.02
2008	학력별	전문대 이하	1.9	2.8	23.4	56.8	15.1	70.32
2008	학력별	4년제 이하	1.4	2.9	22.1	55.7	18	71.16
2008	학력별	대학원 이상	4.5	3.7	26.4	52.9	12.4	67.32
2008	소득별	100 만원 미만	4.2	8	38	43.2	6.5	61.72
2008	소득별	100-200만 미만	3.2	5.8	34.4	48.2	8.4	64.72
2008	소득별	200-300만 미만	1.7	3.9	29.7	53.6	11.1	67.99
2008	소득별	300-400만 미만	1.2	2.8	23.6	57.9	14.5	70.51
2008	소득별	400-500만 미만	1	3.2	20.2	57.9	17.7	71.9
2008	소득별	500만 이상	1.3	2.3	20.1	58.3	18	72.07
2008	혼인상태별	기혼	1.4	3.5	26.9	55.1	13.1	69.19
2008	혼인상태별	미혼	2.1	3.1	21.6	56.3	16.9	70.71
2008	혼인상태별	이혼/별거	2.9	6.9	33.5	49.9	6.9	64.28
2008	혼인상태별	사별	2.1	5.9	34.2	49.4	8.3	65.47
2008	지역대분류	도심권	0.6	4.2	32	52.3	10.9	68.14
2008	지역대분류	동북권	2.3	4.4	26.6	51.5	15.2	68.57
2008	지역대분류	서북권	1.2	3.9	24.8	54.2	15.9	69.97
2008	지역대분류	서남권	2.2	3.8	30.4	53	10.7	67.46
2008	지역대분류	동남권	0.7	2.1	17.5	64.4	15.2	72.78
2008	종로구	종로구	0.8	5.7	30	47.8	15.7	68.46
2008	중구	중구	0.8	5.5	26	54.4	13.2	69.5
2008	용산구	용산구	0.4	2.3	36.9	54.2	6.2	67.14
2008	성동구	성동구	2	4.2	27.3	53.5	13.1	68.06
2008	광진구	광진구	2.7	5.2	37	46	9	64.85
2008	동대문구	동대문구	1.5	3.8	27.3	50.2	17.1	69.35
2008	중랑구	중랑구	2.5	4.7	33.5	48.8	10.4	66.31
2008	성북구	성북구	2.2	5.2	19.4	52	21.2	71
2008	강북구	강북구	1.7	3.2	17.1	43.3	34.8	74.74
2008	도봉구	도봉구	2.7	5.5	30.4	51.9	9.5	65.83
2008	노원구	노원구	2.8	3.6	23	60.5	10.1	68.52
2008	은평구	은평구	2	7.5	29	52.7	8.8	66.16
2008	서대문구	서대문구	1.1	1.4	25.8	52.9	18.8	70.89
2008	마포구	마포구	0.4	1.8	19.2	57	21.6	73.57
2008	양천구	양천구	2.8	4.3	28.1	56.5	8.4	66.99
2008	강서구	강서구	2.2	4.6	28.6	53.7	10.9	67.85
2008	구로구	구로구	3.6	3	21.6	53	18.9	70.35
2008	금천구	금천구	2.1	4.5	37.4	51.4	4.7	64.38
2008	영등포구	영등포구	1.5	3.1	30.5	53.9	11	68.23
2008	동작구	동작구	0.3	1.9	21.1	59	17.7	72.34
2008	관악구	관악구	2.5	4.7	44.4	44.8	3.6	62.48
2008	서초구	서초구	0.3	2.4	13.4	59.5	24.4	74.9
2008	강남구	강남구	1.3	2.1	25.8	59.8	11	69.94
2008	송파구	송파구	0.2	1.1	14.4	69	15.4	74.47
2008	강동구	강동구	1.2	3.1	15.1	68.3	12.2	72.1
