기간	대분류	분류	1	2	3	4	5	6	7	8	9	10 매우 자부심 느낀다	평균(10점)
2016	서울시	서울시	0.1	0.1	0.8	2.3	9.4	21.7	31.3	25.8	7.8	0.7	6.91
2016	성별	남자	0.1	0.1	0.9	2.3	9.8	22.2	30.6	25.2	8.3	0.6	6.9
2016	성별	여자	0.1	0.1	0.7	2.4	9.1	21.2	32	26.4	7.3	0.7	6.92
2016	연령별	10대	0	0.1	0.6	2.3	8.2	19.3	30.5	29.2	9	0.8	7.04
2016	연령별	20대	0.1	0.1	0.3	2	8.4	20.6	30.1	29.3	8.6	0.6	7.03
2016	연령별	30대	0.1	0.2	0.5	1.9	8.7	22.5	32.7	25.6	7.4	0.5	6.93
2016	연령별	40대	0.1	0.1	0.9	2.2	10	20.5	33.1	24.6	7.7	0.8	6.9
2016	연령별	50대	0	0.1	0.9	2.3	8.5	21.4	32	25.9	8.2	0.6	6.95
2016	연령별	60대 이상	0.1	0.2	1.2	3.2	11.4	23.8	29	23.6	6.8	0.7	6.77
2016	학력별	중졸 이하	0	0.2	1.5	3.7	10.7	21	30.8	24.1	7.1	0.8	6.8
2016	학력별	고졸 이하	0.1	0.2	0.8	2.2	9.6	21.9	32.3	24.9	7.3	0.7	6.89
2016	학력별	대졸 이하	0.1	0.1	0.6	2.1	9.1	21.7	30.9	26.7	8.1	0.6	6.95
2016	학력별	대학원 이상	0.1	0.2	0.5	3.8	10.5	22.3	30.3	23.4	8.8	0.1	6.83
2016	소득별	100 만원 미만	0.3	-	0.8	1.4	13.6	23.6	30.2	21.5	8	0.5	6.79
2016	소득별	100-200만 미만	0.1	0.2	1.6	3.9	10.1	21.9	28.9	25.9	6.8	0.6	6.79
2016	소득별	200-300만 미만	0.1	0.1	0.6	2.2	10.7	24.1	29.8	24.3	7.5	0.6	6.86
2016	소득별	300-400만 미만	0.1	0.1	0.7	2.5	8.7	22	32.5	25.2	7.7	0.5	6.91
2016	소득별	400-500만 미만	0	0.1	0.7	2.1	8.8	21.1	32.3	26.4	7.8	0.5	6.95
2016	소득별	500만 이상	0	0.2	0.8	2.2	9.5	20.9	31	26.6	8.1	0.9	6.95
2016	혼인상태별	기혼	0.1	0.1	0.9	2.4	9.7	21.7	31.6	25.2	7.6	0.7	6.9
2016	혼인상태별	미혼	0.1	0.1	0.3	2	8.6	21.6	30.7	27.7	8.3	0.6	6.99
2016	혼인상태별	이혼/별거	-	0	0.5	1.8	9.1	21.1	34.7	24.7	7.9	0.3	6.95
2016	혼인상태별	사별	-	0.2	2	3.5	10.8	22.4	29.3	24.1	7	0.6	6.76
2016	지역대분류	도심권	0.1	0.3	0.8	3.2	8.7	17.1	31.5	28.2	8.8	1.3	7
2016	지역대분류	동북권	0.1	0.2	0.9	2.7	9.2	22.2	32.3	25	6.9	0.6	6.87
2016	지역대분류	서북권	0.1	0.1	1	2.5	9.8	21.4	30.5	24.8	9	0.7	6.92
2016	지역대분류	서남권	0	0.1	0.5	2.2	10.2	22.5	29.4	26.6	8	0.5	6.92
2016	지역대분류	동남권	0.1	0.1	0.8	1.8	8.8	21.2	32.8	26	7.8	0.7	6.95
2016	종로구	종로구	0	0.3	0.5	2.7	8.5	13.8	36.3	28.7	7	2	7.06
2016	중구	중구	0	0.5	1.1	3.2	6.4	18.2	28.4	28.8	11.7	1.5	7.09
2016	용산구	용산구	0.2	0.2	0.8	3.4	10.4	18.6	30.1	27.6	8.1	0.6	6.91
2016	성동구	성동구	-	0.4	1.3	2.8	7.6	21.6	31.4	26.8	7.7	0.5	6.91
2016	광진구	광진구	0	0.2	0.9	3.1	8.1	19.3	36.2	25.1	6.1	1	6.91
2016	동대문구	동대문구	0.1	0.2	0.6	2	9.8	20.4	32.8	26.4	7.2	0.7	6.93
2016	중랑구	중랑구	0.1	0.2	1.1	2.5	9.2	23.9	32.1	24	6.6	0.4	6.83
2016	성북구	성북구	0.3	0	1.3	2.8	10.4	22.4	31.6	24.4	6.2	0.5	6.79
2016	강북구	강북구	-	0	0.8	3.5	9.7	22.5	32.2	25.1	5.6	0.4	6.82
2016	도봉구	도봉구	0	0.3	0.5	2.9	9.4	23.6	29.9	24.3	8.2	0.9	6.89
2016	노원구	노원구	-	0	0.9	2.2	8.7	23.2	32.3	24.6	7.5	0.6	6.9
2016	은평구	은평구	0.1	0	1.8	3.6	9.2	22	31.1	25.1	6.7	0.3	6.81
2016	서대문구	서대문구	0.1	0	0.4	1.5	8.3	19.7	30	27.6	11.1	1.4	7.11
2016	마포구	마포구	0	0.2	0.7	1.9	11.8	22.2	30	22.4	10.2	0.7	6.9
2016	양천구	양천구	0	0.2	0.4	1.6	8.7	23.4	30.6	26.1	8.2	0.7	6.96
2016	강서구	강서구	0.1	0.2	0.4	1.8	7.3	22.7	29.6	28.4	8.8	0.8	7.03
2016	구로구	구로구	-	0.2	0.3	2.6	13	21.8	30.1	24.6	7	0.3	6.82
2016	금천구	금천구	0	-	1	3	12.2	23.5	29.8	25.3	5	0.2	6.75
2016	영등포구	영등포구	-	0.3	1	1.6	10.1	21.2	31.6	26.9	7	0.3	6.9
2016	동작구	동작구	0.2	0.1	0.6	3.3	13.5	21.5	25.4	26.9	7.8	0.7	6.82
2016	관악구	관악구	0	0	0.2	2	9.1	23	29	26.5	9.7	0.5	6.99
2016	서초구	서초구	0	0.1	0.4	1.5	8.4	24.3	32.4	23.8	8.2	0.9	6.95
2016	강남구	강남구	0.1	-	0.4	1.5	8.8	18.7	31.1	29.1	9.7	0.7	7.07
2016	송파구	송파구	0	0.1	1.2	1.8	8.6	21.9	33.9	25.8	6.2	0.5	6.9
2016	강동구	강동구	0	0.1	1.3	2.7	9.3	20.1	33.8	24.6	7.1	1	6.89
