기간	자치구	지역내총생산(당해년가격)	구성비	지역내총생산(2010년 기준년가격)	전년대비 증감률
2012	서울시	313,478,525	100	304,528,910	2
2012	종로구	25,061,092	8	24,419,968	0.5
2012	중구	46,050,828	14.7	45,893,636	3.2
2012	용산구	8,905,758	2.8	8,542,938	-1.8
2012	성동구	8,447,774	2.7	8,265,781	3.9
2012	광진구	5,443,737	1.7	5,222,159	0.8
2012	동대문구	6,301,762	2	6,087,823	5.5
2012	중랑구	3,592,733	1.1	3,473,357	4.6
2012	성북구	4,630,451	1.5	4,438,422	0.5
2012	강북구	2,606,319	0.8	2,492,671	-2.5
2012	도봉구	2,433,429	0.8	2,326,551	0.3
2012	노원구	4,492,191	1.4	4,330,427	-1.1
2012	은평구	3,078,103	1	2,940,519	-2.5
2012	서대문구	6,832,503	2.2	6,517,670	9.3
2012	마포구	13,860,732	4.4	13,449,399	4.4
2012	양천구	5,477,524	1.7	5,291,197	-2.3
2012	강서구	7,883,811	2.5	7,694,038	2.1
2012	구로구	10,398,295	3.3	10,076,229	1.6
2012	금천구	12,827,876	4.1	12,335,556	0.1
2012	영등포구	25,011,534	8	24,444,952	1.5
2012	동작구	4,962,630	1.6	4,772,699	0.6
2012	관악구	4,776,156	1.5	4,611,710	0.7
2012	서초구	26,148,756	8.3	25,126,734	4.2
2012	강남구	49,352,022	15.7	47,663,420	2.1
2012	송파구	18,617,139	5.9	18,010,681	0.8
2012	강동구	6,285,371	2	6,100,373	1.1
