기간	대분류	분류	서울시민으로서의 자부심 평균(100점)	향후 10년 이후 서울 거주 의향	향후 10년 이후 서울 거주 의향	향후 10년 이후 서울 거주 의향	향후 10년 이후 서울 거주 의향
기간	대분류	분류	서울시민으로서의 자부심 평균(100점)	그렇지 않다	보통이다	그렇다	10점 평균
2008	서울시	서울시	69.2	10.4	21.5	68.1	6.8
2008	성별	남자	69.2	10.8	21.3	67.9	6.7
2008	성별	여자	69.3	10.1	21.6	68.3	6.8
2008	연령별	10대	72.5	5.1	16.1	78.9	7.4
2008	연령별	20대	71.1	7.3	18.4	74.3	7.1
2008	연령별	30대	69.3	9.1	20.6	70.3	6.8
2008	연령별	40대	69.3	11.4	21.8	66.8	6.6
2008	연령별	50대	68.3	14.2	24.4	61.4	6.4
2008	연령별	60대 이상	66.1	13.9	25.8	60.3	6.5
2008	학력별	중졸 이하	66.3	12.7	22.7	64.7	6.6
2008	학력별	고졸 이하	69	10.8	24.1	65.1	6.6
2008	학력별	전문대 이하	70.3	8.7	21.4	69.9	6.9
2008	학력별	4년제 이하	71.2	9.1	17.1	73.8	7
2008	학력별	대학원 이상	67.3	13.9	15.8	70.3	6.9
2008	소득별	100 만원 미만	61.7	14.5	23.5	62	6.6
2008	소득별	100-200만 미만	64.7	12.8	26.3	60.9	6.4
2008	소득별	200-300만 미만	68	12	23.6	64.4	6.6
2008	소득별	300-400만 미만	70.5	9.5	21	69.5	6.8
2008	소득별	400-500만 미만	71.9	8.7	19.5	71.7	6.9
2008	소득별	500만 이상	72.1	8.5	16.8	74.7	7.1
2008	혼인상태별	기혼	69.2	11.5	21.9	66.6	6.6
2008	혼인상태별	미혼	70.7	7	18.5	74.5	7.1
2008	혼인상태별	이혼/별거	64.3	14.2	27.4	58.4	6.3
2008	혼인상태별	사별	65.5	14.7	28	57.3	6.3
2008	지역대분류	도심권	68.1	7.5	25.5	67	6.7
2008	지역대분류	동북권	68.6	12.5	22.9	64.5	6.6
2008	지역대분류	서북권	70	9.2	20.8	70	6.9
2008	지역대분류	서남권	67.5	12.2	20	67.8	6.7
2008	지역대분류	동남권	72.8	6	20.6	73.4	7
2008	종로구	종로구	68.5	8.5	24.1	67.5	6.7
2008	중구	중구	69.5	14.7	24.9	60.4	6.3
2008	용산구	용산구	67.1	2.7	26.9	70.4	6.8
2008	성동구	성동구	68.1	20	29.3	50.7	6
2008	광진구	광진구	64.9	18	23.4	58.6	6.3
2008	동대문구	동대문구	69.4	11	35.9	53.2	6.3
2008	중랑구	중랑구	66.3	13.8	20.4	65.9	6.6
2008	성북구	성북구	71	7.4	23.2	69.4	6.8
2008	강북구	강북구	74.7	8.3	13.2	78.4	7.1
2008	도봉구	도봉구	65.8	14.9	25	60.1	6.3
2008	노원구	노원구	68.5	10	17	73	6.9
2008	은평구	은평구	66.2	11.8	22.7	65.6	6.8
2008	서대문구	서대문구	70.9	5.8	16.7	77.5	7.1
2008	마포구	마포구	73.6	9.4	22.1	68.5	7
2008	양천구	양천구	67	11.7	22.4	65.9	6.6
2008	강서구	강서구	67.9	12.6	19.4	68	6.7
2008	구로구	구로구	70.4	12.2	21.4	66.4	6.6
2008	금천구	금천구	64.4	11.6	16.9	71.5	6.8
2008	영등포구	영등포구	68.2	12.8	14.8	72.4	6.9
2008	동작구	동작구	72.3	8.6	22.7	68.7	6.8
2008	관악구	관악구	62.5	14.7	20.7	64.7	6.6
2008	서초구	서초구	74.9	4.8	18.5	76.7	7.3
2008	강남구	강남구	69.9	6.7	17.7	75.6	7.1
2008	송파구	송파구	74.5	3.9	21.9	74.3	7
2008	강동구	강동구	72.1	8.8	24.2	66.9	6.8
