기간	대분류	분류	향후 10년 이후 서울 거주 의향	향후 10년 이후 서울 거주 의향	향후 10년 이후 서울 거주 의향	향후 10년 이후 서울 거주 의향
기간	대분류	분류	그렇지 않다	보통이다	그렇다	10점 평균
2016	서울시	서울시	8.5	31.8	59.7	6.56
2016	성별	남자	7.8	31.8	60.4	6.59
2016	성별	여자	9.1	31.8	59.1	6.53
2016	연령별	10대	4.5	27.6	67.9	7.03
2016	연령별	20대	4.4	27.7	67.9	7.09
2016	연령별	30대	5.4	33.5	61.1	6.67
2016	연령별	40대	7.2	34	58.9	6.52
2016	연령별	50대	10.9	32.7	56.4	6.36
2016	연령별	60대 이상	14.3	32	53.7	6.16
2016	학력별	중졸 이하	12.8	32.8	54.4	6.24
2016	학력별	고졸 이하	9.8	31.4	58.8	6.48
2016	학력별	대졸 이하	7.1	31.8	61.1	6.66
2016	학력별	대학원 이상	9.9	32.3	57.8	6.45
2016	소득별	100 만원 미만	10.7	31.4	57.9	6.52
2016	소득별	100-200만 미만	11.6	29.8	58.6	6.41
2016	소득별	200-300만 미만	8.7	31.4	60	6.54
2016	소득별	300-400만 미만	8	32.1	59.9	6.57
2016	소득별	400-500만 미만	8.1	32.6	59.3	6.58
2016	소득별	500만 이상	8.1	31.8	60.2	6.59
2016	혼인상태별	기혼	9.7	32.6	57.7	6.43
2016	혼인상태별	미혼	4.3	30	65.7	6.95
2016	혼인상태별	이혼/별거	8.6	31.6	59.7	6.5
2016	혼인상태별	사별	15.2	32.9	51.9	6.12
2016	지역대분류	도심권	8	32.3	59.7	6.58
2016	지역대분류	동북권	9.5	28.9	61.7	6.65
2016	지역대분류	서북권	7.4	31.2	61.4	6.61
2016	지역대분류	서남권	9	33	57.9	6.47
2016	지역대분류	동남권	7	34.7	58.3	6.53
2016	종로구	종로구	6.2	28.4	65.4	6.8
2016	중구	중구	6.8	32.5	60.7	6.64
2016	용산구	용산구	9.9	34.9	55.2	6.4
2016	성동구	성동구	11.2	34.6	54.3	6.31
2016	광진구	광진구	7.7	28.4	63.9	6.82
2016	동대문구	동대문구	10.4	24.6	65	6.86
2016	중랑구	중랑구	8.7	29.3	62	6.61
2016	성북구	성북구	10.6	32	57.4	6.43
2016	강북구	강북구	7.3	22.6	70.1	7.08
2016	도봉구	도봉구	10	33.8	56.1	6.4
2016	노원구	노원구	9.6	26.8	63.6	6.67
2016	은평구	은평구	6.8	28.6	64.6	6.77
2016	서대문구	서대문구	8.1	34.1	57.9	6.44
2016	마포구	마포구	7.5	32.2	60.3	6.55
2016	양천구	양천구	8.5	33.6	57.9	6.48
2016	강서구	강서구	11.3	29.2	59.5	6.5
2016	구로구	구로구	9.6	33.9	56.6	6.4
2016	금천구	금천구	7.6	35.7	56.6	6.45
2016	영등포구	영등포구	7	34.2	58.7	6.52
2016	동작구	동작구	9	35.8	55.2	6.33
2016	관악구	관악구	8.4	32.2	59.4	6.57
2016	서초구	서초구	6.7	31.6	61.7	6.66
2016	강남구	강남구	5.4	35.6	59	6.58
2016	송파구	송파구	8.2	33.6	58.2	6.52
2016	강동구	강동구	7.8	38.1	54.1	6.35
