읍면동명,자치구,새누리당,더불어민주당,국민의당,독거노인수,노령화지수,사업체수,장애등급,인구밀도,소득(동별)
신사동,강남구,4774.0,2817,0.0,380.0,121.3,4503,383.0,9708,1925266.7299683262
신사동,관악구,3752.0,3727,2796.0,701.0,138.1,1422,924.0,41605,269594.90798399085
논현1동,강남구,3966.0,4769,0.0,500.0,172.1,5788,648.0,19894,2601180.3234719317
논현2동,강남구,4639.0,4017,0.0,409.0,124.8,5656,509.0,15401,2403661.044814341
압구정동,강남구,8301.0,3539,0.0,647.0,107.1,4314,471.0,11209,3033472.24031269
청담동,강남구,7366.0,4777,0.0,491.0,93.5,4497,584.0,13143,3291842.314441674
역삼1동,강남구,5285.0,6839,0.0,679.0,154.3,15079,760.0,15449,4072414.9062605295
역삼2동,강남구,6988.0,6513,0.0,453.0,53.1,3416,672.0,32215,4065204.578610419
삼성1동,강남구,3792.0,2228,0.0,243.0,105.5,4330,281.0,7916,1630845.0175887863
삼성2동,강남구,6262.0,5159,0.0,479.0,63.3,3734,567.0,24999,3316969.213828425
대치1동,강남구,6362.0,3281,0.0,151.0,41.7,1066,266.0,31435,2769312.0545858885
대치2동,강남구,10404.0,6970,0.0,471.0,77.7,3468,707.0,21034,4244588.790754094
대치4동,강남구,3467.0,3848,0.0,315.0,92.8,3716,368.0,29167,2287312.57591482
도곡1동,강남구,5405.0,4281,0.0,338.0,74.6,1614,431.0,22605,2470957.4362153783
도곡2동,강남구,9715.0,4546,0.0,478.0,70.5,1926,499.0,34249,3756471.4583192943
개포1동,강남구,5341.0,4747,0.0,907.0,155.5,503,631.0,16663,767790.647348204
개포2동,강남구,5321.0,5609,0.0,428.0,94.8,846,486.0,8664,2175661.7447267342
개포4동,강남구,3656.0,4387,0.0,335.0,85.9,2221,495.0,12450,2019437.9789743244
일원본동,강남구,5411.0,5890,0.0,370.0,48.0,564,703.0,9730,2673174.352584406
일원1동,강남구,3527.0,4186,0.0,602.0,154.1,1870,1045.0,18777,1808699.7662915287
일원2동,강남구,3824.0,4173,0.0,641.0,116.7,636,1130.0,13323,1984151.072444235
