읍면동명,자치구,새누리당,더불어민주당
신사동,강남구,1418.1638994039645,949.9
신사동,관악구,3246.6914411016323,2697.0
논현1동,강남구,1691.97901877541,2297.9
논현2동,강남구,1691.97901877541,2357.8
압구정동,강남구,1691.97901877541,2355.5
청담동,강남구,1691.97901877541,2312.0
역삼1동,강남구,2689.2571891699386,2869.0
역삼2동,강남구,2370.6788105847536,2960.4
삼성1동,강남구,1030.4823264061051,796.5
삼성2동,강남구,1585.26270019735,2567.9
대치1동,강남구,1357.814336871714,940.6
대치2동,강남구,2751.148671694835,2688.1
대치4동,강남구,1311.4475808259042,1168.5
도곡1동,강남구,1823.322849010386,1824.0
도곡2동,강남구,2097.137968381831,2433.4
개포1동,강남구,1258.243670138338,1183.8
개포2동,강남구,1141.2849723528655,1266.5
개포4동,강남구,2097.137968381831,2569.3
일원본동,강남구,3355.3981609207053,2528.1
일원1동,강남구,4037.276392733876,3805.1
일원2동,강남구,3936.3127573093893,2722.8
수서동,강남구,3858.815706187421,2558.7
세곡동,강남구,3903.3529930123896,2912.2
강일동,강동구,4501.03945010028,3069.8
상일동,강동구,2000.6585688170414,2381.5
명일1동,강동구,2853.8609607354215,2382.5
명일2동,강동구,2019.311029241019,2381.5
고덕1동,강동구,2747.9786625915176,2634.7
고덕2동,강동구,2068.2071141826,2238.0
암사1동,강동구,4742.306351533339,3391.3
암사2동,강동구,1802.7816647221707,2502.7
암사3동,강동구,1802.7816647221707,2338.6
길동,강동구,4366.967954099322,4383.7
천호1동,강동구,4391.228479074933,2630.7
천호2동,강동구,4201.041630284191,4383.7
천호3동,강동구,4569.919066063975,3286.3
성내1동,강동구,2822.7764221390485,2928.2
성내2동,강동구,4037.276392733876,3167.9
성내3동,강동구,3461.1319373642523,2843.6
둔촌1동,강동구,111.51097938305715,386.2
둔촌2동,강동구,3671.1189078849047,2417.7
번1동,강북구,3778.4213122104984,2417.7
번2동,강북구,4290.318411852571,3069.8
수유1동,강북구,4372.644054094166,2874.6
수유2동,강북구,3929.973988408282,2389.8
수유3동,강북구,4110.564967752254,3637.2
우이동,강북구,4031.877266158252,2963.3
인수동,강북구,4563.6157645442945,2558.7
삼양동,강북구,4283.979642951465,2934.1
미아동,강북구,4008.345538534645,2511.5
송중동,강북구,4569.919066063975,3470.0
송천동,강북구,4742.306351533339,4036.8
삼각산동,강북구,4271.733986871806,3069.8
번3동,강북구,3903.3529930123896,2949.7
화곡1동,강서구,3890.5536551388814,4383.7
화곡2동,강서구,2747.9786625915176,2750.2
화곡3동,강서구,2950.953161848311,2633.6
화곡8동,강서구,3987.2047444788004,2932.1
우장산동,강서구,4479.9464584197585,2797.5
발산1동,강서구,4815.594926551717,4369.8
염창동,강서구,4094.507148804394,3284.1
등촌1동,강서구,2882.791814934653,2333.2
등촌2동,강서구,2747.9786625915176,2643.6
화곡본동,강서구,4391.228479074933,2874.6
화곡4동,강서구,3671.1189078849047,2767.4
화곡6동,강서구,3778.4213122104984,2417.7
가양3동,강서구,4501.03945010028,2909.3
등촌3동,강서구,4395.553014032991,2668.9
가양1동,강서구,2346.0572562746474,2869.0
가양2동,강서구,4154.848366422122,1903.6
공항동,강서구,4037.276392733876,3304.2
방화1동,강서구,4475.98951962041,4383.7
방화2동,강서구,4260.819286914379,4435.9
방화3동,강서구,3903.3529930123896,2949.7
보라매동,관악구,3929.973988408282,2389.8
은천동,관악구,3311.154489416628,3001.1
성현동,관악구,4508.71793306734,3069.8
중앙동,관악구,2000.6585688170414,2381.5
청림동,관악구,2804.921967581385,2700.3
행운동,관악구,3929.973988408282,2932.1
청룡동,관악구,3387.843362345874,2479.4
낙성대동,관악구,1955.9860471375898,2381.5
인헌동,관악구,3291.3639627810844,2697.0
남현동,관악구,1802.7816647221707,2502.7
신림동,관악구,2068.2071141826,2238.0
조원동,관악구,2956.080389953031,2952.3
미성동,관악구,4391.228479074933,2630.7
난곡동,관악구,4501.03945010028,3069.8
난향동,관악구,3355.3981609207053,2528.1
서원동,관악구,2993.862913890655,2633.6
신원동,관악구,2957.2919307494167,2633.6
서림동,관악구,3230.931730741477,2697.0
삼성동,관악구,4501.03945010028,3032.3
대학동,관악구,2853.8609607354215,2275.9
중곡1동,광진구,2722.428319184461,2718.0
중곡2동,광진구,3246.6914411016323,2357.1
중곡3동,광진구,2741.639893690411,2750.2
중곡4동,광진구,4391.228479074933,2630.7
능동,광진구,1528.9665453507255,1266.5
구의2동,광진구,3929.973988408282,2572.5
광장동,광진구,2741.639893690411,2643.6
군자동,광진구,2741.639893690411,2382.5
구의1동,광진구,3092.105083092553,2351.0
구의3동,광진구,2531.8380359160133,2869.0
자양1동,광진구,3387.843362345874,2357.1
자양2동,광진구,3671.1189078849047,2767.4
자양3동,광진구,3230.931730741477,2697.0
자양4동,광진구,3387.843362345874,2479.4
화양동,광진구,2170.426543400209,2475.6
고척1동,구로구,3770.959560820947,4353.7
고척2동,구로구,4372.644054094166,2874.6
개봉1동,구로구,4742.306351533339,3001.1
개봉2동,구로구,4347.304625054894,3032.3
개봉3동,구로구,3715.791429564356,2832.7
오류1동,구로구,3952.016386947782,2947.7
오류2동,구로구,3858.815706187421,2558.7
수궁동,구로구,4229.054784534526,2588.6
신도림동,구로구,3421.5493596622873,3441.4
구로1동,구로구,1802.7816647221707,2402.5
구로2동,구로구,4238.3366003994415,4369.8
구로3동,구로구,3085.650349746007,2843.6
