읍면동명,자치구,새누리당,더불어민주당
신사동,강남구,1862.4,1141.1
신사동,관악구,4217.2,2679.4
논현1동,강남구,2456.6,1968.2
논현2동,강남구,1937.5,1592.2
압구정동,강남구,1865.9,1645.9
청담동,강남구,2135.3,1967.7
역삼1동,강남구,3667.2,1969.2
역삼2동,강남구,3667.2,1922.8
삼성1동,강남구,1746.5,1155.7
삼성2동,강남구,2135.3,1967.7
대치1동,강남구,1624.8,1163.3
대치2동,강남구,3667.2,1977.8
대치4동,강남구,1862.4,1141.1
도곡1동,강남구,1844.0,1497.4
도곡2동,강남구,1865.9,1999.4
개포1동,강남구,1624.8,1056.8
개포2동,강남구,1678.7,1116.8
개포4동,강남구,1937.5,1592.2
일원본동,강남구,3652.4,3056.4
일원1동,강남구,4173.7,3795.3
일원2동,강남구,3242.0,2968.7
수서동,강남구,3412.0,4597.7
세곡동,강남구,3031.7,3985.1
강일동,강동구,1553.3,3477.0
상일동,강동구,1865.9,1913.9
명일1동,강동구,3667.2,2592.8
명일2동,강동구,1865.9,2005.8
고덕1동,강동구,3352.0,3031.9
고덕2동,강동구,1978.3,2321.2
암사1동,강동구,2917.4,4303.6
암사2동,강동구,1865.9,1959.3
암사3동,강동구,2126.7,2464.2
길동,강동구,3790.5,4672.5
천호1동,강동구,2081.2,3937.4
천호2동,강동구,3590.5,4480.6
천호3동,강동구,2715.2,3795.3
성내1동,강동구,3667.2,2285.6
성내2동,강동구,4112.8,3795.3
성내3동,강동구,4584.7,2976.4
둔촌1동,강동구,1169.3,656.5
둔촌2동,강동구,4310.2,3093.9
번1동,강북구,4546.9,3089.8
번2동,강북구,2037.9,2968.7
수유1동,강북구,2038.2,3226.6
수유2동,강북구,3307.9,3226.6
수유3동,강북구,3891.0,3795.3
우이동,강북구,3721.0,2968.7
인수동,강북구,3484.8,4405.8
삼양동,강북구,1918.4,3377.0
미아동,강북구,3556.6,3574.8
송중동,강북구,2484.2,3795.3
송천동,강북구,2942.3,4303.6
삼각산동,강북구,1954.8,2968.7
번3동,강북구,3031.7,3985.1
화곡1동,강서구,3833.2,4672.5
화곡2동,강서구,3352.0,3031.9
화곡3동,강서구,2826.5,2117.7
화곡8동,강서구,3792.3,3014.4
우장산동,강서구,2159.0,3574.8
발산1동,강서구,2528.4,4303.6
염창동,강서구,4642.8,3795.3
등촌1동,강서구,3667.2,2636.1
등촌2동,강서구,3352.0,3039.3
화곡본동,강서구,1615.8,3589.2
화곡4동,강서구,4003.6,2642.7
화곡6동,강서구,4546.9,3310.3
가양3동,강서구,2615.9,3477.0
등촌3동,강서구,4053.5,4023.9
가양1동,강서구,3667.2,1996.8
가양2동,강서구,2730.1,3336.5
공항동,강서구,4173.7,3795.3
방화1동,강서구,3756.8,4480.6
방화2동,강서구,3007.5,4303.6
방화3동,강서구,3031.7,3985.1
보라매동,관악구,3250.0,3226.6
은천동,관악구,3484.8,4083.1
성현동,관악구,2084.6,3477.0
중앙동,관악구,2448.0,2528.1
청림동,관악구,3652.4,3028.4
행운동,관악구,3250.0,3226.6
청룡동,관악구,4523.8,3351.1
낙성대동,관악구,1865.9,1999.4
인헌동,관악구,4142.7,2868.6
남현동,관악구,2126.7,2527.6
신림동,관악구,1978.3,1945.7
조원동,관악구,3667.2,2268.2
미성동,관악구,2081.2,3574.8
난곡동,관악구,2084.6,3477.0
난향동,관악구,3652.4,3165.0
서원동,관악구,2826.5,2117.7
신원동,관악구,3352.0,2243.5
서림동,관악구,4151.3,2689.7
삼성동,관악구,2084.6,3477.0
대학동,관악구,3667.2,2600.2
중곡1동,광진구,3667.2,2873.1
중곡2동,광진구,4523.8,3151.7
중곡3동,광진구,3360.6,2546.2
중곡4동,광진구,1928.0,3574.8
능동,광진구,1862.4,1094.6
구의2동,광진구,3307.9,3014.4
광장동,광진구,3360.6,2589.5
군자동,광진구,3360.6,2546.2
구의1동,광진구,3667.2,2788.0
구의3동,광진구,3667.2,1996.8
자양1동,광진구,4523.8,3130.6
자양2동,광진구,3684.1,2638.6
자양3동,광진구,4151.3,2689.7
자양4동,광진구,4583.1,3284.3
화양동,광진구,1978.3,1967.7
고척1동,구로구,3891.0,3509.3
고척2동,구로구,2159.0,3226.6
개봉1동,구로구,2953.5,4083.1
개봉2동,구로구,1453.0,3377.0
개봉3동,구로구,3772.9,2827.8
오류1동,구로구,3792.3,3014.4
오류2동,구로구,3412.0,4597.7
수궁동,구로구,1954.8,3014.4
신도림동,구로구,4217.5,2961.6
구로1동,구로구,1928.9,2105.6
구로2동,구로구,2720.9,4157.9
구로3동,구로구,4217.5,2644.8
구로4동,구로구,3777.8,3795.3
구로5동,구로구,3433.1,3509.3
가리봉동,구로구,2448.0,2527.6
가산동,금천구,3667.2,2012.5
독산1동,금천구,3790.5,4480.6
독산2동,금천구,3937.7,2638.6
독산3동,금천구,3293.5,3795.3
독산4동,금천구,3352.0,2741.8
시흥1동,금천구,3059.2,4303.6
시흥2동,금천구,3242.0,2968.7
시흥3동,금천구,1978.3,1592.2
시흥4동,금천구,3721.8,2968.7
시흥5동,금천구,3300.5,3014.4
월계1동,노원구,3719.1,3238.1
월계2동,노원구,2730.1,3985.1
월계3동,노원구,3031.7,3793.2
공릉1동,노원구,4053.5,4672.5
공릉2동,노원구,2850.5,3574.8
상계1동,노원구,3924.2,4480.6
