읍면동명,자치구,소득(동별),인구밀도,사업체수,장애등급,독거노인수,노령화지수
신사동,강남구,1925266.7299683262,9425,4365,407,406,142.9
신사동,관악구,269594.90798399085,41316,1384,904,758,176.0
논현1동,강남구,2601180.3234719317,19249,5578,610,509,211.9
논현2동,강남구,2403661.044814341,15173,5542,523,435,150.3
압구정동,강남구,3033472.24031269,11125,4131,479,682,120.0
청담동,강남구,3291842.314441674,12955,4432,565,516,105.1
역삼1동,강남구,4072414.9062605295,15686,15590,777,698,182.6
역삼2동,강남구,4065204.578610419,32019,3480,662,490,57.9
삼성1동,강남구,1630845.0175887863,7862,4169,292,260,118.2
삼성2동,강남구,3316969.213828425,24590,3740,556,470,71.2
대치1동,강남구,2769312.0545858885,32392,1133,274,166,45.2
대치2동,강남구,4244588.790754094,20082,3965,641,482,87.1
대치4동,강남구,2287312.57591482,29130,3699,372,330,104.9
도곡1동,강남구,2470957.4362153783,22396,1688,440,350,86.2
도곡2동,강남구,3756471.4583192943,34024,1858,479,507,80.5
개포1동,강남구,767790.647348204,6142,467,267,595,204.4
개포2동,강남구,2175661.7447267342,5520,684,312,299,120.7
개포4동,강남구,2019437.9789743244,12698,2182,520,375,103.3
일원본동,강남구,2673174.352584406,9605,448,722,387,60.0
일원1동,강남구,1808699.7662915287,18626,2162,1093,676,189.7
일원2동,강남구,1984151.072444235,13381,646,1173,692,147.7
수서동,강남구,1755059.2984702468,11483,1527,2174,1235,360.1
세곡동,강남구,4928040.454073725,7145,1025,1988,836,74.0
강일동,강동구,558368.371528052,11760,955,1493,518,77.2
상일동,강동구,188721.16285114348,4203,976,485,286,122.4
명일1동,강동구,452047.8041354449,36857,1665,779,538,104.5
명일2동,강동구,310425.0142849843,18577,1134,468,261,82.9
고덕1동,강동구,471397.6300258757,15878,714,773,342,47.1
고덕2동,강동구,127946.84338779436,3835,1666,551,409,247.9
암사1동,강동구,637664.7168437386,37020,1936,1661,1237,136.7
암사2동,강동구,251047.60738591762,12467,864,480,324,106.1
암사3동,강동구,324583.84410320496,7547,614,556,273,68.2
길동,강동구,805725.3704108037,21738,4054,1965,1274,149.3
천호1동,강동구,493627.5102155058,41048,1575,1414,1131,177.3
천호2동,강동구,622195.2036318701,23199,3730,1807,1482,183.6
천호3동,강동구,487953.6307877414,36162,1859,1337,1135,177.4
성내1동,강동구,356091.98305313085,36200,2102,652,411,102.3
성내2동,강동구,436319.6034116724,38396,1952,1120,947,191.6
성내3동,강동구,413744.8065395032,34021,2427,876,653,137.7
둔촌1동,강동구,4949.554394432806,345,102,7,87,555.6
둔촌2동,강동구,481900.34300918423,28837,1627,956,747,115.1
번1동,강북구,176419.7318128195,36298,1836,973,902,241.2
번2동,강북구,154090.1488006292,14003,678,1369,872,254.3
수유1동,강북구,195526.30483680693,20877,1432,1281,1129,211.9
수유2동,강북구,196060.50538733785,30858,1339,1112,892,220.0
수유3동,강북구,216146.44608729845,28233,2446,1100,1057,263.5
우이동,강북구,190540.4330318521,2000,1029,1043,1034,217.2
인수동,강북구,292145.37774282345,11278,1557,1794,1494,210.2
삼양동,강북구,229492.55650806136,27974,1186,1419,1408,179.8
미아동,강북구,204661.13425088482,31819,1670,1180,1128,238.7
송중동,강북구,258196.9327565868,24220,1962,1399,1326,212.7
송천동,강북구,257404.5352732993,33544,2106,1564,1656,247.8
삼각산동,강북구,294700.6370428628,54071,775,1269,849,70.6
번3동,강북구,164765.2564687377,22055,912,2019,1012,237.2
화곡1동,강서구,978373.0329868052,48828,3104,2113,1378,157.6
화곡2동,강서구,351674.6578035453,42640,848,780,434,107.7
화곡3동,강서구,406121.1591363455,44569,1212,839,613,153.5
화곡8동,강서구,475811.9651472744,50628,1259,1075,623,146.9
우장산동,강서구,810614.112021858,34121,1684,1294,761,71.1
발산1동,강서구,689912.1409436226,13135,2340,1468,603,62.5
염창동,강서구,760032.3639877382,23572,2126,1070,421,54.2
등촌1동,강서구,424407.16779954685,39929,1892,733,543,116.0
등촌2동,강서구,392236.675063308,24041,737,723,347,119.1
화곡본동,강서구,645270.661868586,32784,1356,1439,745,104.9
화곡4동,강서구,396763.4462881513,27676,1482,954,712,154.9
화곡6동,강서구,446056.9432227109,22179,1846,978,553,144.2
가양3동,강서구,291234.2103825137,16683,907,1669,791,263.1
등촌3동,강서구,585349.0933626549,42125,2657,3901,1934,194.6
가양1동,강서구,611901.3799147008,7140,3512,818,321,86.9
가양2동,강서구,273771.2510329201,15763,595,2462,1028,422.9
공항동,강서구,506998.37718246033,2635,2096,1094,1317,93.7
방화1동,강서구,820311.7800213249,44574,2677,1787,911,78.5
방화2동,강서구,433049.1855924297,3805,3318,1614,1018,202.3
방화3동,강서구,439830.39624150336,10467,908,1999,1173,175.1
