,자치구,읍면동명,금융기관
0,종로구,사직동,23
1,종로구,삼청동,2
2,종로구,부암동,2
3,종로구,평창동,4
4,종로구,무악동,1
5,종로구,교남동,2
6,종로구,가회동,7
7,종로구,종로1.2.3.4가동,68
8,종로구,종로5·6가동,12
9,종로구,이화동,6
10,종로구,혜화동,2
11,종로구,명륜3가동,4
12,종로구,창신1동,7
13,종로구,창신2동,2
14,종로구,숭인2동,7
15,종로구,청운효자동,3
16,중구,소공동,42
17,중구,회현동,37
18,중구,명동,53
19,중구,필동,3
20,중구,장충동,8
21,중구,광희동,20
22,중구,을지로동,41
23,중구,신당1동,7
24,중구,신당2동,2
25,중구,신당3동,4
26,중구,신당4동,1
27,중구,신당5동,3
28,중구,신당6동,3
29,중구,황학동,5
30,중구,중림동,5
31,용산구,후암동,3
32,용산구,용산2가동,7
33,용산구,남영동,7
34,용산구,원효로2동,5
35,용산구,효창동,1
36,용산구,이촌1동,14
37,용산구,이촌2동,1
38,용산구,이태원1동,6
39,용산구,이태원2동,3
40,용산구,서빙고동,3
41,용산구,보광동,2
42,용산구,청파동,2
43,용산구,원효로1동,5
44,용산구,한강로동,24
45,용산구,한남동,11
46,성동구,왕십리2동,2
47,성동구,마장동,6
48,성동구,행당1동,6
49,성동구,행당2동,7
50,성동구,응봉동,2
51,성동구,금호1가동,1
52,성동구,금호4가동,3
53,성동구,성수1가1동,4
54,성동구,성수1가2동,1
55,성동구,성수2가1동,5
56,성동구,성수2가3동,13
57,성동구,용답동,3
58,성동구,왕십리도선동,3
59,성동구,금호2.3가동,2
60,성동구,옥수동,3
61,광진구,화양동,9
62,광진구,군자동,4
63,광진구,중곡1동,3
64,광진구,중곡2동,5
65,광진구,중곡3동,1
66,광진구,중곡4동,3
67,광진구,능동,1
68,광진구,구의1동,7
69,광진구,구의2동,6
70,광진구,구의3동,4
71,광진구,광장동,11
72,광진구,자양1동,3
73,광진구,자양2동,3
74,광진구,자양3동,5
75,광진구,자양4동,5
76,동대문구,신설동,3
77,동대문구,제기1동,6
78,동대문구,제기2동,5
79,동대문구,전농1동,1
80,동대문구,전농3동,5
81,동대문구,답십리1동,1
82,동대문구,답십리4동,4
83,동대문구,장안1동,9
84,동대문구,장안2동,3
85,동대문구,장안3동,6
86,동대문구,장안4동,1
87,동대문구,회기동,5
88,동대문구,휘경1동,2
89,동대문구,휘경2동,2
90,동대문구,이문1동,1
91,동대문구,이문2동,5
92,동대문구,용두동,8
93,동대문구,전농2동,1
