,자치구,읍면동명,보육시설
0,종로구,사직동,530
1,종로구,삼청동,32
2,종로구,부암동,121
3,종로구,평창동,58
4,종로구,무악동,454
5,종로구,교남동,222
6,종로구,가회동,178
7,종로구,종로1.2.3.4가동,267
8,종로구,종로5.6가동,231
9,종로구,이화동,260
10,종로구,창신1동,150
11,종로구,창신2동,449
12,종로구,창신3동,116
13,종로구,숭인1동,218
14,종로구,숭인2동,120
15,종로구,청운효자동,632
16,종로구,혜화동,333
17,중구,소공동,419
18,중구,회현동,126
19,중구,명동,237
20,중구,필동,79
21,중구,장충동,116
22,중구,광희동,210
23,중구,을지로동,131
24,중구,신당1동,190
25,중구,신당2동,328
26,중구,신당3동,494
27,중구,신당4동,244
28,중구,신당5동,363
29,중구,신당6동,284
30,중구,황학동,236
31,중구,중림동,308
32,용산구,후암동,609
33,용산구,용산2가동,272
34,용산구,남영동,71
35,용산구,원효로2동,345
36,용산구,효창동,486
37,용산구,용문동,410
38,용산구,이촌1동,358
39,용산구,이촌2동,241
40,용산구,이태원1동,234
41,용산구,이태원2동,171
42,용산구,서빙고동,238
43,용산구,보광동,436
44,용산구,청파동,576
45,용산구,원효로1동,260
46,용산구,한강로동,410
47,용산구,한남동,383
48,성동구,왕십리2동,396
49,성동구,마장동,709
50,성동구,사근동,149
51,성동구,행당1동,508
52,성동구,행당2동,611
53,성동구,응봉동,312
54,성동구,금호1가동,665
55,성동구,금호4가동,349
56,성동구,성수1가1동,351
57,성동구,성수1가2동,482
58,성동구,성수2가1동,463
59,성동구,성수2가3동,288
60,성동구,송정동,277
61,성동구,용답동,600
62,성동구,왕십리도선동,453
63,성동구,금호2.3가동,496
64,성동구,옥수동,530
65,광진구,화양동,464
66,광진구,군자동,665
67,광진구,중곡1동,359
68,광진구,중곡2동,617
69,광진구,중곡3동,871
70,광진구,중곡4동,895
71,광진구,능동,205
72,광진구,구의1동,612
73,광진구,구의2동,841
74,광진구,구의3동,568
75,광진구,광장동,509
76,광진구,자양1동,639
77,광진구,자양2동,566
78,광진구,자양3동,882
79,광진구,자양4동,657
80,동대문구,회기동,291
81,동대문구,휘경1동,294
82,동대문구,휘경2동,748
83,동대문구,청량리동,500
84,동대문구,용신동,702
85,동대문구,제기동,690
86,동대문구,전농1동,580
87,동대문구,전농2동,403
88,동대문구,답십리1동,605
89,동대문구,답십리2동,"1,065"
90,동대문구,장안1동,"1,310"
91,동대문구,장안2동,949
92,동대문구,이문1동,645
93,동대문구,이문2동,734
94,중랑구,면목2동,770
95,중랑구,면목4동,643
96,중랑구,면목5동,559
97,중랑구,면목7동,708
98,중랑구,상봉1동,691
99,중랑구,상봉2동,506
100,중랑구,중화1동,653
101,중랑구,중화2동,632
102,중랑구,묵1동,"1,003"
103,중랑구,묵2동,394
104,중랑구,망우3동,604
105,중랑구,신내1동,"1,170"
106,중랑구,신내2동,790
107,중랑구,면목본동,"1,025"
108,중랑구,면목3.8동,882
109,중랑구,망우본동,874
110,성북구,돈암1동,347
111,성북구,돈암2동,261
112,성북구,안암동,254
113,성북구,보문동,350
114,성북구,정릉1동,556
115,성북구,정릉2동,360
116,성북구,정릉3동,574
117,성북구,정릉4동,870
118,성북구,길음1동,"1,140"
119,성북구,길음2동,360
120,성북구,월곡1동,848
121,성북구,월곡2동,626
122,성북구,장위1동,772
123,성북구,장위2동,687
124,성북구,장위3동,613
125,성북구,성북동,228
126,성북구,삼선동,536
127,성북구,동선동,395
128,성북구,종암동,"1,359"
129,성북구,석관동,708
130,강북구,번1동,621
131,강북구,번2동,556
132,강북구,번3동,500
133,강북구,수유1동,929
134,강북구,수유2동,906
135,강북구,수유3동,544
136,강북구,삼양동,902
137,강북구,미아동,483
138,강북구,송중동,909
139,강북구,송천동,860
140,강북구,삼각산동,"1,292"
141,강북구,우이동,749
142,강북구,인수동,622
143,도봉구,쌍문1동,633
144,도봉구,쌍문2동,480
145,도봉구,쌍문3동,635
146,도봉구,쌍문4동,392
