,자치구,읍면동명,사업체수
0,종로구,사직동,"3,437"
1,종로구,삼청동,611
2,종로구,부암동,502
3,종로구,평창동,636
4,종로구,무악동,610
5,종로구,교남동,550
6,종로구,가회동,547
7,종로구,종로1.2.3.4가동,"15,825"
8,종로구,종로5·6가동,"7,492"
9,종로구,이화동,"1,077"
10,종로구,창신1동,"2,257"
11,종로구,창신2동,860
12,종로구,창신3동,274
13,종로구,숭인1동,530
14,종로구,숭인2동,"1,814"
15,종로구,청운효자동,794
16,종로구,혜화동,"1,670"
17,중구,소공동,"3,688"
18,중구,회현동,"9,676"
19,중구,명동,"7,194"
20,중구,필동,"3,261"
21,중구,장충동,864
22,중구,광희동,"10,151"
23,중구,을지로동,"9,689"
24,중구,신당1동,"11,868"
25,중구,신당2동,"1,175"
26,중구,신당3동,821
27,중구,신당4동,703
28,중구,신당5동,"1,064"
29,중구,신당6동,882
30,중구,황학동,"1,985"
31,중구,중림동,"1,286"
32,용산구,후암동,802
33,용산구,용산2가동,484
34,용산구,남영동,"1,466"
35,용산구,원효로2동,"1,173"
36,용산구,효창동,499
37,용산구,용문동,666
38,용산구,이촌1동,815
39,용산구,이촌2동,345
40,용산구,이태원1동,"1,625"
41,용산구,이태원2동,557
42,용산구,서빙고동,383
43,용산구,보광동,806
44,용산구,청파동,"1,813"
45,용산구,원효로1동,"1,695"
46,용산구,한강로동,"5,172"
47,용산구,한남동,"1,703"
48,성동구,왕십리2동,750
49,성동구,마장동,"3,140"
50,성동구,사근동,998
51,성동구,행당1동,"1,352"
52,성동구,행당2동,533
53,성동구,응봉동,376
54,성동구,금호1가동,596
55,성동구,금호4가동,626
56,성동구,성수1가1동,"1,300"
57,성동구,성수1가2동,"1,749"
58,성동구,성수2가1동,"2,207"
59,성동구,성수2가3동,"4,660"
60,성동구,송정동,716
61,성동구,용답동,"2,019"
62,성동구,왕십리도선동,"1,579"
63,성동구,금호2.3가동,939
64,성동구,옥수동,710
65,광진구,화양동,"2,441"
66,광진구,군자동,"1,627"
67,광진구,중곡1동,"1,631"
68,광진구,중곡2동,"1,725"
69,광진구,중곡3동,"1,374"
70,광진구,중곡4동,"1,550"
71,광진구,능동,715
72,광진구,구의1동,"1,835"
73,광진구,구의2동,"1,330"
74,광진구,구의3동,"2,630"
75,광진구,광장동,"1,332"
76,광진구,자양1동,"1,705"
77,광진구,자양2동,"1,561"
78,광진구,자양3동,"1,316"
79,광진구,자양4동,"2,056"
80,동대문구,회기동,989
81,동대문구,휘경1동,"1,045"
82,동대문구,휘경2동,"1,099"
83,동대문구,청량리동,"1,731"
84,동대문구,용신동,"5,468"
85,동대문구,제기동,"4,722"
86,동대문구,전농1동,"2,206"
87,동대문구,전농2동,782
88,동대문구,답십리1동,"2,098"
89,동대문구,답십리2동,"1,854"
90,동대문구,장안1동,"4,543"
91,동대문구,장안2동,"3,109"
92,동대문구,이문1동,"1,501"
93,동대문구,이문2동,734
94,중랑구,면목2동,"2,027"
95,중랑구,면목4동,"1,065"
96,중랑구,면목5동,"1,040"
97,중랑구,면목7동,"1,469"
98,중랑구,상봉1동,962
99,중랑구,상봉2동,"2,188"
100,중랑구,중화1동,"1,088"
101,중랑구,중화2동,"2,295"
102,중랑구,묵1동,"1,478"
103,중랑구,묵2동,"1,774"
104,중랑구,망우3동,"1,091"
105,중랑구,신내1동,"1,528"
106,중랑구,신내2동,"1,090"
107,중랑구,면목본동,"2,421"
108,중랑구,면목3.8동,"2,986"
109,중랑구,망우본동,"2,787"
110,성북구,돈암1동,365
111,성북구,돈암2동,367
112,성북구,안암동,"1,310"
113,성북구,보문동,"1,244"
114,성북구,정릉1동,808
115,성북구,정릉2동,901
116,성북구,정릉3동,694
117,성북구,정릉4동,837
118,성북구,길음1동,"1,116"
119,성북구,길음2동,"1,100"
120,성북구,월곡1동,"1,440"
121,성북구,월곡2동,"1,517"
122,성북구,장위1동,"1,164"
123,성북구,장위2동,"1,657"
124,성북구,장위3동,"1,233"
125,성북구,성북동,"1,040"
126,성북구,삼선동,"1,893"
127,성북구,동선동,"1,940"
128,성북구,종암동,"2,104"
129,성북구,석관동,"2,331"
130,강북구,번1동,"1,797"
131,강북구,번2동,669
132,강북구,번3동,815
133,강북구,수유1동,"1,601"
134,강북구,수유2동,"1,340"
135,강북구,수유3동,"2,484"
136,강북구,삼양동,"1,255"
137,강북구,미아동,"1,952"
138,강북구,송중동,"1,994"
139,강북구,송천동,"2,246"
140,강북구,삼각산동,730
141,강북구,우이동,979
142,강북구,인수동,"1,623"
143,도봉구,쌍문1동,921
144,도봉구,쌍문2동,"1,210"
145,도봉구,쌍문3동,910
146,도봉구,쌍문4동,584
147,도봉구,방학1동,"2,358"
148,도봉구,방학2동,"1,327"
149,도봉구,방학3동,918
150,도봉구,창1동,"1,062"
151,도봉구,창2동,"1,328"
152,도봉구,창3동,945
153,도봉구,창4동,"1,138"
154,도봉구,창5동,"2,115"
155,도봉구,도봉1동,"1,675"
156,도봉구,도봉2동,"1,402"
157,노원구,월계1동,"1,387"
158,노원구,월계2동,"1,055"
159,노원구,월계3동,939
160,노원구,공릉2동,"1,780"
161,노원구,하계1동,891
162,노원구,하계2동,370
163,노원구,중계본동,"1,167"
164,노원구,중계1동,895
165,노원구,중계4동,994
166,노원구,상계1동,"2,795"
167,노원구,상계2동,"2,195"
168,노원구,상계5동,"1,306"
169,노원구,상계8동,590
170,노원구,상계9동,730
171,노원구,상계10동,460
172,노원구,상계3.4동,"1,721"
173,노원구,상계6.7동,"1,892"
174,노원구,중계2.3동,"1,161"
175,노원구,공릉1동,"2,536"
176,은평구,녹번동,"1,500"
177,은평구,불광1동,"1,611"
178,은평구,갈현1동,"1,513"
179,은평구,갈현2동,"1,535"
180,은평구,구산동,"1,153"
181,은평구,대조동,"2,559"
182,은평구,응암1동,"2,115"
183,은평구,응암2동,804
184,은평구,신사1동,"1,208"
185,은평구,신사2동,858
186,은평구,증산동,"1,127"
187,은평구,수색동,859
188,은평구,진관동,885
189,은평구,불광2동,"1,330"
190,은평구,응암3동,"1,892"
191,은평구,역촌동,"2,376"
192,서대문구,천연동,793
193,서대문구,홍제1동,"1,112"
194,서대문구,홍제3동,"1,207"
195,서대문구,홍제2동,571
196,서대문구,홍은1동,980
197,서대문구,홍은2동,"1,130"
198,서대문구,남가좌1동,644
199,서대문구,남가좌2동,"1,489"
200,서대문구,북가좌1동,461
201,서대문구,북가좌2동,"2,225"
202,서대문구,충현동,"1,613"
203,서대문구,북아현동,674
204,서대문구,신촌동,"3,732"
205,서대문구,연희동,"2,022"
206,마포구,용강동,"2,398"
207,마포구,대흥동,"1,563"
208,마포구,염리동,759
209,마포구,신수동,"1,397"
210,마포구,서교동,"8,003"
211,마포구,합정동,"1,812"
212,마포구,망원1동,"1,362"
213,마포구,망원2동,"1,224"
214,마포구,연남동,"1,150"
215,마포구,성산1동,"1,579"
216,마포구,성산2동,"1,660"
217,마포구,상암동,"1,639"
218,마포구,도화동,"1,879"
219,마포구,서강동,"1,351"
220,마포구,공덕동,"2,536"
221,마포구,아현동,"1,741"
222,양천구,목1동,"2,543"
223,양천구,목2동,"1,174"
224,양천구,목3동,"1,241"
225,양천구,목4동,"1,365"
226,양천구,신월1동,"1,815"
227,양천구,신월2동,"1,104"
228,양천구,신월3동,986
229,양천구,신월4동,"1,130"
230,양천구,신월5동,"1,005"
231,양천구,신월6동,"1,591"
232,양천구,신월7동,"1,400"
233,양천구,신정1동,"1,131"
234,양천구,신정2동,"1,121"
235,양천구,신정3동,"1,954"
236,양천구,신정6동,693
237,양천구,신정7동,"1,010"
238,양천구,목5동,"1,452"
