,자치구,읍면동명,종사자수
0,종로구,사직동,"53,850"
1,종로구,삼청동,"4,823"
2,종로구,부암동,"3,690"
3,종로구,평창동,"2,990"
4,종로구,무악동,"1,472"
5,종로구,교남동,"3,612"
6,종로구,가회동,"14,215"
7,종로구,종로1.2.3.4가동,"110,743"
8,종로구,종로5·6가동,"23,392"
9,종로구,이화동,"16,032"
10,종로구,창신1동,"6,340"
11,종로구,창신2동,"2,429"
12,종로구,창신3동,874
13,종로구,숭인1동,"1,587"
14,종로구,숭인2동,"6,819"
15,종로구,청운효자동,"6,415"
16,종로구,혜화동,"9,026"
17,중구,소공동,"65,041"
18,중구,회현동,"52,540"
19,중구,명동,"115,866"
20,중구,필동,"24,075"
21,중구,장충동,"9,874"
22,중구,광희동,"38,813"
23,중구,을지로동,"29,762"
24,중구,신당5동,"3,942"
25,중구,황학동,"6,435"
26,중구,중림동,"7,677"
27,중구,신당동,"27,836"
28,중구,다산동,"9,577"
29,중구,약수동,"3,563"
30,중구,청구동,"3,856"
31,중구,동화동,"4,035"
32,용산구,후암동,"5,493"
33,용산구,용산2가동,"2,075"
34,용산구,남영동,"18,172"
35,용산구,원효로2동,"7,045"
36,용산구,효창동,"2,300"
37,용산구,용문동,"1,568"
38,용산구,이촌1동,"3,825"
39,용산구,이촌2동,821
40,용산구,이태원1동,"8,286"
41,용산구,이태원2동,"3,216"
42,용산구,서빙고동,"5,077"
43,용산구,보광동,"2,786"
44,용산구,청파동,"9,433"
45,용산구,원효로1동,"10,407"
46,용산구,한강로동,"31,880"
47,용산구,한남동,"16,649"
48,성동구,왕십리2동,"2,440"
49,성동구,마장동,"11,683"
50,성동구,사근동,"11,474"
51,성동구,행당1동,"8,783"
52,성동구,행당2동,"1,927"
53,성동구,응봉동,"1,037"
54,성동구,금호1가동,"1,685"
55,성동구,금호4가동,"1,786"
56,성동구,성수1가1동,"7,815"
57,성동구,성수1가2동,"17,103"
58,성동구,성수2가1동,"18,337"
59,성동구,성수2가3동,"45,871"
60,성동구,송정동,"2,453"
61,성동구,용답동,"15,156"
62,성동구,왕십리도선동,"11,693"
63,성동구,금호2.3가동,"2,758"
64,성동구,옥수동,"3,046"
65,광진구,화양동,"15,035"
66,광진구,군자동,"10,040"
67,광진구,중곡1동,"6,476"
68,광진구,중곡2동,"6,711"
69,광진구,중곡3동,"5,601"
70,광진구,중곡4동,"4,810"
71,광진구,능동,"5,945"
72,광진구,구의1동,"6,556"
73,광진구,구의2동,"5,199"
74,광진구,구의3동,"19,517"
75,광진구,광장동,"12,078"
76,광진구,자양1동,"8,527"
77,광진구,자양2동,"7,659"
78,광진구,자양3동,"6,395"
79,광진구,자양4동,"6,388"
80,동대문구,회기동,"9,709"
81,동대문구,휘경1동,"4,606"
82,동대문구,휘경2동,"4,977"
83,동대문구,청량리동,"8,132"
84,동대문구,용신동,"32,819"
85,동대문구,제기동,"11,977"
86,동대문구,전농1동,"8,303"
