,읍면동명,자치구,선거인수,새누리당,민주통합당,통합진보당,독거노인수,유년부양비,노년부양비,노령화지수,사업체수,종사자수,사업체 창업률,기초수급자인원수,보육시설,금융기관,사업체 평균연령,장애등급별 장애인현황
0,신사동,강남구,"16,599","5,826","2,436",,361,16.2,15.1,92.8,"4,423","26,400",18.5,128,,,6.167000000000002,415.0
1,논현1동,강남구,"23,621","4,764","4,152",,443,8.4,9.6,113.8,"5,049","37,939",16.3,356,,,6.917000000000002,692.0
2,논현2동,강남구,"19,307","5,199","3,338",,354,13.0,12.3,94.6,"5,086","53,983",14.8,319,,,7.417000000000002,555.0
3,압구정동,강남구,"23,307","10,132","2,406",,619,21.2,17.4,82.1,"3,983","26,298",18.3,48,,,6.667000000000002,519.0
4,청담동,강남구,"25,247","8,772","3,878",,463,17.4,12.6,72.3,"3,672","37,003",17.1,210,,,7.25,673.0
5,삼성1동,강남구,"12,513","4,550","1,982",,225,16.0,12.4,77.6,"3,657","57,706",13.2,107,,,8.833,367.0
6,삼성2동,강남구,"25,495","7,897","4,624",,421,19.5,10.0,51.1,"3,054","30,856",16.9,324,,,7.5,670.0
7,역삼1동,강남구,"31,451","6,115","5,560",,533,8.2,8.9,108.4,"11,473","133,384",18.3,415,,,6.999,824.0
8,역삼2동,강남구,"26,460","8,076","4,932",,451,21.8,9.9,45.3,"2,799","37,603",17.3,343,,,7.667000000000002,707.0
9,도곡1동,강남구,"18,047","6,872","3,583",,342,17.1,10.8,63.2,"1,426","13,664",14.8,83,,,7.582999999999998,452.0
10,도곡2동,강남구,"25,888","11,890","3,252",,409,21.0,11.4,54.1,"1,698","16,951",12.5,37,,,7.667000000000002,499.0
11,대치1동,강남구,"14,032","6,916","2,077",,146,23.3,8.8,37.8,"1,040","6,289",16.5,18,,,7.0,250.0
12,대치2동,강남구,"31,950","13,915","6,028",,431,15.8,8.9,56.5,"3,200","48,576",13.7,141,,,8.75,750.0
13,대치4동,강남구,"17,748","4,454","3,664",,298,11.3,8.3,73.6,"3,272","31,940",18.7,229,,,6.167000000000002,426.0
14,개포1동,강남구,"18,502","6,878","4,436",,541,13.4,12.2,91.0,448,"1,291",8.5,483,,,11.25,685.0
15,개포2동,강남구,"26,374","9,177","6,951",,471,18.0,8.4,46.5,"1,047","3,810",13.9,292,,,9.167,811.0
16,개포4동,강남구,"18,800","5,424","4,559",,358,16.8,9.8,58.2,"3,307","13,458",9.4,450,,,9.833,669.0
17,일원본동,강남구,"17,255","6,988","4,130",,300,21.6,8.5,39.4,481,"8,005",9.8,51,,,9.999,584.0
18,일원1동,강남구,"15,235","4,264","4,299",,493,14.5,14.2,98.3,868,"4,248",12.3,"1,285",,,8.0,1107.0
19,일원2동,강남구,"15,128","5,146","4,262",,455,16.4,11.7,71.0,573,"5,505",12.2,957,,,9.667,1180.0
20,수서동,강남구,"14,803","4,510","4,031",,785,10.4,20.5,196.6,"1,492","14,416",12.4,"2,853",,,8.083,2051.0
