,읍면동명,자치구,선거인수,새누리당,민주통합당,통합진보당
7,신사동,강남구,"16,599","5,826","2,436",
13,논현1동,강남구,"23,621","4,764","4,152",
19,논현2동,강남구,"19,307","5,199","3,338",
25,압구정동,강남구,"23,307","10,132","2,406",
33,청담동,강남구,"25,247","8,772","3,878",
41,삼성1동,강남구,"12,513","4,550","1,982",
45,삼성2동,강남구,"25,495","7,897","4,624",
51,역삼1동,강남구,"31,451","6,115","5,560",
59,역삼2동,강남구,"26,460","8,076","4,932",
66,도곡1동,강남구,"18,047","6,872","3,583",
71,도곡2동,강남구,"25,888","11,890","3,252",
7,대치1동,강남구,"14,032","6,916","2,077",
13,대치2동,강남구,"31,950","13,915","6,028",
23,대치4동,강남구,"17,748","4,454","3,664",
28,개포1동,강남구,"18,502","6,878","4,436",
34,개포2동,강남구,"26,374","9,177","6,951",
42,개포4동,강남구,"18,800","5,424","4,559",
47,일원본동,강남구,"17,255","6,988","4,130",
52,일원1동,강남구,"15,235","4,264","4,299",
58,일원2동,강남구,"15,128","5,146","4,262",
64,수서동,강남구,"14,803","4,510","4,031",
70,세곡동,강남구,"8,733","2,904","2,136",
7,강일동,강동구,"24,432","6,402","7,563",
14,상일동,강동구,"21,782","6,735","5,444",
21,명일제1동,강동구,"21,858","7,119","5,508",
27,명일제2동,강동구,"14,539","5,649","3,526",
32,고덕제1동,강동구,"15,521","4,329","4,012",
37,고덕제2동,강동구,"14,539","3,802","3,566",
42,암사제1동,강동구,"31,356","7,458","7,920",
51,암사제2동,강동구,"12,637","3,412","3,829",
55,암사제3동,강동구,"14,386","5,020","4,019",
60,길동,강동구,"41,419","10,310","10,470",
7,천호제1동,강동구,"25,605","5,686","6,832",
14,천호제2동,강동구,"31,406","6,563","8,309",
23,천호제3동,강동구,"22,827","4,972","6,021",
30,성내제1동,강동구,"15,746","4,039","4,898",
35,성내제2동,강동구,"22,559","4,940","6,552",
41,성내제3동,강동구,"20,445","4,598","6,019",
46,둔촌제1동,강동구,"15,211","5,102","4,243",
51,둔촌제2동,강동구,"23,225","6,186","6,928",
7,번제1동,강북구,"17,294","3,430","4,539",
13,번제2동,강북구,"16,259","3,484","4,636",
19,수유제1동,강북구,"19,310","4,152","4,990",
25,수유제2동,강북구,"19,189","4,991","5,423",
31,수유제3동,강북구,"20,317","4,424","5,210",
38,우이동,강북구,"17,829","4,426","4,472",
43,인수동,강북구,"27,638","6,283","7,073",
7,삼양동,강북구,"25,676","5,135","6,654",
16,미아동,강북구,"20,050","4,366","5,497",
23,송중동,강북구,"29,001","6,041","7,505",
32,송천동,강북구,"26,888","5,684","7,165",
41,삼각산동,강북구,"24,703","5,918","7,695",
50,번제3동,강북구,"17,311","3,994","5,212",
7,등촌제2동,강서구,"17,590","4,910","4,600",
12,화곡본동,강서구,"29,021","5,112","7,865",
19,화곡제1동,강서구,"42,481","8,336","10,625",
30,화곡제2동,강서구,"16,162","3,166","4,051",
35,화곡제3동,강서구,"19,644","5,647","4,713",
41,화곡제4동,강서구,"18,646","3,715","4,627",
47,화곡제6동,강서구,"19,997","5,156","5,087",
53,화곡제8동,강서구,"22,408","4,323","5,952",
59,우장산동,강서구,"30,047","8,221","7,973",
67,발산제1동,강서구,"23,792","5,739","6,766",
7,염창동,강서구,"31,290","9,398","10,096",
16,등촌제1동,강서구,"17,501","4,756","4,928",
21,등촌제3동,강서구,"29,635","8,449","8,634",
31,가양제1동,강서구,"16,020","4,914","4,677",
37,가양제2동,강서구,"15,685","4,534","4,225",
43,가양제3동,강서구,"15,621","4,141","4,676",
49,공항동,강서구,"17,664","4,073","4,050",
55,방화제1동,강서구,"24,316","7,093","6,343",
63,방화제2동,강서구,"21,323","5,899","5,269",
71,방화제3동,강서구,"22,473","6,399","6,556",
7,보라매동,관악구,"22,100",,"5,732",
13,은천동,관악구,"29,415",,"7,906",
21,성현동,관악구,"27,069",,"7,237",
29,중앙동,관악구,"12,783",,"3,416",
33,청림동,관악구,"13,425",,"3,990",
37,행운동,관악구,"25,982",,"7,052",
44,청룡동,관악구,"28,810",,"7,772",
51,낙성대동,관악구,"15,212",,"4,332",
55,인헌동,관악구,"23,650",,"6,352",
61,남현동,관악구,"15,105",,"3,900",
66,신림동,관악구,"17,421",,"4,406",
7,신사동,관악구,"20,923","3,501",,"3,951"
13,조원동,관악구,"15,663","2,864",,"2,836"
18,미성동,관악구,"27,925","5,802",,"4,787"
26,난곡동,관악구,"25,340","4,525",,"4,053"
33,난향동,관악구,"13,839","2,456",,"2,716"
37,서원동,관악구,"20,875","3,164",,"4,858"
43,신원동,관악구,"16,806","2,955",,"3,242"
48,서림동,관악구,"21,459","3,532",,"5,228"
54,삼성동,관악구,"24,601","4,691",,"4,929"
61,대학동,관악구,"20,526","2,995",,"5,575"
7,중곡제1동,광진구,"14,070","3,091","4,192",
12,중곡제2동,광진구,"18,556","4,228","5,425",
18,중곡제3동,광진구,"15,410","3,511","4,370",
24,중곡제4동,광진구,"25,624","6,439","7,575",
32,능동,광진구,"9,427","2,195","2,836",
36,구의제2동,광진구,"21,460","5,380","6,289",
43,광장동,광진구,"25,031","8,222","7,259",
50,군자동,광진구,"17,947","3,848","5,073",
7,구의제1동,광진구,"19,037","3,534","5,703",
13,구의제3동,광진구,"23,708","6,262","7,241",
20,자양제1동,광진구,"20,220","3,552","5,777",
27,자양제2동,광진구,"23,178","4,971","6,835",
34,자양제3동,광진구,"24,856","6,424","7,575",
42,자양제4동,광진구,"22,118","3,843","6,119",
49,화양동,광진구,"18,808","2,920","5,257",
7,고척제1동,구로구,"20,257","5,464","6,143",
13,고척제2동,구로구,"24,230","5,958","7,657",
21,개봉제1동,구로구,"27,493","6,959","8,293",
30,개봉제2동,구로구,"27,977","7,803","9,162",
39,개봉제3동,구로구,"17,471","4,291","5,225",
45,오류제1동,구로구,"17,184","4,647","5,072",
50,오류제2동,구로구,"30,480","8,193","9,734",
58,수궁동,구로구,"20,349","5,863","5,792",
7,신도림동,구로구,"29,103","7,280","10,655",
16,구로제1동,구로구,"17,678","3,675","6,883",
22,구로제2동,구로구,"27,280","5,071","7,790",
32,구로제3동,구로구,"23,099","3,328","8,611",
