동,인구,면적,인구밀도
사직동,10477,1.23,8518
삼청동,3485,1.49,2339
부암동,11478,2.27,5056
평창동,19816,8.87,2234
무악동,8598,0.36,23883
교남동,8342,0.35,23834
가회동,5520,0.54,10222
종로1.2.3.4가동,8984,2.36,3807
종로5.6가동,6438,0.6,10730
이화동,9521,0.78,12206
창신1동,7669,0.31,24739
창신2동,11984,0.26,46092
창신3동,8502,0.23,36965
숭인1동,7692,0.23,33443
숭인2동,9560,0.35,27314
청운효자동,15219,2.57,5922
혜화동,19863,1.11,17895
소공동,1764,0.95,1857
회현동,6581,0.84,7835
명동,4113,0.99,4155
필동,4989,1.14,4376
장충동,6189,1.36,4551
광희동,6460,0.74,8730
을지로동,2074,0.6,3457
신당1동,9325,0.55,16955
신당2동,16749,0.51,32841
신당3동,19638,0.48,40913
신당4동,16020,0.34,47118
신당5동,10693,0.39,27418
신당6동,12053,0.26,46358
황학동,13090,0.33,39667
중림동,11069,0.48,23060
후암동,20413,0.86,23736
용산2가동,13810,1.96,7046
남영동,8213,1.19,6902
원효로2동,15928,0.71,22434
효창동,11449,0.44,26020
용문동,13126,0.28,46879
이촌1동,28405,2.86,9932
이촌2동,10367,1.22,8498
이태원1동,9981,0.57,17511
이태원2동,11878,0.86,13812
서빙고동,14456,2.8,5163
보광동,18361,0.71,25861
청파동,23948,0.91,26316
원효로1동,12838,0.59,21759
한강로동,16548,2.9,5706
한남동,25573,3.01,8496
왕십리2동,17423,0.41,42495
마장동,25783,1.06,24324
사근동,11699,1.11,10540
행당1동,18129,0.59,30727
행당2동,27031,0.42,64360
응봉동,17579,0.57,30840
금호1가동,16087,0.46,34972
금호4가동,15016,0.84,17876
성수1가1동,18588,1.98,9388
성수1가2동,18906,0.89,21243
성수2가1동,21430,1.18,18161
성수2가3동,12440,1.03,12078
송정동,12721,0.68,18707
용답동,17551,2.32,7565
왕십리도선동,13150,0.72,18264
금호2.3가동,23248,0.64,36325
옥수동,20081,1.95,10298
