year,읍면동명,인구,면적,인구밀도
2016,사직동,10013,1.23,8141
2016,삼청동,3118,1.49,2093
2016,부암동,11044,2.27,4865
2016,평창동,19457,8.87,2194
2016,무악동,8516,0.36,23656
2016,교남동,4748,0.35,13566
2016,가회동,4780,0.54,8852
2016,종로1.2.3.4가동,8727,2.35,3714
2016,종로5.6가동,5775,0.6,9625
2016,이화동,8927,0.78,11445
2016,창신1동,6590,0.31,21258
2016,창신2동,10701,0.26,41158
2016,창신3동,7753,0.23,33709
2016,숭인1동,7109,0.23,30909
2016,숭인2동,10148,0.35,28994
2016,청운효자동,14111,2.57,5491
2016,혜화동,20405,1.12,18219
2016,소공동,2596,0.95,2733
2016,회현동,6128,0.84,7295
2016,명동,3524,0.99,3560
2016,필동,5120,1.14,4491
2016,장충동,5845,1.36,4298
2016,광희동,6031,0.74,8150
2016,을지로동,1826,0.6,3043
2016,신당5동,10164,0.39,26062
2016,황학동,13217,0.33,40052
2016,중림동,8902,0.48,18546
2016,신당동,9429,0.55,17144
2016,다산동,15956,0.51,31286
2016,약수동,18796,0.48,39158
2016,청구동,15233,0.34,44803
2016,동화동,11642,0.26,44777
2016,후암동,19308,0.86,22451
2016,용산2가동,12746,1.96,6503
2016,남영동,8762,1.19,7363
2016,원효로2동,15512,0.71,21848
2016,효창동,9566,0.44,21741
2016,용문동,12862,0.28,45936
2016,이촌1동,29134,2.86,10187
2016,이촌2동,9380,1.22,7689
2016,이태원1동,8806,0.57,15449
2016,이태원2동,11004,0.86,12795
2016,서빙고동,14507,2.8,5181
2016,보광동,16988,0.71,23927
2016,청파동,21913,0.91,24080
2016,원효로1동,14717,0.59,24944
2016,한강로동,16463,2.9,5677
2016,한남동,23434,3.01,7785
2016,왕십리2동,16917,0.41,41261
2016,마장동,24569,1.06,23178
2016,사근동,12722,1.11,11461
2016,행당1동,14708,0.59,24929
2016,행당2동,25748,0.42,61305
2016,응봉동,16921,0.57,29686
2016,금호1가동,13419,0.46,29172
2016,금호4가동,14557,0.84,17330
2016,성수1가1동,17231,1.98,8703
