,읍면동명,자치구,선거인수,새누리당,더불어민주당,국민의당,독거노인수,유년부양비,노년부양비,노령화지수,사업체수,종사자수,사업체 창업률,중위연령,기초수급자인원수,보육시설,금융기관,사업체 평균연령,장애등급
0,신사동,강남구,14827,4774.0,2817,0.0,380,15.8,19.1,121.3,4503,27741,15.94,40.6,128,303.0,13.0,6.8329999999999975,383.0
1,논현1동,강남구,21876,3966.0,4769,0.0,500,7.2,12.4,172.1,5788,44157,17.78,37.5,356,375.0,18.0,7.25,648.0
2,논현2동,강남구,19063,4639.0,4017,0.0,409,11.9,14.9,124.8,5656,60642,17.57,38.8,319,287.0,23.0,7.5829999999999975,509.0
3,압구정동,강남구,22435,8301.0,3539,0.0,647,20.0,21.4,107.1,4314,29474,16.16,41.5,48,301.0,32.0,7.1670000000000025,471.0
4,청담동,강남구,24507,7366.0,4777,0.0,491,16.3,15.2,93.5,4497,39652,14.21,40.0,210,507.0,21.0,7.5829999999999975,584.0
5,역삼1동,강남구,31222,5285.0,6839,0.0,679,6.5,10.1,154.3,15079,147157,19.18,36.5,415,767.0,54.0,6.9170000000000025,760.0
6,역삼2동,강남구,26632,6988.0,6513,0.0,453,21.4,11.3,53.1,3416,38937,16.77,38.2,343,528.0,15.0,7.8329999999999975,672.0
7,삼성1동,강남구,11991,3792.0,2228,0.0,243,14.6,15.4,105.5,4330,66958,16.77,40.6,107,565.0,29.0,7.6670000000000025,281.0
8,삼성2동,강남구,23856,6262.0,5159,0.0,479,19.0,12.0,63.3,3734,38887,17.89,38.3,324,733.0,17.0,8.0,567.0
9,대치1동,강남구,16660,6362.0,3281,0.0,151,24.2,10.1,41.7,1066,7154,17.54,40.3,18,294.0,15.0,7.75,266.0
10,대치2동,강남구,31132,10404.0,6970,0.0,471,14.6,11.4,77.7,3468,57241,13.58,41.6,141,504.0,21.0,9.0,707.0
11,대치4동,강남구,16885,3467.0,3848,0.0,315,10.5,9.7,92.8,3716,27829,17.01,38.2,229,617.0,15.0,6.5,368.0
12,도곡1동,강남구,17461,5405.0,4281,0.0,338,17.5,13.0,74.6,1614,17135,13.63,39.3,83,412.0,11.0,8.083,431.0
13,도곡2동,강남구,26147,9715.0,4546,0.0,478,20.1,14.2,70.5,1926,22629,11.21,40.6,37,343.0,22.0,8.5,499.0
14,개포1동,강남구,17652,5341.0,4747,0.0,907,10.6,16.5,155.5,503,1616,12.52,44.4,483,214.0,2.0,12.083,631.0
15,개포2동,강남구,19425,5321.0,5609,0.0,428,12.7,12.1,94.8,846,3381,12.41,41.8,292,278.0,3.0,10.25,486.0
16,개포4동,강남구,16188,3656.0,4387,0.0,335,14.3,12.3,85.9,2221,12024,9.0,40.2,450,854.0,4.0,9.583,495.0
17,일원본동,강남구,18299,5411.0,5890,0.0,370,22.7,10.9,48.0,564,8402,14.01,39.8,51,754.0,5.0,10.833,703.0
18,일원1동,강남구,14233,3527.0,4186,0.0,602,12.5,19.2,154.1,1870,7340,5.67,42.9,1285,500.0,3.0,17.667,1045.0
19,일원2동,강남구,13325,3824.0,4173,0.0,641,15.9,18.6,116.7,636,10125,10.69,41.6,957,479.0,3.0,11.334000000000001,1130.0
20,수서동,강남구,13814,4040.0,3682,0.0,1135,9.3,27.5,294.8,1584,15857,10.1,48.1,2853,560.0,4.0,9.75,2100.0
21,세곡동,강남구,31158,7100.0,11291,0.0,766,26.4,16.3,61.7,950,5285,20.42,38.2,1756,1619.0,1.0,8.083,2021.0
22,강일동,강동구,24321,5462.0,7276,2030.0,476,26.5,16.5,62.3,946,15030,10.99,39.3,970,1250.0,5.0,7.8329999999999975,1558.0
23,상일동,강동구,16658,4424.0,4066,1195.0,304,13.0,14.2,108.7,1018,5201,10.61,44.2,184,472.0,2.0,10.167,514.0
24,명일1동,강동구,18055,5328.0,4747,1256.0,534,17.6,14.7,83.6,1681,6083,12.91,41.3,250,876.0,7.0,8.083,719.0
25,명일2동,강동구,14041,4576.0,3894,942.0,250,17.5,12.4,71.3,1151,4698,11.38,41.9,136,249.0,7.0,8.25,478.0
26,고덕1동,강동구,12181,3186.0,3503,864.0,272,21.4,13.3,62.2,610,1993,10.33,39.7,231,607.0,4.0,9.5,547.0
27,고덕2동,강동구,7444,1775.0,1535,530.0,397,10.4,20.5,197.2,1786,3245,3.36,47.3,475,235.0,4.0,15.417,605.0
28,암사1동,강동구,29853,6142.0,7086,2302.0,1138,15.0,16.6,110.7,1927,5510,12.77,41.8,1345,1461.0,3.0,8.334,1571.0
29,암사2동,강동구,12758,3003.0,3849,1009.0,330,19.2,15.0,78.2,864,5139,12.04,39.5,88,647.0,3.0,8.75,504.0
30,암사3동,강동구,14554,4211.0,4379,1055.0,239,23.8,13.1,54.9,609,2009,9.69,39.8,83,575.0,1.0,8.999,565.0
31,길동,강동구,41751,9346.0,9524,3447.0,1162,13.6,15.0,110.4,3988,18681,13.06,41.0,895,1282.0,9.0,8.25,1981.0
32,천호1동,강동구,24141,5237.0,5093,2580.0,1003,12.5,17.8,142.5,1529,5643,11.71,43.4,862,855.0,1.0,8.917,1352.0
33,천호2동,강동구,30116,5762.0,6136,3230.0,1339,11.9,17.7,148.5,3707,14190,14.41,43.6,1299,888.0,4.0,8.083,1757.0
34,천호3동,강동구,21456,4435.0,4398,2425.0,1048,10.9,18.6,170.2,1863,7584,15.14,43.8,960,722.0,3.0,8.417,1288.0
35,성내1동,강동구,15304,3419.0,4001,1801.0,364,17.8,14.7,82.7,2105,18175,11.64,39.7,170,867.0,6.0,8.833,631.0
36,성내2동,강동구,21492,4209.0,4918,2524.0,839,11.2,16.8,149.3,1978,7625,15.62,42.6,667,728.0,4.0,7.9170000000000025,1111.0
37,성내3동,강동구,20282,4084.0,4837,2473.0,598,14.2,14.8,104.5,2461,9455,14.3,40.7,357,823.0,5.0,7.999,864.0
38,둔촌1동,강동구,15187,4057.0,3878,1974.0,247,10.8,10.7,99.5,408,1371,8.09,42.6,77,81.0,2.0,11.583,411.0
39,둔촌2동,강동구,22665,5230.0,5545,2748.0,689,16.2,14.9,91.8,1637,9468,13.07,40.8,445,778.0,6.0,8.583,963.0
40,번1동,강북구,17097,3206.0,2847,2379.0,829,11.0,19.9,180.3,1793,8987,14.89,43.1,717,654.0,3.0,8.0,914.0
